ORF	hom | growth (relative abundance in pooled culture) | cisplatin [1 mM] | Wu HI~Brown JM, 2004	hom | growth (relative abundance in pooled culture) | cisplatin [0.23 mM] | Wu HI~Brown JM, 2004	hom | growth (relative abundance in pooled culture) | mitomycin C [0.5 mM] | Wu HI~Brown JM, 2004	hom | growth (relative abundance in pooled culture) | oxaliplatin [10 mM] | Wu HI~Brown JM, 2004
YLR082C	-0.075	-0.040	0.032	-0.006
YMR306C-A	-0.007	-0.040	0.050	0.018
YNL090W	0.015	-0.040	0.065	-0.129
YOL048C	0.004	-0.040	-0.075	0.032
YOR314W	-0.003	-0.040	-0.059	-0.016
YPL073C	-0.105	-0.040	-0.053	-0.636
YPL185W	-0.023	-0.040	-0.005	0.003
YPL225W	0.090	-0.040	0.154	-0.150
YBR022W	-0.012	-0.039	0.023	-0.274
YDL180W	0.009	-0.039	0.065	-0.069
YDR033W	-0.044	-0.039	0.013	-0.040
YEL009C	0.012	-0.039	0.027	0.034
YER040W	0.339	-0.039	0.264	1.076
YER085C	0.035	-0.039	-0.055	0.084
YGR117C	-0.103	-0.039	0.138	-0.076
YGR157W	-0.088	-0.039	0.047	-0.209
YIL053W	-0.159	-0.039	0.023	0.265
YJR099W	0.039	-0.039	-0.045	0.037
YJR147W	0.010	-0.039	-0.067	-0.028
YKR035C	-0.175	-0.039	0.013	-0.118
YLR118C	0.004	-0.039	0.024	-0.045
YMR077C	-0.007	-0.039	NaN	0.060
YMR233W	-0.064	-0.039	-0.059	-0.071
YOR053W	-0.005	-0.039	-0.010	-0.016
YOR129C	-0.045	-0.039	0.098	-0.059
YBR018C	-0.040	-0.038	0.054	-0.230
YBR227C	0.012	-0.038	0.044	0.023
YDL050C	0.001	-0.038	-0.011	-0.071
YDR349C	-0.153	-0.038	0.099	-0.239
YER170W	0.001	-0.038	-0.069	-0.024
YJL057C	-0.029	-0.038	-0.053	-0.049
YJL166W	-0.070	-0.038	NaN	-0.037
YJR069C	0.020	-0.038	0.006	0.007
YMR278W	0.002	-0.038	-0.004	-0.034
YOL062C	-0.096	-0.038	-0.065	-0.056
YOR045W	0.027	-0.038	0.013	-0.069
YOR059C	0.033	-0.038	0.022	0.052
YOR114W	-0.034	-0.038	0.017	-0.097
YOR197W	-0.035	-0.038	-0.021	-0.110
YOR324C	-0.031	-0.038	-0.012	-0.087
YBR144C	0.021	-0.037	0.025	0.030
YBR204C	0.000	-0.037	-0.007	0.085
YDR148C	-0.064	-0.037	-0.153	0.082
YDR384C	0.000	-0.037	0.037	0.103
YEL062W	0.145	-0.037	-0.002	0.058
YGR084C	-0.027	-0.037	0.085	-0.072
YJL093C	-0.019	-0.037	-0.020	0.030
YLR059C	0.025	-0.037	0.051	-0.073
YLR176C	-0.197	-0.037	0.165	-0.169
YLR377C	-0.081	-0.037	0.067	-0.015
YOR158W	-0.026	-0.037	0.062	-0.951
YAL058W	0.154	-0.036	0.326	0.292
YBL011W	0.005	-0.036	0.097	-0.030
YCR073C	0.052	-0.036	0.077	-0.043
YDR249C	-0.010	-0.036	0.025	0.164
YDR250C	0.036	-0.036	-0.063	0.130
YER131W	0.343	-0.036	0.137	0.495
YHR097C	0.019	-0.036	0.029	0.025
YJL116C	-0.031	-0.036	-0.151	-0.028
YJR119C	-0.086	-0.036	-0.027	-0.056
YNL134C	-0.025	-0.036	-0.024	-0.045
YOR175C	-0.014	-0.036	-0.035	0.061
YPL222W	-0.046	-0.036	-0.049	-0.097
YPR150W	-0.110	-0.036	0.032	-0.124
YBR047W	-0.105	-0.035	-0.059	-0.100
YBR141C	-0.075	-0.035	-0.054	-0.202
YBR276C	-0.042	-0.035	-0.073	0.013
YDL018C	-0.047	-0.035	0.033	-0.173
YDR273W	0.021	-0.035	0.006	0.022
YEL020C	0.071	-0.035	-0.036	-0.012
YER010C	0.043	-0.035	0.068	0.083
YHR181W	-0.175	-0.035	-0.070	-0.467
YIL086C	0.010	-0.035	-0.005	-0.058
YJL004C	0.124	-0.035	0.089	0.019
YJL016W	-0.005	-0.035	-0.029	-0.003
YMR320W	0.014	-0.035	0.119	0.045
YPL177C	-0.016	-0.035	0.028	-0.059
YPL274W	-0.036	-0.035	-0.103	-0.010
YBL012C	-0.029	-0.034	0.124	-0.116
YBR292C	0.032	-0.034	-0.002	0.045
YGL096W	-0.080	-0.034	-0.008	0.123
YGL248W	-0.009	-0.034	-0.002	0.069
YJL068C	0.029	-0.034	-0.075	-0.012
YJL159W	0.076	-0.034	-0.025	-0.022
YJR152W	0.053	-0.034	-0.029	-0.031
YLR113W	-0.052	-0.034	-0.083	-0.337
YMR147W	-0.065	-0.034	-0.012	-0.038
YNL140C	0.013	-0.034	0.044	-0.034
YOR297C	0.066	-0.034	0.004	0.123
YOR337W	-0.052	-0.034	-0.014	-0.319
YBR007C	-0.081	-0.033	-0.021	0.061
YBR068C	0.031	-0.033	0.003	0.036
YBR169C	-0.067	-0.033	0.010	-0.073
YDR248C	-0.014	-0.033	0.003	0.047
YEL047C	0.070	-0.033	-0.033	-0.028
YEL048C	0.021	-0.033	0.033	-0.113
YJL084C	-0.017	-0.033	-0.020	-0.049
YJR009C	0.077	-0.033	-0.033	0.008
YLL020C	-0.048	-0.033	-0.002	0.007
YLR006C	0.018	-0.033	-0.003	-0.121
YMR306W	-0.002	-0.033	-0.052	0.039
YOR052C	0.074	-0.033	0.020	0.042
YOR130C	-0.045	-0.033	0.022	-0.012
YPL110C	-0.051	-0.033	-0.042	-0.087
YBL067C	0.033	-0.032	0.081	-0.396
YBR051W	0.071	-0.032	0.135	0.016
YDL213C	-0.142	-0.032	NaN	-1.358
YDR084C	-0.031	-0.032	0.028	-0.011
YDR256C	0.042	-0.032	-0.021	0.334
YIL057C	0.050	-0.032	-0.053	0.174
YIL157C	-0.035	-0.032	0.091	0.129
YJR019C	-0.035	-0.032	-0.035	-0.085
YMR177W	-0.043	-0.032	0.062	0.019
YDR089W	-0.044	-0.031	0.102	0.048
YER166W	0.077	-0.031	-0.002	0.125
YHR075C	-0.064	-0.031	0.000	-0.032
YIL121W	0.103	-0.031	0.014	0.170
YML048W	0.021	-0.031	0.176	-0.229
YOR163W	-0.037	-0.031	0.041	-0.003
YOR170W	-0.146	-0.031	0.046	-0.074
YOR267C	-0.068	-0.031	0.012	0.036
YOR296W	-0.027	-0.031	0.006	0.061
YBR148W	-0.011	-0.030	-0.046	-0.085
YBR293W	-0.071	-0.030	0.001	0.056
YEL028W	0.024	-0.030	0.009	-0.024
YGR183C	-0.020	-0.030	0.130	0.099
YHR115C	-0.034	-0.030	-0.012	-0.043
YHR140W	0.059	-0.030	-0.001	-0.016
YHR151C	-0.070	-0.030	0.068	-0.051
YJL118W	-0.004	-0.030	0.004	-0.017
YLR349W	-0.032	-0.030	0.085	0.120
YMR122C	-0.012	-0.030	0.007	-0.007
YNL193W	0.033	-0.030	-0.085	-0.032
YNL206C	-0.048	-0.030	0.064	-0.002
YOL030W	-0.007	-0.030	0.049	-0.022
YOL079W	0.030	-0.030	0.010	0.180
YOR172W	-0.006	-0.030	-0.022	0.060
YPL037C	-0.036	-0.030	-0.045	0.064
YPL070W	-0.056	-0.030	0.024	-0.586
YPL181W	0.141	-0.030	-0.040	0.287
YBL062W	-0.042	-0.029	0.038	-0.319
YBR013C	-0.030	-0.029	0.043	0.035
YCR032W	-0.096	-0.029	-0.083	-0.035
YCR075C	-0.003	-0.029	0.014	-0.119
YDR247W	0.155	-0.029	0.073	0.367
YHL010C	-0.075	-0.029	-0.001	0.072
YIR003W	0.026	-0.029	0.105	0.009
YJL142C	0.012	-0.029	0.051	-0.078
YJR010W	0.005	-0.029	0.070	-0.124
YLR081W	-0.023	-0.029	-0.061	-0.042
YMR040W	0.033	-0.029	NaN	-0.001
YMR318C	-0.010	-0.029	-0.003	-0.051
YNL097C	0.081	-0.029	-0.064	0.438
YOR363C	-0.002	-0.029	-0.100	-0.020
YBL042C	-0.055	-0.028	0.150	0.547
YBL096C	0.022	-0.028	0.038	-0.068
YBR183W	0.075	-0.028	0.046	-0.038
YBR218C	0.094	-0.028	0.063	0.139
YDL080C	0.035	-0.028	0.145	-0.684
YEL017C-A	0.015	-0.028	0.046	-0.018
YIL056W	-0.039	-0.028	-0.038	0.034
YJR098C	-0.002	-0.028	0.015	-0.008
YLR324W	0.017	-0.028	0.156	-0.020
YML099C	0.042	-0.028	-0.171	-0.088
YMR153W	0.055	-0.028	0.012	-0.003
YOL002C	-0.003	-0.028	-0.046	-0.036
YPL116W	0.004	-0.028	-0.056	-0.023
YBL037W	0.012	-0.027	0.086	0.105
YBL075C	-0.006	-0.027	0.006	-0.073
YDL173W	0.038	-0.027	0.005	0.004
YGL226W	-0.089	-0.027	0.129	-0.055
YGR209C	0.032	-0.027	0.053	0.142
YJL071W	0.042	-0.027	-0.072	0.082
YJL181W	-0.024	-0.027	-0.079	0.019
YJL198W	-0.025	-0.027	0.077	-0.034
YML101C	0.046	-0.027	-0.086	-0.006
YNL301C	-0.003	-0.027	-0.041	0.090
YNR021W	0.095	-0.027	0.074	0.051
YNR033W	-0.007	-0.027	-0.057	-0.038
YOR032C	-0.024	-0.027	-0.073	-0.013
YOR065W	-0.062	-0.027	-0.086	0.133
YOR348C	-0.051	-0.027	0.017	-0.069
YAR002C-A	0.007	-0.026	-0.047	0.071
YDL051W	-0.009	-0.026	-0.059	-0.059
YJL110C	0.030	-0.026	-0.110	0.008
YKL185W	0.029	-0.026	0.038	-0.008
YLR099C	0.033	-0.026	0.119	-0.014
YOR253W	-0.019	-0.026	0.098	-0.044
YPL112C	-0.045	-0.026	0.043	-0.017
YPR124W	0.771	-0.026	NaN	-0.493
YDL071C	-0.110	-0.025	0.062	-0.296
YDR026C	0.011	-0.025	0.037	0.052
YER149C	0.060	-0.025	0.064	0.103
YJR021C	-0.015	-0.025	0.047	-0.058
YLL058W	-0.058	-0.025	-0.120	-0.028
YML131W	0.013	-0.025	0.047	-0.079
YNL041C	-0.257	-0.025	0.074	-0.967
YNL056W	0.027	-0.025	0.007	0.484
YOR017W	0.014	-0.025	0.065	0.077
YOR240W	0.018	-0.025	-0.033	-0.014
YDL169C	-0.029	-0.024	-0.001	-0.023
YDR198C	-0.059	-0.024	0.045	-0.103
YFL014W	0.037	-0.024	-0.020	0.096
YHR009C	-0.048	-0.024	-0.033	0.114
YJR100C	-0.017	-0.024	-0.030	0.017
YLR348C	-0.006	-0.024	0.072	0.090
YMR252C	0.078	-0.024	0.055	0.001
YNL155W	-0.010	-0.024	0.029	-0.084
YNL242W	-0.014	-0.024	-0.057	-0.017
YNL281W	0.004	-0.024	-0.032	-0.037
YOR042W	0.015	-0.024	0.023	-0.006
YOR068C	0.007	-0.024	0.017	-0.034
YPL071C	0.033	-0.024	0.014	-0.619
YIL167W	-0.025	-0.023	-0.092	0.112
YJL103C	-0.014	-0.023	0.072	0.053
YJR036C	-0.009	-0.023	0.029	-0.080
YKL109W	-0.061	-0.023	0.145	0.285
YKL174C	-0.019	-0.023	-0.038	-0.060
YLR034C	-0.053	-0.023	-0.007	-0.005
YOL043C	0.027	-0.023	-0.032	-0.010
YPL015C	-0.092	-0.023	-0.009	-0.104
YPL176C	0.013	-0.023	0.061	0.007
YAL066W	-0.088	-0.022	NaN	-0.106
YBR159W	-0.082	-0.022	0.065	0.080
YDL010W	-0.053	-0.022	0.070	-0.116
YDL020C	-0.268	-0.022	-0.028	-0.379
YDL070W	-0.188	-0.022	0.021	-0.337
YEL056W	0.005	-0.022	0.009	-0.072
YGL140C	-0.113	-0.022	-0.017	-0.002
YGL259W	-0.015	-0.022	0.034	0.037
YLR044C	0.129	-0.022	NaN	NaN
YLR273C	-0.087	-0.022	-0.003	-0.024
YLR288C	-0.212	-0.022	-0.930	-0.367
YLR325C	0.011	-0.022	0.007	0.097
YML066C	0.062	-0.022	0.013	0.028
YMR254C	0.037	-0.022	0.003	-0.045
YNL266W	-0.017	-0.022	-0.054	0.005
YOL060C	0.008	-0.022	-0.068	-0.171
YOR219C	-0.040	-0.022	0.012	0.032
YOR351C	-0.013	-0.022	0.009	-0.016
YPL001W	0.057	-0.022	-0.020	-0.004
YPL079W	0.022	-0.022	-0.008	-0.369
YDL184C	0.007	-0.021	0.000	-0.021
YLR015W	-0.106	-0.021	0.003	-0.212
YLR154C	-0.199	-0.021	-0.018	-0.233
YML083C	-0.021	-0.021	0.020	-0.235
YMR238W	0.246	-0.021	-0.019	0.244
YMR302C	-0.017	-0.021	-0.003	0.007
YOR124C	-0.042	-0.021	0.003	-0.132
YBR278W	-0.066	-0.020	0.002	-0.010
YDL157C	-0.032	-0.020	-0.037	-0.047
YDR057W	-0.152	-0.020	-0.059	-0.296
YFL021W	-0.003	-0.020	0.043	0.002
YGR121C	0.001	-0.020	0.034	-0.037
YGR219W	0.272	-0.020	NaN	0.768
YGR248W	-0.023	-0.020	0.082	-0.056
YHR160C	-0.008	-0.020	-0.006	-0.004
YJL107C	0.031	-0.020	-0.055	0.099
YKR007W	-0.123	-0.020	0.087	-0.359
YNL072W	-0.107	-0.020	-0.086	-0.133
YOR101W	-0.009	-0.020	0.070	-0.050
YOR246C	-0.075	-0.020	0.070	0.017
YPR066W	-0.050	-0.020	0.008	0.315
YBL064C	0.020	-0.019	0.061	-0.705
YCR060W	0.168	-0.019	0.085	0.038
YEL006W	0.050	-0.019	0.053	0.038
YER163C	-0.027	-0.019	-0.080	0.023
YFR054C	0.044	-0.019	0.077	0.040
YGL216W	-0.092	-0.019	0.068	-0.057
YGR166W	-0.321	-0.019	0.094	-0.216
YHR124W	0.006	-0.019	-0.030	0.053
YJL030W	0.096	-0.019	0.005	0.076
YJR073C	-0.022	-0.019	-0.024	-0.305
YKR034W	-0.063	-0.019	0.074	-0.229
YLR111W	0.102	-0.019	0.077	0.228
YLR343W	-0.005	-0.019	-0.125	-0.023
YMR291W	-0.006	-0.019	0.062	0.072
YNL257C	0.005	-0.019	0.071	0.228
YOL042W	0.020	-0.019	-0.016	-0.007
YOR338W	0.127	-0.019	0.037	0.024
YPL144W	0.109	-0.019	0.110	0.222
YPL147W	-0.029	-0.019	-0.022	-0.017
YBL010C	-0.012	-0.018	0.066	0.090
YBR009C	-0.068	-0.018	NaN	0.173
YDR107C	0.060	-0.018	-0.038	0.088
YDR230W	-0.069	-0.018	0.153	0.206
YEL066W	0.003	-0.018	0.003	0.021
YIL112W	0.222	-0.018	-0.001	-0.068
YKR047W	-0.032	-0.018	-0.048	-0.270
YLL013C	-0.096	-0.018	0.105	-0.352
YLL054C	0.011	-0.018	0.052	0.010
YLR098C	0.008	-0.018	-0.064	-0.006
YLR345W	-0.047	-0.018	0.087	-0.033
YML100W	0.017	-0.018	-0.167	-0.123
YNL202W	-0.047	-0.018	0.003	-0.072
YOR200W	-0.082	-0.018	NaN	0.118
YPR154W	-0.078	-0.018	-0.002	-0.159
YAR015W	0.100	-0.017	-0.072	0.342
YBL052C	-0.100	-0.017	0.057	-0.163
YBR057C	-0.185	-0.017	-0.040	-0.102
YBR216C	0.095	-0.017	0.102	-0.337
YCR014C	0.012	-0.017	0.088	0.073
YDR374C	-0.003	-0.017	-0.034	0.033
YDR522C	0.174	-0.017	NaN	NaN
YER027C	-0.021	-0.017	-0.025	-0.042
YKL085W	-0.087	-0.017	0.050	-0.007
YLL016W	-0.016	-0.017	0.020	-0.018
YNR045W	0.178	-0.017	0.021	0.363
YOL003C	-0.021	-0.017	-0.035	0.051
YOR115C	0.023	-0.017	0.049	-0.082
YPL133C	0.037	-0.017	-0.001	0.097
YPL187W	0.021	-0.017	0.012	0.017
YDL094C	-0.082	-0.016	0.019	0.226
YDL142C	0.064	-0.016	0.149	0.165
YDR093W	-0.028	-0.016	0.080	0.162
YDR098C	-0.008	-0.016	0.025	0.132
YDR251W	-0.013	-0.016	-0.064	0.032
YHR138C	0.020	-0.016	0.002	0.054
YHR143W	-0.022	-0.016	0.133	0.099
YIL024C	0.032	-0.016	-0.011	0.064
YIL032C	0.085	-0.016	-0.033	0.199
YLR415C	-0.100	-0.016	0.033	-0.010
YOR126C	-0.042	-0.016	-0.009	-0.016
YOR188W	0.014	-0.016	0.002	-0.042
YOR365C	-0.008	-0.016	0.009	-0.031
YPL081W	-0.059	-0.016	0.004	-0.090
YPR002W	-0.131	-0.016	-0.003	-0.080
YDL168W	-0.071	-0.015	0.054	0.041
YHR153C	-0.009	-0.015	-0.048	-0.008
YHR163W	-0.045	-0.015	0.094	-0.073
YHR206W	-0.046	-0.015	-0.018	-0.466
YIL094C	0.021	-0.015	-0.020	0.054
YLL060C	-0.039	-0.015	-0.050	-0.068
YML088W	0.049	-0.015	-0.052	-0.198
YOR071C	0.007	-0.015	0.080	0.050
YOR386W	0.003	-0.015	0.073	-0.003
YPL066W	0.030	-0.015	0.100	0.002
YPL100W	-0.042	-0.015	-0.034	0.006
YPL265W	0.121	-0.015	0.026	0.257
YBR128C	0.202	-0.014	0.114	0.286
YBR145W	-0.019	-0.014	0.008	-0.084
YCR030C	-0.058	-0.014	-0.018	0.045
YCR090C	-0.002	-0.014	-0.016	0.107
YDL231C	-0.013	-0.014	0.000	0.007
YDR090C	-0.005	-0.014	0.041	0.056
YDR278C	0.054	-0.014	0.057	0.211
YDR537C	-0.068	-0.014	0.018	-0.307
YJR075W	-0.181	-0.014	0.089	-0.496
YJR120W	-0.143	-0.014	0.062	-0.021
YMR258C	0.186	-0.014	-0.073	0.017
YBR186W	0.050	-0.013	-0.073	0.110
YCR043C	-0.050	-0.013	0.056	-0.195
YGL124C	0.138	-0.013	0.109	0.125
YGR007W	-0.034	-0.013	0.118	-0.298
YHR086W	0.015	-0.013	-0.006	0.012
YHR094C	0.030	-0.013	0.004	-0.033
YHR136C	0.033	-0.013	-0.007	-0.023
YIL123W	0.051	-0.013	0.103	0.320
YJL088W	0.037	-0.013	0.012	0.181
YPL054W	-0.083	-0.013	0.034	-0.120
YPL109C	-0.053	-0.013	0.032	-0.015
YPR011C	0.017	-0.013	0.004	0.068
YPR147C	-0.056	-0.013	0.088	-0.090
YCL046W	-0.071	-0.012	0.012	-0.063
YCR023C	-0.013	-0.012	0.039	0.008
YDR336W	-0.017	-0.012	0.036	0.123
YDR399W	0.089	-0.012	-0.024	0.092
YFL011W	0.055	-0.012	0.039	0.042
YGR231C	0.130	-0.012	0.065	0.303
YHR112C	-0.071	-0.012	-0.023	-0.050
YLR043C	-0.011	-0.012	NaN	NaN
YLR450W	-0.011	-0.012	0.073	-0.003
YOL068C	-0.075	-0.012	-0.082	-0.046
YOR140W	0.082	-0.012	0.087	0.048
YOR152C	-0.014	-0.012	0.008	0.088
YOR248W	-0.041	-0.012	-0.062	0.140
YOR318C	-0.024	-0.012	0.103	-0.041
YPL067C	-0.055	-0.012	-0.059	-0.154
YPL105C	0.014	-0.012	0.040	0.039
YBR203W	0.066	-0.011	0.035	-0.011
YBR223C	0.110	-0.011	0.119	0.050
YCL022C	0.021	-0.011	0.009	0.081
YDR340W	0.071	-0.011	0.037	0.029
YGL004C	-0.054	-0.011	0.018	0.005
YGR053C	0.010	-0.011	0.048	0.074
YIL168W	-0.078	-0.011	-0.049	0.093
YKL116C	-0.046	-0.011	0.041	-0.371
YLR328W	-0.004	-0.011	0.130	0.041
YMR230W	0.619	-0.011	NaN	NaN
YOR377W	-0.086	-0.011	0.022	-0.116
YBL019W	0.017	-0.010	0.138	0.004
YBR046C	-0.059	-0.010	0.024	0.022
YDR209C	-0.077	-0.010	-0.022	-0.386
YHR106W	0.003	-0.010	-0.048	-0.018
YHR182W	0.012	-0.010	0.104	0.011
YIL092W	-0.086	0.042	-0.009	0.088
YJR066W	-0.073	-0.010	0.035	0.025
YJR094C	-0.024	-0.010	-0.041	-0.033
YJR110W	-0.030	-0.010	-0.020	-0.060
YLR084C	-0.044	-0.010	0.097	0.063
YLR137W	0.021	-0.010	0.061	0.077
YLR436C	0.079	-0.010	-0.038	0.108
YML103C	0.069	-0.010	-0.351	-0.271
YML106W	-0.067	-0.010	-0.104	-0.129
YNL108C	-0.080	-0.010	0.003	-0.014
YNL144C	-0.024	-0.010	0.067	0.029
YNL268W	0.069	-0.010	0.073	-0.071
YOR274W	0.162	-0.010	0.090	0.067
YOR275C	0.109	-0.010	-0.037	0.254
YPL032C	0.055	-0.010	-0.013	0.046
YAL055W	0.079	-0.009	0.014	0.012
YBR164C	0.098	-0.009	0.108	0.036
YDR219C	0.049	-0.009	0.219	0.030
YHR139C	0.032	-0.009	0.042	0.021
YIL085C	-0.052	-0.009	-0.040	-0.027
YJL070C	0.007	-0.009	-0.080	-0.014
YKL090W	-0.002	-0.009	0.003	0.059
YKR019C	0.025	-0.009	0.241	-0.110
YLR049C	0.034	-0.009	NaN	NaN
YLR350W	-0.045	-0.009	0.087	0.079
YML084W	-0.042	-0.009	-0.059	-0.259
YNL253W	0.015	-0.009	0.002	0.043
YOR166C	-0.073	-0.009	0.008	-0.019
YPL114W	0.001	-0.009	0.019	0.005
YPL161C	0.260	-0.009	0.278	0.732
YCR020C	0.008	-0.008	0.002	-0.007
YDR451C	-0.225	-0.008	-0.055	-0.382
YER002W	0.216	-0.008	0.111	0.455
YGR224W	0.050	-0.008	0.035	0.042
YIL101C	0.048	-0.008	-0.082	0.077
YKL091C	-0.004	-0.008	0.006	-0.106
YKL179C	-0.086	-0.008	0.072	-0.201
YLR232W	-0.002	-0.008	0.128	-0.063
YMR232W	0.011	-0.008	0.025	0.012
YNL211C	0.028	-0.008	0.026	-0.061
YOL027C	0.117	-0.008	0.339	0.238
YOR380W	0.002	-0.008	0.064	-0.033
YPR060C	-0.080	-0.008	0.063	-0.007
YDL187C	-0.031	-0.007	0.040	-0.031
YHR110W	-0.035	-0.007	-0.029	-0.007
YHR171W	0.012	-0.007	0.037	0.047
YIL069C	0.084	-0.007	-0.009	0.319
YJR096W	-0.034	-0.007	-0.016	-0.040
YPL025C	0.007	-0.007	0.067	-0.009
YBL054W	-0.098	-0.006	0.034	-0.200
YBR296C	0.152	-0.006	-0.034	0.144
YCL002C	-0.026	-0.006	0.055	-0.010
YGR058W	-0.307	-0.006	0.111	-0.228
YHR117W	-0.004	-0.006	-0.016	0.018
YJR031C	0.016	-0.006	0.062	-0.049
YLL029W	-0.069	-0.006	-0.013	-0.148
YLL057C	-0.009	-0.006	-0.093	-0.011
YLR028C	-0.030	-0.006	-0.033	-0.110
YPL052W	-0.016	-0.006	0.005	-0.061
YPR003C	-0.036	-0.006	0.008	-0.106
YDL091C	0.078	-0.005	-0.026	0.009
YDR121W	-0.136	-0.005	0.002	-0.147
YDR178W	-0.018	-0.005	-0.116	0.028
YGL082W	-0.023	-0.005	-0.046	0.097
YGL252C	0.169	-0.005	0.260	0.696
YLR037C	0.001	-0.005	-0.077	-0.086
YLR437C	0.072	-0.005	-0.013	0.129
YMR075C-A	-0.084	-0.005	-0.018	-0.462
YOR193W	-0.001	-0.005	0.040	-0.030
YPL158C	0.064	-0.005	0.162	-0.097
YEL030W	-0.008	-0.004	0.023	0.033
YIL148W	0.157	-0.004	0.113	0.197
YJL209W	-0.016	-0.004	0.002	-0.190
YLR266C	-0.044	-0.004	0.088	0.003
YMR031C	-0.022	-0.004	-0.178	0.197
YOR223W	-0.084	-0.004	-0.085	-0.078
YOR283W	0.037	-0.004	0.011	-0.045
YPR091C	0.039	-0.004	0.014	0.029
YBL055C	0.014	-0.003	0.036	-0.060
YBR113W	-0.032	-0.003	-0.029	0.086
YBR139W	-0.003	-0.003	0.008	-0.071
YBR173C	0.058	-0.003	0.051	-0.024
YCR095C	-0.010	-0.003	0.062	0.313
YDR015C	-0.034	-0.003	0.091	0.055
YDR036C	-0.008	-0.003	0.058	-0.005
YER174C	0.008	-0.003	-0.071	-0.006
YGL230C	0.017	-0.003	-0.005	0.008
YGL256W	-0.048	-0.003	-0.009	0.053
YNL076W	-0.028	-0.003	-0.054	-0.390
YNL323W	0.384	-0.003	NaN	0.778
YOL072W	0.173	-0.003	-0.045	-0.437
YOR011W	0.013	-0.003	0.001	0.005
YPL036W	0.071	-0.003	0.001	-0.004
YPL053C	-0.149	-0.003	-0.097	-0.204
YPL113C	-0.081	-0.003	0.000	0.012
YBL009W	0.004	-0.002	0.000	0.012
YBL061C	-0.071	-0.002	0.050	-0.109
YBL065W	-0.008	-0.002	0.080	0.045
YDL110C	0.041	-0.002	-0.032	0.110
YIR004W	0.083	-0.002	0.147	0.145
YIR016W	0.017	-0.002	0.007	-0.021
YJL121C	0.140	-0.002	0.022	0.313
YKL097C	0.014	-0.002	0.072	-0.009
YKL159C	-0.199	-0.002	0.062	-0.212
YLR050C	-0.069	-0.002	-0.089	-0.072
YLR271W	-0.015	-0.002	0.046	-0.011
YMR272C	0.065	-0.002	0.013	0.016
YNL121C	-0.039	-0.002	0.013	-0.147
YNL249C	-0.047	-0.002	-0.021	0.003
YOL058W	0.018	-0.002	-0.061	0.045
YOL085C	0.003	-0.002	0.028	0.015
YOR222W	0.001	-0.002	-0.014	0.029
YOR376W	0.014	-0.002	-0.040	0.027
YBL095W	-0.035	-0.001	0.104	-0.113
YDL078C	0.053	-0.001	0.024	0.002
YDR371W	-0.062	-0.001	0.009	-0.122
YLR041W	-0.009	-0.001	-0.035	-0.036
YPL092W	-0.042	-0.001	-0.084	-0.038
YBL094C	-0.032	0.000	0.000	-0.097
YDL086W	0.044	0.000	-0.035	0.094
YGL114W	-0.114	0.000	0.071	-0.184
YGR055W	0.180	0.000	0.003	0.263
YIL067C	0.151	0.000	-0.072	0.195
YJL027C	-0.091	0.000	0.049	-0.104
YLR110C	0.250	0.000	NaN	0.799
YOL160W	0.049	0.000	0.006	0.061
YOR208W	-0.035	0.000	-0.022	-0.012
YOR226C	-0.004	0.000	-0.025	0.012
YBL015W	-0.003	0.001	0.001	0.089
YBR230C	0.090	0.001	-0.035	0.160
YDR205W	-0.012	0.001	-0.011	-0.103
YGL039W	0.016	0.001	0.030	0.044
YGL260W	0.005	0.001	-0.007	0.073
YGL263W	0.024	0.001	-0.011	0.040
YGR193C	0.020	0.001	-0.070	0.330
YHR157W	0.014	0.001	-0.017	-0.017
YHR202W	-0.008	0.001	-0.017	-0.073
YIL054W	-0.020	0.001	-0.123	0.010
YJR079W	-0.118	0.001	0.092	0.108
YJR148W	0.017	0.001	-0.031	0.064
YKL150W	0.005	0.001	0.088	0.067
YLR152C	-0.151	0.001	0.092	-0.303
YML096W	0.049	0.001	-0.094	-0.286
YOR327C	-0.021	0.001	0.119	-0.188
YOR381W	0.003	0.001	0.029	0.036
YPL111W	-0.003	0.001	0.013	-0.025
YPR077C	-0.086	0.001	-0.019	-0.040
YBL017C	-0.092	0.002	0.050	-0.247
YDL011C	-0.011	0.002	0.020	-0.112
YDR415C	0.095	0.002	0.010	0.055
YHR126C	-0.052	0.002	0.017	-0.029
YML100W-A	0.110	0.002	-0.080	0.054
YPR046W	-0.050	0.002	-0.006	0.084
YBL002W	-0.098	0.003	0.071	-0.125
YBL069W	-0.021	0.003	0.029	-0.063
YCL001W	-0.074	0.003	0.031	-0.243
YCL013W	0.062	0.003	0.015	0.100
YDR346C	-0.088	0.003	-0.051	-0.011
YDR457W	-0.045	0.003	0.076	0.364
YJL007C	0.146	0.003	-0.137	0.513
YKL151C	0.032	0.003	0.012	0.072
YMR139W	-0.014	0.003	0.022	0.149
YMR310C	0.194	0.003	0.044	-0.082
YNL300W	0.027	0.003	0.016	0.066
YPL019C	0.002	0.003	-0.098	0.028
YPL064C	-0.033	0.003	0.041	-0.088
YPL132W	0.006	0.003	NaN	0.153
YBR120C	0.033	0.004	0.019	0.070
YBR147W	-0.006	0.004	-0.022	-0.024
YBR188C	0.023	0.004	-0.001	-0.021
YCL027W	0.014	0.004	0.078	0.094
