orf	hap a/hap alpha | growth (colony size) | standard [standard] | Baryshnikova A~Myers CL, 2010
YDR476C	1.008667
YDR477W	0.486854
YDR479C	1.090614
YDR480W	1.044856
YDR481C	1.049391
YDR482C	1.015101
YDR483W	1.041688
YDR484W	0.489391
YDR485C	0.955524
YDR486C	1.021715
YDR488C	0.980889
YDR490C	1.007282
YDR491C	1.055072
YDR492W	1.036893
YDR493W	0.98496
YDR494W	1.040388
YDR495C	0.479198
YDR496C	0.833475
YDR497C	1.023168
YDR500C	0.610175
YDR501W	1.065864
YDR502C	0.993885
YDR503C	1.030917
YDR504C	1.03861
YDR505C	0.983524
YDR506C	0.982831
YDR507C	1.014262
YDR508C	0.984749
YDR509W	0.948096
YDR511W	1.030838
YDR512C	0.751791
YDR513W	1.003071
YDR514C	1.041921
YDR515W	1.017074
YDR516C	1.008528
YDR517W	1.035455
YDR518W	1.020545
YDR519W	1.029106
YDR520C	0.917989
YDR522C	0.983215
YDR523C	1.012085
YDR524C	0.999368
YDR524C-B	0.971218
YDR524W-C	0.944426
YDR525W	0.97327
YDR525W-A	0.98095
YDR528W	1.053723
YDR529C	0.65738
YDR530C	1.057622
YDR532C	0.409006
YDR533C	1.034957
YDR534C	1.018291
YDR535C	0.975355
YDR536W	1.020042
YDR537C	0.990457
YDR538W	1.06646
YDR539W	0.996765
YDR540C	1.010304
YDR541C	1.048163
YDR542W	1.152924
YDR545W	1.004065
YER042W	1.003709
YER044C	0.313257
YER045C	1.035082
YER046W	1.035297
YER047C	0.941418
YER048C	0.98992
YER049W	0.999654
YER050C	0.617488
YER051W	1.046379
YER052C	0.969153
YER053C	1.046939
YER053C-A	1.034019
YER054C	1.058009
YER056C	1.004115
YER056C-A	0.715826
YER057C	1.008876
YER058W	0.75828
YER059W	0.949704
YER060W	1.013088
YER060W-A	1.027175
YER061C	0.742029
YER062C	1.01481
YER063W	1.049876
YER064C	1.104053
YER065C	1.030637
YER066W	1.013598
YER067W	1.007292
YER068W	0.500667
YER071C	1.010477
YER072W	0.958935
YER073W	1.042151
YER074W	0.635652
YER076C	1.041569
YER077C	0.342964
YER078C	0.95424
YER078W-A	1.068468
YER079W	1.038016
YER080W	1.034158
YER081W	0.998483
YER083C	0.727233
YER084W	0.988525
YER085C	1.016023
YER086W	0.304314
YER087C-B	1.004638
YER087W	0.243123
YER088C	1.071607
YER089C	1.056126
YER090W	0.975381
YER091C	0.966023
YER091C-A	1.016261
YER092W	0.834145
YER093C-A	1.005889
YER095W	0.834953
YER096W	1.018264
YER097W	1.008574
YER098W	0.975429
YER099C	1.021614
YER100W	1.020534
YER101C	1.023876
YER102W	0.70427
YER103W	1.032689
YER106W	1.015034
YER107C	0.475529
YER111C	0.968489
YER113C	1.024273
YER114C	1.026459
YER115C	1.019807
YER116C	0.752586
YER117W	0.32604
YER118C	0.983665
YER119C	1.045206
YER119C-A	0.840146
YER120W	0.947117
YER121W	0.99794
YER122C	0.928092
YER123W	0.983959
YER124C	1.018065
YER128W	1.038409
YER129W	1.034532
YER130C	1.029296
YER131W	0.884715
YER132C	0.981416
YER134C	1.001756
YER135C	0.996572
YER137C	1.039927
YER139C	0.925022
YER140W	0.974668
YER141W	0.672554
YER142C	1.037342
YER143W	1.009395
YER144C	0.975327
YER145C	0.952158
YER149C	1.001337
YER150W	1.016523
YER151C	0.657836
