ORF	hom | growth (culture turbidity) | sodium arsenite [0.2 mM] | Johnson AJ~Wu MJ, 2015	hom | growth (culture turbidity) | sodium arsenite [0.4 mM] | Johnson AJ~Wu MJ, 2015
YDL154W	1.033	0.581
YDL155W	1.014	0.449
YDL156W	1.306	0.657
YDL157C	1.461	0.718
YDL159W-A	0.687	0.996
YDL160C	1.291	1.452
YDL160C-A	0.901	1.099
YDL161W	1.069	0.951
YDL162C	0.859	0.933
YDL167C	1.190	1.740
YDL168W	1.016	0.668
YDL169C	1.232	0.681
YDL170W	1.139	0.844
YDL171C	1.164	1.067
YDL172C	1.218	0.922
YDL173W	1.092	1.107
YDL174C	1.173	1.283
YDL175C	1.084	0.966
YDL176W	0.941	0.600
YDL177C	1.030	0.965
YDL178W	1.015	0.560
YDL179W	1.097	0.911
YDL180W	1.107	0.743
YDL182W	1.145	0.998
YDL183C	1.051	0.419
YDL184C	1.128	1.049
YDL185W	0.936	1.027
YDL186W	1.098	0.664
YDL187C	1.080	1.085
YDL188C	1.152	1.006
YDL189W	0.912	0.360
YDL190C	1.130	0.964
YDL191W	0.783	1.553
YDL192W	1.204	1.238
YDL194W	2.039	2.584
YDL197C	1.171	1.549
YDL198C	0.371	0.330
YDL199C	1.193	1.616
YDL200C	1.186	1.653
YDL201W	1.183	1.684
YDL202W	0.976	0.895
YDL203C	1.043	1.464
YDL204W	1.109	1.782
YDL206W	1.160	1.503
YDL210W	1.177	1.453
YDL211C	1.171	1.521
YDL213C	1.091	0.822
YDL214C	1.147	1.632
YDL215C	1.250	2.017
YDL216C	1.218	1.659
YDL218W	1.267	1.246
YDL219W	1.092	0.997
YDL222C	1.196	1.635
YDL223C	1.152	1.434
YDL224C	1.150	1.750
YDL225W	1.047	1.273
YDL226C	1.109	1.441
YDL227C	1.105	1.625
YDL229W	1.146	1.429
YDL230W	1.142	1.363
YDL231C	1.196	0.634
YDL232W	1.185	1.087
YDL233W	1.184	1.046
YDL234C	1.131	1.221
YDL236W	0.872	0.674
YDL237W	1.106	1.452
YDL238C	1.143	1.200
YDL239C	1.118	1.447
YDL240W	1.222	2.014
YDL241W	1.227	1.171
YDL242W	1.156	0.841
YDL243C	1.209	0.760
YDR001C	1.174	0.682
YDR003W	1.189	1.085
YDR003W-A	2.271	2.879
YDR004W	0.757	0.349
YDR005C	1.149	1.277
YDR006C	1.158	1.531
YDR008C	1.143	1.306
YDR009W	1.248	1.800
YDR010C	1.211	1.500
YDR011W	1.240	1.243
YDR014W	1.197	0.722
YDR015C	1.223	1.254
YDR017C	1.344	1.348
YDR018C	1.174	1.307
YDR019C	1.227	1.570
YDR020C	1.161	1.611
YDR022C	1.057	1.420
YDR024W	0.659	1.038
YDR025W	1.067	2.199
YDR026C	1.215	0.934
YDR027C	0.929	0.546
YDR028C	0.390	0.006
YDR029W	1.172	1.552
YDR030C	1.168	1.680
YDR031W	1.131	1.468
YDR032C	1.160	1.822
YDR033W	1.172	1.616
YDR034C	1.164	1.545
YDR034W-B	1.137	1.060
YDR035W	1.147	1.574
YDR036C	1.106	1.365
YDR042C	1.177	1.739
YDR043C	1.137	1.195
YDR046C	1.081	0.954
YDR048C	1.504	0.809
YDR049W	1.467	2.379
YDR051C	1.448	2.330
YDR055W	1.325	2.111
YDR056C	1.354	2.318
YDR057W	2.219	3.916
YDR058C	0.760	0.545
YDR059C	1.314	2.254
YDR061W	1.165	2.022
YDR063W	1.259	2.081
YDR065W	1.192	1.049
YDR066C	1.519	2.521
YDR067C	1.209	1.533
YDR068W	1.358	2.227
YDR069C	0.537	0.239
YDR070C	1.512	2.445
YDR071C	1.043	0.837
YDR072C	1.084	0.295
