ORF	hom | growth (relative abundance in pooled culture) | decatransin [1.8 uM] | Junne T~Hoepfner D, 2015	het | growth (relative abundance in pooled culture) | decatransin [1.8 uM] | Junne T~Hoepfner D, 2015	hom | growth (relative abundance in pooled culture) | heptadepsipeptide [6.8 uM] | Junne T~Hoepfner D, 2015	het | growth (relative abundance in pooled culture) | heptadepsipeptide [6.8 uM] | Junne T~Hoepfner D, 2015	hom | growth (relative abundance in pooled culture) | HUN-7293 [200 uM] | Junne T~Hoepfner D, 2015	het | growth (relative abundance in pooled culture) | HUN-7293 [200 uM] | Junne T~Hoepfner D, 2015
YBR223C	0.017	0.598	-0.006	-0.154	-0.040	-0.065
YBR224W	-0.693	-0.094	1.089	1.205	0.877	0.031
YBR225W	-0.044	-0.239	0.056	-1.179	0.365	0.010
YBR226C	0.261	0.464	0.237	0.589	0.033	0.007
YBR227C	0.124	0.237	-0.012	-0.450	-0.056	-0.156
YBR228W	-0.055	0.078	-0.022	0.101	0.187	-0.061
YBR229C	-3.303	0.014	-3.055	-0.099	-0.189	-0.099
YBR230C	0.086	-0.114	-0.019	-0.050	0.241	0.285
YBR231C	0.391	-0.706	-0.052	-0.624	0.746	-0.793
YBR232C	0.037	0.143	0.149	0.929	-0.055	-0.037
YBR233W	0.013	-0.172	0.474	2.275	0.530	0.670
YBR234C	NaN	-0.022	NaN	-0.715	NaN	0.021
YBR235W	-0.144	-1.790	2.356	0.015	0.440	0.033
YBR236C	NaN	-0.046	NaN	-0.425	NaN	-0.016
YBR237W	NaN	0.599	NaN	-0.124	NaN	0.158
YBR238C	0.423	0.016	0.418	-0.049	-0.056	1.745
YBR239C	-0.065	-0.377	-0.317	-0.077	0.209	-0.217
YBR240C	0.086	-0.601	0.147	0.358	0.004	-0.300
YBR241C	-0.064	0.308	0.509	-0.050	-0.765	-0.475
YBR242W	-0.040	0.094	-0.027	0.256	-0.045	-0.050
YBR243C	NaN	0.081	NaN	1.143	NaN	-1.642
YBR244W	-0.039	-0.106	0.109	1.088	1.190	-0.322
YBR245C	-0.919	0.318	-0.537	0.528	-0.141	-0.589
YBR246W	0.071	-0.193	-0.701	0.047	0.034	0.053
YBR247C	NaN	0.116	NaN	1.863	NaN	-0.098
YBR248C	-0.005	-0.079	0.241	0.053	-1.069	-0.077
YBR249C	0.153	-0.826	1.066	-0.026	-0.044	-0.053
YBR250W	-1.152	-0.307	-0.214	0.185	0.861	1.072
YBR251W	0.099	-0.017	0.417	-1.660	0.455	-0.093
YBR252W	NaN	-0.782	NaN	1.363	NaN	-0.655
YBR253W	NaN	-0.063	NaN	-0.157	NaN	-0.183
YBR254C	NaN	0.164	NaN	-0.065	NaN	-1.594
YBR255W	0.193	-0.541	0.190	-0.346	0.148	-0.130
YBR256C	NaN	0.706	NaN	0.097	NaN	-0.113
YBR257W	NaN	0.027	NaN	-0.911	NaN	0.178
YBR258C	-0.598	-0.015	0.012	0.053	0.263	-0.123
YBR259W	0.618	0.051	-0.040	-0.082	0.047	0.029
YBR260C	-2.505	-0.085	-4.791	-0.061	0.012	-0.028
YBR261C	0.013	0.501	-0.068	0.039	-0.108	-0.218
YBR262C	-0.507	-0.597	-0.097	0.015	0.196	-0.396
YBR263W	-0.005	-0.457	-1.953	0.002	0.204	-0.011
YBR264C	0.006	-0.068	-0.228	-0.078	0.104	-0.048
YBR265W	NaN	-0.197	NaN	-0.047	NaN	0.484
YBR266C	-0.034	0.113	0.527	1.109	0.037	-0.031
YBR267W	0.520	0.675	-0.030	0.434	0.241	0.020
YBR268W	-0.098	-0.027	0.143	0.011	0.041	-0.462
YBR269C	0.004	-0.103	0.682	0.049	1.627	-0.021
YBR270C	0.560	-0.964	0.567	1.958	-0.019	-0.068
YBR271W	0.404	0.108	0.514	0.116	-2.308	-0.011
YBR272C	-0.235	-0.249	0.052	1.325	-0.078	-0.273
YBR273C	-0.013	0.631	2.350	-0.097	0.067	-0.024
YBR275C	-0.102	0.664	-0.156	-0.418	1.618	-0.045
YBR276C	-0.095	0.394	-0.465	0.351	1.153	-0.157
YBR277C	0.038	0.234	-0.260	0.082	0.140	-0.040
YBR278W	-0.069	0.323	0.058	-0.068	0.182	0.086
YBR279W	-0.006	0.048	-0.009	-0.354	0.059	0.064
YBR280C	1.214	0.190	-0.042	-0.118	2.531	-1.192
YBR281C	0.122	0.794	0.593	-0.007	-0.166	-0.028
YBR282W	NaN	0.253	NaN	-0.893	NaN	-0.624
YBR283C	0.686	0.030	1.262	-0.327	-0.716	-0.015
YBR284W	1.413	0.688	1.448	-0.042	0.458	-0.909
YBR285W	1.446	0.019	-0.015	0.012	0.062	-0.031
YBR286W	0.059	0.148	0.043	-0.024	0.520	-0.167
YBR287W	-0.137	0.522	-0.453	-0.017	0.390	-0.025
YBR288C	-2.927	-0.027	0.009	0.107	-0.387	-0.017
YBR289W	0.295	0.157	-0.338	0.310	0.511	0.168
YBR290W	-0.192	0.231	0.456	-0.016	0.239	-0.059
YBR291C	0.181	0.357	0.286	0.013	0.568	-0.124
YBR292C	-0.929	0.017	0.605	0.075	0.030	-0.051
YBR293W	-0.158	0.035	0.130	-0.537	-0.149	-0.363
YBR294W	-0.069	-0.409	-0.023	0.076	0.028	-0.165
YBR295W	0.074	0.360	0.515	-0.244	0.076	-0.315
YBR296C	-0.674	0.171	1.046	0.200	0.109	-0.126
YBR297W	0.834	-0.266	0.307	-0.000	1.318	0.047
YBR298C	0.523	0.241	0.032	-0.135	0.720	-0.280
YBR299W	-0.071	0.003	-0.056	-1.836	1.066	-0.111
YBR300C	-0.085	-0.272	0.073	0.175	-0.035	-0.136
YBR301W	-0.278	-0.347	-0.264	-0.850	-0.237	0.066
YCL001W	-0.128	-0.626	0.258	-0.569	-0.103	-0.202
YCL001W-A	-0.026	0.153	0.077	0.001	-0.000	0.046
YCL002C	-1.760	0.132	-0.140	0.795	0.152	-2.219
YCL004W	NaN	0.106	NaN	-0.872	NaN	-0.373
YCL005W	-0.187	-3.113	-0.073	-0.191	0.047	-0.342
YCL006C	-0.056	0.062	0.029	-0.207	-2.485	-0.284
YCL007C	-0.002	-0.138	-0.014	0.755	-0.085	-0.461
YCL008C	-5.477	-0.026	-2.850	0.022	-0.077	-1.853
YCL009C	-0.212	-0.927	-0.052	0.235	0.042	-0.510
YCL010C	0.399	-0.031	-0.004	0.673	0.687	-0.195
YCL011C	0.817	1.536	0.396	0.014	-0.160	-1.550
YCL014W	-0.382	0.194	0.020	-0.445	-0.097	0.020
YCL016C	0.063	-0.480	0.671	1.728	-0.019	-0.911
YCL017C	NaN	0.159	NaN	0.395	NaN	-0.396
YCL022C	0.136	0.049	0.995	-0.110	-0.183	-0.056
YCL023C	0.123	0.597	0.258	-0.076	-1.003	-1.296
YCL024W	-0.057	-0.038	-0.218	-0.005	0.533	-1.127
YCL025C	0.886	0.146	-0.152	0.398	0.430	-0.155
YCL026C-A	-0.023	0.215	0.317	2.895	-1.441	-1.001
YCL027W	0.143	0.601	-0.032	0.120	0.053	-1.149
YCL028W	0.204	0.003	0.098	1.495	0.164	-1.259
YCL029C	-0.464	0.263	-0.013	0.006	0.273	-0.776
YCL030C	0.458	0.316	1.437	-0.023	-0.901	-0.182
YCL032W	-0.509	0.283	0.293	0.345	1.168	-0.563
YCL033C	-0.061	0.119	0.033	-0.207	-1.536	-0.383
YCL034W	0.074	-0.030	0.093	-0.009	-1.924	-1.275
YCL035C	0.147	-0.258	-0.909	-1.719	0.047	-0.161
YCL036W	-0.686	0.004	0.097	0.083	-0.071	0.000
YCL037C	0.168	0.710	0.012	0.395	-1.284	-0.754
YCL038C	-0.624	-0.067	1.217	0.047	0.028	-0.135
YCL039W	-0.179	0.155	0.928	0.004	-0.128	-1.063
YCL040W	-0.433	0.025	0.544	0.722	-0.065	-0.792
YCL041C	NaN	-0.418	NaN	-0.100	NaN	-0.503
YCL042W	0.503	0.100	0.849	0.224	0.021	-1.089
YCL043C	NaN	0.061	NaN	0.035	NaN	-2.321
YCL044C	0.062	0.055	0.005	0.873	-0.141	-0.197
YCL045C	-0.010	0.023	0.288	0.159	-0.049	-0.454
YCL046W	-0.048	0.654	-0.067	0.208	-0.002	-0.074
YCL047C	-0.085	0.681	1.630	0.044	-1.237	-2.537
YCL048W	0.352	-0.110	0.184	-0.005	-0.333	-0.208
YCL049C	0.278	0.047	0.152	-0.025	-1.626	-0.318
YCL050C	0.474	-0.003	0.075	0.068	-0.284	-0.353
YCL051W	0.106	-0.023	-0.151	0.004	-0.504	-0.285
YCL052C	NaN	0.004	NaN	0.209	NaN	-0.250
YCL054W	NaN	0.846	NaN	1.486	NaN	-0.807
YCL055W	-0.501	0.081	0.009	-1.271	-0.004	-0.083
YCL056C	-0.102	0.159	0.850	-0.013	-0.069	-0.375
YCL057W	0.100	-0.019	-0.025	-0.027	-0.344	-2.060
YCL058C	0.061	0.043	0.203	0.280	1.505	-0.859
YCL059C	NaN	-0.039	NaN	0.037	NaN	-1.756
YCL060C	0.574	-0.055	0.349	-0.008	0.391	-0.256
YCL061C	0.020	0.130	-0.174	0.014	0.573	-0.274
YCL062W	-0.051	-0.759	0.068	0.974	0.027	-0.218
YCL063W	-0.025	0.309	-0.042	0.027	-0.135	-1.025
YCL064C	0.018	0.059	0.223	0.000	0.180	-0.085
YCL069W	-1.014	0.014	0.441	0.053	-1.523	-0.583
YCL074W	0.127	-1.295	0.116	-0.093	-2.868	-2.174
YCL075W	-0.155	-0.592	0.020	-0.006	-1.653	-1.332
YCL076W	-0.020	-0.291	-0.826	-0.005	0.273	-1.695
YCR001W	-0.079	-0.886	0.364	0.124	-0.008	-0.507
YCR002C	NaN	-0.982	NaN	-0.593	NaN	-0.273
YCR003W	-0.001	-0.046	0.589	0.044	0.011	-0.157
YCR004C	0.228	0.125	0.726	-0.184	0.848	-1.145
YCR005C	-0.059	0.299	0.473	0.186	-0.518	-0.323
YCR006C	-1.634	0.539	0.651	-0.527	-0.005	-0.365
YCR007C	0.720	-1.816	-0.081	0.042	-1.439	-1.357
YCR008W	0.116	0.301	0.393	0.044	0.104	-1.227
YCR009C	-0.098	0.256	-1.432	0.120	-0.164	-1.877
YCR010C	0.018	0.640	0.022	0.022	-1.038	-2.402
YCR011C	0.094	0.096	-0.016	-1.033	0.012	-0.142
YCR012W	NaN	0.002	NaN	0.094	NaN	-0.397
YCR013C	NaN	0.077	NaN	-0.264	NaN	-0.308
YCR014C	-0.142	0.013	1.622	0.400	-1.273	-0.057
YCR015C	0.163	1.410	-0.388	0.294	-0.002	-0.048
YCR016W	0.109	0.094	1.682	-0.167	-0.228	-0.358
YCR017C	-1.026	0.695	-0.519	0.873	-0.029	-1.543
YCR019W	-0.219	-0.123	-0.051	-0.164	0.595	-0.079
YCR020C	0.139	-0.066	0.023	-0.005	-0.200	-0.251
YCR020C-A	0.423	0.116	1.068	0.232	-0.150	-0.102
YCR020W-B	0.247	0.281	-0.169	-0.011	0.178	-0.007
YCR021C	0.010	0.671	-0.027	-0.039	-0.402	-0.078
YCR022C	0.555	0.768	0.668	0.084	0.048	-0.212
YCR023C	-0.013	0.138	0.258	-0.051	-0.066	-0.264
YCR024C	0.327	0.135	-0.011	-0.004	0.868	-0.188
YCR024C-A	0.186	0.436	0.086	-0.081	0.651	-1.058
YCR025C	0.116	0.519	0.217	-0.093	-1.079	-0.683
YCR026C	0.040	-0.021	-0.045	-0.850	-0.025	-0.211
YCR027C	0.207	0.835	-0.063	-0.514	0.006	-0.164
YCR028C	0.003	0.171	0.306	0.065	0.023	0.036
YCR028C-A	0.289	-0.007	1.379	-0.192	0.007	0.002
YCR030C	0.007	0.144	0.147	0.108	-0.013	1.242
YCR031C	0.015	0.602	-0.074	-0.809	-0.200	-0.024
YCR032W	0.005	0.878	0.636	0.271	-0.048	-0.107
YCR033W	-0.246	0.111	0.025	0.058	-0.440	-0.765
YCR034W	-6.563	0.224	-9.653	0.010	-6.960	-0.089
YCR035C	NaN	0.172	NaN	0.048	NaN	-0.154
YCR036W	-0.116	0.404	-0.578	0.063	0.152	-1.095
YCR037C	0.388	0.510	-0.131	-0.020	-0.798	-0.128
YCR043C	-0.114	0.129	0.063	0.689	-0.148	0.010
YCR044C	-2.791	0.879	-2.013	-0.056	-1.316	-0.110
YCR045C	0.176	0.113	0.017	-0.105	-0.021	-0.013
YCR046C	NaN	0.873	NaN	0.121	NaN	-0.098
YCR047C	-1.190	-0.441	0.002	0.061	0.445	-0.065
YCR048W	-0.711	-0.238	0.295	-0.096	-0.813	-2.119
YCR049C	0.172	0.718	0.154	-0.017	0.006	-0.127
YCR050C	0.503	0.853	0.268	0.067	0.015	-0.154
YCR051W	0.095	0.061	1.252	-0.360	0.019	-0.184
YCR052W	NaN	-0.503	NaN	-0.807	NaN	-0.171
YCR053W	0.023	-0.136	0.618	0.024	-1.390	-2.014
YCR054C	NaN	0.274	NaN	0.213	NaN	-0.099
YCR057C	NaN	0.196	NaN	1.596	NaN	-0.142
YCR059C	0.661	0.328	-0.081	0.137	-0.095	-1.772
YCR060W	-0.276	0.055	0.701	0.152	0.717	-0.231
YCR061W	0.205	NaN	0.004	NaN	1.305	NaN
YCR062W	-0.177	-0.275	-0.140	-0.270	-1.645	-0.153
YCR063W	-0.515	0.089	0.487	-0.003	0.021	-0.260
YCR064C	NaN	0.085	NaN	-0.174	NaN	-0.323
YCR065W	0.538	0.173	0.027	1.290	1.677	-0.031
YCR066W	0.309	0.064	-0.127	0.035	0.029	-0.079
YCR067C	0.291	0.207	1.414	-0.054	2.271	-0.143
YCR068W	0.006	0.668	0.028	-0.030	0.240	-0.050
YCR069W	-0.209	0.607	-0.026	-0.055	2.633	-0.573
YCR071C	0.374	0.488	-0.183	0.312	-0.017	-0.014
YCR072C	NaN	0.134	NaN	-0.680	NaN	-0.263
YCR073C	0.042	0.084	0.038	0.094	1.213	-2.001
YCR073W-A	-0.037	0.138	-0.011	-0.005	-0.035	-0.251
YCR075C	-0.811	0.017	-0.458	0.927	0.339	-0.087
YCR076C	-0.148	0.385	-0.186	-0.163	0.472	-0.309
YCR077C	-0.037	0.103	0.791	-0.054	0.175	-0.090
YCR079W	-0.065	0.378	-0.014	0.010	-1.282	-0.006
YCR081W	0.488	0.397	1.731	-0.044	0.006	-0.041
YCR082W	0.026	0.051	0.005	-0.064	0.033	-0.152
YCR083W	-0.191	-0.006	0.144	-0.381	0.358	-0.056
YCR084C	-0.558	0.567	NaN	0.005	-2.202	-0.949
YCR085W	-0.080	0.047	0.745	0.024	-0.000	-0.039
YCR086W	0.130	0.295	-0.052	-0.057	0.470	-0.122
YCR087C-A	0.444	0.019	0.262	-0.021	0.069	-0.543
YCR087W	0.931	0.180	0.450	-0.953	0.839	-0.044
YCR088W	0.322	0.039	0.087	-0.033	0.100	-0.105
YCR089W	0.183	-0.603	0.128	2.403	0.080	-0.397
YCR090C	-1.170	-0.171	0.100	-0.135	0.071	-0.162
YCR091W	-0.159	-0.047	0.083	-0.024	0.007	-0.167
YCR092C	0.415	0.086	0.100	0.415	-0.472	-0.535
YCR093W	NaN	-0.042	NaN	-1.353	NaN	-0.206
YCR094W	-0.934	0.076	-1.064	-0.075	-0.415	-0.108
YCR095C	0.204	0.096	0.151	0.002	-0.071	-0.180
YCR098C	-0.443	0.318	0.021	0.120	-0.006	-1.875
YCR099C	-0.684	0.033	0.272	-0.083	0.860	-0.028
YCR100C	1.135	-0.350	0.025	0.017	0.072	-2.405
YCR101C	-0.144	-0.594	-0.038	-0.010	-1.505	-0.497
YCR102C	0.010	0.075	0.014	0.075	0.749	0.011
YCR102W-A	0.012	-0.001	0.033	0.026	-0.924	-1.291
YCR105W	0.472	-0.655	0.003	0.054	-0.030	-1.752
YCR106W	-0.025	0.074	-0.221	-0.227	-0.175	-0.107
YCR107W	-1.338	0.316	0.478	0.008	0.677	-0.313
YDL001W	-0.161	0.017	0.996	-1.198	-0.412	0.028
YDL002C	-0.098	0.096	-0.291	-0.882	0.496	0.112
YDL003W	NaN	0.474	NaN	-0.216	NaN	0.000
YDL004W	NaN	0.126	NaN	0.008	NaN	0.015
YDL005C	NaN	0.555	NaN	-1.296	NaN	0.426
YDL006W	-1.339	-0.065	-0.402	0.902	-0.359	0.029
YDL007W	NaN	-0.005	NaN	0.819	NaN	-0.401
YDL008W	NaN	0.144	NaN	-0.116	NaN	0.692
YDL009C	0.007	0.823	1.107	-0.213	-0.077	0.141
YDL010W	-0.179	-1.363	-0.012	-0.010	0.185	0.104
YDL011C	0.559	-0.390	0.135	0.659	-1.308	0.212
YDL012C	-0.045	-0.005	0.020	0.027	-1.721	0.009
YDL013W	0.016	0.107	0.935	-1.542	-0.973	0.100
YDL014W	NaN	-0.105	NaN	0.560	NaN	0.233
YDL015C	NaN	-0.017	NaN	-0.018	NaN	1.052
YDL016C	NaN	-0.001	NaN	0.160	NaN	0.063
YDL017W	NaN	-0.091	NaN	0.027	NaN	0.153
YDL018C	-0.467	0.229	-3.914	0.058	-2.858	1.399
YDL019C	1.221	0.928	0.621	0.383	-0.419	0.301
YDL020C	-0.988	-0.114	-1.509	-0.366	-0.547	0.092
YDL021W	-0.285	0.380	-0.382	-0.102	-0.127	0.611
YDL022W	0.189	0.018	2.182	0.003	-0.680	0.714
YDL023C	-1.725	-1.085	-0.260	0.156	-0.425	0.326
YDL024C	0.056	-0.163	-0.013	-1.740	-0.004	-0.019
YDL025C	-0.161	-0.045	0.282	0.087	-0.598	0.307
YDL026W	-0.052	NaN	0.053	NaN	-1.095	NaN
YDL027C	0.135	-0.606	1.242	-0.153	-1.186	2.233
YDL028C	NaN	0.913	NaN	-0.028	NaN	0.908
YDL029W	NaN	0.269	NaN	0.042	NaN	0.044
YDL030W	NaN	0.115	NaN	0.055	NaN	0.284
YDL031W	NaN	0.985	NaN	0.088	NaN	0.756
YDL032W	0.195	-0.013	-0.027	0.361	1.355	0.000
YDL033C	0.034	-0.020	0.181	-1.453	-1.159	0.015
YDL034W	-0.156	-0.180	0.277	-0.259	-0.093	-0.012
YDL035C	0.516	0.158	-0.006	0.013	0.264	0.301
YDL036C	0.248	NaN	0.110	NaN	-0.659	NaN
YDL037C	-0.158	-0.073	0.739	-0.047	-1.021	-0.027
YDL038C	0.108	0.397	1.619	0.168	-0.134	0.216
YDL039C	-0.709	-0.065	-0.019	-0.012	-1.385	1.203
YDL040C	-0.080	-0.284	0.078	0.101	0.511	0.718
YDL041W	-0.003	-0.036	0.096	-0.229	-0.307	0.552
YDL042C	NaN	0.854	NaN	-0.069	NaN	NaN
YDL043C	NaN	0.029	NaN	-0.353	NaN	0.065
YDL044C	-1.592	0.054	0.015	0.430	0.230	1.268
YDL045C	NaN	-0.019	NaN	0.058	NaN	0.598
YDL045W-A	0.182	0.037	NaN	-0.213	-0.495	0.015
YDL046W	0.241	0.302	0.058	0.006	-0.383	0.091
YDL047W	NaN	0.732	NaN	-1.616	NaN	-0.246
YDL048C	0.060	0.064	0.088	0.032	-0.492	0.053
YDL049C	0.027	-0.961	0.002	-0.082	-1.588	0.305
YDL050C	-0.011	-0.158	-0.108	-1.623	-0.007	0.037
YDL051W	-1.118	0.025	-0.125	-0.421	-0.165	0.207
YDL052C	-0.005	-0.976	0.113	0.034	-0.170	-0.119
YDL053C	-0.047	-0.162	-0.047	0.547	0.011	2.198
YDL054C	-0.305	0.111	-0.121	0.262	-1.550	0.642
YDL055C	NaN	0.118	NaN	0.369	NaN	0.036
YDL056W	-0.013	0.139	0.263	-0.778	0.858	-0.176
YDL057W	NaN	0.382	NaN	0.030	NaN	-0.157
YDL058W	NaN	0.188	NaN	-0.678	NaN	0.107
YDL059C	0.303	-0.702	0.002	-0.134	-0.076	0.317
YDL060W	NaN	-0.029	NaN	-0.131	NaN	0.720
YDL061C	-0.062	0.084	-0.437	0.117	1.448	1.061
YDL062W	0.280	-0.053	0.608	0.064	0.265	0.997
YDL063C	-0.019	0.157	1.257	0.568	-0.861	0.128
YDL064W	NaN	0.392	NaN	-0.077	NaN	0.258
YDL065C	-0.630	0.017	0.057	0.607	-0.398	-0.233
YDL066W	-0.549	0.452	-0.005	0.470	-0.303	0.764
YDL067C	-0.117	0.051	2.259	0.009	0.023	-0.199
YDL068W	-0.068	-0.290	0.403	0.766	0.271	0.387
YDL069C	1.190	NaN	0.899	NaN	-0.209	NaN
YDL070W	0.094	-1.094	0.140	-0.132	0.151	-0.280
YDL071C	0.647	0.226	0.001	-0.066	-2.187	-0.001
YDL072C	0.090	-0.926	-0.124	-0.377	0.097	0.994
YDL073W	-0.132	0.105	0.110	-1.508	-0.063	0.142
YDL074C	-0.027	0.278	-0.094	0.018	-1.246	-0.175
YDL075W	NaN	-0.153	NaN	0.383	NaN	-0.078
YDL076C	-1.083	0.121	-1.206	-0.434	-0.947	1.036
YDL077C	-5.786	0.064	-0.136	0.706	-0.709	0.083
YDL078C	0.280	-0.022	-0.503	-0.320	-0.289	2.072
YDL079C	0.101	-0.590	0.106	0.224	-1.984	0.175
YDL080C	-0.060	-0.030	-0.010	-0.222	-2.160	-0.499
YDL081C	0.481	0.267	1.300	-0.006	0.025	1.931
YDL082W	0.042	0.170	-0.026	0.049	0.588	0.151
YDL083C	0.094	-0.200	0.907	0.619	-1.792	0.868
YDL084W	NaN	-0.360	NaN	0.021	NaN	-0.160
YDL085W	-0.001	-0.177	1.810	0.464	-0.332	0.365
YDL086W	0.303	-1.857	0.050	0.032	-0.445	0.839
YDL087C	NaN	0.205	NaN	-1.563	NaN	0.010
YDL088C	0.664	-0.264	-0.022	0.108	-1.059	0.322
YDL089W	-1.801	-0.010	-1.143	-0.083	-0.076	0.023
YDL090C	0.295	0.274	0.063	-0.031	0.097	0.290
YDL091C	-0.003	-0.084	-0.013	-0.356	-0.094	0.101
YDL092W	NaN	0.066	NaN	0.068	NaN	-0.134
YDL093W	-0.057	0.023	0.874	0.013	-0.945	0.080
YDL094C	-0.466	-0.147	0.897	-2.303	-1.641	0.079
YDL095W	-1.313	0.163	-1.641	-0.283	-0.458	2.474
YDL096C	-0.956	-0.486	-2.390	0.063	-1.529	0.111
YDL097C	NaN	-0.470	NaN	-0.006	NaN	-0.097
YDL098C	NaN	0.105	NaN	0.368	NaN	1.175
YDL099W	-0.092	0.216	-1.073	-0.673	-0.157	1.006
YDL100C	-0.764	0.325	-0.006	0.081	-1.403	0.584
YDL101C	-0.008	-0.193	0.220	0.571	0.042	0.282
YDL102W	NaN	0.095	NaN	0.020	NaN	0.759
YDL103C	NaN	0.056	NaN	-0.450	NaN	0.073
YDL104C	0.678	-0.778	-0.014	-0.005	0.328	0.883
YDL105W	NaN	0.044	NaN	0.235	NaN	-0.037
YDL106C	0.418	-0.132	0.496	-0.003	1.639	1.327
YDL107W	-1.060	-0.008	0.764	0.366	0.004	-0.003
YDL108W	NaN	0.438	NaN	-1.220	NaN	0.198
YDL109C	-0.072	-1.198	-0.037	-0.190	0.142	0.976
YDL110C	0.013	-0.871	-1.536	1.444	-0.015	-0.016
YDL111C	NaN	-0.069	NaN	-0.030	NaN	0.291
YDL112W	1.639	0.027	0.078	-0.852	-0.328	-0.965
YDL113C	0.094	0.781	-0.022	0.002	0.021	0.022
YDL114W	-0.117	0.156	0.002	-1.382	-0.151	0.136
YDL115C	1.460	-0.145	0.160	-0.834	-0.714	-0.025
YDL116W	0.118	-0.789	-0.015	-0.543	-0.074	1.661
YDL117W	-0.032	0.342	0.013	0.009	-0.156	0.253
YDL118W	0.139	-0.771	-0.632	-0.259	0.083	0.067
YDL119C	NaN	0.050	NaN	-0.241	NaN	1.847
YDL120W	NaN	0.105	NaN	-0.002	NaN	-0.251
YDL121C	-1.018	0.091	0.993	0.177	-0.026	1.772
YDL122W	-0.031	0.314	-1.542	0.203	-1.449	0.414
YDL123W	0.041	-0.602	0.217	0.012	-0.783	1.035
YDL124W	0.209	-0.006	-0.064	0.062	-1.545	1.565
YDL125C	0.079	-0.429	0.002	0.000	0.130	0.610
YDL126C	NaN	0.027	NaN	-0.572	NaN	-0.464
YDL127W	-0.295	-0.489	-0.415	0.004	0.340	0.679
YDL128W	0.026	0.045	1.593	0.035	0.059	0.076
YDL129W	-0.154	0.467	0.120	-0.017	0.281	0.015
YDL130W	0.020	0.125	2.076	0.240	-0.027	0.113
YDL130W-A	0.952	-0.089	1.915	-0.156	0.847	0.072
YDL131W	-0.049	-0.433	-0.160	0.032	-2.336	-0.014
YDL132W	NaN	-1.545	NaN	-0.298	NaN	-1.019
YDL133C-A	0.055	1.113	-0.012	-0.055	-1.100	0.254
YDL133W	0.501	0.024	-0.009	-0.243	-0.034	0.114
YDL134C	0.199	-0.464	0.047	-0.920	0.276	0.480
YDL135C	0.845	0.020	0.386	0.606	-0.211	-0.028
YDL136W	0.518	-0.008	0.207	0.666	0.463	0.024
YDL137W	0.051	-0.254	-0.031	0.784	-0.078	-0.237
YDL138W	-0.289	-0.884	-0.355	0.377	0.090	-0.093
YDL139C	NaN	-0.158	NaN	-0.315	NaN	-0.260
YDL140C	NaN	-1.656	NaN	0.010	NaN	-0.098
YDL141W	NaN	-0.127	NaN	0.319	NaN	1.011
YDL142C	0.138	-0.175	0.260	0.062	-0.203	0.021
YDL143W	NaN	0.194	NaN	1.719	NaN	-0.070
YDL144C	-0.176	-0.100	0.803	-0.194	0.494	0.642
YDL145C	NaN	-0.456	NaN	0.180	NaN	-0.583
YDL146W	-1.539	0.087	-0.136	0.302	-0.003	-0.002
YDL147W	NaN	-0.376	NaN	0.096	NaN	-0.631
YDL148C	NaN	0.236	NaN	-0.036	NaN	-0.019
YDL149W	-0.076	-0.046	-1.591	0.041	-0.006	-0.045
YDL150W	NaN	0.129	NaN	-0.049	NaN	0.012
YDL151C	NaN	0.180	NaN	-0.007	NaN	0.054
YDL152W	NaN	0.685	NaN	-0.586	NaN	0.344
YDL153C	NaN	-0.039	NaN	0.421	NaN	0.622
YDL154W	0.128	0.087	-0.022	-0.142	-0.080	0.127
YDL155W	-0.297	0.018	0.624	-0.382	-0.280	0.157
YDL156W	0.152	0.028	0.153	-0.101	-0.139	0.041
YDL157C	-0.022	-0.024	-0.178	-0.048	0.182	-0.099
YDL158C	NaN	-0.954	-0.096	0.043	0.552	-0.599
YDL159W	NaN	0.237	NaN	-0.159	NaN	-0.327
YDL160C	0.147	-0.027	-1.605	-0.002	0.775	0.867
YDL161W	0.095	-0.690	0.002	-1.076	0.234	-0.015
YDL162C	0.004	-0.016	0.009	-0.013	-0.904	-0.171
YDL163W	NaN	0.518	NaN	0.555	NaN	0.077
YDL164C	NaN	0.593	NaN	0.179	NaN	-0.026
YDL165W	NaN	0.052	NaN	-0.170	NaN	-0.067
YDL166C	NaN	0.098	NaN	2.287	NaN	-0.130
YDL167C	-0.110	-0.089	-1.362	-0.003	0.019	-0.169
YDL168W	0.151	0.116	0.613	-0.050	-0.158	0.188
YDL169C	1.026	-0.033	0.744	-0.074	0.017	1.171
YDL170W	0.170	0.519	0.293	0.111	0.189	-0.497
YDL171C	0.875	0.019	-0.052	-0.025	-0.023	-0.095
YDL172C	0.151	0.018	0.056	0.427	-0.117	0.673
YDL173W	0.042	-0.003	-0.016	0.469	1.119	0.248
YDL174C	-0.356	-0.793	-2.551	-0.483	1.243	0.070
YDL175C	0.476	-1.561	0.743	0.077	0.610	0.028
YDL176W	0.003	-1.098	1.227	-0.167	-0.071	1.442
YDL177C	0.050	-1.157	-0.176	-0.003	-0.108	0.006
YDL178W	1.049	0.174	0.100	-0.165	-0.035	0.444
YDL179W	1.909	-0.313	0.595	1.842	0.789	-1.496
YDL180W	0.103	0.638	0.029	-0.379	-0.089	1.639
YDL181W	NaN	-0.032	NaN	0.239	NaN	0.006
YDL182W	0.032	-0.040	-0.126	0.419	0.513	1.553
YDL183C	0.300	-0.869	0.075	0.390	-0.157	0.909
