orf	hap a | growth (colony size) | calcofluor white [50 ug/ml] | YPD | Zhao F~Han S, 2019	hap a | growth (colony size) | calcofluor white [500 ug/ml] | YPD | Zhao F~Han S, 2019
YPL042C	-3.0833822949500758	0.0
YPL055C	-3.0833822949500758	0.0
YPL065W	0.0	8.955981631674975
YPL084W	-3.0833822949500758	0.0
YPL086C	-3.0833822949500758	0.0
YPL101W	-3.0833822949500758	0.0
YPL102C	-3.0833822949500758	0.0
YPL112C	-3.0833822949500758	0.0
YPL120W	-3.0833822949500758	0.0
YPL141C	-3.0833822949500758	0.0
YPL145C	-3.0833822949500758	0.0
YPL161C	-3.0833822949500758	0.0
YPL193W	-3.0833822949500758	0.0
YPL199C	-3.0833822949500758	0.0
YPL227C	-3.0833822949500758	0.0
YPL234C	-3.0833822949500758	0.0
YPL249C-A	-3.0833822949500758	0.0
YPL254W	-3.0833822949500758	0.0
YPL261C	-3.0833822949500758	0.0
YPL271W	-3.0833822949500758	0.0
YPR013C	-3.0833822949500758	0.0
YPR017C	-3.0833822949500758	0.0
YPR032W	-3.0833822949500758	0.0
YPR036W	-3.0833822949500758	0.0
YPR043W	-3.0833822949500758	0.0
YPR045C	-3.0833822949500758	0.0
YPR099C	-3.0833822949500758	0.0
YPR100W	-3.0833822949500758	0.0
YPR119W	-3.0833822949500758	0.0
YPR135W	-3.0833822949500758	0.0
YPR139C	-3.0833822949500758	0.0
YPR159W	-3.0833822949500758	0.0
YPR160W	0.0	4.4779908158374875
YPR173C	-3.0833822949500758	0.0
