ORF	hom | cell size | standard [standard] | Zhang J~Schneider BL, 2002	het | cell size | standard [standard] | Zhang J~Schneider BL, 2002
YDR123C	51.332	NaN
YDR124W	49.040	NaN
YDR125C	46.340	NaN
YDR126W	52.790	NaN
YDR128W	62.020	NaN
YDR129C	47.860	NaN
YDR130C	70.870	NaN
YDR131C	45.530	NaN
YDR132C	48.590	NaN
YDR133C	74.620	NaN
YDR134C	72.480	NaN
YDR135C	59.771	NaN
YDR136C	51.210	NaN
YDR138W	75.070	NaN
YDR139C	56.044	NaN
YDR140W	52.951	NaN
YDR142C	49.191	NaN
YDR143C	51.398	NaN
YDR144C	48.835	NaN
YDR146C	60.820	NaN
YDR338C	49.484	NaN
YDR340W	48.803	NaN
YDR344C	48.738	NaN
YDR345C	49.517	NaN
YDR346C	64.430	NaN
YDR348C	52.577	NaN
YDR349C	49.029	NaN
YDR351W	47.586	NaN
YDR352W	45.613	NaN
YDR354W	52.781	NaN
YDR357C	53.499	NaN
YDR358W	52.611	NaN
YDR360W	49.843	NaN
YDR363W	72.440	NaN
YDR364C	NaN	69.590
YDR368W	50.965	NaN
YDR370C	49.974	NaN
YDR371W	50.070	NaN
YGR079W	50.237	NaN
YDR374C	49.451	NaN
YDR378C	55.903	NaN
YDR379W	51.398	NaN
YDR380W	51.110	NaN
YDR382W	65.380	NaN
YDR383C	49.582	NaN
YDR384C	50.435	NaN
YDR385W	62.630	NaN
YDR386W	54.744	NaN
YDR387C	70.360	NaN
YDR388W	48.997	NaN
YDR389W	43.696	NaN
YDR391C	48.288	NaN
YDR392W	37.046	NaN
YDR393W	59.640	NaN
YDR395W	51.165	NaN
YDR399W	71.690	NaN
YDR400W	52.577	NaN
