ORF	hap a | transport to/from cell surface (CPY) | standard [standard] | Schluter C~Conibear E, 2008	hap alpha | transport to/from cell surface (CPY) | standard [standard] | Schluter C~Conibear E, 2008	hom | transport to/from cell surface (CPY) | standard [standard] | Schluter C~Conibear E, 2008
YJL210W	0.003	0.042	0.000
YER056C	0.005	0.006	0.003
YDR420W	0.000	0.006	0.004
YBR242W	0.002	0.012	0.006
YHL037C	0.003	0.007	0.004
YNL223W	0.003	NaN	NaN
YPL167C	0.005	0.003	0.008
YNL105W	0.010	0.007	0.001
YNR037C	0.003	0.007	0.000
YGR160W	0.004	0.002	0.005
YML082W	0.006	0.007	0.002
YGR149W	0.010	0.010	0.003
YGR035C	0.032	0.002	0.002
YCL047C	0.002	0.006	0.005
YOL052C	0.001	0.008	0.013
YDR133C	0.003	0.003	0.012
YBR149W	0.000	0.009	0.006
YGR068C	0.017	0.003	0.002
YHR047C	0.030	0.005	0.003
YDR502C	0.000	0.012	0.016
YOR065W	0.000	0.007	0.008
YBR186W	NaN	0.012	0.002
YFL036W	0.001	NaN	0.005
YDR441C	0.000	0.009	0.005
YCL028W	0.012	0.007	0.002
YOR209C	0.003	0.004	0.017
YDR507C	0.000	0.003	0.003
YEL001C	0.000	0.021	0.005
YOL065C	0.002	0.005	0.014
YMR066W	0.001	0.024	0.017
YPL088W	0.015	0.003	0.001
YPR140W	0.003	0.003	0.010
YCR010C	0.002	0.013	0.005
YBR181C	0.000	0.011	0.003
YLL016W	0.003	0.009	0.000
YPL274W	0.001	0.012	0.007
YHL036W	0.001	0.004	0.008
YCR048W	0.003	0.021	0.005
YOL008W	0.002	0.016	0.004
YLR180W	0.003	0.037	0.000
YOR009W	0.002	0.015	0.001
YPR131C	0.013	0.003	0.021
YJL146W	0.025	0.010	0.000
YIL010W	NaN	0.003	0.177
YNL218W	0.000	0.006	NaN
YOR190W	0.022	0.003	0.016
YBR210W	0.005	0.004	0.003
YCR073W-A	0.021	0.002	0.010
YMR058W	0.003	0.003	0.010
YPL261C	0.000	0.014	0.003
YOR379C	0.046	0.003	0.002
YKL216W	0.003	0.017	0.002
YDR408C	0.000	0.006	0.031
YOL058W	0.000	0.015	0.020
YDL118W	0.007	0.000	0.014
YBR207W	0.022	0.008	0.001
YDR101C	0.003	0.008	0.021
YDL146W	0.000	0.005	0.003
YCR067C	0.001	0.025	0.017
YJL057C	0.003	0.011	0.000
YHR110W	0.001	0.010	0.010
YDR165W	0.006	0.001	0.002
YBL042C	0.002	0.016	0.012
YBL045C	0.002	0.003	0.005
YDR241W	0.003	0.001	0.061
YNL030W	0.012	0.003	NaN
YLR068W	0.000	0.007	0.007
YJL159W	0.036	0.003	0.000
YAL062W	0.012	0.004	0.002
YBR241C	0.000	0.015	0.005
YMR132C	0.007	0.018	0.000
YPR111W	NaN	0.002	0.006
YBR173C	0.012	0.016	0.000
YPR106W	0.011	0.001	0.011
YPR043W	0.000	0.004	0.024
YMR119W-A	0.008	0.008	0.000
YLR084C	0.001	0.007	0.002
YDR482C	0.000	0.006	0.007
YDL129W	0.000	NaN	0.013
YDL203C	0.000	0.011	0.005
YDR071C	0.000	0.018	0.018
YEL017C-A	0.002	0.023	0.008
YBR037C	0.003	NaN	0.015
YDR078C	0.000	0.014	0.007
YLR113W	0.001	0.007	0.063
YJL180C	NaN	NaN	0.003
YAL028W	0.004	0.005	0.003
YKR092C	0.006	0.019	0.001
YDR003W	0.013	0.003	0.008
YGL237C	0.001	0.003	0.045
YLR052W	0.007	0.024	0.001
YPR154W	0.007	0.002	0.007
YER067C-A	0.002	0.022	0.008
YPL103C	0.001	0.015	0.007
YGR080W	0.012	0.002	0.005
YML052W	0.003	0.006	0.004
YDR377W	0.003	0.005	0.000
YGL141W	0.004	0.003	0.004
YML002W	0.007	0.005	0.001
YKR007W	0.002	0.004	0.003
YIR032C	0.000	0.018	NaN
YBR172C	0.000	0.005	0.006
YDR197W	0.000	0.009	0.007
YER020W	0.022	0.005	0.002
YBR263W	0.001	0.014	0.012
YMR141C	0.008	0.014	0.001
YPL239W	0.013	0.008	0.000
YMR223W	0.004	0.006	0.002
YLL057C	0.005	0.005	0.003
YAL031C	0.003	0.004	0.014
YDL018C	0.001	0.005	0.007
YOR047C	0.002	0.012	0.002
YJL181W	0.005	0.013	0.000
YDR174W	0.004	0.024	0.002
YOR035C	0.003	0.021	0.000
YGR079W	0.024	0.003	0.010
YGL132W	0.002	0.011	0.001
YOR141C	0.007	0.030	0.000
YER124C	0.000	0.015	0.003
YOR337W	0.002	0.012	0.010
YOR166C	NaN	0.003	0.040
YOR042W	NaN	0.006	0.002
YMR100W	0.005	0.003	0.000
YHR167W	0.017	0.003	0.018
YHL045W	0.008	0.006	0.002
YMR120C	0.014	0.015	0.000
YER040W	0.001	0.005	0.008
YDR147W	0.002	0.008	0.016
YPR091C	0.000	0.009	0.003
YJL022W	0.014	0.005	0.000
YDR379W	0.003	0.014	0.012
YLR285W	0.019	0.003	0.002
YOR375C	0.002	0.002	0.012
YOR268C	0.000	0.006	0.009
YMR138W	0.000	0.020	NaN
YLR049C	0.000	0.008	0.078
YPR052C	0.014	0.011	0.001
YAR003W	0.010	0.012	0.000
YKR074W	0.000	0.027	0.005
YJL208C	0.015	0.013	0.000
YOR229W	0.010	0.002	0.008
YDR050C	0.003	NaN	NaN
YEL061C	0.001	0.027	0.004
YPL041C	0.003	0.001	0.009
YCR083W	0.000	0.026	0.021
YLR294C	0.016	NaN	0.002
YER054C	0.002	0.011	0.005
YAR035W	0.003	0.008	0.000
YPL119C	0.006	0.017	0.003
YDR079W	0.000	NaN	0.009
YCR003W	0.012	0.008	0.000
YJL067W	0.011	0.018	0.000
YIL052C	0.002	0.002	0.014
YKL107W	0.013	0.008	0.000
YFL051C	0.001	0.003	0.009
YML053C	0.002	0.004	0.003
YGL064C	0.007	0.021	0.000
YNL190W	0.002	0.015	0.002
YGR049W	0.021	0.003	0.005
YMR225C	NaN	0.008	0.003
YJL171C	0.012	0.003	0.000
YHR031C	0.005	0.012	0.002
YHL046C	0.002	0.011	0.008
YCL006C	0.001	0.004	0.015
YKL026C	0.012	0.006	0.000
YLR143W	0.025	0.005	0.003
YDR313C	0.016	0.005	0.002
YLR017W	0.001	0.015	0.003
YPL127C	0.000	0.011	0.003
YOR223W	0.027	0.004	0.002
YBR205W	0.001	0.007	0.004
YDR185C	NaN	0.003	0.005
YDR231C	0.000	NaN	0.007
YHR132C	0.013	0.003	0.008
YLR384C	0.000	0.003	0.056
YBR184W	0.001	0.006	0.002
YFL054C	0.015	0.003	0.005
YHL021C	0.014	0.003	0.027
YLL017W	0.003	0.007	0.000
YHR152W	NaN	0.003	0.005
YOL001W	0.000	0.008	0.003
YDL154W	0.021	0.003	0.014
YOR055W	0.000	0.012	0.010
YOR124C	0.016	0.005	0.002
YLL015W	0.003	0.016	0.000
YDL053C	0.000	0.007	0.009
YMR140W	0.005	0.018	0.001
YDL051W	0.001	0.005	0.008
YLR278C	0.000	0.007	0.002
YKL169C	0.000	0.008	0.003
YMR173W	0.000	0.009	0.018
YLR063W	0.001	0.035	0.001
YMR034C	0.002	0.011	0.001
YMR276W	0.002	0.007	0.001
YER143W	0.000	0.008	0.009
YOR127W	0.032	0.005	0.000
YPL070W	0.025	0.003	0.000
YOR184W	0.013	0.002	0.015
YGR122W	0.001	0.002	0.032
YKL177W	0.023	0.002	NaN
YNL004W	0.013	0.002	0.007
YPR099C	0.008	NaN	0.000
YMR174C	0.023	0.011	0.002
YGR111W	NaN	0.002	0.005
YOR018W	0.000	0.011	0.005
YDL056W	0.001	0.004	0.003
YDR315C	0.008	0.015	0.002
YCR016W	0.005	0.002	0.012
YMR018W	0.004	0.006	0.000
YHR143W	0.011	0.011	0.002
YCR017C	0.011	0.002	0.014
YNL329C	0.001	0.021	0.002
YBR204C	0.001	0.006	0.005
YIR004W	0.001	0.005	NaN
YLR263W	0.022	0.006	0.002
YGL220W	0.000	0.002	0.012
YPL004C	0.004	0.002	0.003
YDR295C	0.001	0.006	0.018
YGL140C	0.004	0.007	0.002
YNL215W	0.001	0.006	0.045
YGL107C	0.000	0.007	0.010
YPL156C	0.000	0.015	0.005
YBR089C-A	0.000	0.005	0.022
YMR173W-A	0.001	0.005	0.001
YLL063C	0.000	0.006	0.011
YOR071C	0.000	0.009	0.002
YOR178C	0.011	0.002	0.024
YBR119W	0.040	0.001	0.002
YCL005W	0.001	0.005	0.002
YPR193C	0.028	0.002	0.000
YHR097C	NaN	0.009	0.002
YMR163C	0.009	0.006	0.002
YBR094W	0.000	0.007	0.002
YCL032W	0.000	0.021	0.002
YMR063W	0.001	0.008	0.016
YML061C	0.000	0.016	0.002
YDR514C	0.000	0.007	0.007
YNL185C	NaN	0.002	NaN
YOR029W	0.001	0.007	0.010
YBR197C	0.000	0.022	0.002
YLR046C	0.002	0.018	0.001
YFR001W	0.000	0.004	0.017
YGR222W	0.002	NaN	0.002
YBR208C	0.046	0.001	0.002
YLR190W	0.015	0.013	0.001
YDL065C	0.000	0.005	0.010
YDR492W	0.000	0.009	0.002
YLR288C	0.000	0.011	0.002
YDR142C	0.001	0.019	0.015
YKL044W	0.014	0.014	0.000
YHL028W	0.004	0.002	0.004
YDR025W	0.008	0.003	0.002
YKL157W	0.018	0.006	0.000
YOR275C	0.001	0.002	0.057
YMR243C	0.033	0.007	0.000
YJR014W	0.001	0.010	0.030
YDR061W	0.000	0.019	0.009
YOR022C	0.001	0.013	0.002
YLR412W	0.015	0.001	0.001
YPL201C	0.000	0.006	0.016
YJL102W	0.013	0.002	0.000
YPL090C	0.000	0.002	0.786
YOL093W	0.000	0.014	0.006
YDL158C	0.003	0.002	NaN
YML034C-A	0.001	0.008	0.007
YBR092C	0.000	0.008	0.006
YDR319C	0.000	0.017	0.015
YDR436W	0.000	0.010	0.008
YEL016C	0.001	0.029	0.010
YOR265W	0.000	0.007	0.025
YPL071C	0.020	0.007	0.000
YDR490C	0.000	0.008	0.002
YDR117C	0.001	0.009	0.018
YDR096W	0.000	0.005	0.004
YLR142W	0.015	0.005	0.002
YKR093W	0.010	0.011	0.002
YKL166C	0.019	0.006	0.000
YHR147C	0.001	0.012	0.001
YLR414C	0.000	0.013	0.002
YDR399W	0.000	0.015	0.002
YJL182C	0.015	0.009	0.000
YML057C-A	0.001	0.009	0.002
YHL026C	0.010	0.002	0.003
YDR257C	0.001	NaN	0.023
YHL012W	0.012	0.003	0.002
YKL101W	0.022	0.003	0.002
YJL068C	0.003	0.015	0.000
YMR098C	0.004	NaN	0.001
YHR113W	0.008	0.002	0.004
YDR459C	0.014	0.001	0.004
YLL021W	0.019	0.010	0.000
YMR153W	0.001	0.003	0.004
YJL105W	0.001	0.006	0.007
YHR179W	0.013	0.013	0.002
YDR519W	0.001	0.005	0.000
YNL198C	0.001	0.014	0.001
YLR404W	0.000	0.008	0.003
YDL049C	0.000	0.005	0.007
YDR523C	0.001	NaN	0.006
YOR321W	0.000	0.008	0.008
YPL141C	0.001	0.015	0.011
YKL001C	0.018	0.007	0.000
YDR524C	0.002	0.002	0.008
YOR001W	0.001	0.007	0.003
YGL242C	0.001	0.016	0.001
YGR066C	0.018	0.004	0.002
YDR530C	0.000	0.006	0.017
YDR191W	NaN	0.002	0.007
YNL200C	0.002	0.014	0.000
YKL017C	0.017	0.002	0.017
YKL062W	0.002	0.021	0.000
YAL067C	0.003	0.002	0.013
YDR134C	0.002	0.004	0.011
YDR446W	0.001	0.007	0.004
YMR202W	NaN	0.006	0.002
YMR024W	0.001	0.006	0.009
YDL101C	0.002	0.002	0.079
YDL094C	0.000	0.005	0.017
YIR023W	0.001	0.013	0.012
YOR165W	0.006	0.002	0.010
YMR237W	0.005	0.012	0.000
YKR013W	0.000	0.018	0.007
YOR360C	0.000	0.007	0.024
YHR013C	0.001	0.007	0.001
YMR222C	0.003	0.009	0.000
YHR137W	0.005	0.013	0.002
YDR354W	0.002	0.015	0.017
YPL072W	0.014	NaN	0.002
YDR209C	0.002	0.003	0.046
YOR051C	0.002	0.038	0.000
YBR137W	0.000	0.002	0.015
YML121W	0.013	0.005	0.000
YNL281W	0.012	0.013	0.000
YOL061W	0.000	0.007	0.010
YDR207C	0.001	0.002	0.065
YNL201C	0.001	0.010	0.001
YLR318W	NaN	0.002	0.002
YGR243W	0.002	NaN	0.018
YMR269W	0.002	0.018	0.001
YDL079C	0.000	0.003	0.012
YOL091W	0.001	0.005	0.025
YGL058W	0.006	0.006	0.000
YMR180C	NaN	0.010	0.002
YPL107W	0.001	0.024	0.002
YKL138C	0.013	0.017	0.000
YAL017W	0.002	0.012	0.013
YML020W	0.003	0.008	0.002
YHL027W	0.002	0.005	0.002
YBR130C	0.001	0.004	0.011
YGR122C-A	0.001	0.006	0.006
YMR031C	0.002	0.006	0.000
YBR148W	0.000	0.010	0.008
YGR118W	0.001	0.003	0.007
YLR064W	0.001	0.008	0.001
YHL007C	NaN	0.002	0.007
YOR201C	0.000	0.006	0.002
YGL105W	0.000	0.018	0.002
YKL076C	0.011	0.007	0.000
YML079W	0.001	0.005	0.002
YLR284C	0.010	0.002	0.004
YNL235C	0.002	0.014	0.000
YDL099W	0.005	0.001	0.012
YLR012C	0.002	0.008	0.007
YOL062C	0.001	0.009	0.007
YMR071C	0.000	0.006	0.007
YNL294C	0.000	0.007	0.002
YOR059C	0.000	0.008	0.002
YDR290W	NaN	0.013	0.001
YLR283W	0.013	0.001	0.004
YPR072W	NaN	NaN	0.002
YKL092C	0.021	0.003	0.000
YGR214W	0.000	0.004	0.004
YJL187C	0.019	0.002	0.000
YBR144C	0.007	0.000	0.013
YMR312W	0.001	0.004	0.015
YER110C	0.000	0.007	0.002
YPL162C	0.000	0.007	0.003
YKL066W	0.024	0.007	0.002
YBR132C	0.000	0.006	NaN
YJL078C	0.000	0.007	0.008
YAL061W	0.015	0.005	0.000
YKL093W	0.021	0.007	0.000
YCL004W	NaN	0.002	NaN
YDR511W	0.000	0.002	0.007
YKL127W	0.013	0.006	0.000
YPL034W	0.002	0.002	0.005
YMR156C	0.001	0.010	0.003
YMR259C	0.009	0.011	0.001
YKL094W	0.014	0.005	0.000
YBR228W	0.000	0.011	0.011
YJL088W	0.011	0.011	0.000
YKL109W	0.000	0.005	0.019
YLR016C	0.008	0.013	0.002
YAL029C	NaN	0.007	0.000
YLR042C	0.003	0.008	0.002
YPL200W	0.000	0.006	0.003
YBR203W	0.000	0.014	0.003
YDR192C	NaN	0.002	0.009
YHR096C	0.011	NaN	0.002
YIR026C	0.004	0.002	0.068
YOL083W	0.002	0.002	0.008
YCL061C	0.003	0.006	0.001
YMR250W	0.002	0.008	0.001
YDR132C	0.000	0.003	0.007
YGL125W	0.002	NaN	0.006
YNL309W	0.000	NaN	0.011
YGR171C	0.001	0.005	0.010
YLR080W	0.002	0.009	0.002
YDL012C	0.000	NaN	0.005
YLR130C	0.011	0.006	0.002
YLR191W	0.009	0.008	0.002
YDR026C	0.007	0.004	0.002
YBR206W	0.001	0.007	0.002
YPL140C	0.001	0.027	0.004
YGL131C	0.000	0.008	0.001
YBL038W	0.007	0.003	0.000
YBR222C	0.016	0.002	0.008
YOR303W	0.007	0.002	0.009
YJL170C	0.010	0.002	0.000
YML103C	0.007	0.002	0.016
YDR114C	0.000	0.008	NaN
YNL284C	0.018	NaN	0.000
YGR240C	0.002	0.004	0.013
YPL245W	0.001	0.023	0.002
YKL121W	0.017	0.004	0.000
YPL089C	0.018	0.005	0.000
YJL169W	0.021	0.002	0.000
YOR381W	0.000	0.012	0.007
YER130C	0.001	0.006	0.006
YBR077C	0.004	0.002	0.001
YBR138C	0.000	0.003	0.006
YER150W	0.001	0.005	0.030
YNL283C	0.010	0.010	0.000
YGL117W	0.001	0.002	0.005
YML081W	0.021	0.005	0.001
YOR199W	0.000	0.007	0.004
YNL184C	0.008	0.003	0.002
YMR182C	0.003	0.012	0.002
YOR041C	0.001	0.011	0.003
YJL164C	0.017	0.003	0.000
YKL213C	0.001	0.004	0.007
YHR100C	NaN	0.008	0.001
YMR187C	0.000	0.007	0.001
YGL108C	0.001	0.006	0.010
YGR055W	0.006	0.004	0.000
YMR189W	0.007	0.008	0.001
YPL181W	0.002	0.011	0.001
YDR020C	0.010	0.002	0.002
YPR123C	0.004	0.000	NaN
YLR179C	0.030	0.004	0.001
YLR082C	0.000	0.014	0.093
YPL108W	0.000	0.011	0.003
YNL293W	0.001	0.014	0.001
YOL044W	0.000	0.009	0.005
YLL062C	0.000	0.009	0.002
YMR201C	0.002	0.008	0.000
YLR438W	0.033	0.011	0.002
YDR475C	0.000	0.006	0.002
YMR042W	0.000	0.009	0.009
YKL128C	0.014	0.005	0.000
YOR121C	NaN	0.007	0.001
YDR070C	0.002	0.020	0.003
YKR085C	0.010	NaN	0.001
YDL202W	0.001	0.006	0.000
YMR151W	0.000	0.002	0.003
YKL079W	0.020	0.007	0.000
YKL016C	NaN	0.013	0.000
YJL043W	0.005	0.011	0.000
YOR078W	0.000	0.008	0.001
YBR161W	0.000	0.009	0.007
YJL133W	0.006	0.001	0.003
YKL102C	0.018	0.005	0.000
YPL068C	0.002	0.001	0.001
YER050C	0.001	0.010	0.000
YHL044W	0.005	0.004	0.001
YFL014W	0.000	0.006	0.017
YAL034C	0.001	0.005	0.025
YML075C	0.001	0.015	0.005
YJL147C	0.025	0.006	0.000
YPL067C	0.002	0.003	0.001
YGR027C	0.003	0.002	0.001
YML078W	0.001	0.007	0.006
YKL176C	0.003	0.001	0.021
YLR014C	0.001	0.007	0.003
YPR064W	0.000	0.007	0.017
YDR268W	0.001	0.017	0.001
YHL022C	0.006	0.008	0.001
YLL056C	0.003	0.005	0.001
YJL190C	0.014	0.002	0.000
YDR463W	0.001	0.007	0.001
YOL147C	0.000	0.006	0.023
YCR030C	0.000	0.026	0.004
YMR256C	0.000	0.005	0.007
YMR294W-A	0.000	0.017	0.001
YIL038C	0.013	0.001	0.008
YJL065C	0.007	0.018	0.001
YGR054W	NaN	0.004	0.000
YEL047C	0.001	0.012	0.002
YBL025W	0.001	0.003	NaN
YOR258W	0.015	0.011	0.001
YML060W	0.001	0.007	0.005
YDR176W	0.000	0.007	0.001
YBR199W	0.000	0.029	0.001
YKL050C	0.018	0.025	0.000
YBR036C	0.002	0.001	0.001
YDL066W	0.000	0.007	0.003
YDR466W	0.000	0.004	0.003
YOL023W	0.001	NaN	0.002
YPL056C	0.023	0.001	0.001
YKL031W	0.011	0.015	0.000
YPR063C	0.011	0.013	0.001
YNL097C	0.005	0.027	0.001
YLR421C	0.000	0.009	0.001
YAL066W	0.009	0.002	0.000
YPR078C	0.000	0.007	0.023
YMR226C	0.025	0.012	0.001
YNL076W	0.020	0.009	0.000
YMR261C	0.013	0.007	0.001
YKL011C	0.004	0.013	0.000
YCL069W	0.003	0.004	0.001
YER092W	0.001	0.001	0.006
YLR192C	0.000	0.026	0.001
YLR303W	0.001	0.004	0.001
YGL101W	0.000	0.006	0.009
YDR506C	0.001	NaN	0.008
YOR267C	0.000	0.010	0.008
YGL129C	0.001	0.001	0.003
YMR010W	0.030	0.009	0.001
YGL127C	0.003	0.004	0.000
YDR387C	0.000	0.007	0.017
YML047C	0.000	0.013	0.018
YMR006C	0.001	0.012	0.001
YML008C	0.008	0.003	0.001
YMR230W	0.002	0.005	0.001
YJL198W	0.001	0.006	0.000
YLR393W	0.000	0.003	0.003
YKL053C-A	0.000	0.011	0.001
YEL033W	0.006	NaN	0.001
YMR214W	0.026	0.007	0.001
YGR285C	0.000	0.014	0.050
YPL057C	0.044	0.001	0.001
YPR007C	0.000	0.005	0.015
YMR262W	0.030	0.006	0.001
YAL051W	0.003	0.007	0.000
YAL021C	0.001	0.011	0.001
YKL096W	0.017	0.004	0.000
YML051W	0.000	0.007	0.003
YDR102C	0.000	0.007	0.018
YCL010C	0.002	NaN	0.001
YOR241W	0.009	NaN	0.000
YKL029C	0.012	0.013	0.000
YER087W	NaN	0.001	NaN
YPL148C	0.001	NaN	0.002
YJL070C	0.000	0.019	0.001
YHR121W	0.004	0.018	0.001
YOR052C	0.001	0.039	0.000
YGR165W	0.007	0.001	0.001
YMR210W	0.007	0.009	0.001
YKL057C	0.014	0.011	0.000
YKL090W	0.029	0.007	0.000
YDR140W	0.004	NaN	0.001
YOR309C	0.001	0.014	0.044
YJL192C	0.008	0.004	0.000
YML066C	0.000	0.010	0.006
YLR043C	0.004	0.008	0.001
YPL105C	0.000	0.016	0.002
YCR009C	0.002	0.012	0.000
YAR031W	0.020	0.010	0.000
YJL212C	0.016	0.001	0.000
YOR266W	0.000	0.010	0.015
YDR337W	0.001	NaN	0.001
YDR497C	0.000	0.006	0.003
YMR287C	0.000	0.003	0.001
YLR331C	0.000	0.001	0.012
YLR024C	0.010	0.005	0.000
YMR070W	0.001	NaN	0.005
YKL008C	0.006	0.007	0.000
YJL096W	0.002	0.002	0.000
YNL330C	0.004	0.001	NaN
YGL118C	0.002	0.001	0.008
YDR276C	0.018	0.012	0.001
YBR151W	0.000	0.008	0.006
YLR203C	0.004	0.003	0.000
YKL114C	0.015	0.011	0.000
YDR063W	0.000	0.011	0.005
YMR215W	0.001	0.010	0.001
YDL046W	0.000	0.009	0.003
YDR226W	0.003	0.000	0.009
YLR044C	0.004	0.009	0.001
YPL187W	0.001	0.005	0.041
YLR091W	0.000	0.006	0.000
YLR403W	0.004	NaN	0.000
YML050W	0.000	0.008	0.004
YGR219W	0.000	NaN	0.003
YOR114W	0.018	0.007	0.000
YDR439W	0.000	0.006	0.017
YJL216C	0.031	0.008	0.000
YJL089W	0.016	0.010	0.000
YMR160W	0.000	0.007	0.012
YLL024C	0.027	0.007	0.000
YNL138W	0.000	0.015	0.010
YLR015W	0.014	0.013	0.001
YLR081W	0.001	0.008	0.002
YGR255C	0.001	NaN	0.002
YKL151C	0.034	0.007	0.000
YPL125W	0.000	0.011	0.051
YLL006W	0.005	0.003	0.000
YCR088W	0.000	0.032	0.001
YLR319C	0.007	0.005	0.000
YLR332W	0.000	0.003	0.007
YBR201W	0.000	0.005	0.001
YLR118C	0.002	0.013	0.001
YAR029W	0.026	0.014	0.000
YLR150W	0.003	0.001	0.009
YLR023C	0.000	0.007	0.001
YMR015C	0.014	NaN	0.001
YDR447C	0.000	0.004	0.004
YDL034W	0.000	0.004	0.001
YOR276W	0.000	0.004	0.020
YDR520C	0.000	0.008	0.016
YLL018C-A	0.000	NaN	0.004
YDR534C	0.000	0.003	0.003
YMR232W	0.001	0.008	0.001
YLR287C-A	0.001	0.003	0.000
YPL157W	0.000	0.009	0.006
YDR017C	0.001	0.002	0.001
YMR172C-A	0.000	0.004	0.001
YDR120C	0.000	0.010	0.016
YDR364C	0.000	0.008	NaN
YFL001W	0.017	0.001	0.000
YPL215W	0.000	0.004	0.001
YJL209W	0.015	0.005	0.000
YNL327W	0.000	0.014	0.001
YAL059W	0.002	0.005	0.000
YOR099W	0.015	0.005	0.001
YOR014W	0.007	0.002	0.000
YLR139C	0.000	0.028	0.000
YKL087C	0.001	0.003	0.000
YPR013C	0.000	0.006	0.016
YOR025W	0.000	0.020	0.000
YJL176C	NaN	0.001	0.000
YGR052W	0.013	0.000	0.008
YLR202C	0.000	0.002	NaN
YPR124W	0.008	0.000	0.009
YGL214W	0.013	0.002	0.001
YDR375C	0.000	0.009	0.001
YDR411C	0.000	0.012	0.005
YJL193W	0.009	0.004	0.000
YOR010C	0.000	0.014	0.001
YKR006C	0.000	0.004	0.001
YGR069W	0.014	0.000	0.002
YBR185C	0.005	0.011	0.000
YNL148C	0.002	0.002	0.000
YLR176C	0.013	0.013	0.001
YOR107W	0.019	0.003	0.001
YPL101W	0.000	0.009	0.002
YHR082C	0.003	0.032	0.000
YDR143C	0.000	0.016	0.001
YLR058C	0.001	0.007	0.001
YGR163W	0.015	0.001	0.002
YMR170C	0.000	0.008	0.001
YDR006C	0.000	0.003	0.005
YEL014C	0.000	0.001	0.008
YPL179W	0.000	0.013	0.001
YAL040C	0.001	0.007	0.012
YNL276C	0.003	0.001	NaN
YKL064W	0.023	0.036	0.000
YKL046C	0.012	0.018	0.000
YAL036C	0.003	0.010	0.000
YNL248C	0.000	0.009	0.001
YMR257C	0.000	NaN	0.006
YKL126W	0.008	0.003	0.000
YGL151W	0.000	0.003	0.002
YNL199C	0.000	0.010	0.000
YDR518W	0.001	NaN	0.018
YDR393W	0.001	0.011	0.009
YMR233W	0.001	0.009	0.001
YOR298C-A	0.000	0.003	0.012
YPL079W	0.004	0.002	0.000
YJR122W	0.000	0.006	0.001
YBR134W	0.000	0.001	0.006
YLR072W	0.003	0.006	0.000
YKL034W	0.012	0.010	0.000
YPL180W	0.023	0.002	0.000
YDR005C	0.001	0.004	0.002
YLR059C	0.002	0.009	0.001
YCL048W	0.001	0.003	0.000
YGL121C	0.000	0.010	0.003
YKL168C	0.020	0.006	0.000
YDL035C	0.000	0.004	0.001
YKL065C	0.018	0.013	0.001
YGL234W	0.000	0.001	0.025
YPL109C	0.000	0.014	0.001
YLR270W	0.001	0.001	NaN
YLR053C	0.000	0.007	0.004
YDR491C	0.000	NaN	0.002
YOR302W	0.000	0.003	0.020
YDL114W	0.000	0.000	0.016
YGR135W	0.001	0.008	0.001
YMR286W	0.000	0.008	0.001
YMR072W	0.000	NaN	0.002
YDL151C	0.000	0.006	0.000
YMR283C	NaN	0.002	0.001
YMR150C	0.000	0.001	0.005
YDR443C	0.000	0.005	0.001
YDR028C	0.001	0.003	0.029
YMR196W	0.000	0.012	0.000
YDR068W	0.000	0.013	0.011
YPR116W	0.009	0.001	NaN
YHL038C	0.000	0.002	0.001
YMR023C	0.010	0.009	0.000
YPR008W	0.000	0.007	0.015
YDR533C	0.000	0.003	0.003
YMR020W	0.001	0.009	0.000
YLR047C	0.000	0.010	0.001
YGR062C	0.000	0.035	0.001
YLR056W	0.000	NaN	0.004
YOL151W	0.000	0.010	0.009
YER017C	0.000	0.005	0.001
YMR153C-A	0.000	0.004	0.004
YJL064W	0.006	0.012	0.000
YBR003W	0.008	NaN	0.000
YOR297C	0.000	0.013	0.000
YLR020C	0.000	0.005	0.001
YLR079W	0.000	0.007	0.004
YDL181W	0.000	0.004	NaN
YCR028C	0.000	0.002	0.017
YNL005C	0.009	NaN	0.000
YBR133C	0.000	0.006	0.002
YKL130C	0.019	0.007	0.000
YAR042W	0.001	0.005	0.000
YMR266W	0.002	0.002	0.000
YEL015W	0.000	0.013	0.007
YGL148W	0.000	0.005	0.015
YOL004W	0.000	0.005	0.000
YMR238W	0.003	0.004	0.000
YPL106C	0.000	0.018	0.001
YKL120W	0.017	0.005	0.000
YJL218W	0.014	0.006	0.000
YMR275C	0.000	0.002	0.001
YKL051W	0.015	0.011	0.000
YJL066C	0.004	0.014	0.000
YOL009C	0.034	NaN	0.000
YKL171W	0.011	0.007	0.000
YBR195C	0.008	0.005	0.000
YIL092W	0.000	0.005	0.010
YMR184W	0.000	0.006	0.001
YJL217W	0.022	0.007	0.000
YDR504C	0.000	NaN	0.005
YDR470C	0.000	NaN	0.003
YKL134C	0.000	0.010	0.004
YLR207W	0.025	0.004	0.000
YDL088C	0.000	0.005	0.005
YPL027W	0.000	0.002	0.012
YBL099W	0.007	NaN	0.000
YJL003W	0.002	NaN	0.000
YHR081W	0.000	0.011	0.000
YJL162C	0.000	0.003	0.000
YKL170W	0.000	0.004	0.002
YJR005W	0.000	0.003	0.004
YPL086C	0.003	0.000	0.000
YMR193W	0.009	0.001	0.000
YHR114W	0.003	0.003	0.000
YJL185C	0.000	0.030	0.000
YIL125W	0.013	0.014	0.000
YLR027C	0.000	0.000	0.019
YDL067C	0.004	NaN	0.000
YDR083W	0.000	0.016	0.010
YDL032W	0.000	0.007	0.002
YDR104C	0.000	0.006	0.011
