ORF	hap a | transport to/from cell surface (CPY) | standard [standard] | Schluter C~Conibear E, 2008	hap alpha | transport to/from cell surface (CPY) | standard [standard] | Schluter C~Conibear E, 2008	hom | transport to/from cell surface (CPY) | standard [standard] | Schluter C~Conibear E, 2008
YML035C	0.033	0.016	0.021
YDL070W	0.017	0.010	0.118
YMR125W	0.058	0.018	0.011
YKL221W	0.022	0.033	0.012
YOR115C	0.032	0.014	0.028
YER016W	0.083	0.032	0.011
YER175C	0.024	0.020	0.016
YHR057C	0.034	0.035	0.015
YNL117W	0.012	0.088	0.011
YPL247C	0.034	0.016	0.015
YOR008C-A	0.024	0.023	0.031
YIL077C	0.053	0.016	0.025
YCL056C	0.013	0.014	0.024
YIL076W	0.048	0.021	0.029
YPR030W	0.041	0.018	0.006
YMR299C	0.014	0.031	0.020
YFL026W	0.022	0.023	NaN
YCR059C	0.016	0.027	0.011
YER187W	0.036	0.016	0.013
YJL110C	0.034	0.020	0.018
YPL263C	0.049	0.013	0.012
YPR179C	0.054	0.059	0.006
YLR204W	0.001	0.023	0.042
YNL250W	0.028	0.023	0.026
YOR219C	0.013	0.028	0.013
YIL096C	0.084	0.020	0.008
YCR026C	0.048	0.023	0.016
YDR179W-A	0.009	0.033	0.078
YDR269C	0.032	0.003	0.023
YLR172C	0.027	0.017	0.023
YIL016W	0.011	0.095	0.019
YJL115W	0.030	0.013	0.000
YMR143W	0.028	0.000	0.150
YMR029C	0.038	0.031	0.016
YBR175W	0.048	0.023	0.003
YNL101W	0.023	0.028	0.020
YOL050C	0.028	0.017	0.066
YJL051W	0.037	0.025	0.011
YLR443W	0.025	0.024	0.022
YEL054C	0.023	0.006	0.231
YGR178C	0.021	0.035	0.012
YIR014W	NaN	0.034	0.017
YJR091C	0.021	0.021	0.024
YBR090C	0.054	0.022	0.009
YNL068C	0.047	0.015	0.025
YNL057W	0.983	0.007	0.015
YIR020W-A	0.021	0.033	0.020
YJR032W	0.025	0.013	0.091
YPL205C	0.022	0.003	0.188
YPL060W	0.043	0.013	0.029
YER155C	0.040	0.022	0.015
YHR021W-A	0.028	0.017	0.021
YKR023W	0.025	0.026	0.016
YNL012W	0.022	0.007	0.044
YKL179C	0.016	0.023	0.025
YHR049W	0.044	0.021	0.005
YDR469W	0.038	0.035	0.011
YOL075C	0.018	0.030	0.009
YDR100W	0.037	0.022	0.024
YMR316C-B	0.042	0.032	0.006
YNR002C	0.026	0.026	0.021
YIL012W	0.011	0.099	0.013
YIR005W	0.031	0.011	0.012
YDR378C	0.001	0.097	0.040
YAL068C	0.078	0.005	0.022
YJR073C	0.033	0.017	0.006
YHR038W	0.022	NaN	NaN
YGL063W	0.029	0.021	0.013
YFL028C	0.009	0.018	0.029
YLL052C	0.022	0.003	0.518
YDR173C	0.022	0.022	0.022
YCR045C	0.070	0.022	0.051
YER063W	0.024	0.017	0.023
YKL204W	0.045	0.019	0.019
YNL270C	0.040	0.016	0.044
YLR227C	0.022	0.022	0.136
YCR090C	0.045	0.016	0.017
YKL150W	0.019	0.006	0.037
YJL103C	0.054	0.021	0.024
YLR173W	0.067	0.011	0.015
YNL058C	0.027	0.012	0.010
YPR189W	0.033	0.023	0.003
YFL027C	0.025	0.023	0.022
YDL225W	0.040	0.017	0.028
YIL100W	0.045	0.025	0.011
YIR034C	NaN	0.021	0.019
YKR046C	0.045	0.015	0.013
YNL134C	0.021	0.035	0.023
YBR103W	0.011	0.017	0.092
YHR131C	NaN	0.021	0.025
YIL105C	0.016	0.022	0.017
YHR132W-A	NaN	0.021	0.026
YNR019W	0.024	0.024	0.015
YDR392W	0.178	0.021	0.003
YBR235W	0.093	0.018	0.010
YNL108C	0.021	0.023	0.017
YER077C	0.025	NaN	0.014
YGL250W	0.048	0.001	0.021
YKL220C	0.022	0.017	0.019
YNR004W	0.031	0.031	0.013
YAL004W	0.032	0.012	0.011
YKL202W	NaN	0.040	0.018
YOR290C	NaN	0.021	0.041
YKR106W	NaN	0.021	0.034
YJR095W	0.026	0.021	0.027
YKR069W	0.018	0.021	0.024
YGR078C	0.036	0.004	0.064
YMR251W-A	0.014	0.053	0.008
YNL167C	0.026	0.013	0.029
YKL201C	0.011	0.020	0.010
YBR128C	0.000	NaN	0.113
YBR291C	0.063	0.021	0.082
YML099W-A	0.010	0.027	0.070
YCR019W	0.018	0.023	0.019
YKL115C	0.026	0.020	0.070
YNL219C	0.020	0.023	0.011
YJR119C	0.034	0.013	0.017
YIL167W	0.021	0.039	0.016
YDR357C	0.016	0.037	0.013
YDR067C	0.056	0.017	0.017
YHR180W	0.025	0.010	0.016
YPL158C	0.059	0.021	0.009
YPL050C	0.061	0.017	0.336
YNL021W	0.050	0.010	0.018
YLL048C	0.027	0.015	0.033
YNL092W	0.037	0.017	0.027
YKL096W-A	0.024	0.018	0.029
YNL054W	0.020	0.014	0.156
YHR037W	0.014	0.057	0.007
YFR043C	0.043	0.017	0.026
YNL229C	0.048	0.013	0.035
YER176W	0.020	0.024	0.018
YLR124W	NaN	0.020	0.063
YPL259C	0.001	0.024	0.042
YKR070W	0.012	0.025	0.021
YIR031C	0.035	0.020	0.019
YGR139W	0.015	0.061	0.009
YNL121C	0.020	0.040	0.018
YBL006C	0.042	0.029	0.004
YDL106C	0.017	0.006	0.069
YPL184C	0.030	0.020	0.041
YMR282C	0.037	0.015	0.010
YLR250W	0.017	0.017	0.042
YGL071W	0.025	0.028	0.011
YLR165C	0.031	0.053	0.005
YNL087W	0.051	0.020	0.010
YOL087C	0.000	0.047	0.062
YLR346C	0.000	0.024	0.031
