orf	hap a | protein/peptide metabolism (unfolded protein response (UPR)) | standard [standard] | Jonikas MC~Schuldiner M, 2009
YDR319C	0.04066202
YDR320C	0.9944149
YDR321W	-0.04806788
YDR322W	-0.2117299
YDR323C	-0.4199025
YDR326C	-0.04395019
YDR329C	-0.1117774
YDR330W	-0.08048703
YDR332W	-0.2237429
YDR333C	-0.2563059
YDR334W	0.2655088
YDR335W	-0.8940003
YDR336W	-0.03455636
YDR337W	0.01393422
YDR338C	0.07226021
YDR340W	0.06450082
YDR344C	0.05405906
YDR345C	-0.0009537549
YDR346C	0.01623139
YDR348C	0.1820109
YDR349C	-0.09162336
YDR351W	0.01935362
YDR352W	0.01580702
YDR354W	-0.06720097
YDR357C	0.05201465
YDR358W	0.128646
YDR359C	-0.989361
YDR360W	-0.5282311
YDR363W	-0.05938519
YDR363W-A	0.02589751
YDR368W	0.03188228
YDR369C	-0.3313955
YDR370C	0.02019564
YDR371W	0.03909208
YDR372C	0.8589577
YDR374C	0.0452526
YDR375C	-0.09642699
YDR378C	-0.3321851
YDR379W	0.08069338
YDR380W	-0.03465788
YDR382W	-1.563806
YDR383C	-0.1007039
YDR384C	0.03714425
YDR385W	0.04041131
YDR386W	-0.110165
YDR387C	-0.07268804
YDR388W	0.2645428
YDR389W	0.5712199
YDR391C	-0.122267
YDR392W	-2.313652
YDR393W	-0.3641477
YDR395W	-0.3534231
YDR399W	0.08854375
YDR400W	0.008682905
YDR401W	-0.001904988
YDR402C	-0.02964226
YDR403W	0.02083108
YDR406W	-0.04952474
YDR408C	-0.06529907
YDR409W	0.04443522
YDR410C	0.010323
YDR411C	0.1230939
YDR414C	2.771917
YDR415C	0.04695939
YDR417C	-0.1415981
YDR418W	-0.5389326
YDR419W	0.04344613
YDR420W	-0.009698738
YDR421W	0.05497435
YDR422C	0.05747639
YDR423C	0.0136582
YDR424C	-0.03416085
YDR425W	-0.09965416
YDR426C	-0.1249906
YDR428C	-0.01371951
YDR430C	-0.1070106
YDR431W	-0.1542254
YDR432W	-1.011622
YDR433W	0.04304963
YDR435C	-0.2004908
YDR436W	0.05554026
YDR438W	-0.1680517
YDR439W	-0.4062269
YDR440W	0.1923527
YDR441C	0.08166597
YDR442W	0.3931863
YDR443C	0.71835
YDR444W	-0.1474265
YDR445C	-0.04943983
YDR446W	-0.08116334
YDR447C	-0.4881864
YDR448W	-1.942441
YDR450W	-0.9965887
YDR451C	-0.01158626
YDR452W	-0.01328543
YDR453C	-0.00715932
YDR455C	0.7111244
YDR456W	0.5729071
YDR457W	-0.3023768
YDR458C	-0.09465413
YDR459C	0.05154742
YDR463W	-0.1272804
YDR465C	-0.02647918
YDR466W	0.03707206
YDR467C	-0.002561745
YDR469W	-0.1783723
YDR471W	-0.9485731
YDR475C	0.009835545
YDR476C	0.03637845
YDR477W	0.1656812
YDR479C	3.203305e-06
YDR480W	-0.04472568
YDR481C	0.08320386
YDR482C	0.2739198
YDR483W	-0.03761675
YDR484W	1.542145
YDR485C	0.4637849
YDR486C	-0.0286548
YDR488C	-0.03701308
YDR490C	-0.1173174
YDR491C	0.02855755
YDR492W	0.1675621
YDR493W	-0.1361122
YDR494W	0.05953459
YDR495C	0.3618849
YDR496C	-1.022384
YDR497C	0.3467482
YDR500C	-1.228699
YDR501W	-0.03960649
YDR502C	0.09544311
YDR503C	-0.07620242
YDR504C	0.001177267
YDR505C	-0.03092009
YDR506C	0.03002168
YDR508C	0.2429565
YDR509W	-0.01925671
YDR511W	-0.07976367
YDR512C	-0.1266234
YDR513W	0.01144353
YDR514C	-0.1689364
YDR515W	-0.2735688
YDR516C	0.008950717
YDR517W	0.2445394
YDR518W	0.5069776
YDR519W	0.01638848
YDR520C	-0.02900829
YDR522C	-0.06361277
YDR523C	0.06070318
YDR524C	-0.06478697
YDR525W	1.257188
YDR525W-A	0.05272096
YDR528W	0.003454771
YDR529C	-0.2496694
YDR530C	-0.006677805
YDR532C	-1.152982
YDR533C	-0.07415537
YDR534C	-0.08349906
YDR535C	0.05887823
YDR536W	0.07406956
YDR537C	-0.2564145
YDR538W	0.01175235
