orf	hom | growth (relative abundance in pooled culture) | Pn-AMP1 [3.2uM] | Kwon Y~Koo JC, 2016	het | growth (relative abundance in pooled culture) | Pn-AMP1 [3.2uM] | Kwon Y~Koo JC, 2016
YDR101C	0.97	
YDR102C	-0.11	
YDR104C	1.39	
YDR105C	-1.16	
YDR107C	-2.59	
YDR108W	-2.06	
YDR109C	-1.42	
YDR110W	-1.95	
YDR111C	-0.26	
YDR112W	-2.21	
YDR113C		-1.47
YDR114C	1.61	
YDR115W	2.4	
YDR116C	-0.19	
YDR117C	0.37	
YDR118W		0.49
YDR119W	-0.07	
YDR120C	-0.04	
YDR121W	0.26	
YDR122W	0.26	
YDR123C	0.56	
YDR124W	1.12	
YDR125C	0.22	
YDR126W	-2.29	
YDR127W	-0.49	
YDR128W	2.14	
YDR130C	-0.64	
YDR131C	0.19	
YDR132C	0.75	
YDR133C	1.65	
YDR135C	2.06	
YDR136C	-1.01	
YDR137W	-2.17	
YDR138W	2.17	
YDR139C	0.19	
YDR140W	-0.3	
YDR141C		-0.12
YDR142C	-1.91	
YDR143C	0.82	
YDR144C	-0.07	
YDR145W		-0.31
YDR146C	-0.11	
YDR147W	0.67	
YDR148C	-2.59	
YDR149C	-3.07	
YDR150W	0.0	
YDR151C	0.52	
YDR152W	0.82	
YDR153C	-0.15	
YDR154C	1.05	
YDR155C	-0.71	
YDR156W	0.22	
YDR157W	0.0	
YDR158W	-0.97	
YDR159W	1.2	
YDR160W		-0.67
YDR161W	2.21	
YDR162C	-3.41	
YDR163W	3.75	
YDR164C		-0.8
YDR165W	-0.41	
YDR166C		1.53
YDR167W		0.06
YDR168W		5.27
YDR169C	-0.97	
YDR170C		-0.49
YDR171W	0.45	
YDR172W		0.86
YDR173C	0.11	
YDR174W	1.61	
YDR176W	-3.41	
YDR177W		2.82
YDR178W	0.07	
YDR179C	-0.6	
YDR179W-A	-0.9	
YDR180W		-0.12
YDR181C	0.11	
YDR182W		-0.55
YDR183W	-0.97	
YDR184C	0.82	
YDR185C	-0.11	
YDR186C	-0.56	
YDR187C		-0.86
YDR188W		-0.25
YDR189W		-0.55
YDR190C		-2.33
YDR191W	-1.27	
YDR192C	0.15	
YDR193W	0.19	
YDR195W	-1.39	
YDR196C		-0.37
YDR197W	-1.31	
YDR198C	-0.3	
YDR199W	-0.04	
YDR200C	-0.56	
YDR201W		0.55
YDR202C	1.05	
YDR203W	-0.52	
YDR204W	-0.3	
YDR205W	0.6	
YDR206W	-0.07	
YDR207C	-7.01	
YDR208W		-0.61
YDR209C	-0.11	
YDR210W	0.67	
YDR211W		0.74
YDR212W		2.21
YDR213W	0.79	
YDR214W	-0.52	
YDR215C	-0.3	
YDR216W	-1.09	
YDR217C	0.3	
YDR218C	-0.15	
YDR219C	-0.79	
YDR220C	0.52	
YDR221W	1.35	
YDR222W	0.37	
YDR223W	-0.15	
YDR224C		0.7350000000000001
YDR225W	-0.3	
YDR226W	-5.62	
YDR228C		0.67
YDR229W	0.34	
YDR230W	-0.45	
YDR231C	6.33	
YDR232W		-0.37
YDR233C	-0.15	
YDR234W	0.15	
YDR235W		-0.67
YDR236C		0.49
YDR237W	3.56	
YDR238C		0.18
YDR239C	0.94	
YDR240C		0.25
