orf	hap a (post-SGA) | growth (colony size) | expression of amyloid-beta 42 | SGA final selection medium | Chen X~Petranovic D, 2020
YDR146C	0.13908500000000001
YDR147W	-0.08836000000000002
YDR148C	0.133265
YDR149C	0.227155
YDR150W	0.077435
YDR151C	0.07787
YDR152W	-0.038645
YDR153C	-0.30157999999999996
YDR154C	0.14056
YDR155C	-0.08858
YDR156W	0.056650000000000006
YDR157W	-0.079655
YDR158W	0.109415
YDR159W	-0.09323500000000001
YDR161W	0.004725
YDR162C	-0.088285
YDR163W	-0.226135
YDR165W	0.11429
YDR169C	-0.029015
YDR171W	-0.11710000000000001
YDR173C	-0.62338
YDR174W	0.46279000000000003
YDR178W	0.03102
YDR179C	0.075015
YDR179W-A	-0.0673
YDR181C	-0.129765
YDR183W	0.13085
YDR184C	0.30505499999999997
YDR185C	-0.010290000000000007
YDR186C	0.18882
YDR191W	-0.05505500000000001
YDR192C	0.08635499999999999
YDR193W	0.124615
YDR198C	0.187085
YDR199W	-0.27778
YDR202C	0.148555
YDR203W	0.035644999999999996
YDR205W	0.13903
YDR206W	-0.036324999999999996
YDR207C	0.52062
YDR209C	-0.12162
YDR210W	0.11603000000000001
YDR213W	-0.009160000000000001
YDR214W	-0.03474
YDR215C	0.046145
YDR216W	0.070665
YDR217C	0.026275
YDR218C	-0.06554
YDR219C	0.13587
YDR220C	-0.05786
YDR221W	-0.24832500000000002
YDR222W	0.034725
YDR223W	0.118695
YDR225W	0.24529
YDR227W	0.0
YDR229W	0.060090000000000005
YDR233C	-0.08016999999999999
YDR234W	0.040425
YDR239C	0.25523
YDR241W	-0.24636
YDR242W	0.10596
YDR244W	0.08948500000000001
YDR245W	-0.8913550000000001
YDR247W	0.023425
YDR248C	-0.085315
YDR249C	0.14251
YDR250C	0.071795
YDR251W	-0.01234
YDR252W	-0.032505
YDR253C	-0.08986
YDR254W	0.010815
YDR255C	-0.053965
YDR256C	0.05657
YDR257C	0.045585
YDR258C	-0.12238
YDR259C	0.21
YDR260C	-0.09726499999999999
YDR261C	-0.0283
YDR262W	0.012924999999999999
YDR263C	-0.05946
YDR265W	0.09342500000000001
YDR266C	-0.07934
YDR269C	-0.054315
YDR270W	0.14555
YDR271C	0.17585499999999998
YDR272W	-0.099825
YDR273W	0.26315
YDR274C	0.09800500000000001
YDR275W	0.07864000000000002
YDR276C	0.0
YDR277C	-0.121985
YDR278C	-0.04557
YDR279W	0.13398
YDR281C	0.175985
YDR282C	0.113535
YDR284C	0.09999
YDR285W	-0.025830000000000002
YDR286C	0.107575
YDR287W	0.039040000000000005
YDR289C	0.191245
YDR290W	0.10485
YDR291W	-0.06003
YDR293C	0.15506999999999999
YDR294C	-0.05871
YDR297W	0.0021699999999999983
YDR304C	-0.19116
YDR305C	0.029985
YDR306C	-0.171105
YDR307W	-0.024334999999999996
YDR309C	-0.208375
YDR310C	-0.49621499999999996
YDR312W	0.17811
YDR313C	0.011880000000000002
YDR314C	-0.05392
YDR315C	-0.15829500000000002
YDR316W	0.14396
YDR317W	0.129495
YDR318W	-0.26678999999999997
YDR319C	-0.11446
YDR320C	-0.516275
YDR321W	0.023420000000000003
YDR326C	-0.12052
YDR329C	-0.08247499999999999
YDR330W	-0.211685
YDR332W	0.11912
YDR333C	0.03919500000000001
YDR334W	-0.053995
YDR335W	-0.45272
YDR336W	0.00673
YDR338C	-0.052164999999999996
YDR340W	0.093995
YDR344C	-0.01145
YDR345C	0.133415
YDR346C	0.48411499999999996
YDR348C	-0.172695
YDR349C	0.007880000000000002
YDR351W	-0.0748
YDR352W	-0.09305999999999999
YDR354W	-0.008159999999999997
YDR357C	0.02312
YDR358W	-0.08000499999999999
YDR359C	0.02339
YDR360W	-0.09640499999999999
YDR363W	0.178695
YDR363W-A	0.028265
YDR368W	0.13754
YDR369C	-0.10303
YDR370C	0.046955
YDR371W	-0.1
YDR372C	-0.275885
YDR374C	0.09734000000000001
YDR375C	0.184665
YDR378C	0.553365
YDR379W	0.030335
YDR380W	0.02355
YDR382W	-0.25855
YDR383C	0.09207
YDR384C	-0.17250000000000001
YDR385W	0.10557
YDR386W	-0.031814999999999996
YDR387C	-0.0111
YDR388W	-0.53349
YDR389W	-0.79916
YDR391C	-0.06965
YDR392W	0.36856500000000003
YDR393W	0.018629999999999994
YDR395W	0.118695
YDR399W	-0.134755
YDR400W	0.192575
YDR401W	-0.085365
YDR402C	-0.020605000000000002
YDR403W	-0.024524999999999998
YDR406W	-0.09777
YDR408C	0.08595499999999999
YDR409W	0.06869
YDR410C	0.0
YDR411C	0.074695
YDR414C	-0.66429
YDR415C	-0.149445
YDR419W	0.01235
YDR420W	-0.008365000000000001
YDR421W	-0.09246
YDR422C	0.052454999999999995
YDR423C	0.13121
YDR424C	0.19052999999999998
YDR425W	-0.27666999999999997
YDR426C	-0.12608
YDR428C	-0.057435
YDR430C	0.0030549999999999952
YDR431W	0.098445
YDR435C	0.04886
YDR436W	0.1176
