orf	hom | viral RNA replication (luciferase expression) | standard [standard] | Kushner DB~Ahlquist P, 2003
YDR043C	0.2996550227476253
YDR046C	-0.07319723801513754
YDR048C	0.0907467511889672
YDR049W	3.9392753090057613
YDR051C	-0.2169691688221029
YDR055W	0.09121013761666354
YDR056C	-0.24514814590269754
YDR057W	-0.13513029789137004
YDR058C	0.1801307168861878
YDR059C	-0.31792848000314056
YDR061W	-0.0950998466949468
YDR063W	-0.7034378330068793
YDR065W	
YDR066C	-0.43351582425328866
YDR067C	-1.4309581855685904
YDR068W	-0.011859831524267556
YDR069C	-1.7980682738093803
YDR070C	-0.2565026685787465
YDR071C	-0.2028787093634387
YDR072C	-0.21558955983327108
YDR073W	-0.17175352535118976
YDR074W	
YDR075W	-0.6699194911732618
YDR076W	0.82577131896576
YDR077W	1.1725948470187724
YDR078C	-0.08521237889447593
YDR079W	
YDR080W	
YDR083W	0.6806497883526001
YDR084C	-0.1466047587973383
YDR085C	-0.09255531223489318
YDR089W	-0.24538265987482605
YDR090C	0.3010341271456496
YDR092W	-0.5127631362381835
YDR093W	0.8408802503181722
YDR094W	0.8005086491155369
YDR095C	0.059285494539733224
YDR096W	-0.055183697026345783
YDR097C	0.49575351360499464
YDR098C	0.09629761775959793
YDR099W	0.5473071557409266
YDR100W	0.3403186231133695
YDR101C	0.22581510377200192
YDR102C	-0.023850064402774786
YDR104C	0.1875967068494764
YDR105C	-0.052499473148741066
YDR107C	0.22656965873420398
YDR108W	0.6495656550839961
YDR109C	0.023876951482945375
YDR110W	0.1893794338145322
YDR111C	-0.09851792075364357
YDR112W	0.40337428003959375
YDR114C	
YDR115W	
YDR116C	0.6059414877556945
YDR117C	0.913531055731373
YDR119W	0.5988859435540115
YDR120C	-0.07711729037553659
YDR121W	-0.29417936367551295
YDR122W	-0.15482912475969435
YDR123C	
YDR124W	0.6492756606158255
YDR125C	0.4552960590972435
YDR126W	
YDR127W	
YDR128W	0.2334814623932981
YDR129C	
YDR130C	0.26973605460456057
YDR131C	0.5223250738034436
YDR132C	0.27651178736633764
YDR133C	-0.6893359251494404
YDR135C	-0.16339374719819483
YDR136C	
YDR137W	
YDR138W	
YDR139C	-0.3836997745390385
YDR140W	
YDR142C	-0.1226791705581744
YDR143C	-0.18433615043640592
YDR144C	0.38481968802320204
YDR146C	-0.2965881742435807
YDR147W	0.2861475790195475
YDR148C	0.054018253738016664
YDR149C	-0.15230849244602113
YDR150W	1.686782993992421
YDR151C	-0.42173806060516883
YDR152W	-0.48210956846364456
YDR153C	-0.8950708578618136
YDR154C	-0.16520112184427013
YDR155C	-0.5769736123380851
YDR156W	-1.8444468689341533
YDR157W	-1.1934279515038186
YDR158W	
YDR159W	
YDR161W	
YDR162C	
YDR163W	-0.32620499913140394
YDR165W	-0.2395385846831019
YDR169C	0.02097059724009357
YDR171W	-0.1451304253718767
YDR173C	0.25423497203609613
YDR174W	
YDR175C	
YDR176W	
YDR178W	-1.132142539164317
YDR179C	-0.3262381211617123
YDR179W-A	-0.9067276948325104
YDR181C	-0.07784649752946751
YDR183W	-0.6279883223274942
YDR184C	-0.6885536883049059
YDR185C	-0.3892405755882606
YDR186C	-0.344172768975649
YDR191W	-0.12561714747717975
YDR192C	-0.7277159213307658
YDR193W	-0.4393155038008674
YDR194C	
YDR195W	0.8355572504107195
YDR197W	
YDR198C	-0.7483538423011097
YDR199W	-0.8839441781845215
YDR200C	
YDR202C	0.6291855030112241
YDR203W	-0.35607623771414376
YDR204W	
YDR205W	1.2428229864387823
YDR206W	0.2509271582536444
YDR207C	1.4417039934196014
YDR209C	-0.27251187968930024
YDR210W	0.008839593470288048
YDR213W	-0.5390233621148898
YDR214W	-0.5384822677336593
YDR215C	0.21394700305712563
YDR216W	0.16861946814368964
YDR217C	0.2281353834837926
YDR218C	-0.25762837920343257
YDR219C	-0.27253262684399165
YDR220C	-0.36586582172361815
YDR221W	-0.4611892717171739
YDR222W	0.45464943583583733
YDR223W	-0.39274499127972684
YDR225W	0.7402302992138422
YDR226W	
YDR229W	-0.41781140916445175
YDR230W	
YDR231C	
YDR233C	-0.9272112713935244
YDR234W	
YDR237W	
YDR239C	-0.23938081654964027
YDR241W	-1.465640121135248
YDR242W	-0.04215768698046659
YDR244W	0.22840832140782283
YDR245W	-0.19637553053862636
YDR247W	-0.09858893309125048
YDR248C	-0.27073129297574144
YDR249C	0.23975902875414962
YDR250C	0.2156568926280676
YDR251W	0.8750480726611229
YDR252W	-0.47903695462566576
YDR253C	-0.15085502659840797
YDR254W	-0.326341296045144
YDR255C	0.028833614435664002
YDR256C	-0.40315408632243865
YDR257C	-0.7835667292113634
YDR258C	0.30892279443432885
YDR259C	0.5091223977094858
YDR260C	1.1636851299532938
YDR261C	-0.20804368553461192
YDR262W	-0.4352739309592635
YDR263C	0.7059155355529786
YDR264C	
YDR265W	0.4906288010752686
YDR266C	0.19024887044569685
YDR268W	
YDR269C	-0.4955752838373917
YDR270W	0.9016688842777818
YDR271C	2.1410114702704095
YDR272W	0.383063616982416
YDR273W	0.4287968880262639
YDR274C	0.16789480389710196
YDR275W	0.24906198331051488
YDR276C	0.5724931610614824
YDR277C	-0.16153693318717663
YDR278C	-0.0249990013876137
YDR279W	-0.3272255870123972
YDR281C	
YDR282C	0.21860463700346358
YDR283C	-0.0380882652992282
YDR284C	0.24122462589117816
YDR285W	0.06358420209768237
YDR286C	0.19469538940138398
YDR287W	0.4486064481537922
YDR289C	0.8136043325584119
YDR290W	
YDR291W	0.02831407793376455
YDR293C	2.292448211509148
YDR294C	0.6323230717254116
YDR295C	-0.5024925600693945
YDR296W	
YDR297W	0.8231147212442816
YDR298C	
YDR300C	-0.8094945793110002
YDR304C	0.38119072299484386
YDR305C	0.8136869554645412
YDR306C	0.5154169154416037
YDR307W	0.005779878799516181
YDR309C	0.3691649431592387
YDR310C	0.041479665876343615
YDR312W	0.5347443233742663
YDR313C	0.005840312855735276
YDR314C	-0.3308769585778064
YDR315C	
YDR316W	-0.14216245954679324
YDR317W	-0.4648797355872179
YDR318W	
