orf	hap a | growth (colony size) | paromomycin [13 mg/ml] | Alamgir M~Golshani A, 2008
YEL033W	-0.88207
YEL036C	0.0
YEL037C	6.3225
YEL038W	-8.6608
YEL039C	-7.411
YEL040W	-21.523
YEL041W	16.669766666666664
YEL042W	50.021
YEL043W	7.9655
YEL044W	5.2123
YEL045C	25.713
YEL046C	0.0
YEL047C	0.39602
YEL048C	19.62
YEL049W	-10.991
YEL050C	-0.60955
YEL051W	0.0
YEL052W	-0.17954
YEL053C	10.842666666666666
YEL054C	12.093
YEL056W	10.409
YEL057C	20.827
YEL059W	53.559
YEL060C	-14.473
YEL061C	-12.592
YEL062W	0.71948
YEL063C	-0.74137
YEL064C	-9.9944
YEL065W	-14.432
YEL066W	-30.355
YEL067C	3.6450500000000003
YEL068C	18.511
YEL071W	-13.084
YEL072W	-13.393
YER001W	1.2815
YER002W	26.346
YER004W	-45.184
YER005W	10.746
YER007C-A	25.602
YER007W	-6.7511
YER010C	14.452
YER011W	0.50849
YER014C-A	8.279
YER014W	0.0
YER016W	8.177
YER017C	0.0
YER019C-A	16.811
YER019W	3.9201
YER020W	-52.963
YER024W	-38.472
YER027C	19.713
YER028C	-2.1774
YER030W	-18.771
YER031C	11.551449999999999
YER032W	-29.71
YER033C	-25.259
YER034W	6.3916
YER035W	-8.099350000000001
YER037W	6.374199999999999
YER038W-A	-26.873
YER039C	18.89
YER039C-A	17.004
YER040W	-78.633
YER041W	-19.474
YER042W	2.727
YER044C	16.4155
YER044C-A	17.36
YER045C	-44.749
YER046W	-29.222
YER046W-A	-8.5485
YER047C	-35.313
YER048C	1.0143
YER049W	41.8715
YER050C	-20.2465
YER051W	-46.125
YER052C	9.748
YER053C	7.1219
YER054C	23.13
YER055C	-37.153
YER056C	15.071
YER056C-A	-2.7486
YER057C	25.966
YER058W	2.01175
YER059W	-69.856
YER060W	-29.0455
YER060W-A	13.5205
YER061C	-3.5502
