ORF	Growth, OD600;external pH 2.7	Growth, OD600;external pH 4.0	Growth, OD600;external pH 7.0	Vacuolar pH (pHv);external pH 2.7	Vacuolar pH (pHv);external pH 4.0	Vacuolar pH (pHv);external pH 7.0
YBR226C	107.682	96.735	104.916	5.152	5.178	5.931
YBR227C	100.639	90.231	93.560	5.146	5.129	5.778
YBR228W	101.371	95.804	99.552	5.283	5.171	5.889
YBR229C	93.487	94.337	105.684	5.417	5.207	5.737
YBR230C	102.571	97.156	102.893	5.260	5.132	5.914
YBR231C	101.122	89.784	98.489	5.137	4.783	5.687
YBR232C	78.556	86.669	80.325	5.295	5.371	5.802
YBR233W	101.994	96.148	106.235	5.229	5.115	5.863
YBR235W	103.288	96.059	104.839	5.250	5.160	5.867
YBR238C	109.785	97.768	104.673	5.227	5.136	5.939
YBR239C	108.741	95.957	102.164	5.259	5.107	5.837
YBR240C	108.741	97.781	98.272	5.254	5.132	6.002
YBR241C	102.602	98.916	93.087	5.352	5.186	6.049
YBR242W	107.152	97.934	101.933	5.313	5.123	5.733
YBR244W	108.149	98.699	98.758	5.280	5.140	5.766
YBR245C	100.062	94.235	96.338	5.273	5.107	6.016
YBR246W	102.322	95.281	98.528	5.279	5.130	5.983
YBR248C	113.509	98.444	103.738	4.890	4.713	5.256
YBR249C	99.174	95.141	106.158	5.168	5.082	5.811
YBR250W	100.670	96.965	104.673	5.261	5.152	5.882
YBR251W	67.002	83.739	96.550	5.273	5.309	5.433
YBR255W	99.096	94.975	99.104	5.051	5.125	5.969
YBR258C	109.037	96.773	103.060	5.333	5.132	5.833
YBR259W	112.823	97.870	102.714	5.307	5.125	5.817
YBR260C	20.411	100.523	102.906	4.188	5.042	5.788
YBR261C	107.853	96.340	102.048	5.229	5.097	5.801
YBR262C	112.995	97.564	101.127	5.236	5.068	5.578
YBR263W	96.650	96.722	90.769	5.398	5.139	5.879
YBR264C	114.600	100.051	99.667	5.263	5.104	5.805
YBR266C	106.217	88.114	103.777	5.189	5.078	5.766
YBR267W	97.289	85.448	100.397	4.576	4.706	5.740
YBR268W	NaN	NaN	NaN	NaN	NaN	NaN
YBR269C	103.902	100.552	99.838	5.274	5.340	5.757
YBR270C	100.509	95.681	88.625	5.286	5.318	5.493
YBR271W	107.628	104.784	108.037	5.297	5.329	5.697
YBR272C	88.650	78.308	80.838	5.286	5.320	5.526
YBR273C	103.930	102.635	107.575	5.292	5.325	5.672
YBR274W	107.461	102.297	106.900	5.273	5.323	5.721
YBR275C	84.910	94.014	84.688	5.284	5.318	5.488
YBR276C	87.565	84.468	75.062	5.283	5.314	5.499
YBR277C	105.292	101.958	104.750	5.277	5.326	5.708
YBR278W	102.303	100.083	103.487	5.283	5.326	5.737
YBR279W	NaN	54.293	43.913	NaN	5.366	5.654
YBR280C	84.687	86.995	77.950	5.288	5.314	5.467
YBR281C	107.739	95.876	107.525	5.290	5.328	5.680
YBR282W	104.361	99.666	104.925	NaN	5.342	5.566
YBR283C	92.918	95.863	99.287	5.274	5.325	5.750
YBR284W	103.957	97.804	102.875	5.287	5.333	5.691
YBR285W	97.423	96.280	94.850	5.312	5.342	5.767
YBR286W	101.816	100.968	100.312	5.281	5.344	5.853
YBR287W	93.474	89.443	88.862	5.291	5.321	5.436
YBR288C	108.893	104.706	106.525	5.288	5.319	5.538
YBR289W	79.334	95.173	38.587	5.305	5.328	5.618
YBR290W	106.099	106.542	104.550	5.275	5.371	5.822
YBR291C	86.564	94.340	99.062	5.277	5.344	5.905
YBR292C	85.341	96.515	96.537	5.282	5.341	5.902
YBR293W	105.251	103.651	105.775	5.295	5.327	5.748
YBR294W	98.855	101.021	92.013	5.292	5.307	5.553
YBR295W	105.862	102.961	103.912	5.292	5.331	5.766
YBR296C	88.900	97.973	97.875	5.278	5.335	5.899
YBR297W	101.886	104.784	105.975	5.290	5.328	5.773
YBR298C	88.886	92.126	97.700	5.300	5.344	5.830
YBR299W	99.884	99.471	86.338	5.285	5.326	5.567
YBR300C	88.524	92.660	96.775	5.304	5.345	5.799
YBR301W	93.043	96.853	88.125	5.283	5.312	5.563
YCL001W	85.249	92.651	90.179	5.429	5.328	6.143
YCL001W-A	88.316	93.220	96.612	5.294	5.349	5.764
YCL002C	84.098	97.793	87.942	5.408	5.293	6.013
