orf	None | growth (colony size) | R3A-5a [1 uM] | Zatorska E~Strahl S, 2017
YDL022W	100.0
YDL023C	51.02040816326531
YDL024C	46.2962962962963
YDL025C	56.00000000000001
YDL026W	63.95348837209303
YDL027C	64.28571428571429
YDL032W	114.6341463414634
YDL033C	83.63636363636363
YDL034W	74.28571428571429
YDL035C	81.94444444444444
YDL036C	72.8395061728395
YDL037C	81.25
YDL039C	64.77502527805865
YDL041W	59.22330097087378
YDL042C	58.536585365853654
YDL044C	70.96774193548387
YDL045W-A	85.71428571428571
YDL046W	69.31818181818183
YDL047W	66.07142857142857
YDL048C	84.0
YDL049C	126.19047619047619
YDL050C	89.04109589041096
YDL051W	70.51282051282051
YDL052C	74.32432432432432
YDL053C	58.69565217391305
YDL054C	58.69565217391305
YDL056W	51.578947368421055
YDL057W	54.21686746987952
YDL059C	47.14285714285714
YDL061C	52.5
YDL062W	46.57534246575342
YDL063C	85.71428571428571
YDL065C	75.0
YDL066W	58.97435897435898
YDL067C	54.0
YDL070W	63.52941176470588
YDL071C	61.458333333333336
YDL073W	73.0
YDL074C	74.02597402597402
YDL076C	60.0
YDL077C	44.0
YDL078C	60.24096385542169
YDL079C	59.13978494623656
YDL080C	56.81818181818182
YDL081C	87.20930232558139
YDL082W	63.23529411764706
YDL083C	64.17910447761194
YDL085C-A	45.50295328441024
YDL085W	65.34653465346535
YDL086W	67.74193548387096
YDL090C	46.2962962962963
YDL091C	58.666666666666664
YDL093W	51.515151515151516
YDL094C	39.361702127659576
YDL095W	0.0
YDL096C	0.0
YDL099W	57.6271186440678
YDL100C	44.047619047619044
YDL104C	42.30769230769231
YDL106C	75.0
YDL107W	87.93103448275862
YDL109C	68.4931506849315
YDL110C	77.5
YDL112W	78.72340425531915
YDL113C	59.55056179775281
YDL114W	58.58585858585859
YDL116W	53.153153153153156
YDL117W	58.0952380952381
YDL118W	45.45454545454545
YDL119C	40.50632911392405
YDL121C	63.888888888888886
YDL122W	44.827586206896555
YDL123W	50.0
YDL124W	55.69620253164557
YDL125C	70.88607594936708
YDL127W	67.56756756756756
YDL128W	62.5
YDL129W	44.73684210526316
YDL130W	72.82608695652173
YDL130W-A	54.54545454545454
YDL131W	42.22222222222222
YDL133C-A	69.6649730073039
YDL133W	54.02298850574713
YDL134C	84.93150684931507
YDL135C	52.702702702702695
YDL136W	90.9090909090909
YDL137W	66.66666666666666
YDL138W	83.78378378378379
