ORF	hom | growth (relative abundance in pooled culture) | camptothecin [50 uM] | Deng C~Brown JM, 2005
YKL027W	0.990
YPL107W	0.990
YDR200C	0.990
YBL054W	0.990
YAR018C	0.990
YDR272W	0.990
YMR243C	0.990
YLR136C	0.990
YCR105W	0.990
YHL002W	0.990
YDR297W	0.990
YJR119C	0.991
YPR076W	0.991
YNL173C	0.991
YGR237C	0.991
YNR021W	0.991
YOR381W	0.991
YDL211C	0.991
YFL033C	0.991
YMR121C	0.991
YPR004C	0.991
YBL036C	0.991
YGL256W	0.991
YMR251W	0.991
YMR151W	0.991
YDR485C	0.991
YIL159W	0.991
YPL257W	0.991
YDR252W	0.991
YNL004W	0.991
YJL078C	0.991
YML011C	0.991
YER050C	0.991
YOR152C	0.991
YHR132W-A	0.991
YGR153W	0.991
YMR320W	0.991
YGR079W	0.991
YJL155C	0.991
YMR289W	0.991
YBR294W	0.992
