orf	hap a | inorganic phosphate abundance | standard [standard] | Freimoser FM~Amrhein N, 2006
YCL046W	-0.2138603339728833
YCL047C	-0.1934665252957133
YCL048W	-0.015494981041046064
YCL049C	0.02411930865438894
YCL050C	-0.005916769061739781
YCL051W	0.0814401707495252
YCL055W	-0.07328459445465299
YCL056C	-0.1644575752482442
YCL057W	0.30813087468833067
YCL058C	-0.12379890089518092
YCL061C	-0.18507766784307156
YCL063W	-0.10211923060561823
YCL064C	-0.16399440902291543
YCL069W	0.26712802666413554
YCL076W	-0.1594265361979524
YCR001W	-0.12239739681008314
YCR002C	0.23817890641089093
YCR003W	-0.05059098096522112
YCR004C	0.12360374622599839
YCR005C	-0.08054474627630208
YCR006C	0.2079227942209401
YCR007C	0.08298060988345202
YCR008W	0.045274045379386556
YCR009C	-0.0880371911881159
YCR010C	-0.21708995154166977
YCR011C	-0.49347887770066823
YCR014C	-0.0017208333060991933
YCR015C	-0.19201573016302814
YCR016W	-0.10063910113616174
YCR017C	0.42107956674855784
YCR019W	-0.0240075275998358
YCR020C	-0.03695969459467155
YCR020C-A	-0.057523790796396496
YCR020W-B	-0.007910718092477544
YCR021C	-0.41311935766584845
YCR022C	0.10030224203825339
YCR023C	-0.22246370269593047
YCR024C	-0.04718143579513728
YCR024C-A	0.5828132552741662
YCR025C	0.5518527815111717
YCR026C	0.25354604358409494
YCR027C	0.3097510862334382
YCR028C	-0.4518021682798473
YCR028C-A	-0.1266265957128612
YCR030C	-0.035722560750229795
YCR031C	-0.42642115282495674
YCR032W	-0.11053831256605019
YCR033W	-0.0171731234292655
YCR034W	-0.2543887367961061
YCR036W	0.33426394761545086
YCR037C	0.289121594511351
YCR043C	0.14745205271434583
YCR044C	0.537770497481739
YCR045C	0.486142361385166
YCR046C	0.011400965563252782
YCR047C	-0.2928437205984344
YCR048W	0.07016387309465838
YCR049C	-0.29589919135274745
YCR050C	0.2589064348722632
YCR051W	-0.4624400844728476
YCR053W	-0.07318808687988927
YCR059C	-0.3694862690163166
YCR060W	-0.18401452234816015
YCR061W	0.041049387126775784
YCR063W	-0.28313860507416627
YCR065W	-0.0065144489220347775
YCR066W	0.009122909689986336
YCR067C	-0.054345182670335564
YCR068W	0.17946291270649248
