ORF	number of metabolites (lysine-related) in stationary growth phase	number of metabolites (arginine) in stationary growth phase	number of metabolites (biotin) in stationary growth phase	number of metabolites (N-acetyl ornithine) in stationary growth phase	number of metabolites (leucine + isoleucine + citrulline) in stationary growth phase	number of metabolites (glutamine + valine) in stationary growth phase	number of metabolites (methionine + proline) in stationary growth phase	number of metabolites (threonine) in stationary growth phase	number of metabolites (alanine) in stationary growth phase	number of metabolites (serine) in stationary growth phase	number of metabolites (asparagine + tyrosine) in stationary growth phase	number of metabolites (glycine) in stationary growth phase	number of metabolites (lysine) in stationary growth phase	number of metabolites (ornithine) in stationary growth phase	number of metabolites (glutamate) in stationary growth phase	number of metabolites (aspartic acid) in stationary growth phase
YDR524C	NaN	1.907	NaN	1.280	1.187	1.173	1.654	NaN	1.390	1.095	1.124	1.325	0.796	1.651	3.169	1.823
YIL044C	0.000	1.272	NaN	0.550	1.002	0.864	1.160	0.112	0.948	35.792	0.887	1.067	0.636	1.002	3.305	0.613
YCL025C	NaN	0.754	0.501	NaN	0.979	0.970	0.738	0.541	0.987	1.551	1.058	0.924	0.675	0.909	0.927	1.141
YBR132C	NaN	0.966	0.369	14.235	1.095	0.703	0.716	0.416	1.044	0.884	0.750	0.985	0.677	1.099	1.074	1.021
YFL055W	NaN	0.370	0.000	0.370	0.943	1.147	0.222	0.514	0.777	0.295	1.047	0.493	0.272	0.426	0.786	0.622
YFL030W	NaN	0.512	NaN	0.269	0.927	1.149	0.465	0.466	0.727	0.396	0.988	0.686	0.442	0.586	0.977	0.960
YDR214W	1.312	2.006	2.339	0.920	1.021	1.057	1.606	NaN	1.047	1.795	0.786	1.157	0.327	0.564	1.892	NaN
YOR023C	NaN	0.519	0.489	NaN	1.185	0.962	1.111	0.571	1.536	1.166	0.870	1.937	1.083	0.801	1.752	0.558
YCR082W	NaN	0.891	NaN	0.573	0.756	0.811	0.810	NaN	0.854	0.826	0.828	0.748	0.812	0.800	3.106	3.753
YLR109W	0.000	0.970	NaN	0.444	0.795	1.084	1.148	1.039	0.363	1.142	0.921	0.996	0.342	0.625	3.544	6.433
YHR093W	0.670	0.672	1.471	0.138	0.837	0.931	0.823	0.337	0.811	0.786	0.818	0.918	0.536	0.690	0.471	0.382
YNR074C	0.500	1.170	1.841	0.563	1.178	1.216	0.878	2.150	0.937	3.656	1.178	0.656	0.876	0.969	0.975	0.301
