ORF	hap a | protein aggregates (synphilin-1) | standard [standard] | Zhao L~Liu B, 2016
YDL194W	0.330
YDL192W	0.951
YDL191W	0.066
YDL188C	0.134
YDL186W	0.586
YDL185W	0.285
YDL215C	0.318
YDL214C	0.251
YDL213C	0.610
YDL211C	0.053
YDL210W	0.632
YDL206W	0.068
YDL204W	0.059
YDL201W	0.072
YDL231C	0.375
YDL230W	0.120
YDL229W	0.122
YDL227C	0.352
YDL226C	0.806
YDL224C	0.598
YDL223C	0.130
YDL219W	0.182
YDL218W	0.311
YDL242W	0.685
YDL241W	0.572
YDL240W	0.442
YDL239C	0.424
YDL237W	0.209
YDL236W	0.095
YDL234C	0.202
YDL233W	0.301
YDR015C	0.057
YDR010C	0.061
YDR009W	0.177
YDR007W	0.816
YDR006C	0.186
YDR003W	0.066
YDR056C	0.141
YDR055W	0.170
YDR051C	0.566
YDR048C	0.489
YDR024W	0.132
YDR022C	0.584
YDR020C	0.099
YDR018C	0.059
YDR072C	0.064
YDR068W	0.372
YDR067C	0.666
YDR066C	0.121
YDR061W	0.342
YDR058C	0.164
YDR057W	0.179
YDR316W	0.304
YDR314C	0.426
YDR313C	0.220
YDR312W	0.670
YDR309C	0.074
YDR307W	0.892
YDR306C	0.428
YDR305C	0.815
YDR304C	0.190
YDR334W	0.441
YDR333C	0.222
YDR332W	0.355
YDR330W	0.744
YDR329C	0.114
YDR321W	0.100
YDR320C	0.154
YDR319C	0.237
YDR318W	0.096
YDR317W	0.598
YDR354W	0.219
YDR352W	0.145
YDR351W	0.274
YDR349C	0.893
YDR348C	0.747
YDR346C	0.317
YDR345C	0.176
YDR344C	0.115
YDR340W	0.631
YDR336W	0.213
YDR372C	0.085
YDR371W	0.241
YDR370C	0.055
YDR368W	0.403
YDR363W	0.338
YDR360W	0.253
YDR358W	0.076
YDR357C	0.051
YDR387C	0.869
YDR386W	0.883
YDR385W	0.051
YDR384C	0.149
YDR383C	0.231
YDR382W	0.654
YDR380W	0.362
YDR379W	0.604
YDR375C	0.381
YDR374C	0.296
YDR403W	0.315
YDR402C	0.281
YDR401W	0.580
YDR400W	0.178
YDR399W	0.134
YDR393W	0.949
YDR391C	0.795
YDR389W	0.080
YDR388W	0.199
YDR422C	0.264
YDR421W	0.928
YDR420W	0.616
YDR419W	0.284
YDR415C	0.895
YDR411C	0.152
YDR409W	0.167
YDR408C	0.087
YDR406W	0.226
YDR198C	0.184
YDR193W	0.153
YDR192C	0.595
YDR191W	0.141
YDR186C	0.127
YDR185C	0.667
YDR184C	0.075
YDR183W	0.283
YDR181C	0.676
YDR179W-A	0.058
YDR216W	0.076
YDR215C	0.824
YDR214W	0.211
YDR210W	0.457
YDR209C	0.773
YDR206W	0.077
YDR205W	0.173
YDR203W	0.144
YDR202C	0.443
YDR233C	0.741
YDR229W	0.361
YDR223W	0.170
YDR222W	0.263
YDR221W	0.074
YDR218C	0.565
YDR217C	0.073
YDR252W	0.220
YDR251W	0.542
YDR250C	0.306
YDR249C	0.977
YDR248C	0.584
YDR247W	0.089
YDR244W	0.595
YDR241W	0.120
YDR263C	0.112
YDR261C	0.144
YDR259C	0.755
YDR258C	0.368
YDR257C	0.452
YDR256C	0.517
YDR254W	0.124
YDR253C	0.468
YDR279W	0.091
YDR278C	0.627
YDR277C	0.143
YDR276C	0.891
YDR275W	0.268
YDR273W	0.506
YDR270W	0.097
YDR266C	0.089
YDR265W	0.142
YDR294C	0.093
YDR291W	0.170
YDR289C	0.095
YDR285W	0.150
YDR284C	0.532
YDR282C	0.138
YDR281C	0.092
YEL012W	0.065
YEL011W	0.250
YEL010W	0.525
YEL008W	0.332
YEL006W	0.753
YEL004W	0.126
YEL001C	0.496
YEL030W	0.545
YEL028W	0.346
YEL025C	0.092
YEL023C	0.401
YEL020C	0.205
YEL017W	0.441
YEL017C-A	0.248
YEL014C	0.055
YEL049W	0.684
YEL048C	0.139
