ORF	hom | growth (relative abundance in pooled culture) | Chlorimuron ethyl [10 uM] | Richie DL~Hoepfner D, 2013	hom | growth (relative abundance in pooled culture) | compound 1 [3 uM] | Richie DL~Hoepfner D, 2013	hom | growth (relative abundance in pooled culture) | compound 1 [4 uM] | Richie DL~Hoepfner D, 2013	hom | growth (relative abundance in pooled culture) | compound 2 [6 uM] | Richie DL~Hoepfner D, 2013	hom | growth (relative abundance in pooled culture) | compound 3 [1.5 uM] | Richie DL~Hoepfner D, 2013	hom | growth (relative abundance in pooled culture) | compound 4 [10 uM] | Richie DL~Hoepfner D, 2013	hom | growth (relative abundance in pooled culture) | compound 5 [8 uM] | Richie DL~Hoepfner D, 2013	hom | growth (relative abundance in pooled culture) | compound 6 [0.5 uM] | Richie DL~Hoepfner D, 2013	hom | growth (relative abundance in pooled culture) | compound 7 [4 uM] | Richie DL~Hoepfner D, 2013	hom | growth (relative abundance in pooled culture) | compound 8 [4 uM] | Richie DL~Hoepfner D, 2013	hom | growth (relative abundance in pooled culture) | sulfometuron methyl [30 uM] | Richie DL~Hoepfner D, 2013	het | growth (relative abundance in pooled culture) | Chlorimuron ethyl [10 uM] | Richie DL~Hoepfner D, 2013	het | growth (relative abundance in pooled culture) | compound 1 [3 uM] | Richie DL~Hoepfner D, 2013	het | growth (relative abundance in pooled culture) | compound 1 [4 uM] | Richie DL~Hoepfner D, 2013	het | growth (relative abundance in pooled culture) | compound 2 [6 uM] | Richie DL~Hoepfner D, 2013	het | growth (relative abundance in pooled culture) | compound 3 [1.5 uM] | Richie DL~Hoepfner D, 2013	het | growth (relative abundance in pooled culture) | compound 4 [10 uM] | Richie DL~Hoepfner D, 2013	het | growth (relative abundance in pooled culture) | compound 5 [8 uM] | Richie DL~Hoepfner D, 2013	het | growth (relative abundance in pooled culture) | compound 6 [0.5 uM] | Richie DL~Hoepfner D, 2013	het | growth (relative abundance in pooled culture) | compound 7 [4 uM] | Richie DL~Hoepfner D, 2013	het | growth (relative abundance in pooled culture) | compound 8 [4 uM] | Richie DL~Hoepfner D, 2013	het | growth (relative abundance in pooled culture) | sulfometuron methyl [30 uM] | Richie DL~Hoepfner D, 2013
YKL148C	-0.071	0.020	0.114	-0.687	-0.348	-0.866	-0.008	-0.588	-0.866	-1.542	-0.445	-0.662	-1.079	-0.504	-1.230	-0.034	-0.906	-0.301	-0.010	-0.089	0.034	-1.044
YKL149C	0.877	1.673	4.194	2.061	0.200	1.456	3.119	0.741	1.512	1.660	1.909	-0.006	-1.349	0.111	-0.008	-0.564	-0.546	-0.157	0.020	0.071	-0.015	-0.050
YKL150W	-0.517	0.031	-0.004	-0.305	-0.106	-0.056	-1.291	0.004	-0.025	2.228	0.067	0.132	-0.191	0.005	-0.223	-0.095	-0.167	-0.089	-0.095	-0.001	-0.023	0.285
YKL151C	0.019	-0.147	0.251	-0.027	-0.376	-0.033	-0.118	-0.214	0.685	-0.097	-0.197	0.035	-0.955	-0.007	-0.058	0.094	0.247	0.009	0.020	0.210	-0.026	0.022
YKL152C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.658	-1.057	0.108	0.037	-0.098	-0.501	0.028	-0.142	-0.387	-0.902	-1.903
YKL153W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.020	-0.672	0.012	-0.632	-0.002	-0.048	-0.365	-0.006	0.052	0.194	0.001
YKL154W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.290	-0.089	-0.069	0.009	0.004	0.067	-0.008	-0.008	0.083	0.039	-0.796
YKL155C	0.151	2.072	-0.004	1.821	-0.019	-0.068	1.158	0.333	-1.734	0.086	0.117	0.180	0.028	-2.440	-0.292	0.438	0.291	-0.018	0.008	0.180	0.427	-0.024
YKL156C-A	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YKL156W	-0.041	-0.031	-0.678	-1.016	-0.300	-1.340	-2.203	0.271	-0.143	-0.087	-0.295	0.754	-0.162	-1.126	-0.039	-0.029	0.478	0.017	-0.006	0.126	-0.279	-0.503
YKL157W	-0.051	-0.405	0.183	-0.117	-0.804	-0.172	-0.190	0.732	0.267	0.111	-0.023	0.207	-0.508	-0.446	-0.483	-0.086	0.060	0.119	-0.125	0.036	-0.012	-0.113
YKL159C	0.003	-0.664	0.098	0.011	0.036	0.049	0.791	0.221	1.320	-0.066	0.011	0.014	-3.038	0.403	0.015	0.002	1.170	-0.395	-0.186	0.029	3.423	0.071
YKL160W	0.063	-1.830	-2.934	-5.146	-0.243	-0.883	-2.588	-0.347	-0.149	0.003	-0.155	-0.114	-1.100	0.008	-0.717	-0.020	0.023	0.004	0.330	0.112	0.031	-0.011
YKL161C	0.061	-0.043	0.020	-0.504	-0.047	-0.427	0.251	1.419	0.023	0.044	-0.052	-1.717	-1.489	-0.333	-1.316	-0.509	-0.411	-0.464	-1.224	0.007	-0.004	-0.633
YKL162C	0.030	-0.413	0.548	0.023	-0.347	-0.918	-0.265	0.046	-0.142	-0.290	-0.177	-0.033	-0.030	0.017	0.227	-0.189	-0.004	0.045	0.050	0.023	-0.085	-0.328
YKL162C-A	-0.030	-1.573	-0.696	-0.300	1.535	0.257	-0.050	-0.275	0.005	-0.010	0.131	0.007	-0.096	0.045	0.647	1.738	0.072	0.230	0.021	0.480	-0.055	0.447
YKL163W	0.273	-1.631	-0.851	-1.248	0.036	-0.888	-0.002	0.010	-0.091	-0.244	-0.054	0.511	-0.117	-0.008	0.077	-0.127	-0.435	0.087	1.046	0.061	0.025	0.073
YKL164C	0.075	-0.148	-0.033	-0.119	-0.010	-0.040	-0.246	0.158	0.178	-0.194	-0.894	0.143	-0.003	0.038	0.037	0.789	1.024	0.008	1.938	0.416	-0.298	0.394
YKL165C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.019	-0.032	0.222	0.647	0.096	-0.011	0.840	0.104	0.298	-0.112	-0.023
YKL165C-A	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YKL166C	0.478	0.018	-0.980	0.119	0.019	0.044	-0.004	1.197	0.139	0.014	-0.156	-0.144	0.328	-0.713	-0.463	0.143	0.036	-0.029	0.214	-0.108	-0.061	-0.085
YKL167C	0.088	1.804	0.178	0.002	0.286	0.074	0.613	-0.093	-0.225	-1.212	0.912	0.146	-0.743	-0.447	0.082	-0.087	-1.183	-0.016	-0.464	0.012	0.644	-0.012
YKL168C	-0.006	-2.085	-0.344	-0.218	0.071	0.073	0.020	0.119	-0.050	-0.084	-0.931	0.181	-0.002	-0.102	0.638	0.983	0.442	0.899	1.253	0.162	1.357	0.541
YKL169C	2.078	NaN	NaN	1.238	0.432	5.663	3.649	0.000	0.832	-0.016	1.476	-0.732	0.024	0.870	-0.144	-0.410	-0.002	-0.107	-0.549	-0.424	-0.922	-0.185
YKL170W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.297	-0.819	-0.251	-0.192	-0.009	0.039	0.199	0.196	0.116	0.189	0.496
YKL171W	-0.047	0.711	-0.565	0.061	-0.142	-0.016	-0.701	0.014	0.400	0.068	-0.091	0.029	-0.137	0.146	0.214	-1.756	-1.147	-0.817	-0.067	-0.081	0.300	0.507
YKL172W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.460	0.228	0.646	1.134	-0.321	0.070	-0.079	-0.042	-0.243	1.217	1.613
YKL173W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.192	0.008	0.035	-0.041	-0.345	0.062	0.216	-0.102	0.135	0.132	-0.247
YKL174C	-1.608	0.192	0.147	-1.903	-0.237	-1.311	-1.650	0.107	-0.023	-0.378	-0.374	-0.569	-0.162	-0.134	0.017	-0.812	-1.375	-1.890	-0.110	0.054	0.005	-0.271
YKL175W	0.198	-1.188	-0.119	-2.316	0.060	0.249	-0.040	-0.548	0.272	0.070	-0.021	0.263	-0.103	0.004	-0.051	0.407	1.001	1.655	0.047	-0.033	1.149	0.066
YKL176C	0.576	-4.700	-3.263	-3.974	0.811	-0.364	-0.161	0.176	0.067	0.033	0.456	0.041	-0.138	0.157	0.045	-0.037	-0.240	-0.199	-1.304	-0.338	-0.183	-0.117
YKL177W	-3.293	-2.730	-2.029	-4.709	-4.421	-5.733	-5.639	-0.151	-0.127	-0.007	-3.974	-0.264	-0.203	-0.019	0.009	0.011	0.073	-0.399	1.510	0.010	1.182	0.036
YKL178C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.034	-0.829	-0.289	-0.049	-0.363	-0.260	-0.018	-0.007	-0.008	-0.151	-0.122
YKL179C	0.413	0.050	-0.003	-0.028	-0.066	-0.293	-0.408	0.025	-0.814	0.085	-0.427	-0.089	-0.172	0.059	-0.523	-0.110	-0.607	-0.017	0.032	-0.091	-0.241	-0.072
YKL180W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YKL181W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.231	-0.526	-0.745	-0.519	-0.196	-1.073	-2.396	-0.704	-0.368	-0.070	-2.308
YKL182W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.784	-0.697	-1.030	-0.007	-1.140	-1.688	-1.548	-0.949	-0.076	-1.455	-1.574
YKL183C-A	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YKL183W	-1.095	-0.266	0.023	-0.299	0.077	-1.125	-0.869	0.581	-1.109	-0.016	-0.669	-1.772	-1.264	0.007	-0.036	-0.133	-1.230	-0.090	-0.007	0.005	-0.098	-0.840
YKL184W	0.031	0.440	-0.015	0.048	-0.087	0.037	-0.280	0.134	0.651	0.424	-0.846	0.681	-0.081	0.187	0.143	-0.008	-0.156	0.550	0.092	0.043	-0.137	0.004
YKL185W	-2.022	-1.474	-0.376	-0.283	-0.958	-1.751	-2.596	-0.158	-0.374	-0.988	-1.683	-0.135	-0.011	-1.053	0.007	0.002	-1.141	-0.141	-0.123	-0.329	-0.753	-0.161
YKL186C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.698	0.233	0.224	0.291	0.266	-0.398	0.048	0.028	-0.008	-0.043	0.441
YKL187C	1.161	0.089	0.045	-0.131	-0.106	0.040	-0.070	0.099	0.390	-0.065	-0.532	0.021	0.483	-0.064	-0.243	0.010	-0.071	0.048	-0.091	-0.061	0.026	0.029
YKL188C	-0.001	-0.654	-0.896	-0.053	-0.233	-0.065	0.538	-0.067	-1.054	-1.298	-0.154	NaN	NaN	NaN	-0.035	-0.169	-0.758	-0.027	-0.034	0.089	-0.102	NaN
YKL189W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.000	-0.270	-0.017	-0.013	0.012	0.009	0.057	0.172	0.149	-0.176	-0.530
YKL190W	0.757	-0.113	0.186	0.981	0.801	0.222	-0.009	0.060	-0.303	-0.032	0.017	-0.047	0.018	-0.193	0.010	0.141	-0.488	-0.073	0.156	0.081	-0.171	-0.012
YKL191W	-1.007	-3.051	-1.658	-2.800	-0.223	-0.170	-1.460	0.014	-0.079	0.002	-0.037	4.046	-0.023	0.630	2.666	4.075	3.210	4.028	0.328	3.413	0.859	3.668
YKL192C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.203	0.025	-0.438	-1.121	-2.368	-1.413	-0.951	-2.329	-0.112	-0.936	-0.467
YKL193C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.433	-0.180	-0.013	0.748	0.205	0.059	0.630	-0.169	0.576	0.114	0.065
YKL194C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.211	-0.109	-1.682	-0.325	-0.037	-0.997	-0.922	-0.081	0.125	-0.019	-0.015
YKL195W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.040	0.127	1.152	-0.299	-0.633	-0.154	-0.275	-0.210	0.880	-0.048	-0.060
YKL196C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.786	-1.360	0.015	-0.224	-0.356	0.218	0.064	-0.565	0.076	0.003	-0.038
YKL197C	0.825	1.953	0.244	0.034	-0.033	-0.329	-0.038	-1.468	0.328	1.433	0.003	-0.083	0.175	0.781	-0.010	0.009	-0.440	-0.216	-0.367	-0.093	0.862	-0.382
YKL198C	0.111	-0.127	-0.070	-0.134	0.632	-0.017	-0.762	0.067	-0.215	-0.016	-0.811	-1.299	0.007	-0.011	-0.433	0.023	0.025	-0.208	0.052	-0.173	-0.026	-0.237
YKL201C	-0.033	0.015	0.006	-0.018	-0.241	-0.195	-1.231	0.050	-0.099	-0.029	-0.382	0.667	-0.011	-0.075	0.036	-0.037	1.345	0.632	0.423	0.239	-0.008	0.484
YKL202W	-0.004	-0.122	-0.128	-0.022	-0.247	0.008	0.017	0.045	-1.562	-1.732	-1.131	0.444	-0.021	-0.093	0.258	-0.117	0.006	0.115	0.046	-0.195	-0.496	-0.004
YKL203C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.032	0.005	-0.416	0.084	-0.048	0.001	0.011	0.096	-0.002	-0.083	-0.074
YKL204W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.528	2.507	0.315	2.529	1.306	1.632	0.419	-0.019	1.664	0.260	2.340
YKL205W	0.124	0.007	0.079	0.244	0.134	1.308	1.446	0.147	0.049	0.054	-0.102	0.552	0.432	0.043	0.824	0.543	0.557	1.013	0.032	0.180	0.068	0.769
YKL206C	0.079	0.077	0.014	-0.338	2.099	-0.013	-0.036	0.029	0.046	0.112	0.065	-0.047	-0.547	0.183	0.521	0.062	0.283	0.015	-0.294	-0.101	-0.038	0.698
YKL207W	-0.009	-0.115	-0.752	0.423	0.403	0.698	0.013	0.030	-0.140	0.012	-0.130	0.612	-0.139	0.301	0.015	-0.473	0.028	0.004	0.074	-0.547	0.009	0.024
YKL208W	-0.309	2.276	0.009	0.191	1.226	0.258	1.788	0.685	-0.829	0.054	-0.001	-0.001	-0.049	0.071	0.055	0.030	-0.029	0.006	0.114	-0.197	-0.535	0.023
YKL209C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.444	0.709	0.391	0.033	0.002	-0.082	0.021	0.823	-0.015	0.292	0.117
YKL210W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.594	-0.333	-1.178	-0.290	1.718	0.211	0.202	-0.029	0.307	0.288	-0.050
YKL211C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.079	-0.117	-0.565	-0.033	0.007	-0.702	0.801	0.184	-0.013	-0.523	-0.285
YKL212W	-17.497	-9.349	-10.080	-15.036	-25.860	-23.396	-14.779	-12.903	-6.492	-7.663	-12.162	1.063	0.558	0.446	0.117	0.014	0.576	0.422	0.095	0.041	-0.037	0.638
YKL213C	-1.999	-1.712	-2.769	-0.006	-4.186	-4.901	-4.973	-0.004	-2.108	-2.620	-3.101	0.077	-0.006	0.065	0.177	0.211	0.371	0.312	0.087	0.072	0.036	-0.077
YKL214C	1.200	-0.156	0.049	-0.008	0.014	0.044	-0.002	0.014	-1.401	-0.014	-0.048	0.214	0.041	0.024	-0.203	0.102	-0.133	-0.030	0.689	0.005	0.040	-0.024
YKL215C	0.002	-0.110	0.002	-0.083	-0.228	0.011	-0.053	-0.021	-0.216	-0.268	-1.057	0.295	-0.098	-0.002	0.348	-0.013	0.070	0.303	0.199	0.014	-0.137	0.010
YKL216W	-2.000	0.012	0.013	-0.838	-0.840	-1.894	-2.754	-2.114	-0.328	-1.640	-2.211	-4.716	-1.617	-0.086	-0.181	-3.101	-3.446	-2.125	-2.599	-1.653	-0.137	-4.347
YKL217W	-0.271	0.195	0.000	0.028	0.004	-0.068	-0.042	-0.558	0.008	0.032	-0.037	-0.194	0.593	0.011	-0.048	-1.763	-0.016	-0.273	-0.571	-0.075	-1.281	-0.317
YKL218C	0.056	-0.041	0.016	-0.034	-1.463	-0.133	-0.180	-0.023	-0.165	-0.581	0.101	0.130	0.169	0.079	-0.054	-0.347	0.050	-0.044	0.206	0.015	-0.111	-0.017
YKL219W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YKL220C	0.277	-0.113	0.032	0.016	-0.005	-0.102	0.093	0.007	-0.075	-0.499	-0.939	0.534	0.185	-1.694	0.029	0.123	0.002	0.038	0.145	-0.020	0.009	-0.031
YKL221W	0.021	0.008	-0.116	-0.412	-1.010	0.067	-0.878	-0.060	-0.666	0.549	-1.873	1.021	-0.082	-0.006	0.005	-0.210	0.171	0.187	0.030	0.107	-0.391	-0.635
YKL222C	-0.038	-0.165	0.325	-0.141	0.159	0.203	0.017	-0.096	-1.457	-0.251	-0.243	0.829	0.201	-0.289	0.135	-0.122	-0.070	1.207	0.203	0.060	-0.040	0.239
YKL223W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YKL224C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YKL225W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YKR001C	1.055	NaN	NaN	1.283	3.591	1.433	4.029	0.256	0.008	0.092	-0.356	1.109	-0.180	-0.032	0.083	-0.733	2.206	1.129	0.142	1.214	1.078	0.376
YKR002W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.276	0.663	0.202	-0.030	0.459	1.831	0.346	0.066	1.220	0.592	0.792
YKR003W	-0.092	0.392	0.012	-0.018	-0.043	-0.007	0.086	0.061	0.043	-0.079	-0.020	-0.131	0.363	-1.027	-0.046	-0.079	-0.114	0.553	-0.162	-0.025	-0.059	0.018
YKR004C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.106	-0.294	-0.031	-0.158	-0.038	-0.056	-0.277	0.486	0.163	0.057	-0.410
YKR005C	-0.011	0.863	-0.037	-0.011	1.157	0.844	0.021	0.732	-0.021	0.129	-0.040	-0.023	-0.214	-1.290	-0.056	-1.160	-0.625	-0.063	0.031	0.011	-0.245	-0.020
YKR006C	0.026	-0.089	0.021	0.007	0.721	1.833	2.537	-0.579	-0.464	0.051	0.683	0.156	-1.014	-0.941	-0.184	-0.446	0.092	0.140	0.107	0.457	1.032	-0.022
YKR007W	1.941	-0.052	-0.555	-0.835	2.503	0.354	0.657	2.340	1.267	0.075	2.135	0.004	0.107	-0.087	-0.185	0.086	0.020	0.207	-0.017	0.065	0.092	-0.069
YKR008W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.765	0.666	3.207	3.361	3.375	2.993	5.357	1.253	3.648	0.997	3.665
YKR009C	0.109	1.055	-0.036	-0.002	-0.359	-0.080	0.067	-0.376	0.020	0.217	-0.020	0.382	0.172	-0.005	0.381	0.028	0.130	0.416	1.396	0.007	0.003	0.532
YKR010C	-0.761	-0.893	-1.328	-2.299	-0.878	-1.941	-2.002	-0.974	-0.028	0.002	-1.462	-2.103	-1.034	-0.307	-1.036	-0.540	-1.329	-1.881	-0.140	-0.134	-0.055	-2.769
YKR011C	0.022	-0.053	-0.024	-0.001	0.046	0.547	-0.062	0.454	-0.017	-0.853	-0.720	0.310	-0.258	0.006	0.186	0.243	0.208	1.085	0.207	0.180	0.032	0.128
YKR012C	-0.017	0.028	-0.366	-0.023	-0.262	-0.417	-0.040	-0.042	-0.028	-0.253	-0.398	-0.005	-1.778	-0.167	-0.258	-0.477	-0.411	-0.709	-0.268	0.188	0.338	-1.750
YKR013W	-0.033	0.051	-0.055	0.003	0.058	0.011	-0.013	-0.006	0.006	-0.530	-0.043	-0.006	-1.824	1.070	-1.938	-1.015	-0.051	0.041	-0.395	0.263	0.013	-0.127
YKR014C	-0.184	-1.543	-0.086	-0.280	-0.043	-1.088	-0.756	-0.009	0.105	-0.332	-0.697	-0.018	0.063	-0.008	-0.355	-0.453	-0.079	-0.052	0.007	-0.002	-0.043	-0.560
YKR015C	0.518	-0.577	-0.573	-0.000	-0.018	-0.000	0.010	0.000	-0.519	-1.792	-0.006	0.496	0.015	-0.036	0.670	1.452	0.727	0.146	0.072	0.303	1.624	0.185
YKR016W	-1.359	-0.497	-1.354	-1.744	-0.080	-0.065	0.019	-0.000	-0.269	-0.211	-0.503	-0.062	-0.345	-0.126	0.047	-0.039	-0.117	-0.078	-0.280	0.254	0.007	-0.350
YKR017C	-0.146	0.829	-0.112	0.203	0.052	-1.382	-0.326	0.110	0.099	-0.815	-0.102	-1.136	-0.655	-0.111	0.262	-0.991	-1.915	-0.843	-2.104	-0.188	-1.350	-3.338
YKR018C	-0.734	-0.216	0.001	-0.112	-0.178	0.286	-0.064	0.241	0.016	-0.015	-0.078	0.004	-1.078	-0.024	-0.491	-0.821	-1.049	-0.019	-0.003	0.597	-0.014	-0.581
YKR019C	5.617	4.930	6.081	4.101	4.059	4.057	5.805	2.108	0.409	1.765	5.103	1.899	-0.237	0.625	0.278	1.847	3.022	1.829	2.820	3.106	1.848	1.382
YKR020W	5.354	2.074	NaN	5.915	3.935	5.100	3.636	0.008	0.116	3.256	5.655	0.031	-0.043	0.198	0.709	-0.001	0.004	0.266	0.187	0.005	-0.057	-0.005
YKR021W	0.146	-0.792	-0.010	-0.034	0.552	-0.051	-0.009	0.238	-0.039	0.000	-0.035	-0.114	-0.400	-0.130	-0.040	0.211	-0.188	-0.005	0.122	-0.267	0.741	-0.130
YKR022C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.044	0.833	0.116	0.308	-0.005	0.067	0.908	-0.068	-0.089	0.281	1.196
YKR023W	0.799	0.145	0.047	1.054	0.071	0.351	0.774	0.035	-0.019	0.036	0.030	-0.043	-0.046	1.611	1.124	0.024	0.041	0.032	-0.022	0.123	0.082	0.067
YKR024C	0.523	1.423	3.827	3.114	3.804	4.825	5.572	0.282	-0.001	0.274	4.894	-0.011	0.089	-1.211	0.909	0.277	0.006	-0.034	0.283	-0.007	-0.411	0.019
YKR025W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.739	-0.543	-0.036	0.004	-1.493	-0.120	-1.204	0.004	-0.012	-0.010	-0.003
YKR026C	-5.239	-12.140	-8.605	-9.350	-3.494	-4.208	-5.352	0.193	-2.867	-3.807	-6.385	0.092	-1.344	-0.280	-0.793	0.002	0.026	-0.480	0.115	0.072	0.024	0.651
YKR027W	-1.206	-1.268	-0.912	0.013	-1.776	-1.739	-1.045	-0.348	-1.102	-1.472	-1.919	-0.348	-2.856	-1.130	0.003	0.043	0.001	1.036	0.153	0.298	-0.004	-0.106
YKR028W	-0.882	-0.030	-0.027	-0.550	-1.286	-0.477	-0.621	-1.483	-0.047	-0.381	-0.415	0.799	-0.469	0.905	0.012	1.653	0.718	1.618	0.065	-0.177	0.028	0.302
YKR029C	-2.258	-3.342	-4.174	-1.787	-2.276	-1.320	-3.681	-0.455	-1.561	-2.156	-2.555	-1.742	-0.611	-0.804	-1.094	-0.444	-1.018	-0.104	-0.027	-0.031	-0.742	-2.410
YKR030W	0.008	-0.071	0.028	-0.044	0.853	1.093	0.964	0.022	0.110	0.313	0.018	-0.091	-0.569	0.063	0.150	-0.010	1.214	0.137	-0.025	0.010	1.154	-0.109
YKR031C	0.576	-0.034	0.549	1.228	-0.051	1.481	1.045	0.228	0.857	0.004	0.013	0.228	-0.010	0.220	0.351	0.056	0.108	-0.020	0.875	-1.924	0.850	0.410
YKR032W	-0.205	-0.014	0.420	0.180	-0.011	0.053	-0.011	-0.009	-0.023	-0.500	-0.013	0.136	-0.220	0.006	0.494	-0.082	0.221	0.182	-0.002	-1.064	-0.039	-0.060
YKR033C	0.051	0.038	0.104	0.040	-0.198	0.137	0.018	0.767	0.072	-0.220	-0.078	0.424	0.023	0.874	-0.044	0.012	0.127	0.361	0.035	0.214	0.104	0.457
YKR034W	0.834	1.233	0.862	0.673	0.896	1.117	0.426	0.081	0.354	0.274	0.208	0.600	-0.729	-0.215	0.025	0.753	0.589	0.477	1.619	0.965	-0.081	0.313
YKR035C	0.038	-0.311	-0.103	-2.414	-2.677	-2.309	-0.150	-0.103	0.089	0.038	-0.000	0.014	-0.097	0.127	-0.209	0.015	0.097	1.382	0.054	0.006	-0.048	0.086
YKR035W-A	1.778	-0.458	-0.283	-2.110	-4.953	-0.970	-1.667	0.030	0.088	0.017	0.190	-0.430	0.017	-1.101	0.042	-0.622	0.004	-0.065	-0.303	-0.006	0.264	-0.573
YKR036C	-0.049	-0.496	-0.003	-0.048	-0.656	-0.146	-0.059	0.054	0.013	-0.490	-0.639	-0.076	-0.614	-0.610	0.199	1.071	-0.075	0.041	-0.133	0.280	0.097	0.003
YKR037C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.288	-2.832	0.011	-1.341	-0.230	0.026	-0.911	0.225	-0.170	0.019	-0.902
YKR038C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.002	-3.277	0.158	-0.294	0.051	0.075	0.032	-0.099	0.873	1.136	-0.842
YKR039W	0.121	-0.004	-0.018	0.129	0.180	0.062	0.168	-0.022	-0.025	0.082	0.325	0.171	-0.457	-0.001	-0.006	0.174	0.419	0.067	-0.135	0.651	0.502	0.000
YKR040C	0.202	-0.115	-0.420	-0.046	0.040	-0.001	-0.150	-0.572	-0.045	-0.271	-0.196	0.389	-0.321	0.027	0.105	-0.261	-0.059	0.054	-1.523	-0.084	-0.722	0.151
YKR041W	-0.898	-0.231	-0.459	-0.902	-0.887	-0.011	-0.348	-0.110	-1.231	-0.526	-0.459	-1.785	-1.035	-0.060	-0.405	0.034	0.007	0.168	0.172	-0.007	-1.359	-1.548
YKR042W	-0.029	0.065	-0.136	0.233	-0.755	-0.913	0.008	0.034	-0.159	0.053	-0.007	0.080	-1.070	-0.422	0.187	-0.018	0.258	-0.016	0.906	-0.026	-0.569	0.008
YKR043C	0.015	0.081	0.045	-0.005	0.109	0.767	-0.008	-0.005	0.151	0.185	-0.693	0.740	1.100	-0.052	0.299	0.220	-0.062	0.300	0.520	-0.000	-0.278	0.036
YKR044W	-0.767	0.044	-0.548	-0.947	-0.056	-0.284	0.838	0.246	-0.113	0.753	-0.547	0.007	-1.389	-0.001	0.217	-0.050	0.718	-0.021	-1.007	0.851	-0.070	0.114
