ORF	hom | growth (relative abundance in pooled culture) | UVB [6,400 J/m2] | Birrell GW~Brown JM, 2001	hom | growth (relative abundance in pooled culture) | UVC [200 J/m2] | Birrell GW~Brown JM, 2001
YPL170W	0.039	0.041
YER164W	-0.052	-0.119
YLR374C	0.232	0.167
YMR153C-A	-0.069	-0.009
YNL157W	-0.019	-0.032
YOR024W	-0.078	-0.064
YAL018C	-0.034	-0.016
YBR114W	-0.190	-0.266
YDR179W-A	-0.127	-0.042
YER064C	-0.049	0.056
YLR252W	-0.068	-0.080
YDL001W	-0.003	-0.103
YDR462W	NaN	NaN
YEL001C	-0.025	0.152
YER073W	-0.083	-0.010
YML011C	0.052	-0.289
YMR297W	0.089	-0.100
YAL022C	-0.017	-0.048
YBR197C	-0.125	0.031
YBR220C	-0.008	-0.072
YGL253W	0.101	0.132
YGR078C	0.322	0.639
YPL002C	0.056	0.097
YDL119C	0.048	0.075
YER030W	-0.066	-0.022
YHL045W	-0.071	0.004
YKL002W	0.076	0.161
YLL053C	-0.050	-0.035
YOR142W	-0.009	0.022
YBR129C	-0.062	-0.038
YDR085C	0.001	-0.151
YEL063C	-0.095	-0.019
YMR244W	0.158	0.160
YEL007W	0.159	0.203
YER011W	-0.061	-0.114
YML079W	-0.064	-0.056
YMR119W	0.001	-0.019
YPL127C	0.215	0.162
YHL008C	-0.018	0.027
YJL149W	-0.059	-0.129
YJL214W	0.001	0.028
YLR031W	0.006	0.031
YMR004W	-0.048	-0.013
YMR304C-A	0.063	0.002
YNL250W	NaN	NaN
YOR355W	0.060	0.094
YAL004W	-0.049	-0.028
YBR214W	-0.049	-0.080
YCL055W	0.069	0.001
YDL089W	-0.058	-0.077
YDR485C	-0.172	-0.242
YER080W	-0.002	-0.044
YKL087C	0.048	0.038
YLR201C	0.078	0.042
YMR106C	-0.006	-0.036
YNL125C	-0.067	-0.025
YOR041C	-0.063	-0.039
YOR135C	-0.024	-0.044
YBL088C	-0.132	-0.135
YDR220C	-0.053	-0.007
YER068C-A	-0.059	-0.059
YGR052W	-0.016	-0.063
YIL015C-A	-0.034	-0.199
YIL124W	-0.133	-0.112
YLR237W	0.058	0.053
YMR234W	-0.006	0.000
YMR299C	0.064	0.001
YOR016C	-0.068	-0.009
YOR058C	-0.041	0.036
YPL038W	-0.052	-0.068
YAL060W	-0.029	-0.018
YBR064W	0.034	-0.015
YBR275C	-0.051	-0.042
YFL013C	-0.049	-0.060
YJL078C	0.305	0.287
YJL187C	0.029	-0.006
YML012W	0.224	0.233
YOL096C	-0.072	0.001
YOR084W	0.014	0.013
YBR175W	0.032	0.139
YDR458C	-0.139	-0.257
YJL212C	-0.100	-0.107
YKR073C	-0.021	-0.027
YNL111C	0.152	0.177
YOL049W	0.028	0.019
YOR049C	-0.006	0.028
YPL030W	-0.096	-0.195
YBL082C	-0.182	-0.071
YBR003W	0.050	0.011
YHR012W	-0.050	-0.155
YMR243C	0.374	0.371
YNL130C	-0.044	-0.012
YOL018C	0.029	-0.040
YPL057C	0.026	0.075
YPL166W	0.002	0.021
YBR119W	-0.016	-0.061
YDR153C	0.015	-0.039
YER090W	-0.090	-0.150
YHR189W	0.035	0.096
YLL063C	-0.093	-0.075
YMR074C	-0.006	0.005
YMR172W	0.105	0.138
YNL022C	-0.049	-0.132
