ORF	hap a | chronological lifespan | glucose [2%], time [9 d] | SC, Hopkins (-C) | Matecic M~Smith JS, 2010	hap a | chronological lifespan | glucose [2%], time [21 d] | SC, Hopkins (-C) | Matecic M~Smith JS, 2010	hap a | chronological lifespan | glucose [0.5%], time [9 d] | SC, Hopkins (-C) | Matecic M~Smith JS, 2010	hap a | chronological lifespan | glucose [0.5%], time [21 d] | SC, Hopkins (-C) | Matecic M~Smith JS, 2010	hap a | chronological lifespan | glucose [0.5%], time [33 d] | SC, Hopkins (-C) | Matecic M~Smith JS, 2010
YNL125C	-1.432	-2.633	-0.702	-1.501	-5.916
YMR219W	0.921	0.741	0.602	0.486	-3.342
YDR363W	-0.235	-0.678	0.411	0.209	-1.340
YDR518W	-3.950	-3.681	-3.310	-3.594	-4.346
YLR300W	-0.128	-2.393	-0.124	-1.526	-4.765
YDR261C	0.191	0.136	0.197	-0.161	-3.091
YOR033C	-4.494	-3.577	-2.694	-2.798	-3.297
YOR317W	0.154	-0.512	-0.083	-0.361	-3.430
YIL009W	-1.095	-2.456	-0.795	-1.955	-4.283
YMR246W	0.197	0.167	0.189	-0.416	-3.184
YJL157C	0.014	-0.344	0.076	-0.493	-3.260
YMR052W	1.292	0.905	-0.053	2.030	1.107
YBR041W	-4.106	-4.829	-0.240	-3.707	-5.271
