orf	hap a | cytosolic pH | standard [standard] | Orij R~Smits GJ, 2012
YDL232W	7.007800065164405
YDL233W	7.116972647029665
YDL234C	7.058362425739
YDL236W	7.096054854659364
YDL237W	7.087109246519505
YDL238C	7.109704740733295
YDL239C	7.085329990354454
YDL240W	7.0783457661916
YDL241W	7.0799113794434945
YDL242W	7.0805611713194505
YDL243C	7.01870881641743
YDR001C	7.045060171461125
YDR003W	7.08259738348564
YDR004W	7.062616822731605
YDR005C	7.0842822940553205
YDR006C	7.115789022720625
YDR007W	6.936891057926665
YDR008C	7.08313144107169
YDR009W	7.135121096627015
YDR010C	7.0792177378767445
YDR011W	7.1203571222127255
YDR014W	7.034958407041585
YDR015C	7.085120250408745
YDR018C	38.91352629717285
YDR019C	7.101843478962275
YDR020C	7.02848399595684
YDR022C	7.07044543046098
YDR024W	6.879292870156605
YDR025W	7.021414044053415
YDR026C	7.00207068724887
YDR029W	7.021176857985115
YDR030C	6.97208522987661
YDR031W	6.978303712748666
YDR032C	6.957490735552405
YDR033W	6.941023303823195
YDR034C	7.11050132937965
YDR035W	7.008498038140051
YDR036C	6.963284486658949
YDR042C	6.97381705996999
YDR043C	6.945446661781805
YDR046C	6.9640792257042605
YDR048C	7.10261840261085
YDR049W	7.101933997334536
YDR051C	7.02678765170835
YDR055W	7.094351612540136
YDR056C	7.058297313844815
YDR057W	7.03370602779988
YDR058C	7.017402210484305
YDR059C	7.04216614322339
YDR061W	7.051031532624609
YDR063W	7.112876241880954
YDR066C	7.0698397541179006
YDR067C	7.091155258699086
YDR068W	7.01901999134949
YDR070C	7.07127376247662
YDR071C	7.003013262508015
YDR072C	7.02059571490531
YDR073W	7.029157435942334
YDR074W	7.0046172715598605
YDR075W	6.99193773305777
YDR076W	7.01958722993193
YDR077W	7.075676128302835
YDR080W	6.99625848284378
YDR083W	6.978564766941375
YDR084C	7.068542664058305
YDR085C	7.0366493852448695
YDR089W	7.041601056164724
YDR090C	7.053109507343005
YDR092W	7.03984995660382
YDR093W	7.00812776098134
YDR094W	7.09112373242669
YDR095C	7.04105241782055
YDR096W	7.055942096213095
YDR097C	7.042158253397226
YDR098C	7.051937504658885
YDR099W	7.0519178592285705
YDR100W	7.075621134504839
YDR101C	7.0534424931840505
YDR102C	7.052547576252625
YDR103W	5.4331321718470456
YDR104C	6.982360029600271
YDR105C	7.038746075786115
YDR107C	7.08654490443903
YDR108W	7.0971945825087595
YDR109C	7.06755054150533
YDR110W	7.067964161095254
YDR111C	7.107227159718955
YDR112W	7.066780504788699
YDR116C	7.07538309261696
YDR117C	7.040448099482015
YDR119W	6.98681672147711
YDR120C	6.99858835613494
YDR121W	6.9972439877879005
YDR122W	6.9986818774229
YDR123C	6.943491471518785
YDR124W	6.985152080916855
YDR125C	7.026232266781735
YDR126W	7.010776829469474
YDR127W	6.8620938434108805
YDR128W	6.97516319761771
YDR130C	7.06714023132577
YDR131C	7.0452671483295894
YDR132C	7.02401938320057
YDR133C	7.11274242291674
YDR135C	6.993931897310055
YDR139C	7.028503047023024
YDR142C	7.0799859390595845
YDR143C	7.093569394881035
YDR144C	7.068784284525595
YDR146C	6.9751278945334505
YDR147W	7.09928435495428
YDR148C	7.094557024201505
YDR149C	6.939911085535504
YDR150W	7.035210218091645
YDR151C	7.10709969476878
YDR152W	7.104736362085385
YDR153C	7.065182653373295
YDR154C	7.088846639856184
YDR155C	7.066298453504305
YDR156W	7.0436789350648645
YDR157W	7.06884622098878
YDR158W	7.0921633902876895
YDR159W	7.0239181570753
YDR161W	7.04589578902618
YDR162C	6.98732414383878
YDR163W	7.019554806478695
YDR165W	7.008662391426871
YDR169C	7.011363653949495
YDR171W	7.1795467365335845
YDR173C	6.908718835647785
YDR174W	7.03278553647335
YDR178W	7.062642159039465
YDR179C	7.03512224743759
YDR179W-A	6.98209132805886
YDR181C	7.015120405933304
YDR183W	6.98205496886381
YDR184C	7.0005319448069745
YDR185C	7.050336245355895
YDR186C	7.020143566602879
YDR191W	7.050435343777854
YDR192C	7.015473225080745
YDR193W	7.043121168821836
YDR198C	7.00544904305679
YDR199W	7.038748215636556
YDR202C	7.01861313363926
YDR203W	6.9463668425606695
YDR205W	7.064681085220849
YDR206W	7.0126487892666205
YDR207C	6.965013012888935
YDR209C	7.082276361792395
YDR210W	7.06512946112359
YDR213W	7.050053529686535
YDR214W	7.023947591338034
YDR215C	7.04031856521654
YDR216W	7.041395000413095
YDR217C	10.67772956476524
YDR218C	7.07563767291847
YDR219C	7.0425529972200245
YDR220C	7.02764795774294
YDR221W	7.0671342308188905
YDR222W	7.06313168982239
YDR223W	7.07368573534432
YDR225W	6.993366416317205
YDR227W	6.327983708009935
YDR229W	7.048433458601934
YDR233C	7.0851962406372255
YDR234W	4.326849576989584
YDR239C	7.013904358961815
YDR241W	7.052369832655045
YDR242W	7.005004558536675
YDR244W	6.89305040953451
YDR245W	7.02815435174369
YDR247W	7.058741128194075
YDR248C	7.01215282544136
