ORF	hap a | growth (culture turbidity) | standard | SC | Kuroda K~Avalos J, 2019	hap a | growth (culture turbidity) | isobutanol [1.4%] | SC | Kuroda K~Avalos J, 2019
YDR306C	6.910	0.003
YHR031C	7.332	0.003
YCR046C	6.614	0.003
YIL018W	6.806	0.002
YOL051W	5.612	0.002
YFL007W	5.806	0.349
YHR048W	6.967	0.002
YBR194W	4.396	0.001
YJL211C	10.018	0.001
YBL002W	6.548	0.001
YLR244C	1.721	0.001
YPL065W	8.306	0.001
YJR077C	5.735	0.001
YBL072C	2.104	0.001
YFL023W	5.941	0.000
YNL190W	6.549	0.000
YNL025C	6.453	0.000
YDR305C	4.545	0.000
YBR003W	2.792	0.000
YDR310C	6.300	0.000
YNL073W	5.883	0.000
YPL013C	2.083	0.000
YML073C	6.894	0.000
YHR106W	4.473	0.000
YPL239W	7.120	0.000
YOR246C	8.362	0.000
YMR091C	6.673	0.000
YPL024W	5.972	0.000
YKL118W	6.688	0.000
YHR076W	6.226	0.000
YCR028C	2.154	0.000
YJL141C	6.839	0.000
YOR138C	6.895	0.000
YDR272W	7.138	0.000
YJL078C	6.839	0.000
YHR111W	4.388	0.000
YKR085C	5.440	0.000
YGR036C	4.517	0.000
YLR074C	6.006	0.000
YHR078W	6.932	0.000
YKL025C	5.709	0.000
YJL204C	1.784	0.000
YDL198C	3.705	0.000
YBR026C	6.001	0.000
YHR082C	6.263	0.000
YOR331C	6.956	0.000
YCR095C	7.064	0.000
YDL069C	4.332	0.000
YPR135W	4.982	0.000
YDR500C	5.824	0.117
YKL041W	6.292	0.000
YBL011W	6.502	0.000
YDR273W	7.133	0.000
YLR200W	2.039	0.000
YOR139C	7.837	0.000
YPR045C	4.731	0.000
YML094C-A	7.722	0.000
YKL010C	2.711	0.000
YKL015W	1.517	0.000
YHR047C	7.040	0.000
YJL084C	6.549	0.000
YOL033W	7.258	0.000
YBL090W	6.038	0.000
YHR086W	6.344	0.000
YKL026C	6.708	0.000
YBR122C	5.523	0.000
YEL031W	6.714	0.000
YJL200C	4.174	0.392
YOR247W	5.698	0.000
