orf	hom | growth (relative abundance in pooled culture) | nicotinamide [20 mM], time [5 gen] | YPD | Simoneau A~Wurtele H, 2016	hom | growth (relative abundance in pooled culture) | nicotinamide [20 mM], time [20 gen] | YPD | Simoneau A~Wurtele H, 2016
YDL067C	0.07018350000000001	2.166605
YDL068W	-0.3277145	3.0487900000000003
YDL069C	-0.801864	1.0189785
YDL070W	-1.26532	-2.54977
YDL071C	-0.40928200000000003	0.01237000000000002
YDL072C	0.16894950000000003	2.5427605
YDL073W	-1.0859345	-0.92302
YDL074C	1.26932	6.8269
YDL075W	0.6878405000000001	
YDL076C	0.5277615	-0.16905499999999996
YDL077C	-0.2913215	3.5649249999999997
YDL078C	-0.425809	-2.14012
YDL079C	-0.5874218	0.369098
YDL080C	0.03119949999999999	1.6187216
YDL081C	2.17323	
YDL082W	0.6249195	1.245214
YDL083C	-0.66079255	
YDL085W	0.42991500000000005	0.07212765
YDL086W	-0.8401668499999999	-4.300015
YDL088C	0.500606	2.1538649999999997
YDL089W	1.045759	-0.15710799999999997
YDL090C	1.47891	
YDL091C	0.7537375	1.7541505
YDL093W	0.2566055	1.6894355
YDL094C	-2.93216	-5.460165
YDL095W	-1.33701	0.5849157
YDL096C	-0.22663250000000001	3.676675
YDL099W	-0.37657549999999995	-2.5542499999999997
YDL100C	0.05863250000000003	1.007274
YDL101C	-5.294175	-6.514775
YDL104C	-0.1310015	2.6028149999999997
YDL106C	0.6750851	
YDL107W	0.400878	-0.13327
YDL109C	0.073022	5.13132
YDL110C	-0.3384965	0.2444695
YDL112W	-0.3337325	1.627145
YDL113C	-0.5791075	4.42307
YDL114W	-0.583112	-0.1725105
YDL115C	1.2001065	
YDL116W	0.44847250000000005	
YDL117W	0.846828	-3.27954
YDL118W	-0.12253899999999998	
YDL119C	0.3650035	2.655275
YDL121C	-0.13542655	1.0582600000000002
YDL122W	0.38217450000000003	1.5914365
YDL123W	-0.26102495	1.488815
YDL124W	0.7674890000000001	0.9436035
YDL125C	0.2704085	1.63981
YDL127W	-1.4052799999999999	-0.5335432999999999
YDL128W	0.181875	1.6377555
YDL129W	-0.47738105000000003	5.040375
YDL130W	-0.3829485	2.282035
YDL130W-A	-1.001985	2.1492075
YDL131W	0.17379850000000002	2.52745
YDL133C-A	-0.29455025	2.9610950000000003
YDL133W	-0.9918145	-0.8588385000000001
YDL134C	0.6288245	-0.5583585
YDL135C	1.0525985	0.6363456999999999
YDL136W	-0.25572150000000005	-0.5532524999999999
YDL137W	-0.515261	0.5265465
YDL138W	0.2957835	1.956555
YDL142C	-0.9683415	0.006545000000000023
YDL144C	-0.38818099999999994	-0.3776535
YDL146W	0.010387499999999994	1.2208215
YDL149W	-0.45031050000000006	-2.90778
YDL151C	1.0572855	
YDL154W	-0.0795845	2.091495
YDL155W	-0.6849069999999999	-0.9771319999999999
YDL156W	0.12360800000000001	0.7637174999999999
YDL157C	-0.6231395	0.1804755
YDL160C	0.91579	
YDL161W	0.7523085	-0.1269
YDL162C	0.35302100000000003	1.0776744999999999
YDL167C	-0.7624805	-1.4970575
YDL168W	-0.25511799999999996	-0.39237249999999996
YDL169C	-1.221023	1.0132444999999999
YDL170W	0.159057	1.706445
YDL171C	0.278973	0.55953225
YDL172C	-0.16390100000000002	-2.23937
YDL173W	-0.1434193	-6.21914
YDL174C	0.2517045	0.7320815
YDL175C	-0.3922795	-4.99053
YDL176W	-0.3873845	-0.87884635
YDL177C	-0.030243500000000006	-0.050061999999999995
YDL178W	0.07829565	-1.2196725
YDL179W	-0.1683065	-2.707535
YDL180W	-0.28645195	-2.12335
YDL182W	0.6385125	-0.08435999999999999
YDL183C	-0.516723	0.7868735
YDL184C	0.4541985	0.584989
YDL185W	1.727355	
YDL186W	-0.12470850000000003	-0.7210570000000001
YDL187C	-0.6097195	0.760645
YDL188C	0.1917525	-3.5730500000000003
YDL189W	0.1346325	1.8392935
YDL190C	-5.544195	-23.9755
YDL191W	1.0031970000000001	
YDL192W	1.33255	0.5150764999999999
YDL194W	0.288352	1.1369555
YDL197C	-0.3239815	0.836147
YDL198C	-2.320507	
YDL199C	-0.3228372	-3.328045
YDL200C	1.46928	1.5834585
YDL201W	-0.8125745	-0.9432100000000001
YDL202W	0.46034250000000004	
YDL203C	0.321975	-3.3941600000000003
YDL204W	0.23867307000000001	-1.737785
YDL210W	-0.38268	-0.09326800000000002
YDL211C	-0.003434999999999966	0.5739504999999999
YDL213C	0.811879	1.838025
YDL214C	-0.5552635	-2.89564
YDL215C	0.268558	-1.086214
YDL216C	-0.887081	0.8013775
YDL218W	0.145348	-1.3760425
YDL219W	1.224575	-1.486073
