ORF	hom | growth (relative abundance in pooled culture) | nicotinamide [20 mM], time [20 gen] | YPD | Simoneau A~Wurtele H, 2016	hom | growth (relative abundance in pooled culture) | nicotinamide [20 mM], time [5 gen] | YPD | Simoneau A~Wurtele H, 2016
YLR246W	0.601	0.110
YHR135C	-0.585	0.110
YGR155W	-0.009	0.110
YOR016C	-1.042	0.110
YKL050C	0.606	0.110
YKR026C	0.427	0.110
YKR042W	0.449	0.110
YKL127W	1.121	0.111
YGR126W	-0.434	0.111
YFL034W	-0.275	0.111
YOR384W	1.288	0.112
YOR125C	1.684	0.112
YKL211C	-1.830	0.112
YDR336W	0.008	0.113
YMR054W	-0.317	0.113
YNL286W	0.413	0.113
YDL010W	0.514	0.114
YMR174C	1.124	0.298
YMR132C	-1.454	0.115
YBR024W	0.581	0.115
YMR300C	-4.882	0.115
YNL243W	NaN	0.115
YOL082W	-1.089	0.116
YBR292C	-1.077	0.116
YGL043W	1.854	0.119
YPL111W	-1.443	0.119
YOR003W	0.543	0.119
YPR024W	1.840	0.119
YPR012W	0.627	0.120
YMR265C	-0.156	0.120
YLR108C	-0.165	0.121
YLR247C	1.852	0.121
YPR116W	NaN	0.121
YPL060W	2.848	0.121
YIL002C	1.785	0.121
YDR285W	-0.353	0.122
YDR200C	1.852	0.123
YDL156W	0.764	0.124
YDL054C	-1.145	0.124
YGR205W	0.639	0.124
YLR096W	-0.584	0.125
YLR428C	0.336	0.125
YHR006W	0.147	0.125
YGR260W	1.415	0.126
YOR065W	1.711	0.126
YBR062C	1.514	0.127
YOL147C	0.123	0.127
YPR201W	-0.236	0.128
YMR075C-A	2.515	0.128
YLL009C	3.569	0.129
YJL199C	-2.390	0.130
YLL029W	0.164	0.131
YPR185W	-0.825	0.131
YKR007W	-0.699	0.131
YPR138C	0.282	0.132
YGR268C	-0.158	0.132
YER001W	1.793	0.133
YGR076C	2.869	0.133
YML047C	2.623	0.134
YDL189W	1.839	0.135
YMR299C	0.382	0.135
YOL052C-A	1.224	0.135
YBL082C	-0.055	0.136
YLR013W	0.257	0.136
YJL079C	0.301	0.136
YMR210W	0.539	0.136
YBR044C	-0.906	0.137
YJL038C	2.948	0.138
YBR272C	4.661	0.138
YLR284C	-2.157	0.139
YFL015C	1.284	0.139
YKL162C-A	0.493	0.139
YIL156W	2.382	0.139
YOL087C	1.227	0.140
YPL023C	2.219	0.140
YJL141C	1.353	0.141
YPR189W	-4.907	0.141
YER167W	-2.540	0.142
YPL246C	1.850	0.142
YDR389W	-6.226	0.143
YLR110C	-1.765	0.143
YJL103C	1.908	0.143
YPL001W	-2.906	0.144
YOR172W	0.515	0.145
YLR090W	0.525	0.145
YJL153C	1.797	0.145
YMR243C	-3.076	0.145
YDL218W	-1.376	0.145
YMR244W	0.464	0.146
YER067C-A	0.645	0.148
YJR096W	2.659	0.149
YJR061W	1.014	0.149
YIL141W	-0.949	0.150
YOR171C	-0.341	0.151
YNL249C	0.133	0.151
YLL041C	1.492	0.151
YMR173W-A	0.526	0.151
YEL009C	0.168	0.153
YJL212C	-0.346	0.153
YLL005C	0.903	0.153
YDR296W	NaN	0.153
YCL055W	-1.537	0.153
YLR221C	0.687	0.154
YNL130C	1.322	0.154
YPL263C	-1.414	0.154
YJR152W	1.727	0.155
YAR020C	-0.572	0.155
YGR001C	4.477	0.156
YMR166C	-0.420	0.157
YBR288C	-2.789	0.157
YGR148C	-5.237	0.157
YKL087C	0.063	0.159
YML051W	-1.405	0.159
YDL170W	1.706	0.159
YNL055C	-1.164	0.160
YDR345C	2.591	0.160
YOL019W	1.405	0.161
YPL038W	-1.616	0.161
YMR052W	-0.836	0.162
YAL068C	1.348	0.162
YER093C-A	1.211	0.162
YLR285W	-1.018	0.162
YPR154W	-1.445	0.163
YCR037C	0.688	0.163
YEL001C	-0.041	0.164
YHR049W	1.274	0.165
YLR138W	2.557	0.165
YPR061C	-2.815	0.166
YMR216C	2.426	0.169
YDL072C	2.543	0.169
YNL195C	-1.833	0.170
YLL030C	1.546	0.170
YPL222W	-0.979	0.171
YIR037W	-1.690	0.171
YNL120C	-0.500	0.171
YCL033C	1.673	0.171
YGR261C	0.944	0.171
YLR142W	0.749	0.172
YDR403W	1.019	0.172
YLR287C-A	0.012	0.172
YIL044C	1.082	0.172
YDL131W	2.527	0.174
YJL065C	0.179	0.175
YMR069W	1.159	0.175
YBR145W	NaN	0.175
YPL245W	1.564	0.176
YDR513W	1.114	0.176
YBR083W	2.085	0.177
YMR162C	-0.637	0.177
YDR153C	0.008	0.177
YNL259C	-2.244	0.178
YGL216W	0.620	0.178
YGL224C	-0.944	0.179
YOR161C	2.112	0.179
YER091C	-1.359	0.179
YNL020C	-0.648	0.179
YER046W	-0.569	0.180
YGR054W	6.413	0.180
YCR004C	0.430	0.182
YDL128W	1.638	0.182
YLL061W	-0.918	0.182
YOR190W	-0.637	0.182
YPL267W	0.608	0.183
YAL065C	-0.666	0.183
YHR207C	0.673	0.184
YMR019W	0.003	0.184
YDR307W	0.868	0.185
YMR194C-A	-1.187	0.186
YLR283W	0.247	0.186
YLR114C	0.659	0.186
YMR175W	0.597	0.382
YIR013C	-1.885	0.186
YMR140W	3.685	0.186
YKL146W	1.474	0.186
YBR228W	-0.853	0.187
YEL007W	-2.297	0.187
YGR020C	NaN	0.187
YJL187C	-0.714	0.187
YPL072W	0.524	0.188
YPR093C	2.595	0.189
YGL221C	1.105	0.189
YMR258C	0.621	0.189
YIR035C	-1.984	0.189
YNL010W	-2.144	0.189
YMR078C	1.678	0.189
YDR030C	-2.159	0.189
YIL164C	0.074	0.190
YHL003C	-2.351	0.190
YOL160W	2.077	0.190
YOR040W	0.133	0.190
YIL088C	-0.141	0.191
YOR133W	0.102	0.191
YNL301C	2.340	0.191
YOL027C	1.574	0.192
YHR168W	NaN	0.192
YDL188C	-3.573	0.192
YNL295W	0.729	0.192
YDR493W	1.287	0.194
YDR354W	0.236	0.194
YFL040W	0.438	0.195
YJR009C	-0.472	0.195
YGL086W	2.818	0.196
YJL036W	1.131	0.196
YML121W	0.360	0.196
YBR078W	-1.303	0.197
YDL236W	0.149	0.198
YMR254C	2.881	0.198
YDR169C	0.579	0.198
YNR062C	0.364	0.198
YAL056W	2.240	0.198
YKL066W	1.121	0.199
YBR105C	-1.331	0.199
YDR219C	-0.111	0.199
YCR017C	2.119	0.199
YBL003C	1.128	0.199
YFL007W	0.863	0.258
YNL294C	0.479	0.199
YGR107W	-0.054	0.200
YCR075C	0.450	0.200
YHR043C	0.679	0.200
YHR120W	NaN	0.200
YLR085C	-2.223	0.200
YPR098C	1.648	0.201
YOL113W	0.352	0.201
YOR377W	-0.503	0.201
YLR384C	-2.482	0.201
YPR049C	3.459	0.201
YNL092W	0.733	0.202
YEL047C	-1.713	0.202
YGL020C	-0.386	0.202
YOL015W	4.417	0.202
YGL138C	0.710	0.202
YBR072W	-0.504	0.203
YOR019W	-3.161	0.203
YAR040C	-1.787	0.204
YOL084W	-1.830	0.205
YNR056C	0.523	0.205
YLR098C	0.775	0.206
YLR025W	1.801	0.207
YFL055W	1.807	0.208
YLL049W	-1.216	0.208
YGL015C	0.921	0.209
YMR111C	-11.344	0.209
YIR031C	0.566	0.209
YLR126C	2.418	0.209
YGL010W	2.016	0.210
YGL199C	-0.705	0.210
YOR129C	-0.002	0.211
YJL107C	3.053	0.212
YER132C	-0.251	0.212
YKR040C	-2.464	0.213
YKR032W	-0.203	0.213
YER048C	-1.925	0.213
YMR124W	-2.358	0.214
YOR266W	0.957	0.214
YFR016C	2.862	0.215
YER066W	-1.364	0.215
YBL081W	-1.055	0.215
YIR033W	1.176	0.215
YCR020W-B	NaN	0.215
YIL133C	1.450	0.215
YPL150W	2.682	0.215
YDR213W	1.930	0.216
YMR122C	0.811	0.217
YKL063C	-0.028	0.219
YDL012C	1.101	0.219
YER032W	-0.281	0.220
YAL049C	0.549	0.220
YEL006W	-1.479	0.221
YEL049W	2.284	0.222
YML004C	0.240	0.223
YDR151C	-3.514	0.223
YJL149W	-0.150	0.223
YLR067C	0.355	0.224
YPL004C	0.404	0.224
YPL054W	0.831	0.225
YGR062C	2.282	0.225
YOL114C	-0.693	0.225
YIL167W	1.220	0.225
YNL083W	0.644	0.225
YMR004W	0.501	0.225
YGL049C	0.808	0.226
YOL071W	2.832	0.227
YFL051C	0.723	0.228
YIL025C	0.691	0.228
YNR009W	3.654	0.229
YDR139C	5.306	0.229
YCL027W	-1.489	0.230
YOR023C	5.379	0.230
YJL022W	4.905	0.230
YMR244C-A	0.418	0.231
YPL186C	-0.323	0.232
YNL085W	-1.437	0.232
YDR049W	0.480	0.232
YLL002W	NaN	0.233
YBR281C	0.160	0.233
YLL063C	-1.471	0.234
YPR092W	2.278	0.234
YGL067W	-0.605	0.237
YGR194C	0.056	0.238
YHL019C	0.620	0.238
YDR297W	-0.844	0.238
YHR160C	0.581	0.239
YDL204W	-1.738	0.239
YPL121C	0.808	0.239
YNL248C	NaN	0.240
YKL124W	0.283	0.240
YDR270W	-1.493	0.240
YMR020W	-2.039	0.241
YLR415C	-1.873	0.241
YER163C	0.287	0.242
YPR052C	3.943	0.242
YEL043W	-2.617	0.242
YOL062C	-2.641	0.242
YPR097W	1.955	0.243
YML131W	-4.397	0.244
YLR406C	0.457	0.247
YHR033W	-0.826	0.247
YIL130W	-0.087	0.247
YEL020C	0.117	0.248
YPR073C	4.147	0.248
YOR120W	0.493	0.248
YJL138C	1.147	0.248
YBR043C	1.168	0.248
YER079W	-0.736	0.248
YGR182C	2.754	0.250
YDL174C	0.732	0.252
YMR158W-B	-0.690	0.252
YIL117C	1.585	0.252
YER086W	-0.666	0.253
YOL065C	3.626	0.253
YOR332W	-0.770	0.254
YKR024C	NaN	0.254
YDR516C	-0.724	0.255
YBR019C	-0.043	0.255
YDL002C	-0.062	0.255
YBR118W	0.920	0.256
YDR358W	1.649	0.256
YNL289W	-0.363	0.256
YDR519W	NaN	0.256
YDL093W	1.689	0.257
YJL201W	-2.381	0.257
YJL071W	-0.034	0.257
YPR007C	1.718	0.257
YPR148C	1.706	0.258
YLR201C	1.465	0.258
YOL104C	-2.393	0.258
YPR066W	4.416	0.259
YFL053W	-0.023	0.260
YER131W	0.064	0.260
YML123C	3.504	0.261
YOR096W	NaN	0.261
YGL082W	0.953	0.261
YKL080W	NaN	0.262
YNL332W	1.006	0.262
YPR059C	0.062	0.262
YLR063W	-7.262	0.262
YKL044W	-1.459	0.262
YDL066W	0.119	0.263
YDR446W	-2.213	0.263
YDR140W	NaN	0.263
YGL002W	2.106	0.265
YDR351W	-0.151	0.265
YPL145C	0.385	0.266
YMR086W	1.021	0.266
YJL073W	-2.226	0.266
YCR028C-A	NaN	0.266
YKR088C	1.291	0.267
YOR034C	-0.195	0.267
YIL145C	1.336	0.267
YIR007W	1.080	0.267
YDR536W	0.232	0.267
YBL083C	1.905	0.268
YNL146W	-0.074	0.268
YGL007W	1.115	0.269
YDL215C	-1.086	0.269
YFR012W	0.603	0.269
YPR193C	0.972	0.269
YOL125W	1.593	0.270
YAL040C	-0.109	0.270
YMR318C	-0.398	0.270
YDL125C	1.640	0.270
YPL227C	0.632	0.270
YML034C-A	1.013	0.271
YDR340W	5.277	0.272
YDL238C	-0.964	0.273
YNR040W	1.026	0.274
YPL202C	2.380	0.274
YLR171W	-1.058	0.275
YLL017W	-0.364	0.275
YLR224W	1.442	0.275
YMR056C	-0.442	0.276
YBR227C	-4.673	0.276
YHR167W	1.007	0.277
YHL016C	-0.313	0.278
YDR181C	5.134	0.278
YKL040C	-1.216	0.278
YDL171C	0.560	0.279
YER166W	-0.311	0.280
YEL063C	-1.985	0.281
YHR031C	-2.508	0.281
YAR030C	-0.816	0.281
YCL030C	1.175	0.283
YMR006C	-0.128	0.283
YGL249W	1.361	0.283
YCR086W	0.095	0.284
YOR081C	3.356	0.284
YOR177C	-3.141	0.284
YPR021C	-1.020	0.286
YCL051W	0.352	0.286
YLL028W	-0.474	0.286
YDR405W	NaN	0.287
YGL121C	-0.199	0.287
YNL252C	4.954	0.287
YDL194W	1.137	0.288
YLR031W	-0.115	0.289
YDR179W-A	-0.915	0.289
YML071C	-4.990	0.289
YER177W	0.946	0.290
YHR110W	0.630	0.291
YIR004W	1.581	0.292
YOR263C	1.969	0.293
YNL077W	1.749	0.294
YOL110W	1.271	0.295
YGR051C	1.006	0.296
YOR350C	0.325	0.296
YDL138W	1.957	0.296
YLR330W	-0.003	0.297
YBL019W	2.978	0.298
YOR017W	-1.792	0.298
YDR467C	-0.766	0.299
YIR009W	2.001	0.299
YHR018C	0.580	0.299
YGL240W	NaN	0.299
YMR264W	-2.393	0.300
YBL079W	0.065	0.302
YLL060C	0.434	0.302
YBR071W	4.428	0.303
YHR139C-A	1.331	0.303
YPL176C	-0.357	0.303
YPL067C	1.801	0.303
YOR323C	1.673	0.304
YKL160W	-2.345	0.306
YNL043C	0.497	0.306
YMR052C-A	-1.076	0.307
YMR057C	-0.212	0.308
YJR090C	NaN	0.309
YER044C-A	1.617	0.309
YOR331C	NaN	0.309
YER005W	1.549	0.309
YAL022C	-0.418	0.310
YER057C	-0.056	0.310
YOR188W	1.388	0.310
YML117W	-2.861	0.310
YNL070W	-2.035	0.311
YJR035W	0.698	0.311
YDR417C	0.389	0.312
YKR100C	1.115	0.312
YKL148C	-2.092	0.312
YDR084C	1.315	0.313
YDR346C	-0.162	0.313
YOR072W	0.486	0.313
YJL152W	-0.321	0.314
YIL047C	0.713	0.314
YLL033W	NaN	0.314
YOR375C	-0.846	0.314
YCL022C	-1.330	0.315
YMR304C-A	0.989	0.315
YKL068W	0.544	0.316
YIR014W	1.026	0.316
YBR183W	2.928	0.316
YDL019C	0.296	0.318
YOR147W	-0.969	0.319
YOR033C	-4.906	0.320
YLR037C	1.612	0.321
YBR007C	-0.437	0.321
YPL253C	0.647	0.321
YJL144W	-1.248	0.321
YLR073C	1.147	0.322
YDL203C	-3.394	0.322
YCR043C	0.181	0.322
YJL216C	1.231	0.322
YLR044C	-1.281	0.323
YOR011W	-1.040	0.323
YER064C	0.321	0.324
YMR119W-A	-3.555	0.324
YOR379C	-3.788	0.324
YML062C	0.925	0.325
YLL027W	NaN	0.325
YFL010C	0.115	0.326
YHR013C	2.228	0.326
YPL110C	-0.375	0.326
YAL058W	5.828	0.326
YGL212W	1.417	0.327
YJR044C	-1.248	0.328
YHL039W	-1.130	0.330
YNL128W	1.411	0.332
YLL025W	1.010	0.332
YLR297W	-0.877	0.332
YAL018C	-0.750	0.332
YKL031W	0.862	0.332
YML014W	2.659	0.333
YHR097C	0.180	0.333
YLR016C	0.792	0.333
YOL099C	-0.875	0.333
YLR183C	1.866	0.333
YAL030W	1.394	0.334
YJL148W	-1.210	0.334
YJL112W	1.892	0.334
YPL109C	-0.434	0.334
YOR333C	-2.989	0.334
YKL072W	-0.566	0.335
YDR057W	-3.270	0.335
YOR296W	0.314	0.335
YGL220W	-1.717	0.336
YBL042C	-0.179	0.337
YML103C	0.780	0.338
YJR142W	-0.379	0.338
YMR158W	NaN	0.338
YOR068C	0.159	0.338
YNL101W	-1.716	0.339
YER080W	-0.078	0.339
YPR043W	NaN	0.339
YNL044W	1.211	0.339
YBR165W	1.950	0.339
YGR169C	0.616	0.340
YOL121C	0.827	0.340
YOR192C	3.072	0.340
YBR203W	1.454	0.341
YKL064W	0.699	0.341
YFR013W	0.759	0.341
YDR152W	1.343	0.343
YNL253W	-0.695	0.343
YHL033C	-3.514	0.344
YNL327W	1.298	0.344
YAL027W	-0.588	0.344
YNL269W	-0.437	0.344
YLR294C	-1.031	0.345
YJL066C	-0.713	0.347
YMR251W	-0.135	0.347
YMR039C	3.355	0.348
YGR067C	-0.963	0.348
YJR137C	1.614	0.348
YPL256C	0.830	0.348
YIL013C	-3.104	0.349
YOR297C	4.387	0.349
YMR255W	1.321	0.349
YJL099W	-1.436	0.349
YMR126C	-1.036	0.350
YBR248C	0.112	0.350
YHR194W	NaN	0.350
YDR424C	-0.040	0.351
YEL046C	NaN	0.351
YNL034W	0.265	0.353
YDL162C	1.078	0.353
YOL061W	3.192	0.353
YBR177C	0.836	0.354
YML072C	1.224	0.355
YKR075C	-1.448	0.355
YBL078C	0.907	0.356
YLR262C-A	-0.069	0.356
YBR116C	-0.743	0.357
YBL032W	0.375	0.357
YDR349C	2.795	0.357
YGR271C-A	NaN	0.359
YBL087C	2.009	0.359
YER149C	2.750	0.360
YHR137W	1.180	0.362
YML080W	-3.035	0.362
YNL140C	0.375	0.362
YGL197W	0.305	0.362
YCR050C	0.884	0.363
YKL034W	-0.713	0.364
YPR031W	1.129	0.364
YDL119C	2.655	0.365
YDL011C	0.647	0.365
YOL101C	-1.387	0.366
YLR146C	1.094	0.366
YER115C	-0.086	0.368
YEL050C	3.024	0.368
YNL032W	3.733	0.368
YCR087C-A	-0.268	0.370
YJR037W	0.505	0.370
YLR319C	7.443	0.370
YCL009C	0.093	0.370
YBR218C	0.560	0.370
YIL015W	-0.321	0.370
YGL125W	0.522	0.370
YIL111W	1.270	0.371
YKR014C	1.571	0.373
YHR157W	2.356	0.373
YPR100W	NaN	0.373
YJL169W	-0.116	0.373
YKL096W	-1.614	0.375
YPL219W	1.085	0.375
YKR069W	0.191	0.375
YOR101W	1.401	0.375
YJL145W	-2.067	0.376
YML012W	-0.207	0.376
YPR118W	2.236	0.376
YPR003C	2.532	0.377
YBR260C	1.237	0.377
YPL162C	1.602	0.378
YGR088W	2.043	0.378
YMR016C	-0.485	0.379
YDR423C	4.311	0.379
YIL155C	0.844	0.379
YER135C	1.684	0.379
YNL173C	-0.096	0.379
YLR093C	-3.086	0.380
YOR374W	-1.640	0.381
YDR461W	-1.159	0.381
YOL008W	1.771	0.381
YDL233W	-1.539	0.381
YML104C	2.042	0.382
YBR041W	2.129	0.382
YDL122W	1.591	0.382
YNL105W	-1.863	0.382
YGL214W	-0.142	0.382
YOR135C	-1.978	0.384
YPR091C	-1.214	0.385
YGL081W	1.605	0.385
YML019W	0.873	0.386
YDR375C	2.479	0.387
YJR054W	0.167	0.388
YBR291C	1.583	0.388
YNL136W	-0.798	0.388
YDR482C	0.897	0.389
YJR053W	-0.421	0.389
YNL166C	-15.384	0.389
YKL039W	-2.701	0.390
YNL334C	0.931	0.391
YER060W	-0.031	0.391
YCL014W	1.324	0.465
YOR164C	-3.314	0.392
YER095W	-1.222	0.392
YIR034C	1.771	0.393
YJL171C	0.172	0.393
YNR060W	0.153	0.394
YGL228W	1.860	0.395
YLR107W	-1.693	0.395
YJR015W	0.662	0.395
YPL248C	0.266	0.397
YLR124W	-1.958	0.397
YDR408C	1.098	0.397
YLL026W	-1.072	0.398
YML095C	-0.136	0.399
YGL135W	NaN	0.399
YIR020C	0.126	0.399
YJL067W	0.887	0.399
YKR033C	-0.553	0.400
YBR138C	1.024	0.400
YDL107W	-0.133	0.401
YIL010W	-0.892	0.401
YKR059W	1.855	0.401
YDR310C	1.945	0.403
YMR250W	3.131	0.404
YHR116W	2.100	0.404
YHR178W	1.087	0.405
YPL198W	2.308	0.405
YDL001W	1.143	0.405
YFR001W	NaN	0.405
YLR059C	-0.839	0.406
YCL056C	1.317	0.407
YHR143W	0.134	0.408
YNR069C	0.562	0.408
YMR171C	5.419	0.408
YCL016C	NaN	0.409
YKR012C	1.501	0.409
YDR350C	NaN	0.412
YMR233W	0.015	0.412
YJL117W	NaN	0.412
YFL012W	0.758	0.413
YDL006W	0.285	0.414
YCR027C	0.671	0.416
YDR262W	0.619	0.416
YJR080C	0.362	0.416
YKR051W	-1.328	0.417
YBL002W	6.207	0.419
YGR143W	-1.371	0.419
YOL053W	-0.266	0.420
YJL101C	-0.983	0.420
YOL023W	NaN	0.420
YBR294W	0.821	0.420
YHL036W	-3.422	0.420
YIL121W	0.158	0.421
YBR115C	0.713	0.422
YPL192C	-0.506	0.422
YPR009W	2.147	0.423
YMR291W	-0.359	0.423
YLR125W	0.648	0.424
YEL039C	-1.976	0.424
YJR003C	-0.157	0.424
YDR320C	NaN	0.425
YOR348C	0.381	0.426
YBL104C	-0.385	0.426
YMR262W	0.725	0.427
YLR054C	0.945	0.427
YLL046C	-0.168	0.427
YPR194C	0.991	0.428
YIL089W	-0.784	0.428
YHL020C	-1.352	0.428
YPL135W	2.148	0.428
YPR053C	3.810	0.429
YPR096C	3.634	0.429
YHR016C	0.949	0.429
YIR025W	-4.867	0.430
YDL085W	0.072	0.430
YKL216W	0.582	0.431
YGR106C	0.508	0.431
YIL085C	-2.227	0.432
YCR023C	-0.362	0.432
YOR324C	0.050	0.433
YHR108W	0.448	0.433
YEL061C	0.469	0.436
YPR140W	0.298	0.437
YOR258W	0.029	0.437
YMR306C-A	2.336	0.438
YEL013W	-1.737	0.438
YIL152W	-1.844	0.439
YOL057W	1.823	0.439
YOL107W	0.071	0.439
YML118W	1.484	0.440
YER062C	-1.656	0.440
YGR215W	NaN	0.440
YHR155W	0.127	0.440
YGR130C	-0.501	0.441
YGR200C	-1.449	0.441
YMR055C	-3.338	0.441
YNL321W	0.298	0.442
YDL020C	-3.656	0.443
YOR100C	0.470	0.443
YPL053C	-0.529	0.443
YPL220W	0.710	0.443
YBR224W	0.387	0.443
YLR257W	1.032	0.443
YMR226C	1.433	0.443
YMR222C	0.503	0.443
YPL240C	1.580	0.444
YBR163W	NaN	0.444
YNL233W	-0.892	0.444
YGR209C	-1.925	0.445
YOL058W	-0.540	0.445
YPR134W	NaN	0.445
YOR045W	2.320	0.446
YLL016W	-0.966	0.447
YIL060W	1.543	0.447
YEL017C-A	-0.218	0.448
YDR015C	-1.869	0.448
YDL116W	NaN	0.448
YOR270C	1.878	0.449
YGR093W	1.709	0.449
YJL198W	0.717	0.450
YLR326W	0.542	0.450
YMR289W	-1.073	0.451
YJR038C	2.213	0.452
YNL160W	3.833	0.453
YDR150W	NaN	0.453
YMR070W	4.297	0.454
YDL184C	0.585	0.454
YOL063C	0.036	0.455
YLR454W	1.744	0.456
YGL241W	0.887	0.457
YMR029C	2.164	0.457
YJR091C	0.696	0.458
YOL036W	-0.941	0.458
YHR129C	-0.378	0.458
YLL039C	-0.127	0.459
YDL234C	0.522	0.459
YDL202W	NaN	0.460
YBL091C-A	0.365	0.461
YAR023C	-0.308	0.462
YJR060W	-1.214	0.462
YNR059W	1.387	0.462
YPL130W	-3.668	0.463
YJR048W	3.233	0.466
YPR099C	NaN	0.466
YMR011W	-1.016	0.466
YER153C	3.749	0.466
YMR159C	0.689	0.467
YIR021W	3.296	0.468
YLR190W	-0.343	0.470
YJL126W	1.795	0.470
YNL196C	-0.666	0.470
YLR092W	0.127	0.470
YDR154C	-1.216	0.471
YOR344C	1.925	0.472
YOL035C	0.961	0.472
YIL136W	-0.917	0.472
YNL319W	0.520	0.472
YIL035C	2.598	0.473
YLR041W	-2.273	0.473
YKR044W	2.030	0.474
YJL217W	1.796	0.474
YMR316C-B	-4.068	0.475
YOR029W	0.647	0.475
YPL033C	0.966	0.475
YGR206W	-0.033	0.476
YKL008C	1.311	0.478
YGL087C	-2.300	0.478
YDR283C	0.484	0.479
YPR058W	1.518	0.480
YLR295C	NaN	0.480
YLR450W	-0.894	0.481
YOR076C	-1.191	0.481
YML110C	-2.350	0.483
YAR031W	1.076	0.484
YHR049C-A	2.089	0.484
YOL083W	-0.705	0.485
YBR197C	0.876	0.485
YNL011C	2.477	0.485
YLR024C	1.385	0.485
YFR009W	0.493	0.486
YIL064W	-0.320	0.486
YKL074C	-1.312	0.487
YBR233W	-2.843	0.487
YJL119C	2.937	0.487
YJL182C	-0.999	0.488
YHR091C	NaN	0.488
YAL017W	-2.661	0.488
YPL002C	1.352	0.488
YDR069C	NaN	0.488
YMR246W	-0.019	0.488
YBR266C	NaN	0.489
YKR066C	0.568	0.489
YAR003W	-0.770	0.490
YMR030W	-0.417	0.490
YNL125C	1.265	0.491
YPL140C	0.213	0.491
YNL281W	1.522	0.492
YJL064W	0.453	0.493
YLL052C	-0.222	0.494
YBR268W	NaN	0.494
YBL096C	-0.096	0.496
YBL106C	1.268	0.496
YFL019C	1.219	0.497
YDR529C	NaN	0.499
YAL026C	-2.359	0.500
YDL088C	2.154	0.501
YLR308W	0.389	0.501
YDR441C	-1.029	0.502
YMR180C	-0.103	0.502
YNL106C	3.021	0.502
YNL086W	2.262	0.503
YLR017W	0.687	0.503
YCL011C	1.119	0.503
YKL086W	-2.347	0.503
YKR015C	0.465	0.503
YIL065C	-3.167	0.504
YER017C	NaN	0.505
YCL028W	0.394	0.505
YLR396C	-1.006	0.506
YIL123W	1.493	0.507
YIL052C	-0.123	0.507
YGR151C	-0.920	0.507
YML079W	0.717	0.507
YLR273C	0.238	0.508
YNL179C	0.840	0.508
YPL052W	1.588	0.508
YKL047W	-0.743	0.509
YOL012C	0.403	0.509
YLR089C	2.197	0.510
YMR317W	-0.799	0.510
YBR164C	1.061	0.511
YLR181C	0.538	0.512
YLR018C	2.297	0.512
YGL118C	3.384	0.512
YOR245C	0.934	0.512
YLR030W	0.252	0.512
YLR435W	NaN	0.513
YJL077C	-1.139	0.514
YJR079W	0.270	0.514
YJL007C	1.043	0.514
YCR049C	1.365	0.516
YNL204C	1.247	0.516
YMR138W	3.722	0.517
YPL199C	-0.487	0.517
YOR325W	-4.153	0.517
YMR053C	-1.381	0.518
YLR241W	5.868	0.519
YOR059C	0.240	0.520
YNR001C	-2.020	0.520
YML009W-B	2.056	0.520
YGR271W	1.453	0.520
YBR250W	-0.031	0.520
YMR294W	-1.078	0.522
YDR210W	0.601	0.522
YDR223W	-2.191	0.523
YMR105C	-0.123	0.524
YLR303W	-0.071	0.525
YCR069W	-0.352	0.526
YLR032W	-1.769	0.527
YBR210W	0.108	0.527
YJL196C	3.508	0.527
YIL138C	1.101	0.527
YDL076C	-0.169	0.528
YGR279C	2.735	0.528
YPL078C	2.148	0.529
YBR279W	NaN	0.531
YOL025W	1.169	0.532
YOL013C	-1.063	0.532
YBR120C	1.204	0.533
YPL068C	1.728	0.533
YIL096C	0.912	0.534
YLR165C	0.918	0.534
YGL006W	1.080	0.535
YAL042W	0.288	0.535
YOR381W	1.463	0.535
YGR167W	NaN	0.536
YPL167C	1.806	0.537
YML059C	0.608	0.537
YAL031C	1.788	0.538
YDR264C	NaN	0.539
YFR018C	0.220	0.539
YOR137C	0.705	0.539
YBR069C	1.632	0.540
YER010C	5.775	0.541
YDR313C	1.448	0.541
YBR173C	0.716	0.541
YPL105C	1.803	0.542
YOR328W	-0.814	0.542
YHL038C	0.567	0.542
YAL007C	1.781	0.543
YKL204W	-1.522	0.543
YGR163W	0.390	0.543
YKL138C	NaN	0.544
YIR032C	1.708	0.545
YJR031C	1.011	0.546
YER128W	0.985	0.547
YJL100W	2.778	0.550
YMR297W	-0.102	0.550
YHR086W	-0.537	0.551
YAL056C-A	2.089	0.552
YOL004W	4.188	0.553
YER077C	NaN	0.554
YKL096W-A	2.334	0.554
YMR044W	-2.568	0.554
YPL207W	0.739	0.554
YIL005W	0.752	0.555
YMR064W	3.457	0.556
YIL116W	1.695	0.556
YML113W	2.301	0.557
YER033C	0.197	0.557
YPR001W	0.215	0.558
YOR179C	5.338	0.559
YOR295W	NaN	0.559
YJL177W	-2.344	0.560
YOR307C	-2.817	0.560
YDR319C	0.160	0.560
YDL044C	NaN	0.561
YBR061C	2.864	0.561
YPL115C	-1.216	0.561
YDR067C	2.604	0.561
YJL013C	-0.664	0.561
YDR430C	-0.636	0.561
YLL013C	-0.893	0.561
YJL137C	0.268	0.562
YLR023C	-2.504	0.563
YKL016C	-0.020	0.563
YLR170C	-1.126	0.564
YHR075C	-1.716	0.564
YIL059C	0.494	0.564
YPL141C	0.760	0.564
YJL020C	2.952	0.644
YOL059W	-0.411	0.567
