ORF	hom | growth (relative abundance in pooled culture) | synthetic must, Phase I [10 generations] | Novo M~Gonzalez R, 2013	hom | growth (relative abundance in pooled culture) | synthetic must, Phase II [10 generations] | Novo M~Gonzalez R, 2013	het | growth (relative abundance in pooled culture) | synthetic must, Phase I [10 generations] | Novo M~Gonzalez R, 2013	het | growth (relative abundance in pooled culture) | synthetic must, Phase II [10 generations] | Novo M~Gonzalez R, 2013
YBR274W	0.081	0.288	0.016	0.589
YBR275C	-0.015	-0.051	0.213	1.777
YBR276C	-0.299	-0.588	-0.257	2.077
YBR277C	1.690	-0.172	1.500	-0.141
YBR278W	1.365	-0.588	1.970	-1.464
YBR279W	0.029	0.864	2.786	0.180
YBR280C	0.064	0.295	0.167	-0.021
YBR281C	0.912	-0.846	1.167	-1.813
YBR282W	1.082	1.308	1.266	-0.822
YBR283C	0.722	1.849	3.071	-0.564
YBR284W	1.158	-1.426	1.364	-0.604
YBR285W	0.129	0.188	0.943	-0.420
YBR286W	0.319	-0.776	0.881	-1.027
YBR287W	-0.484	0.059	0.088	1.744
YBR288C	0.630	0.217	0.659	2.624
YBR289W	-0.137	2.393	0.552	1.846
YBR290W	0.342	0.842	1.932	-2.186
YBR291C	0.442	-0.272	1.051	-2.259
YBR292C	0.999	-0.848	1.626	-2.235
YBR293W	-0.184	-0.459	2.058	-1.686
YBR294W	-0.356	-0.588	0.132	1.017
YBR295W	1.529	-0.009	1.406	0.525
YBR296C	1.976	-1.057	1.627	-0.540
YBR296C-A	-0.443	0.139	-1.217	-0.509
YBR297W	1.477	-0.360	1.606	-0.690
YBR298C	2.004	-0.978	2.325	-2.659
YBR299W	-0.199	0.112	-0.011	1.051
