ORF	hap a | growth (relative abundance in pooled culture) | standard | SD + phosphate limitation | Payen C~Dunham MJ, 2016	het | growth (relative abundance in pooled culture) | standard | SD + phosphate limitation | Payen C~Dunham MJ, 2016	hap a | growth (relative abundance in pooled culture) | standard | SD + sulfate limitation | Payen C~Dunham MJ, 2016	het | growth (relative abundance in pooled culture) | standard | SD + sulfate limitation | Payen C~Dunham MJ, 2016	hap a | growth (relative abundance in pooled culture) | standard | SD + glucose limitation | Payen C~Dunham MJ, 2016	het | growth (relative abundance in pooled culture) | standard | SD + glucose limitation | Payen C~Dunham MJ, 2016
YNL279W	-0.011	-0.014	-0.004	-0.011	-0.031	0.002
YNL280C	-0.013	0.011	-0.081	-0.001	0.047	-0.013
YNL281W	0.011	0.020	-0.010	-0.006	-0.014	-0.023
YNL283C	0.015	0.018	0.002	-0.005	-0.014	-0.053
YNL284C	NaN	0.009	NaN	0.004	NaN	-0.023
YNL285W	0.024	-0.005	-0.018	0.008	0.021	-0.022
YNL286W	0.016	-0.028	-0.027	0.013	-0.023	-0.006
YNL287W	NaN	-0.071	NaN	0.029	NaN	-0.172
YNL288W	-0.062	0.006	0.031	0.024	-0.056	-0.006
YNL289W	-0.008	0.020	0.026	0.047	-0.031	-0.011
YNL290W	NaN	0.008	NaN	0.001	NaN	0.011
YNL291C	-0.070	0.007	-0.045	0.017	-0.083	-0.001
YNL292W	-0.004	-0.003	-0.052	0.008	-0.019	-0.039
YNL293W	0.008	-0.016	-0.047	0.003	-0.031	0.010
YNL294C	0.050	0.001	-0.057	0.030	0.095	-0.032
YNL295W	-0.003	0.011	-0.001	-0.023	-0.036	-0.049
YNL296W	-0.062	-0.007	-0.070	-0.019	NaN	-0.036
YNL297C	0.004	-0.016	NaN	-0.051	NaN	-0.043
YNL298W	-0.019	0.017	-0.014	0.063	-0.022	0.066
YNL299W	-0.012	-0.006	0.024	0.007	0.018	-0.008
YNL300W	0.046	-0.001	0.003	0.011	-0.018	-0.066
YNL301C	0.013	-0.019	0.035	0.010	0.007	-0.024
YNL302C	NaN	0.018	NaN	0.017	NaN	-0.069
YNL303W	-0.008	0.003	0.005	-0.029	-0.015	-0.036
YNL304W	NaN	-0.007	0.052	0.018	0.020	0.000
YNL305C	-0.007	-0.004	-0.022	-0.012	-0.028	-0.032
YNL306W	-0.023	0.011	NaN	0.007	NaN	-0.041
YNL307C	-0.124	-0.001	-0.209	-0.008	-0.048	-0.045
YNL308C	NaN	-0.075	NaN	0.035	NaN	-0.025
YNL309W	NaN	-0.133	NaN	0.069	NaN	-0.026
YNL310C	NaN	0.001	NaN	0.002	NaN	-0.015
YNL311C	-0.180	-0.001	0.031	0.022	0.019	0.026
YNL312W	-0.028	0.011	NaN	-0.005	NaN	-0.007
YNL313C	0.029	-0.005	-0.021	0.022	0.008	0.017
YNL314W	0.012	-0.070	0.024	0.029	-0.002	-0.094
YNL315C	NaN	0.022	NaN	0.002	NaN	0.008
YNL316C	-0.016	-0.002	NaN	-0.004	NaN	-0.015
YNL317W	NaN	0.007	NaN	0.059	NaN	-0.000
YNL318C	0.012	-0.009	-0.004	-0.011	0.002	-0.010
YNL319W	-0.008	-0.006	0.024	-0.012	-0.003	0.009
YNL320W	-0.014	-0.007	0.008	-0.040	-0.040	-0.015
YNL321W	-0.020	-0.001	0.009	0.025	0.006	-0.001
YNL322C	-0.136	0.021	-0.123	-0.015	-0.178	-0.011
YNL323W	-0.150	0.004	0.055	0.022	-0.088	0.022
YNL324W	0.051	0.004	0.010	-0.029	0.062	-0.010
YNL325C	0.062	0.014	-0.016	0.016	0.044	-0.023
YNL326C	-0.030	-0.044	0.006	-0.028	-0.056	0.032
YNL327W	0.033	-0.017	-0.025	-0.024	-0.002	0.005
YNL328C	NaN	NaN	NaN	NaN	NaN	NaN
YNL329C	0.004	0.001	0.008	-0.021	0.006	0.018
YNL330C	-0.052	0.014	-0.119	0.070	-0.083	-0.001
YNL331C	NaN	NaN	NaN	NaN	NaN	NaN
YNL332W	NaN	NaN	NaN	NaN	NaN	NaN
YNL333W	0.009	0.014	-0.012	-0.008	-0.004	-0.022
YNL334C	0.009	0.012	0.004	0.008	0.033	-0.018
YNL335W	-0.011	-0.003	0.020	-0.005	0.014	0.002
YNL336W	0.009	0.005	-0.005	0.002	-0.007	-0.012
YNL338W	0.004	-0.002	0.005	0.011	-0.027	-0.014
YNL339C	-0.021	-0.003	NaN	0.012	NaN	-0.006
YNR001C	NaN	-0.007	NaN	-0.024	NaN	-0.004
YNR002C	0.023	-0.053	NaN	0.040	NaN	0.004
YNR003C	NaN	-0.006	NaN	0.039	NaN	-0.013
YNR004W	0.025	0.001	0.142	0.013	0.044	0.006
YNR005C	0.056	0.011	-0.208	0.085	-0.007	0.065
YNR006W	NaN	-0.069	NaN	-0.011	NaN	-0.032
YNR007C	-0.002	0.009	-0.014	-0.009	-0.002	0.009
YNR008W	NaN	-0.032	NaN	-0.015	NaN	-0.017
YNR009W	0.028	0.015	-0.007	0.012	-0.008	-0.040
YNR010W	-0.250	-0.006	-0.139	-0.061	0.073	-0.009
YNR011C	NaN	0.009	NaN	-0.028	NaN	0.032
YNR012W	NaN	NaN	NaN	NaN	NaN	NaN
YNR013C	-0.003	-0.013	-0.018	-0.008	-0.011	-0.013
YNR014W	NaN	NaN	NaN	NaN	NaN	NaN
YNR016C	-0.000	-0.006	-0.080	-0.026	0.004	-0.029
YNR018W	0.013	0.018	0.021	-0.006	0.018	0.014
YNR019W	-0.062	-0.031	NaN	0.039	NaN	-0.005
YNR020C	NaN	-0.045	NaN	-0.035	NaN	0.003
YNR022C	0.065	0.012	0.063	0.048	-0.027	0.001
YNR023W	NaN	NaN	NaN	0.029	NaN	NaN
YNR024W	NaN	-0.023	NaN	0.029	NaN	-0.011
YNR025C	-0.238	-0.020	-0.196	-0.016	-0.076	-0.009
YNR026C	NaN	-0.054	NaN	-0.002	NaN	0.012
YNR027W	0.050	0.006	0.008	0.026	0.011	0.010
YNR028W	NaN	NaN	NaN	NaN	NaN	NaN
YNR029C	NaN	-0.035	NaN	-0.031	NaN	0.002
YNR030W	NaN	NaN	NaN	NaN	NaN	NaN
YNR031C	-0.032	0.008	-0.074	0.041	0.130	0.062
YNR032C-A	0.004	0.009	-0.004	0.004	0.009	-0.050
YNR032W	0.002	-0.014	-0.017	0.012	-0.028	-0.014
YNR033W	NaN	NaN	NaN	NaN	NaN	NaN
YNR034W	0.034	0.010	0.027	0.017	0.031	0.020
YNR035C	NaN	-0.090	NaN	0.018	NaN	-0.020
YNR037C	NaN	0.020	NaN	0.021	NaN	-0.025
YNR038W	NaN	0.031	NaN	-0.012	NaN	0.012
YNR039C	NaN	-0.036	NaN	-0.001	NaN	0.019
YNR040W	0.004	-0.003	0.016	0.019	-0.026	-0.031
YNR041C	-0.048	0.024	-0.020	0.027	-0.044	-0.037
YNR042W	-0.063	0.014	-0.052	0.021	-0.065	-0.049
YNR043W	NaN	-0.016	NaN	0.043	NaN	0.005
YNR045W	NaN	-0.015	NaN	0.048	NaN	-0.012
YNR047W	-0.081	-0.058	-0.196	-0.005	-0.122	-0.087
YNR048W	-0.058	0.019	-0.091	-0.039	-0.057	-0.047
YNR049C	-0.002	0.006	-0.007	0.036	-0.032	-0.057
YNR050C	NaN	NaN	NaN	NaN	NaN	NaN
YNR051C	-0.118	-0.011	-0.193	0.054	-0.076	-0.043
YNR052C	NaN	-0.105	NaN	-0.012	NaN	0.004
YNR053C	0.007	-0.007	-0.038	0.008	-0.004	-0.038
YNR054C	NaN	-0.007	NaN	0.028	NaN	-0.015
YNR055C	0.006	0.002	0.017	-0.004	0.013	-0.013
YNR056C	NaN	0.034	NaN	0.037	NaN	-0.053
YNR057C	NaN	-0.035	NaN	0.008	NaN	0.002
YNR058W	-0.001	0.012	-0.016	-0.005	-0.007	-0.046
YNR059W	NaN	NaN	NaN	NaN	NaN	NaN
YNR060W	-0.004	-0.001	0.005	-0.019	-0.013	0.044
YNR061C	0.027	-0.002	0.012	-0.011	-0.028	-0.014
YNR062C	0.007	0.004	0.012	-0.005	0.000	-0.015
YNR063W	-0.005	0.006	0.007	0.079	-0.001	-0.037
YNR064C	0.009	-0.004	0.010	-0.006	-0.008	-0.013
YNR065C	0.005	0.012	0.017	0.036	0.003	0.002
YNR066C	0.008	0.007	0.020	-0.025	0.016	-0.015
YNR067C	0.017	-0.005	0.012	-0.016	0.010	-0.049
YNR068C	0.000	0.007	0.026	-0.005	0.010	-0.023
YNR069C	NaN	-0.029	NaN	0.037	NaN	0.012
YNR070W	-0.004	-0.005	-0.001	-0.005	-0.012	0.017
YNR071C	-0.007	-0.006	-0.002	-0.007	-0.023	0.033
YNR072W	0.010	-0.010	-0.008	-0.024	-0.010	0.008
YNR073C	NaN	NaN	NaN	NaN	NaN	NaN
YNR074C	0.038	0.017	0.038	0.023	0.035	0.035
YNR075W	0.022	0.003	0.004	0.001	-0.010	-0.001
YOL001W	0.054	-0.005	0.024	0.092	0.004	0.028
YOL002C	-0.151	-0.050	-0.179	-0.139	-0.094	-0.054
YOL003C	-0.009	-0.001	-0.025	-0.001	-0.008	-0.006
YOL004W	-0.080	0.002	-0.096	0.031	-0.031	-0.007
YOL005C	NaN	0.004	NaN	-0.026	NaN	0.018
YOL006C	0.042	0.036	-0.069	0.022	-0.012	-0.031
YOL007C	NaN	NaN	NaN	NaN	NaN	NaN
YOL008W	-0.052	0.001	-0.044	-0.016	-0.004	-0.009
YOL009C	-0.042	0.004	NaN	-0.028	NaN	-0.033
YOL010W	NaN	-0.009	NaN	0.037	NaN	-0.022
YOL011W	0.007	-0.002	0.025	-0.013	0.007	-0.004
YOL012C	-0.011	-0.006	NaN	-0.002	NaN	0.024
YOL013C	-0.037	-0.029	-0.064	-0.006	0.080	0.071
YOL013W-B	0.016	0.012	0.005	0.003	-0.004	0.016
YOL014W	0.003	-0.000	0.017	0.019	0.001	-0.023
YOL016C	-0.005	-0.021	0.007	-0.011	0.032	-0.005
YOL017W	NaN	NaN	NaN	NaN	NaN	NaN
YOL018C	NaN	NaN	NaN	NaN	NaN	NaN
YOL019W	-0.009	-0.116	-0.006	-0.024	0.003	-0.055
YOL019W-A	NaN	NaN	NaN	NaN	NaN	NaN
YOL020W	0.025	-0.015	-0.019	0.008	-0.032	-0.029
YOL021C	NaN	-0.059	NaN	0.003	NaN	-0.009
YOL023W	-0.024	-0.006	0.005	-0.014	-0.032	0.002
YOL024W	NaN	0.027	0.061	0.073	0.011	0.019
YOL025W	0.008	-0.000	-0.015	-0.001	-0.057	-0.006
YOL026C	-0.025	-0.000	-0.024	-0.020	-0.059	-0.002
YOL027C	0.002	0.009	-0.032	-0.017	-0.201	0.001
YOL028C	0.001	0.002	0.015	-0.017	-0.002	-0.010
YOL030W	NaN	-0.022	NaN	-0.040	NaN	0.003
YOL031C	NaN	-0.084	NaN	0.060	NaN	-0.016
YOL032W	-0.003	-0.010	0.018	-0.000	0.015	-0.006
YOL033W	-0.011	-0.001	NaN	-0.022	NaN	0.001
YOL034W	0.019	-0.021	NaN	0.010	NaN	-0.022
YOL035C	-0.023	0.023	0.048	0.018	-0.042	-0.041
YOL036W	-0.116	-0.014	0.016	-0.012	-0.197	-0.018
YOL037C	-0.014	-0.017	0.009	-0.014	-0.043	-0.028
YOL038C-A	NaN	NaN	NaN	NaN	NaN	NaN
YOL038W	NaN	0.041	NaN	0.034	NaN	-0.041
YOL039W	0.001	0.008	0.027	-0.004	0.002	0.009
YOL040C	NaN	-0.055	NaN	0.025	NaN	0.011
YOL041C	-0.027	-0.013	0.030	-0.025	-0.060	-0.010
YOL043C	-0.001	-0.018	0.024	-0.030	-0.062	-0.027
YOL044W	0.026	-0.008	-0.014	-0.003	-0.098	0.041
YOL045W	-0.017	0.015	-0.002	0.043	0.027	0.042
YOL046C	-0.022	0.014	-0.002	0.024	0.050	0.021
YOL047C	0.040	0.023	-0.007	0.013	-0.088	-0.078
YOL048C	0.024	-0.001	-0.031	0.021	-0.016	-0.029
YOL050C	-0.026	0.000	0.050	0.029	-0.164	-0.046
YOL051W	NaN	-0.001	NaN	0.091	NaN	0.013
YOL053W	0.027	0.007	0.009	-0.005	-0.008	-0.019
YOL054W	-0.012	-0.016	-0.026	-0.020	-0.041	-0.024
YOL055C	-0.006	-0.006	-0.004	-0.015	-0.020	0.002
YOL056W	-0.009	-0.006	-0.047	-0.014	-0.031	0.012
YOL057W	0.061	0.006	0.022	0.008	-0.024	-0.048
YOL058W	-0.036	0.055	NaN	-0.058	NaN	0.032
YOL060C	NaN	NaN	NaN	NaN	NaN	NaN
YOL061W	0.038	0.007	-0.015	-0.005	-0.012	-0.048
YOL062C	-0.003	0.002	0.018	-0.006	-0.071	-0.009
YOL063C	-0.004	-0.018	0.023	0.006	0.018	0.014
YOL065C	NaN	0.007	NaN	-0.006	NaN	-0.000
YOL066C	-0.048	0.009	NaN	-0.002	NaN	-0.003
YOL067C	-0.051	-0.007	-0.098	-0.027	-0.064	-0.006
YOL068C	-0.053	-0.007	-0.130	-0.026	-0.079	-0.024
YOL069W	NaN	0.004	NaN	-0.054	NaN	-0.024
YOL070C	0.006	-0.007	-0.080	0.001	-0.081	-0.012
YOL071W	-0.030	-0.006	-0.028	-0.015	0.000	-0.002
YOL072W	0.006	0.008	-0.022	0.003	NaN	-0.007
YOL073C	NaN	NaN	NaN	NaN	NaN	NaN
YOL075C	0.015	0.003	-0.076	-0.009	-0.041	-0.025
YOL076W	NaN	0.012	NaN	-0.007	NaN	-0.008
YOL077C	NaN	-0.021	NaN	-0.019	NaN	-0.008
YOL077W-A	NaN	NaN	NaN	NaN	NaN	NaN
YOL078W	NaN	0.022	NaN	-0.003	NaN	-0.002
YOL079W	NaN	-0.004	NaN	-0.017	NaN	-0.002
YOL080C	-0.007	0.010	0.047	0.049	0.043	0.029
YOL081W	NaN	-0.023	NaN	0.030	NaN	NaN
YOL082W	0.001	-0.010	0.011	-0.015	0.056	-0.027
YOL083W	0.013	0.008	0.004	0.023	-0.003	0.018
YOL084W	0.031	0.006	-0.006	-0.010	-0.021	0.006
YOL085C	0.007	0.011	0.016	0.025	0.017	0.033
YOL086C	NaN	NaN	NaN	NaN	NaN	NaN
YOL086W-A	NaN	NaN	NaN	NaN	NaN	NaN
YOL087C	-0.018	-0.006	-0.061	-0.074	NaN	0.005
YOL088C	-0.173	0.006	-0.014	-0.004	-0.032	0.014
YOL089C	0.014	-0.010	-0.005	-0.007	-0.050	0.047
YOL090W	0.030	0.018	0.016	0.054	0.095	0.034
YOL091W	0.006	0.010	0.008	-0.036	-0.004	-0.010
YOL092W	0.035	0.030	0.048	0.046	0.059	0.053
YOL093W	-0.017	0.003	-0.055	-0.037	-0.004	-0.003
YOL094C	-0.015	-0.020	-0.128	-0.062	0.002	-0.012
YOL095C	-0.003	-0.023	-0.009	-0.009	0.002	-0.005
YOL096C	-0.093	0.009	-0.072	0.001	0.012	-0.014
YOL097C	0.007	-0.005	-0.049	-0.025	0.026	-0.009
YOL097W-A	NaN	NaN	NaN	NaN	NaN	NaN
YOL098C	0.033	0.008	0.007	-0.009	0.021	0.014
YOL099C	0.003	0.013	-0.028	-0.025	-0.036	-0.018
YOL100W	0.020	0.022	0.019	0.043	0.018	0.009
YOL101C	0.013	-0.006	0.012	0.008	-0.033	-0.010
YOL102C	NaN	0.004	NaN	-0.005	NaN	-0.005
YOL103W	0.004	-0.022	-0.020	-0.034	-0.019	0.003
YOL104C	-0.003	-0.000	0.006	-0.006	0.002	0.028
YOL105C	0.022	0.037	0.050	0.111	0.106	0.141
YOL106W	-0.008	-0.006	-0.000	-0.027	0.007	-0.005
YOL107W	0.002	-0.019	0.004	-0.033	-0.001	0.015
YOL108C	-0.002	-0.010	-0.059	-0.026	-0.000	0.020
YOL109W	-0.080	-0.016	-0.013	-0.009	-0.105	-0.009
YOL110W	NaN	-0.081	0.003	-0.003	-0.029	0.011
YOL111C	-0.035	-0.006	0.009	0.001	-0.029	-0.019
YOL112W	0.003	0.011	0.021	0.010	0.024	0.019
YOL113W	0.001	0.010	-0.006	-0.023	-0.005	0.009
YOL114C	0.014	0.027	0.028	0.001	0.021	0.008
YOL115W	NaN	-0.010	NaN	0.050	NaN	-0.033
YOL116W	0.009	-0.015	0.000	-0.017	-0.147	-0.015
YOL117W	0.003	0.014	-0.019	0.044	0.034	0.034
YOL118C	0.018	-0.000	0.004	-0.002	-0.017	0.018
YOL119C	-0.000	-0.012	-0.012	-0.009	0.013	-0.017
YOL120C	NaN	NaN	NaN	NaN	NaN	NaN
YOL121C	0.002	0.021	-0.006	-0.011	-0.001	-0.035
YOL122C	0.039	-0.016	-0.020	0.005	-0.034	0.017
YOL123W	NaN	-0.025	NaN	0.002	NaN	-0.040
YOL124C	-0.017	0.004	-0.037	0.002	0.005	0.009
YOL125W	-0.007	0.005	-0.012	-0.017	-0.016	-0.006
YOL126C	-0.009	-0.009	-0.010	-0.010	-0.024	0.005
YOL127W	NaN	NaN	NaN	NaN	NaN	NaN
YOL128C	0.045	0.010	-0.023	0.010	-0.041	-0.022
YOL129W	-0.040	-0.041	-0.030	-0.021	0.025	0.063
YOL130W	-0.024	-0.005	-0.064	0.022	0.047	0.002
YOL131W	-0.006	0.005	0.011	-0.013	0.016	0.007
YOL132W	0.022	0.003	0.004	-0.025	0.009	0.022
YOL133W	NaN	-0.009	NaN	0.018	NaN	0.009
YOL134C	NaN	0.021	NaN	-0.035	NaN	-0.010
YOL135C	NaN	0.041	NaN	-0.019	NaN	0.002
YOL136C	-0.094	-0.008	-0.081	-0.022	0.136	-0.010
YOL137W	0.002	-0.003	0.004	-0.011	0.009	0.003
YOL138C	0.002	0.015	-0.093	-0.041	0.028	0.017
YOL139C	NaN	-0.004	NaN	-0.078	NaN	0.007
YOL140W	NaN	NaN	NaN	NaN	NaN	NaN
YOL141W	0.004	0.005	0.016	-0.001	0.003	-0.002
YOL142W	NaN	NaN	NaN	NaN	NaN	NaN
YOL143C	NaN	0.007	NaN	0.033	NaN	-0.057
YOL144W	0.054	0.025	-0.076	0.025	-0.015	-0.037
YOL145C	NaN	NaN	NaN	NaN	NaN	NaN
YOL146W	NaN	-0.018	NaN	0.018	NaN	-0.045
YOL147C	NaN	NaN	NaN	NaN	NaN	NaN
YOL148C	NaN	NaN	NaN	-0.021	NaN	NaN
YOL149W	NaN	-0.017	NaN	0.044	NaN	-0.050
YOL150C	0.011	0.001	0.019	-0.010	-0.006	-0.005
YOL151W	0.010	0.011	0.048	0.007	0.022	0.027
YOL152W	0.007	-0.005	0.000	-0.024	-0.028	-0.000
YOL153C	NaN	-0.033	NaN	0.051	NaN	-0.004
YOL155C	-0.167	-0.016	-0.087	-0.037	-0.085	0.001
YOL158C	0.005	0.012	0.035	0.007	-0.002	0.005
YOL159C	-0.012	-0.002	-0.068	-0.096	0.016	0.057
YOL159C-A	NaN	NaN	NaN	NaN	NaN	NaN
YOL160W	-0.008	0.012	0.037	0.006	0.000	0.003
YOL162W	-0.023	-0.003	-0.013	-0.003	-0.100	0.007
YOL163W	0.067	0.004	0.016	0.013	-0.006	0.017
YOL164W	NaN	NaN	NaN	NaN	NaN	NaN
YOL164W-A	NaN	NaN	NaN	NaN	NaN	NaN
YOL166C	0.009	0.003	-0.007	0.006	0.017	0.012
YOR001W	0.026	0.004	-0.118	0.008	0.012	0.036
YOR002W	-0.010	0.012	-0.096	0.060	-0.044	-0.036
YOR003W	0.003	-0.000	0.022	-0.003	0.013	0.012
YOR004W	NaN	-0.005	NaN	-0.005	NaN	0.010
YOR005C	0.008	-0.004	-0.028	-0.024	0.024	-0.013
YOR006C	0.014	-0.002	0.001	-0.007	-0.039	0.001
YOR007C	0.024	0.004	-0.019	-0.002	-0.022	-0.042
YOR008C	NaN	-0.005	NaN	-0.000	NaN	-0.132
YOR008C-A	0.009	0.004	0.000	-0.045	-0.021	-0.040
YOR009W	0.006	0.035	0.022	0.010	0.004	-0.029
YOR010C	-0.004	0.004	0.033	0.017	0.015	0.024
YOR011W	0.008	0.008	0.014	-0.008	0.000	-0.001
YOR012W	0.008	0.008	0.008	-0.014	-0.011	0.019
YOR013W	0.004	0.014	0.029	-0.005	0.022	0.018
YOR014W	NaN	NaN	NaN	NaN	NaN	NaN
YOR015W	-0.019	0.010	-0.002	-0.035	-0.014	-0.003
YOR017W	NaN	NaN	NaN	0.015	NaN	NaN
YOR018W	0.028	0.011	-0.016	0.009	-0.027	-0.010
YOR020C	NaN	0.009	NaN	-0.010	NaN	-0.019
YOR020W-A	NaN	NaN	NaN	NaN	NaN	NaN
YOR021C	-0.021	0.020	NaN	-0.002	NaN	0.016
YOR022C	-0.040	0.020	-0.004	-0.007	-0.149	-0.033
YOR023C	-0.016	0.000	-0.017	-0.024	-0.018	-0.045
YOR024W	0.057	0.010	0.005	0.022	-0.037	-0.005
YOR025W	0.035	0.008	0.013	-0.009	-0.008	-0.007
YOR027W	-0.086	0.008	-0.030	-0.009	-0.010	-0.010
YOR028C	0.018	0.001	-0.003	0.005	0.044	-0.018
YOR029W	-0.002	-0.005	0.035	0.033	0.019	-0.014
YOR030W	0.054	-0.003	-0.019	0.027	0.061	-0.013
YOR031W	NaN	NaN	NaN	0.006	NaN	NaN
YOR032C	-0.027	0.026	-0.017	0.065	NaN	0.015
YOR033C	0.030	0.028	0.034	0.074	0.009	0.065
YOR034C	-0.006	0.005	0.049	0.009	0.022	0.012
YOR034C-A	NaN	NaN	NaN	NaN	NaN	NaN
YOR035C	-0.105	0.012	-0.062	0.007	0.002	0.008
YOR036W	NaN	-0.003	NaN	-0.003	NaN	0.011
YOR037W	-0.006	0.006	0.008	0.003	-0.133	-0.020
YOR038C	0.014	0.032	-0.130	-0.003	-0.015	0.004
YOR039W	-0.015	-0.058	NaN	0.008	NaN	0.004
YOR040W	-0.016	0.000	-0.016	-0.016	-0.013	-0.010
YOR041C	0.058	-0.011	0.008	0.023	0.002	-0.062
YOR042W	NaN	-0.001	NaN	-0.021	NaN	0.003
YOR043W	0.122	0.031	0.074	0.087	0.196	0.081
YOR044W	0.034	0.004	0.010	0.010	0.002	0.030
YOR045W	0.007	0.025	0.012	0.014	0.006	0.023
YOR046C	0.004	0.025	-0.040	0.040	0.039	0.049
YOR047C	-0.028	0.006	0.019	0.015	0.030	0.024
YOR048C	NaN	0.005	NaN	-0.027	NaN	0.011
YOR049C	0.027	0.026	-0.001	0.087	0.018	-0.025
YOR050C	0.012	-0.001	0.022	-0.010	0.001	0.000
YOR051C	0.031	-0.008	0.027	0.015	-0.009	0.005
YOR052C	-0.070	0.010	-0.085	0.038	0.010	-0.024
YOR053W	-0.009	-0.001	-0.038	0.009	-0.029	-0.020
YOR054C	0.040	0.000	-0.012	-0.027	-0.055	-0.028
YOR055W	-0.019	-0.001	-0.053	-0.045	-0.018	-0.002
YOR056C	NaN	-0.006	NaN	0.005	NaN	-0.037
YOR057W	NaN	0.025	NaN	-0.025	NaN	-0.030
YOR058C	-0.145	0.007	-0.096	0.008	-0.003	0.011
YOR059C	NaN	0.002	NaN	0.000	NaN	0.018
YOR060C	NaN	-0.014	NaN	-0.008	NaN	0.003
YOR061W	NaN	-0.011	NaN	0.027	NaN	0.002
YOR062C	-0.006	0.000	-0.032	-0.011	-0.018	-0.043
YOR063W	NaN	-0.014	NaN	-0.016	NaN	0.006
YOR064C	-0.023	-0.004	-0.054	-0.023	-0.029	-0.039
YOR065W	-0.040	-0.028	-0.063	-0.048	0.012	-0.053
YOR066W	NaN	NaN	NaN	0.021	NaN	NaN
YOR067C	-0.173	-0.008	-0.097	-0.008	-0.197	-0.014
YOR068C	-0.038	-0.030	-0.160	0.016	0.015	-0.160
YOR069W	0.009	-0.043	-0.058	0.018	0.022	-0.141
YOR070C	NaN	0.004	NaN	0.002	NaN	-0.019
YOR071C	0.003	0.012	-0.002	-0.003	0.013	-0.008
YOR072W	-0.007	-0.004	0.027	-0.001	0.023	0.008
YOR073W	-0.029	0.020	NaN	0.015	NaN	-0.007
YOR074C	NaN	0.009	NaN	0.009	NaN	0.013
YOR075W	NaN	-0.008	NaN	-0.012	NaN	-0.029
YOR076C	-0.008	0.008	-0.010	0.006	-0.051	0.019
YOR077W	NaN	-0.004	NaN	0.056	NaN	-0.005
YOR078W	NaN	NaN	NaN	NaN	NaN	NaN
YOR079C	0.012	0.018	0.012	0.016	0.032	0.006
YOR080W	-0.004	0.003	-0.068	-0.015	-0.006	-0.002
YOR081C	0.014	0.013	0.025	-0.029	-0.015	-0.018
YOR082C	-0.037	0.009	-0.079	-0.021	0.079	0.108
YOR083W	-0.057	0.008	-0.064	-0.011	0.067	0.104
YOR084W	0.003	-0.004	0.004	-0.014	-0.007	-0.041
YOR085W	-0.189	0.014	-0.086	0.001	-0.281	-0.037
YOR086C	-0.023	-0.012	-0.017	-0.001	-0.030	-0.032
YOR087W	-0.007	-0.010	0.008	-0.029	0.002	-0.010
YOR089C	NaN	NaN	NaN	NaN	NaN	NaN
YOR090C	0.014	-0.015	0.009	-0.005	-0.009	0.003
YOR091W	0.002	-0.014	0.018	-0.022	0.002	-0.030
YOR094W	0.015	0.010	0.011	-0.005	0.011	-0.022
YOR095C	NaN	NaN	NaN	0.067	NaN	NaN
YOR096W	-0.049	NaN	-0.026	NaN	NaN	NaN
YOR098C	0.019	0.006	-0.003	0.037	-0.012	0.008
YOR099W	-0.006	0.009	0.030	0.011	-0.007	0.017
YOR100C	0.068	0.026	-0.017	0.031	-0.067	-0.022
YOR101W	-0.005	0.003	0.010	-0.025	0.010	-0.029
YOR102W	0.004	-0.018	NaN	-0.018	NaN	0.000
YOR103C	NaN	-0.007	NaN	-0.012	NaN	-0.002
YOR104W	0.022	0.007	0.031	-0.010	-0.014	-0.015
YOR105W	0.047	0.018	0.037	0.101	0.028	0.042
YOR106W	NaN	NaN	NaN	NaN	NaN	NaN
YOR107W	-0.013	0.039	0.014	0.032	-0.005	0.057
YOR108W	0.025	-0.002	0.003	-0.005	0.030	-0.033
YOR109W	-0.019	0.041	-0.006	0.027	NaN	0.035
YOR110W	NaN	0.015	NaN	0.026	NaN	-0.016
YOR111W	0.009	0.018	0.004	0.004	0.015	-0.044
YOR112W	-0.006	0.007	0.061	-0.015	-0.095	-0.025
YOR113W	-0.004	0.003	-0.001	0.003	-0.180	-0.074
YOR114W	0.075	0.010	0.022	0.003	-0.051	-0.069
YOR115C	-0.021	-0.037	-0.055	-0.005	-0.111	-0.073
YOR116C	-0.015	-0.016	-0.003	-0.000	0.004	-0.055
YOR117W	NaN	0.036	NaN	0.014	NaN	0.050
YOR118W	0.037	0.031	0.045	0.049	0.022	0.086
YOR119C	NaN	0.018	NaN	0.051	NaN	0.013
YOR120W	NaN	NaN	NaN	NaN	NaN	NaN
YOR121C	0.012	0.007	0.012	0.014	0.028	-0.021
YOR122C	0.007	0.015	-0.012	-0.004	0.031	0.046
YOR123C	-0.025	0.013	0.027	0.048	NaN	-0.007
YOR124C	-0.002	-0.005	0.019	-0.002	-0.004	-0.032
YOR125C	-0.088	0.001	-0.041	-0.018	-0.199	-0.221
YOR127W	NaN	NaN	NaN	NaN	NaN	NaN
YOR129C	0.005	0.012	0.008	0.013	-0.001	-0.005
YOR130C	NaN	0.013	NaN	0.072	NaN	NaN
YOR131C	NaN	-0.057	NaN	-0.002	NaN	0.006
YOR133W	NaN	NaN	NaN	NaN	NaN	NaN
YOR135C	-0.069	0.004	-0.160	-0.027	-0.022	0.010
YOR136W	NaN	0.013	NaN	0.029	NaN	0.013
YOR137C	0.021	0.014	-0.001	-0.002	-0.015	-0.011
YOR139C	NaN	NaN	NaN	0.005	NaN	-0.007
YOR140W	-0.275	-0.071	-0.253	-0.014	-0.054	0.018
