orf	hap a | growth (undefined) | wortmannin [2-3.5 uM] | Zewail A~Huang J, 2003	het | growth (undefined) | wortmannin [2-3.5 uM] | Zewail A~Huang J, 2003
YLR373C	3.063987250062092	
YLR374C	2.2881950818878027	
YLR382C	3.839779418236381	
YLR393W	3.063987250062092	
YLR396C	3.063987250062092	
YLR403W	2.2881950818878027	
YLR404W	-1.5907657589836433	
YLR405W	1.5124029137135135	
YLR410W	3.063987250062092	
YLR414C	-3.1423500953322216	
YLR421C	0.7366107455392243	
YLR423C	-3.1423500953322216	
YLR431C	1.5124029137135135	
YLR439W	2.2881950818878027	
YLR447C	1.5124029137135135	
YLR448W	0.7366107455392243	
YLR451W	0.7366107455392243	
YLR452C	-3.1423500953322216	
YML005W	-1.5907657589836433	
YML016C	-3.1423500953322216	
YML022W	-3.1423500953322216	
YML024W	2.2881950818878027	
YML027W	-3.1423500953322216	
YML034W	-1.5907657589836433	
YML041C	-1.5907657589836433	
YML042W	-2.3665579271579325	
YML058W	-3.1423500953322216	
YML061C	0.7366107455392243	
YML073C	-2.3665579271579325	
YML082W	-1.5907657589836433	
YML086C	1.5124029137135135	
YML088W	3.063987250062092	
YML091C		-7.798916892308879
YML092C		5.19927792820592
YML094C-A	-1.5907657589836433	
YML094W	-3.1423500953322216	
YML101C-A	-1.5907657589836433	
YML103C	-2.3665579271579325	
YML104C	0.7366107455392243	
YML106W	1.5124029137135135	
YML107C	1.5124029137135135	
YML121W	-1.5907657589836433	
YMR012W	-1.5907657589836433	
YMR016C	-1.5907657589836433	
YMR022W	1.5124029137135135	
YMR024W	1.5124029137135135	
YMR029C	2.2881950818878027	
YMR030W	1.5124029137135135	
YMR038C	3.839779418236381	
YMR052C-A	3.063987250062092	
YMR052W	3.063987250062092	
YMR057C	1.5124029137135135	
YMR060C	1.5124029137135135	
YMR066W	1.5124029137135135	
YMR070W	2.2881950818878027	
YMR071C	3.063987250062092	
YMR072W	1.5124029137135135	
YMR073C	1.5124029137135135	
YMR075C-A	-1.5907657589836433	
YMR077C	1.5124029137135135	
YMR078C	-1.5907657589836433	
YMR084W	2.2881950818878027	
YMR085W	1.5124029137135135	
YMR089C	2.2881950818878027	
YMR097C	2.2881950818878027	
YMR100W	-1.5907657589836433	
YMR104C	-1.5907657589836433	
YMR115W	-2.3665579271579325	
YMR135W-A	-2.3665579271579325	
YMR143W	1.5124029137135135	
YMR144W	1.5124029137135135	
YMR145C	-3.918142263506511	
YMR150C	-3.1423500953322216	
YMR151W	-3.1423500953322216	
YMR158W	3.063987250062092	
YMR158W-B	1.5124029137135135	
YMR160W	-1.5907657589836433	
YMR174C	1.5124029137135135	
YMR175W	-1.5907657589836433	
YMR177W	-1.5907657589836433	
YMR184W	2.2881950818878027	
YMR189W	-1.5907657589836433	
YMR191W	-1.5907657589836433	
YMR202W	-2.3665579271579325	
YMR211W		-10.39855585641184
YMR216C	1.5124029137135135	
YMR223W	1.5124029137135135	
YMR224C	1.5124029137135135	
YMR228W	3.063987250062092	
YMR238W	1.5124029137135135	
YMR242C	1.5124029137135135	
YMR251W-A	1.5124029137135135	
YMR252C	1.5124029137135135	
YMR253C	1.5124029137135135	
YMR254C	1.5124029137135135	
YMR255W	1.5124029137135135	
YMR256C	3.063987250062092	
YMR257C	3.063987250062092	
YMR258C	1.5124029137135135	
YMR259C	1.5124029137135135	
YMR260C		-5.19927792820592
YMR261C	1.5124029137135135	
YMR262W	1.5124029137135135	
YMR263W	-1.5907657589836433	
YMR264W	1.5124029137135135	
YMR267W	3.063987250062092	
YMR268C		-5.19927792820592
YMR272C	-3.1423500953322216	
YMR282C	1.5124029137135135	
YMR293C	2.2881950818878027	
YMR295C	1.5124029137135135	
YMR312W	-2.3665579271579325	
YMR314W		5.19927792820592
YMR316C-A	1.5124029137135135	
YMR316W	0.7366107455392243	
YNL001W	1.5124029137135135	
YNL004W	1.5124029137135135	
YNL005C	3.063987250062092	
YNL008C	1.5124029137135135	
YNL009W	1.5124029137135135	
YNL013C	1.5124029137135135	
YNL015W	3.063987250062092	
YNL016W	3.839779418236381	
YNL022C	0.7366107455392243	
YNL040W	1.5124029137135135	
YNL041C	0.7366107455392243	
YNL047C	1.5124029137135135	
YNL050C		-5.19927792820592
YNL051W	0.7366107455392243	
YNL052W	2.2881950818878027	
YNL057W	1.5124029137135135	
YNL065W	-1.5907657589836433	
YNL068C	-1.5907657589836433	
YNL069C	0.7366107455392243	
YNL070W	1.5124029137135135	
YNL072W	-1.5907657589836433	
YNL073W	1.5124029137135135	
YNL075W		-7.798916892308879
YNL081C	3.839779418236381	
YNL086W	-2.3665579271579325	
YNL089C	1.5124029137135135	
YNL097C	-2.3665579271579325	
YNL098C	-1.5907657589836433	
YNL099C	-3.1423500953322216	
YNL100W	-1.5907657589836433	
YNL102W		-5.19927792820592
YNL105W	1.5124029137135135	
YNL110C		-7.798916892308879
YNL111C	-1.5907657589836433	
YNL114C		-5.19927792820592
YNL127W	3.063987250062092	
YNL131W	-2.3665579271579325	
YNL133C	-2.3665579271579325	
YNL143C	1.5124029137135135	
YNL147W	1.5124029137135135	
YNL148C	0.7366107455392243	
YNL160W	2.2881950818878027	
YNL162W	1.5124029137135135	
YNL167C	1.5124029137135135	
YNL168C	1.5124029137135135	
YNL169C	2.2881950818878027	
