orf	hap alpha | replicative lifespan (SEBYL) | standard | SC | Yu R~Dang W, 2021
YGL181W	20.89
YGL194C	23.4
YGL196W	19.53333333
YGL198W	22.54
YGL199C	22.345
YGL202W	22.17333333
YGL205W	21.9
YGL208W	21.52
YGL211W	15.73
YGL213C	19.43666667
YGL216W	19.47
YGL220W	25.445
YGL226C-A	21.95
YGL227W	25.935
YGL228W	27.45
YGL229C	23.32
YGL230C	19.105
YGL232W	20.36
YGL234W	21.41
YGL235W	20.54
YGL236C	25.23
YGL241W	19.91
YGL243W	21.68833333
YGL244W	18.35666667
YGL254W	19.98
YGL255W	19.83666667
YGL256W	19.35333333
YGL257C	20.945
YGL258W	21.0
YGL259W	21.285
YGL260W	21.645
YGL261C	21.50666667
YGL263W	20.32
YGR001C	22.44833333
YGR003W	20.36
YGR004W	25.36666667
YGR007W	21.28
YGR008C	20.43
YGR010W	21.83666667
YGR011W	21.43
YGR014W	20.34666667
YGR015C	22.08666667
YGR016W	21.56333333
YGR017W	20.2
YGR018C	20.68666667
YGR019W	21.41833333
YGR021W	25.51
YGR022C	20.13
YGR025W	20.52333333
YGR026W	21.10666667
YGR028W	23.69
YGR031W	20.865
YGR032W	20.67
YGR033C	19.11666667
YGR034W	21.25666667
YGR035C	20.69
YGR038W	18.545
YGR039W	21.325
YGR040W	22.31
YGR043C	21.47333333
YGR044C	20.06
YGR045C	21.24
YGR049W	22.29
YGR050C	18.865
YGR051C	21.68833333
YGR052W	21.49833333
YGR053C	21.43
YGR055W	21.04666667
YGR057C	21.94
YGR058W	21.8
YGR059W	21.205
YGR061C	21.26
YGR066C	20.53666667
YGR071C	18.135
YGR077C	19.705
YGR078C	14.74833333
YGR079W	21.00666667
YGR080W	20.75166667
YGR081C	17.58833333
YGR084C	20.985
YGR086C	21.68333333
YGR088W	20.235
YGR089W	20.74166667
YGR093W	20.02
YGR096W	20.98666667
YGR097W	20.03666667
YGR100W	20.70333333
YGR106C	21.7
YGR107W	20.64666667
YGR109C	24.57
YGR110W	24.5
YGR111W	21.175
YGR117C	20.46
YGR121C	20.69333333
YGR122C-A	20.955
YGR123C	22.00333333
YGR124W	20.23
YGR125W	22.11
YGR127W	21.35666667
YGR129W	21.49333333
YGR130C	19.84666667
YGR131W	21.36
YGR132C	17.25
YGR133W	19.68666667
YGR134W	18.575
YGR135W	14.62333333
YGR136W	19.03
YGR137W	21.29
YGR138C	21.555
YGR139W	20.54
YGR141W	20.52666667
YGR142W	20.81666667
YGR143W	22.98
YGR144W	20.62333333
YGR146C	20.685
YGR149W	20.69
YGR151C	16.47666667
YGR153W	24.78
YGR155W	17.0
YGR157W	9.685
YGR161C	25.49
YGR162W	23.15166667
YGR164W	20.66
YGR166W	25.065
YGR168C	22.125
YGR169C	20.73
YGR170W	20.80166667
YGR173W	21.01
YGR176W	20.43333333
YGR177C	21.8025
YGR178C	17.7
YGR183C	21.03833333
YGR184C	18.1
YGR187C	18.14833333
YGR189C	25.40333333
YGR193C	21.11666667
YGR194C	21.17333333
YGR196C	20.61
YGR197C	20.39333333
YGR199W	21.19
YGR201C	20.955
YGR202C	20.21
YGR204W	19.91
YGR205W	21.35
YGR206W	21.575
YGR207C	21.05
YGR209C	21.235
YGR210C	21.38
YGR212W	21.35666667
YGR213C	22.885
YGR217W	19.44333333
YGR221C	21.52
YGR222W	21.72
YGR223C	21.55666667
YGR224W	19.71333333
YGR225W	21.405
YGR226C	21.28
YGR227W	21.19333333
YGR229C	18.23
YGR231C	16.86
YGR232W	21.86
YGR233C	21.73666667
YGR234W	20.26
YGR235C	19.64666667
YGR236C	21.07666667
YGR238C	20.59666667
YGR239C	21.02
YGR241C	21.53
YGR242W	21.765
YGR243W	20.02666667
YGR247W	20.15
YGR248W	20.50666667
YGR249W	20.3
YGR250C	19.61833333
YGR256W	21.055
YGR258C	18.415
YGR260W	18.055
YGR261C	22.34666667
YGR263C	20.31333333
YGR266W	18.83333333
YGR269W	21.1
YGR270W	17.82166667
YGR271W	18.96833333
YGR273C	21.17666667
YGR275W	20.92
YGR276C	20.3
YGR279C	20.88333333
YGR281W	20.74666667
