ORF	hom | growth (pooled culture) | Sodium pyrithione [8.35 uM] | YPD | Aiyar RS~Steinmetz LM, 2014	het | growth (pooled culture) | Sodium pyrithione [8.35 uM] | YPD | Aiyar RS~Steinmetz LM, 2014
YDL013W	0.839	NaN
YDL014W	NaN	2.421
YDL015C	NaN	-1.208
YDL016C	NaN	0.101
YDL017W	NaN	-0.825
YDL018C	0.689	NaN
YDL019C	0.282	NaN
YDL020C	1.862	NaN
YDL021W	-0.471	NaN
YDL022W	0.017	NaN
YDL023C	-0.955	NaN
YDL024C	-0.582	NaN
YDL025C	-0.852	NaN
YDL026W	0.300	NaN
YDL027C	-0.039	NaN
YDL028C	NaN	1.391
YDL029W	NaN	-3.416
YDL030W	NaN	-0.138
YDL031W	NaN	0.115
YDL032W	-1.311	NaN
YDL033C	0.220	NaN
YDL034W	-0.913	NaN
YDL035C	-1.238	NaN
YDL036C	0.397	NaN
YDL037C	0.044	NaN
YDL039C	0.003	NaN
YDL040C	0.272	NaN
YDL041W	-1.653	NaN
YDL043C	NaN	0.699
YDL044C	0.907	NaN
YDL045C	NaN	-0.578
YDL045W-A	-0.312	NaN
YDL046W	1.097	NaN
YDL047W	0.366	NaN
YDL048C	-0.260	NaN
YDL049C	-1.132	NaN
YDL050C	1.259	NaN
YDL051W	-1.170	NaN
YDL052C	2.045	NaN
YDL053C	-1.205	NaN
YDL054C	1.067	NaN
YDL055C	NaN	-1.586
YDL056W	-0.225	NaN
YDL057W	0.245	NaN
YDL058W	NaN	-0.435
YDL059C	-0.298	NaN
YDL060W	NaN	0.955
YDL061C	0.741	NaN
YDL062W	-0.579	NaN
YDL063C	1.001	NaN
YDL064W	NaN	-1.296
YDL065C	-0.754	NaN
YDL066W	-0.574	NaN
YDL067C	0.303	NaN
YDL068W	0.260	NaN
YDL069C	0.507	NaN
YDL070W	-0.798	NaN
YDL071C	-1.750	NaN
YDL072C	-0.040	NaN
YDL073W	-0.493	NaN
YDL074C	0.347	NaN
YDL075W	-1.000	NaN
YDL076C	1.084	NaN
YDL077C	-0.718	NaN
YDL078C	0.415	NaN
YDL079C	-1.672	NaN
YDL080C	0.665	NaN
YDL081C	0.563	NaN
YDL082W	0.289	NaN
YDL083C	0.297	NaN
YDL084W	NaN	0.259
YDL085C-A	-0.038	NaN
YDL085W	0.470	NaN
YDL086W	-0.117	NaN
YDL087C	NaN	0.409
YDL088C	0.249	NaN
YDL089W	0.189	NaN
YDL090C	-0.361	NaN
YDL091C	-0.690	NaN
YDL092W	NaN	0.945
YDL093W	0.590	NaN
YDL094C	0.407	NaN
YDL095W	0.500	NaN
YDL096C	1.758	NaN
YDL097C	NaN	0.490
YDL098C	NaN	-0.382
YDL099W	-0.287	NaN
YDL100C	0.218	NaN
YDL101C	0.022	NaN
YDL102W	NaN	-3.174
YDL103C	NaN	-1.581
YDL104C	0.488	NaN
YDL105W	NaN	-1.157
YDL106C	1.381	NaN
YDL107W	-0.640	NaN
YDL108W	NaN	0.939
YDL109C	NaN	NaN
YDL110C	0.134	NaN
YDL111C	NaN	3.620
YDL112W	0.731	NaN
YDL113C	0.793	NaN
YDL114W	-0.234	NaN
YDL115C	-0.819	NaN
YDL116W	NaN	NaN
YDL117W	0.637	NaN
YDL118W	1.068	NaN
YDL119C	0.987	NaN
YDL120W	NaN	-3.496
YDL121C	0.844	NaN
YDL122W	-0.608	NaN
YDL123W	-0.043	NaN
YDL124W	0.490	NaN
YDL125C	0.559	NaN
YDL126C	NaN	-2.026
YDL127W	2.187	NaN
YDL128W	1.063	NaN
YDL129W	0.237	NaN
YDL130W	1.201	NaN
YDL130W-A	-0.854	NaN
YDL131W	1.050	NaN
YDL132W	NaN	-2.188
YDL133C-A	0.154	NaN
YDL133W	0.849	NaN
YDL134C	-0.114	NaN
YDL135C	-0.798	NaN
YDL136W	0.384	NaN
YDL137W	0.913	NaN
YDL138W	1.199	NaN
YDL139C	NaN	0.306
YDL140C	NaN	-2.203
YDL141W	NaN	-0.303
YDL142C	-2.352	NaN
YDL143W	NaN	4.055
YDL144C	0.175	NaN
YDL145C	NaN	2.438
YDL146W	-0.151	NaN
YDL147W	NaN	3.725
YDL148C	NaN	-1.421
YDL149W	-1.062	NaN
YDL150W	NaN	3.634
YDL151C	-0.036	NaN
YDL152W	NaN	2.243
YDL153C	NaN	-0.145
YDL154W	0.978	NaN
YDL155W	0.103	NaN
YDL156W	0.325	NaN
YDL157C	1.802	NaN
YDL158C	NaN	-0.979
YDL159W	NaN	NaN
YDL159W-A	-0.720	NaN
YDL160C	0.553	NaN
YDL160C-A	-1.324	NaN
YDL161W	0.147	NaN
YDL162C	0.783	NaN
YDL163W	NaN	-2.639
YDL164C	NaN	-1.804
YDL165W	NaN	-2.018
YDL166C	NaN	2.073
YDL167C	0.729	NaN
YDL168W	0.012	NaN
YDL169C	-0.351	NaN
YDL170W	-1.509	NaN
YDL171C	-0.796	NaN
YDL172C	1.269	NaN
YDL173W	0.999	NaN
YDL174C	-0.869	NaN
YDL175C	-1.282	NaN
YDL176W	0.286	NaN
YDL177C	0.621	NaN
YDL178W	-0.743	NaN
YDL179W	-1.078	NaN
YDL180W	-0.305	NaN
YDL181W	NaN	-1.452
YDL182W	-0.044	NaN
YDL183C	-0.392	NaN
YDL184C	0.824	NaN
YDL185W	0.189	NaN
YDL186W	-0.231	NaN
YDL187C	-0.418	NaN
YDL188C	-0.053	NaN
YDL189W	-0.042	NaN
YDL190C	-0.708	NaN
YDL191W	0.891	NaN
YDL192W	0.288	NaN
YDL193W	NaN	-5.007
YDL194W	1.360	NaN
YDL195W	NaN	1.373
YDL196W	NaN	1.283
YDL197C	1.034	NaN
YDL198C	-3.932	NaN
YDL199C	-0.666	NaN
YDL200C	0.513	NaN
YDL201W	0.528	NaN
YDL202W	0.932	NaN
YDL203C	0.233	NaN
YDL204W	-0.027	NaN
YDL205C	NaN	0.505
YDL206W	NaN	NaN
YDL207W	NaN	1.704
YDL208W	NaN	0.347
YDL209C	NaN	-0.725
YDL210W	0.486	NaN
YDL211C	-0.807	NaN
YDL212W	NaN	1.838
YDL213C	0.437	NaN
YDL214C	-0.099	NaN
YDL215C	0.353	NaN
YDL216C	-0.190	NaN
YDL217C	NaN	-0.320
YDL218W	-0.882	NaN
YDL219W	-1.575	NaN
YDL220C	NaN	-0.404
YDL221W	NaN	-0.269
YDL222C	-1.288	NaN
YDL223C	-0.146	NaN
YDL224C	0.671	NaN
YDL225W	0.109	NaN
YDL226C	0.401	NaN
YDL227C	2.428	1.196
YDL229W	1.721	NaN
