orf	hap a | growth (colony size) | sirolimus [10 nM] | quantitative | discrete | quantitative	hap a | growth (colony size) | sirolimus [30 nM] | quantitative | discrete | quantitative
YBR113W	0.3357055128961796	-0.07582853264603875
YBR114W	0.22426699306030126	-0.0762816970945178
YBR115C	0.42031039503780615	-0.07644348581411291
YBR116C	0.42411829872633167	-0.08044317970962502
YBR117C	-0.08190499550715037	-0.08883838686825067
YBR118W	-0.4527858676156872	-0.09035531574625412
YBR119W	0.698663254435719	-0.0712653391533707
YBR120C	1.8118964160459587	-0.03441406687657802
YBR121C	-0.4824917300281223	-0.08305073399528048
YBR122C	0.6049112557578361	0.10819531322124343
YBR123C	-0.47565962912873017	-0.03531845730430812
YBR124W	-0.6950027526639792	-0.05124112059371008
YBR125C	0.46201760486383997	-0.08046200538620386
YBR126C	-1.5648942852451664	-0.08448437871784918
YBR127C	1.387670118032071	-0.08556073617557398
YBR128C	-0.11796679796174236	-0.08125413246668985
YBR129C	0.7633609327476525	-0.08095767497884612
YBR130C	0.620903346703606	-0.07576196475359197
YBR131W	-1.4358607984826863	-0.08583440185212118
YBR132C	0.7392587634214756	-0.08908804804173115
YBR133C	-1.4241664925147235	-0.08810804588519648
YBR134W	-0.2321111324568322	-0.07834773578412033
YBR135W	-0.6393123721442547	-0.04508760634345749
YBR136W	-0.5547233333687372	-0.054412058269529204
YBR137W	0.14892438190803445	-0.08197837788067644
YBR138C	0.40946482772246984	-0.07737971358879173
YBR139W	0.6371698487128796	-0.07191240968047004
YBR140C	-1.326538681775255	-0.05641101526817188
YBR141C	0.3277469503277367	-0.07404021663656304
YBR142W	-0.4056780301958515	-0.045381611168500785
YBR143C	0.17403602386395886	-0.09949674708590898
YBR144C	0.2779546943544003	-0.07617330681800043
YBR145W	0.7863454522318302	-0.07823301051780338
YBR146W	0.298642117049818	-0.08232017012363027
YBR147W	0.3578435808529384	-0.08057298159680347
YBR148W	0.43839656286793993	-0.07919041436773694
YBR149W	0.3781870216182611	-0.08137229901562656
YBR150C	0.19753581940097878	-0.0786251411747142
YBR151W	0.058048882579236384	-0.06134984531590487
YBR152W	-0.14527090493644046	-0.09636665961351197
YBR153W	-0.09314821421440893	-0.09549294316321981
YBR154C	-0.3284173882826207	-0.09489869023302368
YBR155W	-0.3333266252137649	-0.09233401833761215
YBR156C	-0.008139730783303477	-0.05419624560810207
YBR157C	0.38359715189066573	-0.06573265171821611
YBR158W	0.21161838017800136	-0.06743687463651415
YBR159W	0.4884240120630174	-0.06116303448058253
YBR160W	-0.07714597213290825	-0.09689538874676838
YBR161W	0.3408488647033115	-0.0526444053877345
YBR162C	0.9556720666375796	-0.07900551841972968
YBR162W-A	0.5324790172139833	-0.08110546252033767
YBR163W	1.5233393559396267	0.019099141119987444
YBR164C	-1.5801452650309882	-0.07643839799776425
YBR165W	0.35564329463758704	-0.08040401885170051
YBR166C	0.496095047366328	-0.0781492309783673
YBR167C	0.019154558690884962	-0.09469644465245808
YBR168W	0.5510937966522226	-0.09118871295609386
YBR169C	0.5072836973099085	-0.08445029533880734
YBR170C	0.46739852037960833	-0.07955854497192011
YBR171W	-0.7417674125725537	-0.07867464194086594
YBR172C	-0.9197655965181205	-0.07247350806551194
YBR173C	-0.05853066214282154	-0.03004114230743484
YBR174C	0.8473980637220142	-0.047838229024314
YBR175W	0.36038401499735534	-0.00959516806377966
YBR176W	0.25401694588734447	-0.06335260373121308
YBR177C	-0.4519802012871534	-0.08997867842879262
YBR178W	-0.932223358463165	-0.08177504901042082
YBR179C	0.969316216725396	-0.08750930936952174
YBR180W	0.7650776321941762	-0.08271781751454263
YBR181C	0.5646405046978179	-0.08134558152691705
YBR182C	0.025006360459949598	-0.09025075755374667
YBR183W	0.026841860820439184	-0.08707730857755562
YBR184W	0.18494168908966085	-0.08374436780934755
YBR185C	0.483058081028934	-0.08205995268571609
YBR186W	0.1397092114132299	-0.08513524732976988
YBR187W	0.22747514562875132	-0.0728267338017132
YBR188C	-0.3688090677871811	-0.08113474137238554
YBR189W	-0.26542377563500363	-0.0932487499826459
YBR190W	0.3708434527914133	-0.0943085883030395
YBR191W	0.1734571503464242	-0.08493487092919477
YBR192W	0.2647547885955161	-0.0922392378089323
YBR193C	0.30482364103862075	-0.06855627489355501
YBR194W	1.0760668977997447	-0.09151379434652522
YBR195C	0.4575147048316645	-0.07942390500589938
YBR196C	0.22795554946632807	-0.06309206785222952
YBR197C	1.4053364925910958	-0.0853052133504335
YBR198C	-0.4730879828185482	-0.08118097238280657
YBR199W	-0.2668539565399409	-0.06358098552834762
YBR200W	-0.47401169266056714	-0.08314816263210241
YBR201W	-0.04191916383968703	-0.07930755616432617
YBR202W	0.3431189708786642	-0.09308839007494295
YBR203W	0.18711417521323803	-0.0827597909874132
YBR204C	-0.16926204100191478	-0.0823155103640063
YBR205W	0.11086236799469194	-0.08828200325597595
YBR206W	0.07731568290086327	-0.08482287406367192
YBR207W	0.1448330586237611	-0.08283359103271609
YBR208C	-0.06646137129406766	-0.07835343376976973
YBR209W	0.2684763086767263	-0.08665933207130594
YBR210W	0.2994179118095952	-0.08404484975688357
YBR211C	0.42275962795521255	-0.09627916368190209
YBR212W	0.4382697118367834	-0.07684503341952181
YBR213W	0.9365547364089757	-0.08670039190867902
YBR214W	-0.28799850738876887	-0.08765672283538924
YBR215W	-0.5565953724986674	-0.09203362277233547
YBR216C	0.20828885199218142	-0.08737799095703581
YBR217W	-0.09771975397626773	-0.08931849384596598
YBR218C	0.0038879275326288067	-0.08956859440094424
YBR219C	0.6264618653008699	-0.08272457046600211
YBR220C	0.7091609793478982	-0.07544873681654614
YBR221C	0.45009561701543754	-0.09368519591694413
YBR222C	0.04934701408732747	-0.08595352238143451
YBR223C	0.43965503859233196	-0.08360681274761878
YBR224W	0.6043759073773902	-0.0827318822811574
YBR225W	0.10850431597803281	-0.08537715250751192
YBR226C	0.7936191266259147	-0.07472358874746755
YBR227C	-0.6734406042522627	-0.0781865954883937
YBR228W	0.07890722860898923	-0.08169721486824008
YBR229C	-1.9044790532149962	-0.0889036307276664
YBR230C	0.2779967187270884	-0.08087739689524127
YBR231C	-0.555772118766938	-0.08645401676436461
YBR232C	-0.07840349273698854	-0.06470482796814517
YBR233W	0.44154738327438475	-0.07812294413112623
YBR234C	0.4705298218577113	-0.09398674531041926
YBR235W	0.1716773328628872	-0.07394083245711984
YBR236C	0.4364740565458938	-0.0720474403471689
YBR237W	0.2758314184061282	-0.06737479978550497
YBR238C	-0.023880234220872182	-0.09073314435305418
YBR239C	0.4062118175623363	-0.0876786864149622
YBR240C	0.4699208233015682	-0.08505416266687127
YBR241C	0.7242380052432514	-0.08572018725688531
YBR242W	0.07475814821605661	-0.0855509995242449
YBR243C	0.3646951086463609	-0.07150208876780369
YBR244W	0.17820876603265748	-0.08920479367702129
YBR245C	-0.004906650117046028	-0.08514065491859982
YBR246W	0.6750781254141568	-0.07624401552985774
YBR247C	0.4296399048479527	-0.08936723526137443
YBR248C	0.9485708091808566	-0.08910748640507545
YBR249C	0.644887751345151	-0.08114108457812744
YBR250W	0.40382772610584416	-0.07937400790705053
YBR251W	0.9157056382704221	-0.0897874418169682
YBR252W	0.28698807441842966	-0.09660344928005193
YBR253W	0.4345312488148355	-0.09328674436316002
YBR254C	0.27738009703538075	-0.07025351538573765
YBR255W	1.706913134869048	-0.09369875235269695
YBR256C	0.3571675076719541	-0.0619722477201917
YBR257W	0.47613743134210923	-0.07102972818412905
YBR258C	0.5336713713124399	-0.08822689310913875
YBR259W	0.08298648498463007	-0.08588000223158118
