orf	gene	cisplatin_125_1	cisplatin_125_2	cisplatin_125_3	cisplatin_250_1	cisplatin_250_2	cisplatin_500_1	cisplatin_500_2	cisplatin_66_1	cisplatin_66_2
YBR034C	HMT1	4.05515	6.804691	6.869511	3.258171	6.398008	4.693359	6.134598	7.149987	7.166853
YBR035C	PDX3	3.585812	4.258696	5.881945	3.726701	4.586225	3.519996	4.07183	4.609363	3.286263
YBR036C	CSG2	5.624383	6.167542	6.655065	3.86986	4.794765	6.286393	3.429613	5.512114	6.007664
YBR037C	SCO1	5.609105	1.964793	7.528606	4.859846	8.109322	8.133007	8.107894	5.023647	1.502695
YBR038W	CHS2	0	0	0	0	0	0	0	0	0
YBR039W	ATP3	0	0	0	0	0	0	0	0	0
YBR040W	FIG1	7.168775	4.818522	7.199715	7.405819	7.64667	7.796244	7.850815	7.375624	4.969933
YBR041W	FAT1	6.788089	6.819376	6.01635	4.243971	5.336015	6.665414	6.656925	5.331522	6.525552
YBR042C	YBR042C	7.884399	2.044708	7.511472	7.69174	3.41709	5.117477	4.450821	4.393893	5.530274
YBR043C	YBR043C	8.245952	2.477149	8.263438	8.406641	8.396956	6.892001	8.260857	8.393556	6.938988
YBR044C	TCM62	6.670147	5.683434	5.818447	6.73628	6.482877	4.834601	6.122886	6.437656	6.733471
YBR045C	GIP1	6.021447	3.242846	8.029213	7.996763	5.090115	7.994601	8.005292	7.348442	3.73471
YBR046C	ZTA1	7.180632	6.363873	6.864169	7.142682	7.228251	5.725123	7.037848	6.945802	6.623554
YBR047W	YBR047W	2.73265	6.19405	8.914782	8.075467	8.994989	8.384433	8.823699	4.727279	8.655806
YBR048W	RPS11B	7.074499	5.874587	6.620927	7.133126	6.743472	7.113938	6.729012	6.969658	5.748795
YBR049C	REB1	0	0	0	0	0	0	0	0	0
YBR050C	REG2	9.093327	7.856776	9.410099	7.828443	8.493159	9.287521	7.141528	4.65312	8.154659
YBR051W	YBR051W	6.468607	7.919395	8.051782	7.849133	7.289029	7.684862	7.855001	7.708324	7.968337
YBR052C	YBR052C	6.444229	7.315121	7.143268	7.281901	6.713379	7.462016	5.822598	3.097271	2.316493
YBR053C	YBR053C	4.677753	6.766582	7.296201	6.39919	4.855019	6.714167	5.889582	7.225479	7.47126
YBR054W	YRO2	7.460102	7.394517	7.239483	7.534819	7.526094	7.304366	1.530959	7.421095	7.446487
YBR055C	PRP6	0	0	0	0	0	0	0	0	0
YBR056W	YBR056W	8.100061	8.19673	7.880642	7.547926	7.95403	6.376017	5.836207	6.121646	8.045953
YBR057C	MUM2	3.38116	5.559027	8.304515	6.495446	5.400489	8.036725	4.857214	4.074448	3.127127
YBR058C	UBP14	6.839959	7.484267	7.624069	5.34599	7.759458	6.94889	0.214812	4.939203	4.847464
YBR059C	AKL1	6.7963	7.375588	7.602662	6.629258	7.195022	7.137627	7.59976	5.48067	6.334819
YBR060C	ORC2	0	0	0	0	0	0	0	0	0
YBR061C	YBR061C	0	0	0	0	0	0	0	0	0
YBR062C	YBR062C	7.052727	7.377227	7.372522	7.317095	7.293489	3.945884	4.231484	7.348586	6.831981
YBR063C	YBR063C	7.001412	6.963393	6.806686	5.180984	6.703714	6.698953	5.750454	5.256013	6.593876
