orf	hom | growth (relative abundance in pooled culture) | 3-nitroso-2-phenylimidazo[1,2-a]pyridine [9 uM] | Yu L~Bellaoui M, 2008	hom | growth (relative abundance in pooled culture) | 3-nitroso-2-phenylimidazo[1,2-a]pyrimidine [9 uM] | Yu L~Bellaoui M, 2008	het | growth (relative abundance in pooled culture) | 3-nitroso-2-phenylimidazo[1,2-a]pyridine [9 uM] | Yu L~Bellaoui M, 2008	het | growth (relative abundance in pooled culture) | 3-nitroso-2-phenylimidazo[1,2-a]pyrimidine [9 uM] | Yu L~Bellaoui M, 2008	hap a | growth (relative abundance in pooled culture) | 3-nitroso-2-phenylimidazo[1,2-a]pyridine [9 uM] | Yu L~Bellaoui M, 2008	hap a | growth (relative abundance in pooled culture) | 3-nitroso-2-phenylimidazo[1,2-a]pyrimidine [9 uM] | Yu L~Bellaoui M, 2008
YBR107C	-0.4201955506896205	-0.7174918208339581			0.0	0.0
YBR108W	0.3982320810006236	0.7351960192237222				
YBR112C						
YBR113W	0.636967202921281	0.8730804307664938				
YBR114W	-0.860345428828877	-3.1535331326290406				
YBR115C	0.2472416256508234	0.09714046278512274				
YBR116C	-0.4938645142197184	-1.2066447189872824				
YBR118W	0.33395977686180206	0.24464182610006932				
YBR119W	0.3692345774103567	0.0529235793961117			0.0	0.0
YBR120C	-0.7385185859184877	-0.41483621554352806			-2.6655622764404003	0.0
YBR125C	-0.7212930360492041	-0.8676096881445775			0.0	0.0
YBR126C	-0.23785992001498502	-0.32510135391939976			0.0	0.0
YBR127C					0.0	0.0
YBR128C	-0.6032244836170126	-0.49408170626879283			0.0	0.0
YBR129C	-0.15994280043434475	-0.5737084094967385			0.0	0.0
YBR130C	-0.7742568737052906	-0.1942967215296765			0.0	0.0
YBR131W	0.745939585003906	1.9892570776968461			0.0	0.0
YBR133C					0.0	0.0
YBR134W	-0.6917810305179557	-1.7045338625577742				
YBR137W	0.06442857201426627	0.48719091777611073			0.0	0.0
YBR138C	-0.7713378373001087	-0.9135631225586464			0.0	0.0
YBR139W	-0.08622655498464027	-0.4101004412513312			0.0	0.0
YBR141C	-0.9665991005341267	-1.2473124085025202			0.0	0.0
YBR144C	0.006173514275896557	1.079922115768504				
