ORF	het | growth (relative abundance in pooled culture) | 3-nitroso-2-phenylimidazo[1,2-a]pyridine [9 uM] | Yu L~Bellaoui M, 2008	het | growth (relative abundance in pooled culture) | 3-nitroso-2-phenylimidazo[1,2-a]pyrimidine [9 uM] | Yu L~Bellaoui M, 2008	hom | growth (relative abundance in pooled culture) | 3-nitroso-2-phenylimidazo[1,2-a]pyridine [9 uM] | Yu L~Bellaoui M, 2008	hom | growth (relative abundance in pooled culture) | 3-nitroso-2-phenylimidazo[1,2-a]pyrimidine [9 uM] | Yu L~Bellaoui M, 2008	hap a | growth (relative abundance in pooled culture) | 3-nitroso-2-phenylimidazo[1,2-a]pyridine [9 uM] | Yu L~Bellaoui M, 2008	hap a | growth (relative abundance in pooled culture) | 3-nitroso-2-phenylimidazo[1,2-a]pyrimidine [9 uM] | Yu L~Bellaoui M, 2008
YBR177C	NaN	NaN	-0.303	-0.568	NaN	NaN
YBR178W	NaN	NaN	-0.705	-1.084	NaN	NaN
YBR179C	NaN	NaN	4.568	-0.045	1.179	NaN
YBR180W	NaN	NaN	1.055	0.366	NaN	NaN
YBR181C	NaN	NaN	-2.766	-1.722	NaN	NaN
YBR182C	NaN	NaN	-1.826	-0.920	NaN	NaN
YBR183W	NaN	NaN	-1.502	-1.125	NaN	NaN
YBR184W	NaN	NaN	-0.008	0.779	NaN	NaN
YBR185C	NaN	NaN	2.668	-0.443	NaN	NaN
YBR186W	NaN	NaN	0.293	-0.391	NaN	NaN
YBR187W	NaN	NaN	0.890	0.508	NaN	NaN
YBR188C	NaN	NaN	NaN	NaN	NaN	NaN
YBR189W	-2.186	-0.460	-0.038	0.197	NaN	NaN
YBR190W	-11.682	-5.007	NaN	NaN	NaN	NaN
YBR191W	NaN	NaN	1.306	0.196	NaN	NaN
YBR192W	3.582	0.228	NaN	NaN	NaN	NaN
YBR193C	-0.122	-1.198	NaN	NaN	NaN	NaN
YBR194W	NaN	NaN	NaN	NaN	NaN	NaN
YBR195C	NaN	NaN	-0.201	1.558	NaN	NaN
YBR196C	NaN	NaN	NaN	NaN	NaN	NaN
YBR197C	NaN	NaN	0.470	0.460	NaN	NaN
YBR198C	-3.052	-0.535	NaN	NaN	NaN	NaN
YBR199W	NaN	NaN	-0.920	-2.045	NaN	NaN
YBR200W	NaN	NaN	NaN	NaN	NaN	NaN
YBR201W	NaN	NaN	-0.075	0.057	NaN	NaN
YBR202W	NaN	NaN	NaN	NaN	NaN	NaN
YBR203W	NaN	NaN	-0.760	-0.721	NaN	NaN
YBR204C	NaN	NaN	-0.370	-1.067	NaN	NaN
YBR205W	NaN	NaN	-0.772	-1.099	NaN	NaN
YBR206W	NaN	NaN	NaN	NaN	NaN	NaN
YBR207W	NaN	NaN	-0.047	-0.206	NaN	NaN
YBR208C	NaN	NaN	1.193	3.444	NaN	NaN
YBR209W	-2.180	-0.125	NaN	NaN	NaN	NaN
YBR210W	NaN	NaN	-0.960	-0.511	NaN	NaN
YBR211C	0.709	-0.113	NaN	NaN	NaN	NaN
YBR212W	NaN	NaN	0.012	0.180	NaN	NaN
YBR213W	NaN	NaN	NaN	NaN	NaN	NaN
YBR214W	NaN	NaN	NaN	NaN	NaN	NaN
YBR215W	NaN	NaN	0.159	0.416	NaN	NaN
YBR216C	NaN	NaN	NaN	NaN	NaN	NaN
YBR217W	NaN	NaN	0.031	0.145	NaN	NaN
YBR218C	NaN	NaN	NaN	NaN	NaN	NaN
YBR219C	NaN	NaN	NaN	NaN	NaN	NaN
YBR220C	NaN	NaN	NaN	NaN	NaN	NaN
YBR221C	NaN	NaN	NaN	NaN	NaN	NaN
YBR222C	NaN	NaN	NaN	NaN	NaN	NaN
YBR223C	NaN	NaN	NaN	NaN	NaN	NaN
YBR224W	NaN	NaN	NaN	NaN	NaN	NaN
YBR225W	NaN	NaN	NaN	NaN	NaN	NaN
YBR226C	NaN	NaN	-0.076	-0.263	NaN	NaN
YBR227C	NaN	NaN	0.031	1.036	NaN	NaN
YBR228W	NaN	NaN	-0.211	-0.834	NaN	NaN
YBR229C	NaN	NaN	0.135	-0.903	NaN	NaN
YBR230C	NaN	NaN	-0.137	1.508	NaN	NaN
YBR231C	NaN	NaN	NaN	NaN	NaN	NaN
YBR232C	NaN	NaN	-0.653	-0.226	NaN	NaN
YBR233W	NaN	NaN	-0.709	-1.354	NaN	NaN
YBR233W-A	-0.764	0.316	NaN	NaN	NaN	NaN
YBR234C	0.840	-0.625	NaN	NaN	NaN	NaN
YBR235W	NaN	NaN	0.224	0.063	NaN	NaN
YBR236C	-0.332	-0.788	NaN	NaN	NaN	NaN
YBR237W	-0.002	0.235	NaN	NaN	NaN	NaN
YBR238C	NaN	NaN	-0.352	-0.797	NaN	NaN
YBR239C	NaN	NaN	1.518	1.108	NaN	NaN
