orf	hap alpha | growth (spot assay) | (S)-lactic acid [5.1% w/v], pH [2.7] | Kawahata M~Iefuji H, 2006	hap alpha | growth (spot assay) | acetic acid [0.5% w/v], pH [4.2] | Kawahata M~Iefuji H, 2006	hap alpha | growth (spot assay) | hydrogen chloride [0.28% w/v], pH [2.4] | Kawahata M~Iefuji H, 2006	hap alpha | growth (spot assay) | (S)-lactic acid [3.1% w/v], pH [2.9] | Kawahata M~Iefuji H, 2006	hap alpha | growth (spot assay) | acetic acid [0.4% w/v], pH [4.3] | Kawahata M~Iefuji H, 2006	hap alpha | growth (spot assay) | hydrogen chloride [0.24% w/v], pH [2.6] | Kawahata M~Iefuji H, 2006
YKL190W	0.0	0.0	0.0	-5.983701822450714	0.0	-5.1469728462241555
YKL204W	0.0	0.0	0.0	0.0	0.0	-5.1469728462241555
YKL212W	0.0	0.0	0.0	-5.983701822450714	-4.606255810589833	-5.1469728462241555
YKR001C	0.0	0.0	0.0	-5.983701822450714	-4.606255810589833	-5.1469728462241555
YKR007W	0.0	0.0	0.0	0.0	-4.606255810589833	0.0
YKR020W	0.0	0.0	0.0	-5.983701822450714	-4.606255810589833	-5.1469728462241555
YKR041W	0.0	0.0	0.0	-5.983701822450714	0.0	-5.1469728462241555
YKR072C	0.0	0.0	9.671122594864464	0.0	0.0	0.0
YLL027W	0.0	0.0	0.0	0.0	-4.606255810589833	0.0
YLL060C	0.0	0.0	9.671122594864464	0.0	0.0	0.0
YLR006C	0.0	0.0	0.0	0.0	0.0	-5.1469728462241555
YLR020C	0.0	0.0	0.0	0.0	-4.606255810589833	0.0
YLR025W	0.0	0.0	0.0	-5.983701822450714	-4.606255810589833	-5.1469728462241555
YLR039C	0.0	0.0	0.0	-5.983701822450714	-4.606255810589833	-5.1469728462241555
YLR056W	0.0	0.0	0.0	-5.983701822450714	-4.606255810589833	-5.1469728462241555
YLR087C	0.0	0.0	0.0	0.0	-4.606255810589833	-5.1469728462241555
YLR111W	9.98150463520449	0.0	0.0	0.0	0.0	0.0
YLR113W	0.0	0.0	0.0	-5.983701822450714	0.0	-5.1469728462241555
YLR119W	9.98150463520449	9.38800380190674	0.0	0.0	0.0	0.0
YLR131C	9.98150463520449	0.0	9.671122594864464	0.0	0.0	0.0
YLR148W	0.0	0.0	0.0	-5.983701822450714	-4.606255810589833	-5.1469728462241555
YLR182W	0.0	0.0	0.0	0.0	-4.606255810589833	0.0
YLR226W	0.0	0.0	0.0	-5.983701822450714	0.0	0.0
YLR240W	0.0	0.0	0.0	-5.983701822450714	0.0	-5.1469728462241555
YLR261C	0.0	0.0	0.0	-5.983701822450714	-4.606255810589833	0.0
YLR262C	0.0	0.0	0.0	-5.983701822450714	-4.606255810589833	0.0
YLR286C	9.98150463520449	0.0	0.0	0.0	0.0	0.0
YLR322W	0.0	0.0	0.0	0.0	-4.606255810589833	-5.1469728462241555
YLR325C	9.98150463520449	0.0	9.671122594864464	0.0	0.0	0.0
YLR337C	0.0	0.0	0.0	0.0	-4.606255810589833	0.0
YLR342W	0.0	0.0	0.0	0.0	-4.606255810589833	0.0
YLR346C	0.0	9.38800380190674	9.671122594864464	0.0	0.0	0.0
YLR372W	0.0	0.0	0.0	0.0	-4.606255810589833	0.0
YLR399C	0.0	0.0	0.0	0.0	0.0	-5.1469728462241555
