ORF	Growth, colony size;Manganese;12 mM	Growth, colony size;Manganese;25 mM
YLR149C	0.536	0.176
YLR150W	0.771	0.469
YLR151C	0.637	0.232
YLR152C	0.655	0.298
YLR154C	0.610	0.267
YLR164W	0.637	0.300
YLR165C	0.606	0.241
YLR168C	0.695	0.274
YLR169W	0.479	0.180
YLR170C	0.501	0.133
YLR171W	0.462	0.122
YLR172C	0.714	0.352
YLR173W	0.695	0.242
YLR174W	0.691	0.272
YLR176C	0.469	0.163
YLR177W	0.732	0.225
YLR178C	0.740	0.446
YLR179C	0.674	0.306
YLR180W	0.718	0.261
YLR181C	0.537	0.116
YLR182W	0.552	0.159
YLR183C	0.669	0.268
YLR184W	0.703	0.288
YLR185W	0.454	0.125
YLR187W	0.705	0.311
YLR188W	0.634	0.266
YLR189C	0.637	0.281
YLR190W	0.628	0.268
YLR191W	0.705	0.289
YLR192C	0.728	0.346
YLR193C	0.699	0.308
YLR194C	0.633	0.284
YLR199C	0.625	0.284
YLR200W	0.391	0.115
YLR201C	0.918	0.226
YLR202C	0.897	0.237
YLR203C	0.777	0.263
YLR204W	0.852	0.303
YLR205C	0.645	0.273
YLR206W	0.661	0.259
YLR207W	0.698	0.380
YLR209C	0.609	0.305
YLR210W	0.644	0.302
YLR211C	0.654	0.291
YLR213C	0.674	0.257
YLR214W	0.616	0.213
YLR216C	0.688	0.234
YLR217W	0.710	0.229
YLR218C	0.719	0.223
YLR219W	0.596	0.220
YLR220W	0.574	0.225
YLR221C	0.641	0.286
YLR224W	0.682	0.308
YLR225C	0.645	0.327
YLR226W	NaN	NaN
YLR227C	0.588	0.293
YLR228C	0.699	0.211
YLR231C	0.646	0.198
YLR232W	0.645	0.207
YLR233C	0.650	0.230
YLR234W	0.637	0.266
YLR235C	0.655	0.256
YLR236C	0.665	0.252
YLR237W	0.645	0.258
YLR238W	0.521	0.217
YLR239C	0.443	0.144
YLR240W	NaN	NaN
YLR241W	0.730	0.217
YLR242C	0.663	0.326
YLR244C	1.180	0.300
YLR246W	0.558	0.167
YLR247C	0.653	0.181
YLR248W	0.650	0.177
YLR250W	0.670	0.182
YLR251W	0.681	0.202
YLR252W	0.683	0.244
YLR253W	0.720	0.271
YLR254C	0.720	0.278
YLR255C	0.727	0.323
YLR257W	0.684	0.268
YLR258W	0.709	0.257
YLR260W	0.696	0.208
YLR261C	0.204	0.103
YLR262C	0.200	0.081
YLR262C-A	0.614	0.147
YLR263W	0.678	0.193
YLR264W	0.647	0.180
YLR265C	0.660	0.204
YLR266C	0.668	0.237
YLR267W	0.483	0.271
YLR268W	0.241	0.177
YLR269C	0.418	0.235
YLR270W	0.887	0.279
YLR271W	0.705	0.246
YLR273C	0.733	0.230
YLR278C	0.780	0.319
YLR279W	0.709	0.222
YLR280C	0.623	0.183
YLR281C	0.638	0.191
YLR282C	0.650	0.218
YLR283W	0.644	0.227
YLR284C	0.695	0.257
YLR285W	0.669	0.230
YLR286C	0.606	0.215
YLR287-A	0.662	0.205
YLR287C	0.677	0.226
YLR288C	0.502	0.302
YLR289W	0.630	0.202
YLR290C	0.663	0.204
YLR292C	0.472	0.176
YLR294C	0.643	0.187
YLR295C	0.550	0.191
YLR296W	0.589	0.201
YLR297W	0.603	0.212
YLR299W	0.565	0.176
YLR300W	0.636	0.215
YLR303W	0.617	0.199
YLR304C	0.628	0.157
YLR306W	0.610	0.169
YLR307W	0.682	0.192
YLR308W	0.622	0.182
YLR309C	0.524	0.147
YLR311C	0.619	0.188
YLR312C	0.603	0.173
YLR312W-A	0.861	0.303
YLR313C	0.598	0.247
YLR315W	0.549	0.176
YLR318W	0.685	0.302
YLR319C	0.727	0.309
YLR320W	0.331	0.136
YLR322W	0.538	0.142
YLR324W	0.719	0.235
YLR325C	0.655	0.273
YLR326W	0.727	0.277
YLR327C	0.744	0.276
YLR328W	0.673	0.249
YLR329W	0.671	0.198
YLR330W	0.652	0.172
YLR331C	0.720	0.208
YLR332W	0.691	0.183
YLR333C	0.602	0.194
YLR334C	0.442	0.206
YLR335W	0.553	0.152
YLR337C	0.501	0.116
YLR338W	0.565	0.177
YLR341W	0.643	0.197
YLR342W	0.689	0.265
YLR343W	0.744	0.306
YLR344W	0.678	0.246
YLR345W	0.714	0.220
YLR346C	0.482	0.184
YLR348C	0.659	0.229
YLR349W	0.664	0.215
YLR350W	0.756	0.308
YLR351C	0.711	0.227
YLR352W	0.718	0.248
YLR353W	0.642	0.194
YLR354C	0.614	0.166
YLR356W	0.638	0.206
YLR357W	0.657	0.263
YLR358C	0.676	0.166
YLR360W	0.468	0.113
YLR361C	0.488	0.101
YLR362W	0.643	0.230
YLR363C	0.675	0.232
YLR364W	0.667	0.194
YLR365W	0.653	0.177
YLR366W	0.674	0.171
YLR367W	0.669	0.176
YLR368W	0.739	0.182
YLR369W	0.654	0.221
YLR370C	0.586	0.149
YLR371W	0.517	0.219
YLR372W	1.006	1.577
YLR373C	0.320	0.097
YLR374C	0.418	0.148
YLR375W	0.632	0.258
YLR376C	0.643	0.255
YLR377C	0.632	0.240
YLR380W	0.689	0.254
YLR381W	0.654	0.208
YLR382C	0.742	0.202
YLR384C	0.447	0.171
YLR385C	0.574	0.142
YLR386W	0.450	0.095
YLR387C	0.598	0.179
YLR388W	0.611	0.193
YLR389C	0.674	0.235
YLR390W	0.661	0.263
YLR390W-A	0.682	0.225
YLR391W	0.666	0.212
YLR392C	0.656	0.271
YLR393W	0.865	0.477
YLR394W	0.631	0.361
YLR395C	0.678	0.293
YLR396C	NaN	NaN
YLR398C	0.547	0.188
YLR399C	0.569	0.057
YLR400W	0.684	0.298
YLR401C	0.706	0.259
YLR402W	0.217	0.091
YLR403W	0.329	0.262
YLR404W	0.635	0.153
YLR405W	0.640	0.181
YLR406C	0.659	0.228
YLR407W	0.429	0.103
YLR408C	0.661	0.205
YLR410W	0.330	0.141
YLR412W	0.740	0.360
YLR413W	0.675	0.266
YLR414C	0.272	0.088
YLR415C	0.662	0.242
YLR416C	0.673	0.215
YLR417W	0.582	0.157
YLR418C	0.610	0.181
YLR420W	0.737	0.329
YLR421C	0.699	0.216
YLR422W	0.589	0.240
YLR423C	0.210	0.073
YLR425W	0.677	0.186
YLR426W	0.520	0.179
YLR427W	0.645	0.237
YLR428C	0.639	0.200
YLR429W	0.573	0.189
YLR431C	0.648	0.228
YLR432W	0.636	0.227
YLR433C	0.535	0.100
YLR434C	0.556	0.120
YLR435W	0.619	0.158
YLR436C	0.999	0.430
YLR437C	0.701	0.228
YLR438W	0.633	0.191
YLR439W	0.929	0.307
YLR441C	0.566	0.174
YLR442C	0.830	0.403
YLR443W	0.607	0.240
YLR444C	0.668	0.244
YLR445W	0.680	0.247
YLR446W	0.557	0.199
YLR447C	0.404	0.141
YLR448W	0.702	0.239
YLR449W	0.872	0.370
YLR450W	0.493	0.154
YLR451W	0.620	0.220
YLR452C	0.558	0.203
YLR453C	0.697	0.230
YLR454W	0.688	0.245
YLR455W	0.658	0.216
YLR456W	0.617	0.222
YLR460C	0.674	0.263
YLR461W	0.676	0.255
YML001W	0.572	0.107
YML002W	0.626	0.283
YML003W	0.648	0.326
YML004C	0.629	0.248
YML005W	0.700	0.269
YML006C	0.675	0.260
YML007W	0.760	0.304
YML008C	0.741	0.323
YML009C	0.703	0.257
YML010C-B	0.654	0.201
YML010W-A	0.653	0.257
YML011C	0.566	0.225
YML012W	0.409	0.254
YML013C-A	0.677	0.238
YML013W	0.532	0.268
YML014W	0.572	0.257
YML016C	0.656	0.282
YML017W	0.353	0.119
YML018C	0.715	0.265
YML019W	0.733	0.299
YML020W	0.791	0.521
YML021C	0.567	0.225
YML022W	0.231	0.088
YML024W	0.750	0.256
YML026C	0.632	0.210
YML027W	0.491	0.168
YML028W	0.366	0.141
YML029W	0.693	0.342
YML030W	0.708	0.299
YML032C	0.483	0.236
YML033W	0.647	0.332
YML034W	0.621	0.253
YML035C	0.751	0.338
YML035C-A	0.599	0.269
YML036W	0.354	0.167
YML037C	0.657	0.219
YML038C	0.736	0.277
YML041C	0.232	0.127
YML042W	0.413	0.095
YML047C	0.682	0.183
YML048W	0.642	0.198
YML048W-A	0.697	0.242
YML050W	0.571	0.179
YML051W	0.637	0.222
YML052W	0.605	0.262
YML053C	0.683	0.294
YML054C	0.651	0.360
YML055W	0.742	0.393
YML056C	0.641	0.290
YML057W	0.454	0.123
YML058C-A	0.441	0.131
YML058W	0.656	0.243
YML059C	0.749	0.306
YML060W	0.674	0.269
YML061C	0.547	0.210
YML062C	0.647	0.142
YML063W	0.580	0.265
YML066C	0.709	0.196
YML067C	0.759	0.306
YML068W	0.540	0.134
YML070W	0.650	0.235
YML071C	0.414	0.101
YML072C	0.688	0.194
YML074C	0.703	0.209
YML075C	0.596	0.157
YML076C	0.601	0.200
YML078W	0.564	0.301
YML079W	0.569	0.331
YML080W	0.497	0.267
YML081C-A	0.852	0.238
YML081W	0.518	0.234
YML082W	0.486	0.216
YML083C	0.551	0.232
YML084W	0.522	0.190
YML086C	0.587	0.176
YML087C	0.546	0.183
YML088W	0.702	0.197
YML089C	0.523	0.208
YML090W	0.707	0.201
YML094W	0.701	0.172
YML095C	0.610	0.151
YML095C-A	0.683	0.232
YML096W	0.648	0.192
YML097C	0.805	0.435
YML099C	0.634	0.264
YML100W	0.642	0.229
YML100W-A	0.650	0.265
YML101C	0.681	0.258
YML102C-A	0.718	0.263
YML102W	0.671	0.233
YML103C	0.595	0.171
YML104C	0.608	0.150
YML106W	0.611	0.207
YML107C	0.655	0.259
YML108W	0.658	0.208
YML109W	0.648	0.269
YML110C	0.800	0.208
YML111W	0.609	0.179
YML112W	2.422	1.795
YML113W	0.699	0.305
YML115C	0.623	0.199
YML116W	0.704	0.299
YML117W	0.569	0.163
YML117W-A	0.565	0.168
YML118W	0.707	0.260
YML119W	0.729	0.215
YML120C	0.661	0.187
YML121W	0.604	0.154
YML122C	0.767	0.316
YML123C	0.625	0.170
YML124C	0.556	0.135
YML128C	0.712	0.216
YML129C	0.838	0.251
YML131W	0.663	0.264
YMR002W	0.666	0.305
YMR003W	NaN	NaN
YMR004W	0.480	0.192
YMR006C	0.671	0.264
YMR007W	0.710	0.292
YMR008C	0.698	0.270
YMR009W	0.729	0.263
YMR010W	0.569	0.188
YMR011W	0.633	0.224
YMR012W	0.640	0.222
YMR014W	0.677	0.271
YMR015C	0.810	0.588
YMR016C	0.814	0.535
YMR017W	0.662	0.285
YMR018W	0.660	0.272
YMR019W	0.693	0.283
YMR020W	0.682	0.269
YMR021C	0.751	0.259
YMR022W	0.724	0.375
YMR023C	0.608	0.190
YMR024W	0.719	0.221
YMR025W	0.567	0.193
YMR026C	0.630	0.225
YMR027W	0.573	0.216
YMR029C	0.534	0.209
YMR030W	0.569	0.208
YMR031C	0.663	0.210
YMR031W-A	0.294	0.176
YMR032W	0.638	0.097
YMR034C	0.700	0.252
YMR035W	0.586	0.165
YMR036C	0.583	0.162
YMR037C	0.574	0.202
YMR038C	0.931	0.347
YMR039C	0.647	0.281
YMR040W	0.619	0.287
YMR041C	0.634	0.293
YMR042W	0.630	0.279
YMR044W	0.624	0.255
YMR048W	0.599	0.185
YMR052C-A	0.503	0.178
YMR052W	0.534	0.203
YMR053C	0.601	0.206
YMR054W	0.388	0.131
YMR055C	0.631	0.201
YMR056C	0.631	0.177
YMR057C	0.466	0.107
YMR058W	0.421	0.100
YMR060C	0.448	0.135
YMR062C	0.656	0.247
YMR063W	0.907	0.407
YMR064W	0.829	0.302
YMR065W	0.703	0.235
YMR066W	0.833	0.298
YMR067C	0.771	0.253
YMR068W	0.773	0.308
YMR069W	0.711	0.253
YMR070W	0.795	0.300
YMR071C	0.653	0.227
YMR072W	0.782	0.279
YMR073C	0.712	0.162
YMR074C	0.590	0.171
YMR075C-A	0.554	0.286
YMR075W	0.545	0.283
YMR077C	0.576	0.198
YMR078C	0.594	0.141
YMR080C	0.578	0.144
YMR081C	0.607	0.173
YMR082C	0.608	0.159
YMR083W	0.935	0.325
YMR084W	0.874	0.281
YMR085W	0.675	0.238
YMR086C-A	0.490	0.137
YMR086W	0.587	0.178
YMR087W	0.603	0.225
YMR088C	0.818	0.367
YMR089C	0.795	0.300
YMR090W	0.657	0.219
YMR091C	0.410	0.197
YMR092C	0.670	0.230
YMR095C	0.703	0.260
YMR096W	0.731	0.254
YMR097C	0.663	0.205
YMR098C	0.683	0.187
YMR099C	0.675	0.247
YMR100W	0.556	0.132
YMR101C	0.710	0.210
YMR102C	0.651	0.165
YMR103C	0.650	0.184
YMR104C	0.572	0.162
YMR105C	0.605	0.200
YMR106C	0.397	0.146
YMR107W	0.699	0.240
YMR109W	0.698	0.312
YMR110C	0.692	0.273
YMR111C	0.668	0.221
YMR114C	0.675	0.218
YMR115W	0.731	0.242
YMR116C	0.788	0.358
YMR118C	0.671	0.253
YMR119W	0.625	0.183
YMR119W-A	0.699	0.193
YMR120C	0.666	0.166
YMR121C	0.651	0.195
YMR122C	0.681	0.208
YMR123W	0.170	0.080
YMR124W	0.676	0.198
YMR125W	0.429	0.102
YMR126C	0.839	0.352
YMR127C	0.782	0.312
YMR129W	0.722	0.220
YMR130W	0.715	0.217
YMR132C	0.775	0.240
YMR133W	0.736	0.214
YMR135C	0.677	0.134
YMR135W-A	0.432	0.180
YMR136W	0.778	0.223
YMR137C	0.615	0.218
YMR138W	0.753	0.319
YMR139W	0.597	0.270
YMR140W	0.686	0.292
YMR141C	0.655	0.232
YMR142C	0.279	0.094
YMR143W	0.658	0.219
YMR144W	0.589	0.181
YMR145C	0.750	0.343
YMR147W	0.606	0.275
YMR148W	0.670	0.321
YMR150C	0.816	0.368
YMR151W	0.665	0.329
YMR152W	0.679	0.370
YMR153C-A	0.695	0.303
YMR153W	0.644	0.312
YMR154C	0.910	0.370
YMR155W	0.660	0.262
YMR156C	0.663	0.247
YMR157C	0.675	0.255
YMR158C-B	0.628	0.168
YMR158W	0.821	0.219
YMR158W-A	0.637	0.237
YMR159C	0.667	0.298
YMR160W	0.670	0.254
YMR161W	0.721	0.288
YMR162C	0.731	0.405
YMR163C	0.580	0.307
YMR164C	0.592	0.352
YMR166C	0.609	0.300
YMR167W	0.653	0.315
YMR169C	0.686	0.250
YMR170C	0.659	0.257
YMR171C	0.655	0.155
YMR172C-A	0.673	0.234
YMR172W	0.681	0.185
YMR173W	0.582	0.195
YMR173W-A	0.685	0.249
YMR174C	0.590	0.199
YMR175W	0.602	0.209
YMR176W	0.742	0.301
YMR177W	0.708	0.329
YMR178W	0.656	0.314
YMR179W	0.692	0.332
YMR180C	0.522	0.203
YMR181C	0.645	0.210
YMR182C	0.700	0.295
YMR183C	0.673	0.253
YMR184W	0.693	0.264
YMR186W	0.574	0.240
YMR187C	0.675	0.236
YMR188C	0.638	0.197
YMR189W	0.606	0.199
YMR190C	0.633	0.241
YMR191W	0.617	0.265
YMR192W	0.614	0.293
YMR193C-A	0.713	0.289
YMR193W	0.645	0.319
YMR194C-A	0.752	0.330
YMR194W	0.699	0.326
YMR195W	0.699	0.265
YMR196W	0.667	0.258
YMR198W	0.502	0.260
YMR199W	0.652	0.241
YMR201C	0.655	0.211
YMR202W	0.656	0.363
YMR204C	0.669	0.312
YMR205C	0.654	0.277
YMR206W	0.610	0.284
YMR207C	0.460	0.230
YMR209C	0.628	0.224
YMR210W	0.693	0.351
YMR214W	0.606	0.363
YMR215W	0.650	0.275
YMR216C	0.898	0.430
YMR219W	0.752	0.354
YMR221C	0.719	0.280
YMR222C	0.664	0.223
YMR223W	0.536	0.210
YMR224C	0.541	0.229
YMR225C	0.610	0.233
YMR226C	0.684	0.449
YMR228W	0.680	0.467
YMR230W	0.625	0.250
YMR231W	0.664	0.284
YMR232W	0.668	0.267
YMR233W	0.677	0.274
YMR234W	0.704	0.292
YMR237W	0.649	0.254
YMR238W	0.648	0.265
YMR241W	0.640	0.187
YMR242C	0.569	0.201
YMR243C	0.581	0.220
YMR244C-A	0.612	0.243
YMR244W	0.569	0.237
YMR245W	0.583	0.237
YMR246W	0.665	0.244
YMR247C	0.677	0.204
YMR250W	0.660	0.230
YMR251W	0.683	0.225
YMR251W-A	0.689	0.228
YMR252C	0.613	0.210
YMR253C	0.625	0.227
YMR254C	0.602	0.225
YMR255W	0.582	0.240
YMR256C	0.661	0.235
YMR257C	0.702	0.239
YMR258C	0.562	0.165
YMR259C	0.626	0.207
YMR261C	0.635	0.190
YMR262W	0.648	0.230
YMR263W	0.585	0.151
YMR264W	0.649	0.292
YMR265C	0.655	0.255
YMR266W	0.658	0.288
YMR267W	0.780	0.302
YMR269W	0.596	0.277
YMR271C	0.661	0.243
YMR272C	0.464	0.189
YMR273C	0.609	0.265
YMR274C	0.584	0.235
YMR275C	0.650	0.291
YMR276W	0.699	0.197
YMR278W	0.691	0.231
YMR279C	0.647	0.194
YMR280C	0.678	0.227
YMR282C	0.689	0.200
YMR283C	0.659	0.239
YMR284W	0.340	0.166
YMR285C	0.636	0.287
YMR286W	0.861	0.348
YMR287C	0.900	0.357
YMR289W	0.637	0.294
YMR291W	0.667	0.391
YMR292W	0.335	0.179
YMR293C	0.653	0.237
YMR294W	0.694	0.233
YMR294W-A	0.671	0.176
YMR295C	0.768	0.173
YMR297W	0.648	0.263
YMR299C	0.644	0.246
YMR300C	0.791	0.446
YMR302C	0.646	0.302
YMR303C	0.605	0.292
YMR304C-A	0.628	0.305
YMR304W	0.874	0.539
YMR305C	0.598	0.241
YMR306C-A	0.650	0.264
YMR306W	0.708	0.236
YMR307W	0.802	0.236
YMR310C	0.682	0.230
YMR311C	0.741	0.190
YMR312W	0.483	0.201
YMR313C	0.672	0.229
YMR315W	0.732	0.216
YMR316C-A	0.669	0.286
YMR316C-B	0.617	0.192
YMR316W	0.639	0.230
YMR317W	0.624	0.232
YMR318C	0.632	0.231
YMR319C	0.638	0.222
YMR320W	0.659	0.220
YMR322C	0.601	0.221
YMR326C	0.638	0.233
YNL001W	0.754	0.344
YNL003C	0.614	0.211
YNL004W	0.607	0.160
YNL005C	0.673	0.245
YNL008C	0.544	0.155
YNL009W	0.627	0.210
YNL010W	0.793	0.249
YNL012W	0.853	0.286
YNL013C	0.705	0.218
YNL015W	0.775	0.261
YNL016W	0.742	0.212
YNL020C	0.631	0.224
YNL021W	0.923	0.707
YNL022C	0.662	0.271
YNL023C	0.541	0.245
YNL024C	0.703	0.278
YNL025C	0.624	0.256
YNL027W	0.240	0.053
YNL028W	0.722	0.262
YNL029C	0.702	0.238
YNL030W	0.721	0.255
YNL031C	0.593	0.138
YNL032W	0.797	0.367
YNL034W	0.693	0.217
YNL035C	0.677	0.230
YNL037C	0.724	0.251
YNL040W	0.498	0.316
YNL041C	0.379	0.126
YNL043C	0.739	0.255
YNL044W	0.768	0.276
YNL045W	0.629	0.188
YNL046W	0.705	0.224
YNL047C	0.635	0.208
YNL049C	0.669	0.215
YNL050C	0.624	0.184
YNL051W	0.530	0.131
YNL052W	0.693	0.222
YNL053W	0.722	0.312
YNL054W	0.588	0.158
YNL055C	0.953	0.198
YNL056W	0.616	0.198
YNL057W	0.570	0.129
YNL058C	0.623	0.227
YNL059C	NaN	NaN
YNL063W	0.719	0.186
YNL064C	0.720	0.247
YNL065W	0.582	0.221
YNL066W	0.598	0.150
YNL067W	0.639	0.304
YNL068C	0.518	0.219
YNL069C	0.654	0.162
YNL070W	0.615	0.199
YNL071W	0.521	0.189
YNL072W	0.577	0.170
YNL073W	0.972	0.310
YNL074C	0.780	0.250
YNL076W	0.701	0.374
YNL077W	0.683	0.179
YNL078W	0.552	0.130
YNL079C	0.603	0.219
YNL080C	0.781	0.310
YNL081C	0.861	0.154
YNL082W	0.432	0.168
YNL083W	0.651	0.215
YNL084C	0.147	0.055
YNL085W	0.615	0.232
YNL086W	0.702	0.259
YNL087W	0.653	0.171
YNL089C	0.614	0.244
YNL090W	0.643	0.201
YNL091W	0.517	0.163
YNL092W	0.714	0.279
YNL093W	0.582	0.214
YNL094W	0.768	0.345
YNL095C	0.556	0.208
YNL096C	0.609	0.204
YNL097C	0.485	0.101
YNL098C	0.588	0.162
YNL099C	0.584	0.152
YNL100W	0.511	0.117
YNL101W	0.715	0.245
YNL104C	0.499	0.117
YNL105W	0.528	0.193
YNL106C	0.505	0.169
YNL107W	0.226	0.155
YNL108C	0.703	0.257
YNL109W	0.542	0.141
YNL111C	0.886	0.340
YNL115C	0.577	0.169
YNL116W	0.637	0.210
YNL117W	0.700	0.193
YNL119W	0.293	0.112
YNL120C	0.284	0.107
YNL121C	0.554	0.172
YNL122C	0.544	0.154
YNL123W	0.710	0.236
YNL125C	0.629	0.170
YNL127W	0.609	0.221
YNL128W	0.650	0.224
YNL129W	0.692	0.268
YNL130C	0.585	0.161
YNL133C	0.546	0.215
YNL134C	0.702	0.281
YNL135C	0.551	0.157
YNL136W	0.547	0.187
YNL138W	1.106	0.658
YNL139C	0.698	0.210
YNL140C	0.699	0.137
YNL141W	0.670	0.233
YNL142W	0.600	0.181
YNL143C	0.562	0.121
YNL144C	0.740	0.222
YNL145W	0.631	0.157
YNL146W	0.709	0.235
YNL147W	0.743	0.260
YNL148C	0.317	0.141
YNL153C	0.647	0.234
YNL154C	0.708	0.271
YNL155W	0.556	0.173
YNL156C	0.648	0.225
YNL157W	0.513	0.148
YNL159C	0.521	0.216
YNL160W	0.823	0.315
YNL162W	0.506	0.182
YNL164C	0.627	0.251
YNL165W	0.571	0.173
YNL166C	0.668	0.186
YNL167C	0.492	0.096
YNL168C	0.656	0.183
YNL169C	0.621	0.264
YNL170W	0.618	0.257
YNL171C	0.283	0.119
YNL173C	0.594	0.246
YNL175C	0.684	0.372
YNL176C	0.541	0.164
YNL177C	0.660	0.259
YNL179C	0.507	0.237
YNL183C	0.667	0.222
YNL184C	0.653	0.184
YNL187W	0.540	0.163
YNL190W	0.484	0.148
YNL191W	0.566	0.137
YNL192W	0.594	0.243
YNL193W	0.789	0.300
YNL194C	0.616	0.165
YNL195C	0.681	0.212
YNL196C	0.406	0.158
YNL197C	0.664	0.164
YNL198C	0.754	0.196
YNL199C	0.764	0.173
YNL200C	0.543	0.212
YNL201C	0.588	0.148
YNL202W	0.675	0.224
YNL203C	0.533	0.262
YNL204C	0.779	0.275
YNL205C	0.797	0.301
YNL206C	0.706	0.227
YNL208W	0.638	0.163
YNL211C	0.565	0.149
YNL212W	0.675	0.186
YNL213C	0.989	0.332
YNL214W	0.941	0.355
YNL215W	0.574	0.149
YNL217W	0.574	0.163
YNL218W	0.590	0.245
YNL219C	0.596	0.224
YNL220W	NaN	NaN
YNL223W	0.597	0.222
YNL224C	0.586	0.273
YNL225C	0.986	0.315
YNL226W	0.744	0.203
YNL227C	0.609	0.256
YNL228W	0.773	0.232
YNL229C	0.791	0.277
YNL230C	0.745	0.244
YNL231C	0.759	0.269
YNL233W	0.751	0.275
YNL234W	0.755	0.278
YNL235C	0.764	0.323
YNL236W	0.813	0.424
YNL237W	0.675	0.276
YNL238W	0.640	0.227
YNL239W	0.549	0.173
YNL241C	0.634	0.221
YNL242W	0.611	0.186
YNL246W	0.581	0.211
YNL248C	0.705	0.422
YNL249C	0.614	0.274
YNL250W	0.602	0.163
YNL252C	0.721	0.187
YNL253W	0.599	0.234
YNL254C	0.622	0.301
YNL255C	0.690	0.258
YNL257C	0.599	0.210
YNL259C	0.598	0.172
YNL264C	0.979	0.432
YNL265C	0.620	0.188
YNL266W	0.600	0.170
YNL268W	0.665	0.201
YNL269W	0.597	0.191
YNL270C	0.595	0.221
YNL271C	0.658	0.230
YNL273W	0.569	0.235
YNL274C	0.660	0.181
YNL275W	0.615	0.228
YNL276C	0.577	0.196
YNL277W	0.657	0.176
YNL278W	0.704	0.292
YNL279W	0.700	0.187
YNL280C	0.645	0.239
YNL281W	0.618	0.246
YNL283C	0.733	0.301
YNL284C	0.905	0.405
YNL285W	0.674	0.264
YNL286W	0.663	0.257
YNL288W	0.672	0.222
YNL289W	0.615	0.204
YNL291C	0.478	0.174
YNL292W	0.613	0.197
YNL293W	0.760	0.265
YNL294C	0.854	0.391
YNL295W	0.681	0.270
YNL296W	0.624	0.281
YNL297C	0.619	0.258
YNL298W	0.888	0.404
YNL299W	0.515	0.202
YNL300W	0.665	0.167
YNL301C	0.626	0.254
YNL302C	0.583	0.186
YNL303W	0.619	0.226
YNL304W	0.606	0.216
YNL305C	0.547	0.198
YNL307C	0.281	0.042
YNL309W	0.660	0.245
YNL311C	0.670	0.257
YNL314W	0.663	0.244
YNL315C	0.702	0.210
YNL316C	0.621	0.126
YNL318C	0.641	0.269
YNL319W	0.670	0.363
YNL320W	0.588	0.298
YNL321W	0.672	0.315
YNL322C	0.683	0.250
YNL323W	0.708	0.339
YNL324W	0.525	0.123
YNL325C	0.530	0.139
YNL326C	0.800	0.389
YNL327W	0.693	0.250
YNL328C	0.678	0.242
YNL329C	0.692	0.242
YNL330C	0.613	0.279
YNL332W	0.605	0.287
YNL333W	0.638	0.299
YNL334C	0.620	0.281
YNL335W	0.647	0.251
YNL336W	0.632	0.274
YNL338W	0.632	0.245
YNL339C	0.644	0.219
YNR001C	0.548	0.176
YNR002C	0.670	0.220
YNR004W	0.551	0.143
YNR005C	0.449	0.106
YNR006W	0.387	0.116
YNR007C	0.698	0.316
YNR008W	0.639	0.202
YNR009W	0.623	0.227
YNR010W	0.671	0.257
YNR012W	0.769	0.245
YNR013C	0.427	0.138
YNR014W	0.642	0.205
YNR015W	0.604	0.179
YNR018W	0.703	0.239
YNR019W	0.769	0.336
YNR020C	0.827	0.304
YNR021W	0.732	0.317
YNR022C	0.629	0.248
YNR024W	0.716	0.258
YNR025C	0.737	0.212
YNR027W	0.773	0.263
YNR028W	0.781	0.269
YNR029C	0.746	0.244
YNR030W	0.651	0.239
YNR031C	0.633	0.226
YNR032C-A	0.971	0.457
YNR032W	0.605	0.225
YNR033W	0.552	0.169
YNR034W	0.693	0.226
YNR036C	0.912	0.287
YNR037C	0.930	0.294
YNR039C	0.695	0.264
YNR040W	0.698	0.247
YNR041C	0.819	0.234
YNR042W	0.784	0.348
YNR045W	0.970	0.275
YNR047W	0.561	0.402
YNR048W	0.734	0.327
YNR049C	0.764	0.313
YNR050C	0.673	0.259
YNR051C	0.388	0.081
YNR052C	0.270	0.111
YNR055C	0.642	0.233
YNR056C	0.721	0.222
YNR057C	0.692	0.214
YNR058W	0.651	0.204
YNR059W	0.509	0.170
YNR060W	0.668	0.202
YNR061C	0.677	0.240
YNR062C	0.651	0.236
YNR063W	0.699	0.261
YNR064C	0.671	0.251
YNR065C	0.697	0.266
YNR066C	0.714	0.252
YNR067C	0.673	0.195
YNR068C	0.725	0.248
YNR069C	0.727	0.287
YNR070W	0.483	0.198
YNR071C	0.692	0.239
YNR072W	0.725	0.267
YNR073C	0.632	0.224
YNR074C	0.524	0.150
YNR075W	0.687	0.290
YOL001W	0.376	0.148
YOL002C	0.611	0.223
YOL003C	0.643	0.224
YOL004W	0.830	0.285
YOL006C	0.760	0.224
YOL007C	0.584	0.209
YOL008W	0.614	0.200
YOL009C	0.527	0.219
YOL011W	0.669	0.255
YOL012C	0.150	0.089
YOL013C	0.670	0.295
YOL013W-A	0.593	0.210
YOL014W	0.651	0.253
YOL015W	0.637	0.211
YOL016C	0.540	0.057
YOL017W	0.626	0.222
YOL018C	0.275	0.135
YOL019W	0.603	0.207
YOL020W	0.614	0.241
YOL023W	0.707	0.275
YOL024W	0.594	0.237
YOL025W	0.812	0.439
YOL027C	0.623	0.246
YOL028C	0.634	0.232
YOL029C	0.661	0.212
YOL030W	0.599	0.177
YOL031C	0.671	0.220
YOL032W	0.691	0.228
YOL033W	0.837	0.293
YOL035C	0.603	0.228
YOL036W	0.582	0.242
YOL037C	0.627	0.266
YOL039W	0.529	0.170
