orf	het | growth (relative abundance in pooled culture) | YPD+ 0.1mM dinitrophenol (dinitrophenol [0.1 mM], YPD [standard]) | Steinmetz LM~Davis RW, 2002	hom | growth (relative abundance in pooled culture) | YPD+ 0.1mM dinitrophenol (dinitrophenol [0.1 mM], YPD [standard]) | Steinmetz LM~Davis RW, 2002	het | growth (relative abundance in pooled culture) | YPD+ 0.25mM dinitrophenol (dinitrophenol [0.25 mM]) | Steinmetz LM~Davis RW, 2002	hom | growth (relative abundance in pooled culture) | YPD+ 0.25mM dinitrophenol (dinitrophenol [0.25 mM]) | Steinmetz LM~Davis RW, 2002	het | growth (relative abundance in pooled culture) | YPDGE (ethanol [2%], glucose [0.1%], glycerol [3%]) | Steinmetz LM~Davis RW, 2002	hom | growth (relative abundance in pooled culture) | YPDGE (ethanol [2%], glucose [0.1%], glycerol [3%]) | Steinmetz LM~Davis RW, 2002	het | growth (relative abundance in pooled culture) | YPE (YPE [2%]) | Steinmetz LM~Davis RW, 2002	hom | growth (relative abundance in pooled culture) | YPE (YPE [2%]) | Steinmetz LM~Davis RW, 2002	het | growth (relative abundance in pooled culture) | YPG+ 0.1mM dinitrophenol (dinitrophenol [0.1 mM], YPG [3%]) | Steinmetz LM~Davis RW, 2002	hom | growth (relative abundance in pooled culture) | YPG+ 0.1mM dinitrophenol (dinitrophenol [0.1 mM], YPG [3%]) | Steinmetz LM~Davis RW, 2002	het | growth (relative abundance in pooled culture) | YPG+ 0.25mM dinitrophenol (dinitrophenol [0.25 mM], YPG [3%]) | Steinmetz LM~Davis RW, 2002	hom | growth (relative abundance in pooled culture) | YPG+ 0.25mM dinitrophenol (dinitrophenol [0.25 mM], YPG [3%]) | Steinmetz LM~Davis RW, 2002	het | growth (relative abundance in pooled culture) | YPG [3%] | Steinmetz LM~Davis RW, 2002	hom | growth (relative abundance in pooled culture) | YPG [3%] | Steinmetz LM~Davis RW, 2002	het | growth (relative abundance in pooled culture) | YPL (YPL [standard]) | Steinmetz LM~Davis RW, 2002	hom | growth (relative abundance in pooled culture) | YPL (YPL [standard]) | Steinmetz LM~Davis RW, 2002
YLR171W	-0.012399999999999967	-0.0029250000000000664	-0.014059999999999961	-0.016795000000000004	-0.02389999999999992	-0.014615000000000045	-0.03532000000000002	-0.05020000000000002	-0.024880000000000013	-0.016444999999999932	-0.01998000000000011	-0.024155000000000038	-0.011074999999999946	-0.03849999999999998	-0.016449999999999854	-0.028229999999999977
YLR172C	-0.00994000000000006	-0.0012699999999999934	-0.0005100000000000104	-0.015180000000000082	-0.007770000000000055	0.004790000000000072	0.0168299999999999	0.034480000000000066	-0.014799999999999924	0.010179999999999967	-0.01937000000000011	0.012010000000000076	-0.01144999999999996	0.014564999999999939	0.035479999999999956	0.01403500000000002
YLR173W	-0.04059999999999986	0.012499999999999956	-0.026659999999999906	-0.007070000000000132	0.014310000000000267	0.017059999999999853	0.033600000000000296	0.0398099999999999	-0.04495999999999989	-0.006250000000000089	-0.02784999999999982	0.004919999999999813	-0.012270000000000003	-0.000280000000000058	0.05924000000000018	0.02359
YLR174W	-0.02797000000000005	0.004690000000000083	-0.017309999999999937	-0.01882000000000006	0.008709999999999996	0.008104999999999807	-0.01558000000000015	-0.0016100000000000003	-0.027270000000000016	-0.0037000000000001476	-0.033420000000000005	0.006410000000000027	-0.009665000000000035	-0.01051000000000002	0.027619999999999978	-0.022390000000000132
YLR175W	-0.006125000000000158		-0.006565000000000154		0.0003449999999998177		-0.006135000000000224		-0.02024500000000007		-0.003925000000000178		-0.005230000000000068		0.01882499999999987	
YLR176C	-0.0024699999999999722	0.0035649999999999293	0.0048799999999999955	-0.009845000000000104	0.0005800000000000249	-0.023230000000000084	0.00821000000000005	-0.0024100000000001343	0.02379999999999982	-0.0152150000000002	-0.006309999999999927	-0.029485000000000094	0.004415000000000058	-0.03983000000000014	0.030040000000000067	-0.01564500000000002
YLR177W	-0.024785000000000057	0.00912999999999986	-0.018345000000000056	0.009999999999999787	0.012464999999999948	0.022769999999999957	0.04345500000000002	0.0496049999999999	-0.032255000000000145	0.01845999999999992	-0.04081500000000016	0.018909999999999982	-0.017215000000000202	0.0171349999999999	0.06422499999999998	0.03163999999999989
YLR178C	0.0038199999999999346	0.01533999999999991	-0.01823000000000008	-0.010250000000000092	-0.004430000000000045	-0.010790000000000077	-0.05180999999999991	-0.009360000000000035	-0.021109999999999962	0.0003799999999998249	-0.013209999999999944	0.011379999999999946	-0.012669999999999959	-0.005929999999999991	-0.02886999999999995	-0.017285000000000106
YLR179C	-0.038044999999999995	0.0018199999999999328	-0.013155000000000028	0.011079999999999979	-0.008715000000000028	0.016089999999999938	-0.007144999999999957	0.04685499999999987	-0.016555000000000097	0.019749999999999934	-0.020815000000000028	0.021589999999999776	-0.009099999999999886	0.011085000000000012	0.01130500000000012	0.022075000000000067
YLR180W	-0.0041999999999999815	-0.00456499999999993	-0.02124999999999999	-0.03891499999999992	-0.009199999999999875	-0.021334999999999993	-0.006559999999999899	-0.006970000000000032	-0.0292199999999998	-0.014834999999999932	-0.021909999999999985	-0.014414999999999956	-0.020424999999999915	-0.0006650000000000267	0.0030200000000000227	-0.018024999999999958
