ORF	hom | growth (relative abundance in pooled culture) | YPD+ 0.1mM dinitrophenol (dinitrophenol [0.1 mM], YPD [standard]) | Steinmetz LM~Davis RW, 2002	hom | growth (relative abundance in pooled culture) | YPD+ 0.25mM dinitrophenol (dinitrophenol [0.25 mM]) | Steinmetz LM~Davis RW, 2002	hom | growth (relative abundance in pooled culture) | YPDGE (ethanol [2%], glucose [0.1%], glycerol [3%]) | Steinmetz LM~Davis RW, 2002	hom | growth (relative abundance in pooled culture) | YPE (YPE [2%]) | Steinmetz LM~Davis RW, 2002	hom | growth (relative abundance in pooled culture) | YPG [3%] | Steinmetz LM~Davis RW, 2002	hom | growth (relative abundance in pooled culture) | YPG+ 0.1mM dinitrophenol (dinitrophenol [0.1 mM], YPG [3%]) | Steinmetz LM~Davis RW, 2002	hom | growth (relative abundance in pooled culture) | YPG+ 0.25mM dinitrophenol (dinitrophenol [0.25 mM], YPG [3%]) | Steinmetz LM~Davis RW, 2002	hom | growth (relative abundance in pooled culture) | YPL (YPL [standard]) | Steinmetz LM~Davis RW, 2002	het | growth (relative abundance in pooled culture) | YPD+ 0.1mM dinitrophenol (dinitrophenol [0.1 mM], YPD [standard]) | Steinmetz LM~Davis RW, 2002	het | growth (relative abundance in pooled culture) | YPD+ 0.25mM dinitrophenol (dinitrophenol [0.25 mM]) | Steinmetz LM~Davis RW, 2002	het | growth (relative abundance in pooled culture) | YPDGE (ethanol [2%], glucose [0.1%], glycerol [3%]) | Steinmetz LM~Davis RW, 2002	het | growth (relative abundance in pooled culture) | YPE (YPE [2%]) | Steinmetz LM~Davis RW, 2002	het | growth (relative abundance in pooled culture) | YPG [3%] | Steinmetz LM~Davis RW, 2002	het | growth (relative abundance in pooled culture) | YPG+ 0.1mM dinitrophenol (dinitrophenol [0.1 mM], YPG [3%]) | Steinmetz LM~Davis RW, 2002	het | growth (relative abundance in pooled culture) | YPG+ 0.25mM dinitrophenol (dinitrophenol [0.25 mM], YPG [3%]) | Steinmetz LM~Davis RW, 2002	het | growth (relative abundance in pooled culture) | YPL (YPL [standard]) | Steinmetz LM~Davis RW, 2002
YLR019W	-0.000	0.007	0.031	0.036	0.033	0.001	0.011	0.034	-0.014	-0.028	0.023	0.042	-0.002	0.001	-0.023	0.037
YLR020C	0.010	0.008	0.015	0.019	0.023	0.001	0.008	0.012	-0.016	-0.014	0.032	0.054	0.006	0.009	-0.012	0.036
YLR021W	0.008	-0.008	0.023	0.039	0.039	0.011	0.018	0.020	-0.013	-0.026	0.043	0.077	0.009	0.004	-0.013	0.057
YLR022C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.007	-0.018	0.017	0.044	0.003	0.011	-0.007	0.028
YLR023C	0.008	0.022	0.026	0.050	0.033	0.021	0.040	0.036	-0.006	-0.012	0.015	0.015	0.009	0.014	0.000	-0.001
YLR024C	0.008	0.004	0.011	0.027	-0.049	-0.046	-0.028	0.013	-0.025	-0.011	0.026	0.104	0.039	0.069	0.003	0.092
YLR025W	-0.006	-0.023	-0.032	-0.135	-0.094	-0.193	-0.185	0.010	-0.005	-0.017	0.027	0.040	-0.027	-0.027	-0.073	0.046
YLR026C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.015	-0.026	0.053	0.093	0.008	0.003	-0.018	0.084
YLR027C	0.013	0.003	-0.105	-0.277	-0.190	-0.267	-0.291	-0.063	-0.006	-0.018	0.034	0.033	-0.004	0.008	-0.011	0.015
YLR028C	-0.002	0.018	0.030	0.048	0.046	0.003	0.012	0.037	-0.031	-0.011	0.040	0.075	-0.008	-0.009	-0.015	0.050
YLR029C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.041	-0.024	0.070	0.131	0.033	0.002	0.007	0.099
YLR030W	-0.001	0.007	0.020	0.037	0.022	0.009	0.004	0.028	-0.010	-0.020	0.022	0.047	-0.003	-0.001	-0.023	0.055
YLR031W	0.003	-0.008	0.010	0.015	0.008	0.005	0.010	0.008	-0.002	-0.004	0.015	-0.004	-0.015	-0.013	-0.013	-0.041
YLR032W	0.012	0.012	0.023	0.079	0.049	0.051	0.051	0.060	-0.015	-0.001	0.029	0.068	0.024	0.019	-0.002	0.080
YLR033W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.024	-0.022	0.030	0.073	-0.005	-0.016	-0.024	0.047
YLR034C	0.009	0.015	0.018	0.033	0.017	0.030	0.035	0.022	-0.013	-0.022	0.019	-0.001	-0.013	-0.024	-0.009	-0.024
YLR035C	0.009	0.004	0.010	0.017	0.013	0.008	0.009	0.013	0.006	-0.008	0.016	0.003	-0.006	-0.011	-0.002	0.001
YLR036C	0.005	0.002	0.010	0.017	0.012	0.000	0.004	0.015	0.003	-0.011	0.014	0.004	0.003	0.001	-0.006	-0.019
YLR037C	0.019	0.011	0.007	0.023	0.009	0.014	0.015	0.022	0.008	-0.013	0.016	0.029	0.018	0.004	0.003	0.024
YLR038C	0.033	-0.008	-0.064	-0.477	-0.427	-0.523	-0.594	-0.408	-0.018	-0.038	-0.019	-0.017	-0.033	-0.031	-0.040	-0.024
YLR039C	0.012	-0.003	-0.038	-0.091	-0.082	-0.065	-0.072	-0.018	-0.017	-0.016	0.014	0.029	-0.025	-0.032	-0.016	0.022
YLR040C	0.009	0.009	0.016	0.029	0.015	0.013	0.014	0.023	0.001	0.000	0.019	0.009	-0.001	-0.014	-0.001	0.010
YLR041W	0.014	0.013	0.004	0.009	0.011	0.010	0.008	0.006	0.006	-0.003	-0.016	-0.038	-0.009	-0.002	0.004	-0.035
YLR042C	0.007	0.010	0.007	0.003	0.006	0.001	0.002	-0.003	-0.003	-0.007	0.002	-0.035	-0.007	-0.007	-0.005	-0.038
YLR043C	0.013	0.009	0.008	0.016	-0.004	0.003	0.003	0.003	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YLR044C	0.014	-0.012	0.000	-0.023	-0.000	0.008	0.005	-0.006	0.010	-0.021	-0.009	-0.019	-0.008	-0.008	-0.009	-0.016
YLR045C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.012	-0.020	-0.004	-0.042	-0.012	-0.016	-0.010	-0.040
YLR046C	0.001	0.010	0.029	0.048	0.027	0.011	0.010	0.039	-0.011	-0.007	0.015	0.027	0.005	0.001	-0.026	0.030
YLR047C	0.015	0.023	0.007	0.020	0.014	0.008	0.011	0.020	-0.005	-0.001	0.001	0.002	-0.012	-0.024	0.006	0.007
YLR048W	-0.006	-0.007	0.073	0.181	0.213	0.203	0.186	0.194	0.019	-0.030	-0.012	0.008	0.057	0.046	0.047	0.001
YLR049C	0.027	0.018	0.014	0.008	0.006	0.013	0.031	0.012	0.007	-0.010	-0.010	-0.043	0.008	-0.003	0.004	-0.030
YLR050C	0.004	-0.002	0.011	0.024	0.014	0.014	0.020	0.020	0.002	-0.012	0.007	0.005	-0.000	-0.007	-0.018	-0.003
YLR051C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.023	-0.052	0.004	-0.035	-0.024	-0.043	-0.036	-0.019
YLR052W	-0.006	0.018	0.126	0.192	0.141	0.182	0.173	0.201	-0.010	0.011	-0.020	-0.062	-0.015	0.005	-0.024	-0.057
YLR053C	0.014	0.018	0.018	0.019	0.022	0.013	0.013	0.017	0.012	-0.012	-0.003	-0.027	-0.003	-0.004	-0.007	-0.018
YLR054C	0.026	0.009	0.029	0.047	0.024	0.018	0.034	0.041	-0.012	-0.018	0.013	0.105	0.041	0.043	0.039	0.058
YLR055C	0.003	-0.034	-0.015	-0.079	-0.084	-0.093	-0.101	0.005	0.005	-0.010	-0.008	-0.019	0.015	0.035	0.023	-0.025
YLR056W	0.030	-0.001	-0.019	-0.081	-0.104	-0.093	-0.153	-0.007	-0.003	-0.026	-0.017	-0.051	-0.024	-0.020	-0.036	-0.045
YLR057W	0.010	-0.009	0.004	-0.012	0.012	0.009	0.008	0.001	-0.008	-0.028	-0.000	-0.058	0.000	0.004	-0.027	-0.042
YLR058C	0.018	0.012	0.008	0.002	0.008	0.017	0.011	0.009	0.016	0.003	-0.018	-0.079	-0.008	-0.005	0.006	-0.080
YLR059C	0.017	-0.011	-0.026	-0.115	-0.064	-0.094	-0.112	-0.088	0.010	-0.008	-0.032	-0.078	-0.005	0.007	-0.016	-0.061
YLR060W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.028	-0.009	0.005	-0.028	0.019	-0.005	-0.007	-0.029
YLR061W	-0.099	-0.120	0.005	0.057	0.005	-0.043	-0.063	0.122	0.015	-0.013	0.011	0.045	0.101	0.115	0.051	0.047
YLR062C	0.018	0.030	0.123	0.159	0.061	0.113	0.137	0.180	0.018	0.000	0.030	0.126	0.062	0.096	0.029	0.116
YLR063W	0.021	0.004	-0.002	-0.024	0.004	0.018	0.018	-0.015	0.022	-0.018	-0.006	-0.061	0.008	0.004	-0.002	-0.056
YLR064W	0.011	0.010	0.013	0.018	0.022	0.019	0.017	0.006	0.020	-0.010	-0.017	-0.055	0.008	0.012	0.000	-0.056
YLR065C	-0.030	-0.034	0.028	-0.010	-0.014	-0.052	-0.045	0.001	-0.002	-0.040	0.002	-0.001	0.010	0.013	-0.014	-0.010
YLR067C	0.041	-0.048	-0.036	-0.209	-0.095	-0.262	-0.380	-0.041	-0.007	-0.021	-0.004	-0.028	-0.020	-0.030	-0.053	-0.002
YLR068W	0.028	-0.007	0.117	0.229	0.227	0.244	0.218	0.230	0.010	-0.012	-0.014	-0.038	0.005	-0.012	-0.001	-0.026
YLR069C	0.041	0.010	-0.028	-0.166	-0.132	-0.321	-0.321	-0.107	0.000	-0.010	-0.011	-0.061	-0.015	-0.029	-0.027	-0.066
YLR070C	0.004	0.006	0.026	0.049	0.016	0.019	0.017	0.042	-0.014	-0.023	0.029	0.057	-0.015	-0.009	-0.040	0.054
YLR071C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.027	0.076	-0.024	0.082	0.047	0.116	0.071	-0.041
YLR072W	0.010	-0.006	0.010	0.001	0.006	0.018	0.014	0.011	0.008	-0.011	-0.004	-0.026	-0.005	0.001	0.001	-0.019
YLR073C	0.002	0.031	0.045	0.112	0.048	0.039	0.046	0.081	-0.013	-0.029	-0.014	0.128	0.025	0.034	0.021	-0.018
YLR074C	-0.017	-0.031	0.068	0.188	0.194	0.142	0.168	0.167	-0.006	0.002	0.013	0.014	0.039	0.034	0.054	0.005
YLR076C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.002	0.014	-0.031	0.020	0.084	0.075	0.062	0.013
YLR077W	0.020	0.024	0.009	-0.096	-0.124	-0.161	-0.242	-0.032	0.004	-0.019	0.003	-0.016	0.010	-0.002	-0.025	-0.007
YLR078C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.010	0.001	0.006	-0.012	0.012	0.018	0.001	-0.012
YLR079W	0.022	-0.016	-0.003	-0.082	-0.058	-0.070	-0.104	-0.026	0.006	-0.022	-0.006	-0.013	-0.000	-0.014	-0.015	-0.013
YLR080W	0.026	0.013	0.000	-0.011	-0.022	0.001	-0.003	0.010	0.012	0.015	-0.006	-0.064	-0.001	-0.011	0.015	-0.047
YLR081W	0.015	0.017	0.024	0.038	0.018	0.033	0.030	0.033	-0.012	-0.010	0.004	-0.028	-0.010	-0.013	-0.009	-0.028
YLR082C	0.008	-0.003	0.009	0.008	0.002	0.013	0.012	0.005	0.019	-0.009	0.010	-0.001	0.006	0.004	-0.006	-0.008
YLR083C	0.024	0.013	-0.056	-0.325	-0.296	-0.371	-0.389	-0.314	0.006	0.003	0.003	0.060	0.016	0.029	-0.008	0.030
YLR084C	-0.004	0.023	0.033	0.096	0.022	0.020	0.028	0.064	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YLR085C	0.002	-0.013	0.028	0.011	0.068	0.014	0.006	0.043	-0.020	-0.014	0.026	0.021	-0.002	-0.015	-0.022	0.020
YLR086W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.003	-0.036	0.024	-0.009	-0.006	0.001	-0.019	0.025
YLR087C	0.012	0.020	-0.006	-0.172	-0.119	-0.136	-0.253	-0.057	-0.002	-0.006	0.026	0.016	0.000	-0.012	0.002	0.012
YLR088W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.004	0.053	0.002	NaN	NaN	-0.032
YLR089C	0.009	-0.012	0.032	-0.004	-0.057	-0.248	-0.269	0.015	0.010	-0.017	0.014	-0.013	0.013	-0.000	-0.010	-0.002
YLR090W	0.008	0.012	0.029	0.056	0.028	0.031	0.030	0.049	-0.028	-0.021	0.035	0.045	0.021	0.025	-0.028	0.086
YLR091W	-0.018	-0.018	-0.042	-0.232	-0.215	-0.348	-0.423	-0.120	-0.020	-0.013	0.018	0.021	0.002	-0.003	-0.007	0.037
YLR092W	0.002	-0.018	0.005	-0.003	0.005	0.006	0.007	0.004	-0.004	-0.014	0.006	-0.045	0.003	-0.018	-0.031	-0.047
YLR093C	-0.001	-0.023	0.000	-0.035	-0.012	0.016	-0.002	-0.016	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YLR094C	0.001	-0.017	0.005	0.004	0.004	0.009	0.012	0.010	-0.045	-0.038	-0.011	-0.040	-0.002	-0.023	-0.021	-0.007
YLR095C	-0.005	-0.002	0.017	0.026	0.018	0.006	0.004	0.022	-0.004	-0.035	0.023	0.001	0.003	-0.003	-0.014	0.028
YLR096W	-0.000	0.008	0.017	0.029	0.011	0.003	-0.000	0.018	-0.016	-0.014	0.015	-0.016	-0.008	-0.016	-0.021	0.020
YLR097C	0.013	0.008	0.007	0.026	0.015	0.023	0.017	0.028	-0.005	-0.009	-0.010	-0.048	-0.006	-0.012	-0.005	-0.015
YLR098C	-0.002	0.007	0.021	0.050	0.024	0.030	0.033	0.030	-0.013	-0.002	0.007	0.009	0.008	-0.000	-0.012	0.024
YLR099C	0.005	-0.016	0.008	-0.002	0.002	0.001	0.002	-0.004	-0.001	-0.019	-0.009	-0.052	-0.007	-0.013	-0.040	-0.036
YLR100W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.021	-0.010	-0.014	-0.015	-0.008	0.011	-0.024	-0.023
YLR101C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.015	-0.007	-0.012	-0.034	-0.005	-0.007	-0.001	-0.034
YLR102C	0.001	-0.031	-0.009	-0.016	0.018	0.028	0.017	-0.005	0.041	-0.009	-0.010	-0.056	0.001	0.008	0.005	-0.047
YLR103C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.015	-0.014	0.014	0.002	-0.008	-0.018	-0.019	0.001
YLR104W	0.013	0.004	-0.010	-0.022	-0.001	0.009	0.006	-0.014	0.019	-0.011	-0.017	-0.034	-0.002	0.009	0.006	-0.025
YLR106C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.008	-0.003	0.002	-0.007	-0.017	-0.016	-0.002	-0.003
YLR107W	0.019	-0.016	0.004	-0.014	-0.000	-0.005	0.011	-0.018	-0.020	-0.018	-0.004	-0.038	-0.023	-0.027	-0.021	-0.034
YLR108C	0.003	-0.012	-0.004	-0.016	0.002	0.004	0.007	-0.011	0.001	-0.017	-0.008	-0.010	-0.007	-0.006	-0.025	0.015
YLR109W	0.003	0.004	0.027	0.039	0.022	0.016	0.012	0.038	0.016	-0.010	-0.006	-0.057	-0.012	-0.000	-0.011	0.014
YLR110C	0.013	0.004	-0.016	0.103	0.082	0.096	0.102	0.100	-0.004	-0.019	-0.018	-0.039	-0.038	-0.024	-0.041	-0.035
YLR111W	-0.006	-0.005	0.084	0.084	0.041	0.072	0.100	0.083	0.014	0.013	-0.008	-0.065	-0.017	-0.010	0.006	-0.064
YLR112W	0.012	0.016	0.015	0.027	0.020	0.016	0.015	0.033	0.007	-0.011	0.001	0.009	-0.001	-0.003	-0.006	0.010
YLR113W	0.001	0.014	0.040	0.066	0.049	0.031	0.037	0.058	-0.022	-0.005	0.031	0.085	0.005	0.035	-0.027	0.085
YLR114C	0.011	0.011	0.024	0.043	0.020	0.019	0.017	0.040	-0.014	-0.015	0.017	0.061	-0.007	0.010	-0.027	0.068
YLR115W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.011	-0.019	-0.002	-0.014	0.002	0.011	-0.004	-0.000
YLR116W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.001	-0.007	NaN	NaN	0.028	0.112	0.024	NaN
YLR117C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.049	-0.003	-0.006	0.080	0.041	0.055	0.037	0.029
YLR118C	0.008	0.018	0.024	0.035	0.022	0.021	0.021	0.025	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YLR119W	0.006	-0.014	-0.059	-0.102	-0.063	-0.102	-0.094	-0.017	0.005	-0.016	0.014	-0.002	-0.004	0.016	-0.030	0.009
YLR120C	-0.002	0.012	0.027	0.065	0.017	0.015	0.021	0.047	-0.029	0.017	0.035	0.091	0.013	0.036	-0.005	0.115
YLR121C	0.004	-0.012	-0.001	-0.011	-0.010	-0.001	0.007	-0.002	0.035	0.025	-0.023	-0.067	-0.002	0.015	0.005	-0.043
YLR122C	-0.011	-0.002	0.008	0.019	-0.003	-0.000	0.007	0.010	-0.038	-0.006	0.016	0.068	0.004	0.001	-0.039	0.045
YLR123C	-0.012	-0.000	0.018	0.027	0.016	0.003	-0.002	0.021	-0.018	-0.006	0.012	0.012	-0.014	-0.012	-0.010	0.022
YLR124W	-0.004	0.003	0.009	0.020	0.001	0.013	0.009	0.010	0.024	-0.010	-0.022	0.068	0.036	0.070	0.036	0.087
YLR125W	-0.000	0.002	0.019	0.033	-0.004	-0.002	0.002	0.020	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YLR126C	-0.012	-0.018	-0.008	0.003	-0.006	0.000	-0.008	0.010	0.001	-0.013	-0.005	0.007	-0.009	-0.018	-0.014	0.011
YLR127C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.023	-0.033	-0.026	-0.056	-0.013	-0.019	-0.008	-0.053
YLR128W	-0.015	-0.028	-0.018	-0.026	-0.007	0.002	0.010	-0.021	0.060	0.028	-0.008	-0.062	-0.016	0.002	-0.002	-0.067
YLR129W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.001	0.009	-0.017	0.012	0.024	0.022	0.044	0.031
YLR130C	-0.000	-0.010	-0.016	-0.012	-0.011	0.000	0.001	0.005	0.004	-0.002	-0.012	-0.007	-0.007	-0.015	0.001	0.010
YLR131C	0.044	-0.171	0.000	0.104	0.030	0.078	0.071	0.056	0.005	0.029	0.001	0.011	-0.026	-0.018	0.006	0.016
YLR132C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.007	0.012	-0.000	0.002	-0.019	-0.006	0.003	0.033
YLR133W	0.027	0.010	0.024	0.089	0.047	0.035	0.044	0.064	-0.006	-0.017	-0.008	0.066	0.032	0.047	0.011	0.060
YLR134W	0.009	0.007	0.000	0.001	-0.005	0.003	0.002	-0.009	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YLR135W	0.003	-0.017	-0.016	-0.011	-0.005	-0.001	0.003	-0.016	0.022	-0.004	-0.020	-0.018	-0.008	-0.011	-0.017	-0.028
YLR136C	-0.005	-0.005	0.023	0.056	0.033	0.012	0.015	0.038	-0.035	-0.006	0.013	0.079	-0.004	-0.014	-0.017	0.065
YLR137W	0.011	-0.010	0.004	0.017	0.011	0.010	0.005	0.010	-0.007	-0.016	-0.004	0.018	-0.015	-0.021	-0.014	0.008
YLR138W	0.007	-0.026	0.004	0.010	0.018	0.031	0.020	0.036	0.014	-0.013	-0.017	-0.005	0.001	0.004	-0.019	-0.015
YLR139C	0.022	-0.015	-0.100	-0.255	-0.232	-0.283	-0.302	-0.161	-0.001	0.004	-0.041	-0.099	-0.042	-0.018	-0.027	-0.113
YLR140W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.025	-0.003	0.014	0.066	-0.001	-0.007	-0.023	0.059
YLR141W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.008	-0.004	-0.017	-0.014	-0.005	-0.013	-0.008	-0.017
YLR142W	0.010	-0.008	-0.007	-0.010	-0.010	-0.012	-0.007	-0.004	0.003	-0.018	-0.023	-0.009	-0.005	-0.020	-0.008	-0.021
YLR143W	0.004	-0.007	0.026	0.081	0.063	0.049	0.052	0.060	-0.025	-0.014	-0.017	0.014	-0.012	-0.015	-0.021	0.011
YLR144C	0.010	-0.008	-0.015	-0.014	-0.011	0.011	0.018	-0.019	-0.000	-0.003	-0.010	0.037	0.028	0.048	0.039	0.033
YLR145W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.007	0.009	-0.017	-0.049	0.002	-0.008	0.014	-0.045
YLR146C	0.002	-0.016	0.013	0.022	0.018	0.004	0.008	0.011	-0.003	-0.019	0.005	0.044	-0.007	-0.002	-0.030	0.013
YLR147C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.014	-0.019	-0.008	-0.035	0.002	-0.002	0.006	-0.036
YLR148W	0.027	-0.103	-0.157	-0.218	-0.153	-0.289	-0.266	-0.151	0.017	-0.003	-0.011	-0.016	-0.005	-0.008	-0.015	0.001
YLR149C	-0.000	-0.013	-0.086	-0.132	-0.112	-0.071	-0.181	-0.085	-0.009	-0.010	-0.013	-0.006	-0.010	-0.027	-0.006	-0.001
YLR150W	0.004	-0.009	-0.033	-0.061	-0.036	-0.035	-0.021	-0.027	0.010	0.011	-0.017	-0.029	0.008	0.009	-0.007	-0.009
YLR151C	0.017	-0.012	-0.015	-0.009	-0.002	0.004	0.015	-0.006	0.013	-0.006	-0.033	-0.024	0.002	0.005	-0.003	-0.020
YLR152C	0.017	-0.014	0.017	0.031	0.023	0.011	0.019	0.021	-0.004	-0.021	-0.026	-0.010	-0.007	-0.012	-0.015	-0.011
YLR153C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.012	-0.013	0.001	0.029	0.016	0.021	0.007	0.028
YLR154C	0.007	-0.002	0.008	0.026	0.018	0.016	0.018	0.019	-0.016	0.006	-0.005	0.019	-0.005	-0.000	0.017	0.021
YLR163C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.011	0.002	-0.025	-0.046	-0.002	-0.018	0.009	-0.047
YLR164W	0.008	-0.025	-0.012	-0.015	-0.010	-0.004	0.001	-0.019	0.015	-0.006	-0.030	-0.056	-0.009	-0.023	0.004	-0.038
YLR165C	0.011	-0.020	-0.009	-0.032	-0.012	0.000	-0.009	-0.030	0.023	-0.023	-0.043	-0.076	-0.012	-0.026	-0.013	-0.084
YLR166C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.011	-0.020	-0.011	-0.021	-0.026	-0.035	-0.032	-0.012
YLR167W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.004	-0.016	-0.007	0.026	0.024	0.011	0.009	0.046
YLR168C	0.006	-0.017	-0.032	-0.144	-0.070	-0.128	-0.133	-0.107	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YLR169W	0.017	-0.011	-0.010	-0.024	-0.028	-0.040	-0.026	-0.011	-0.019	-0.008	-0.020	-0.014	-0.014	-0.029	-0.014	-0.001
YLR170C	0.010	-0.003	-0.007	-0.008	-0.028	-0.013	-0.011	0.006	-0.014	-0.009	-0.016	0.014	-0.011	-0.018	-0.013	0.020
YLR171W	-0.003	-0.017	-0.015	-0.050	-0.038	-0.016	-0.024	-0.028	-0.012	-0.014	-0.024	-0.035	-0.011	-0.025	-0.020	-0.016
YLR172C	-0.001	-0.015	0.005	0.034	0.015	0.010	0.012	0.014	-0.010	-0.001	-0.008	0.017	-0.011	-0.015	-0.019	0.035
YLR173W	0.012	-0.007	0.017	0.040	-0.000	-0.006	0.005	0.024	-0.041	-0.027	0.014	0.034	-0.012	-0.045	-0.028	0.059
YLR174W	0.005	-0.019	0.008	-0.002	-0.011	-0.004	0.006	-0.022	-0.028	-0.017	0.009	-0.016	-0.010	-0.027	-0.033	0.028
YLR175W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.006	-0.007	0.000	-0.006	-0.005	-0.020	-0.004	0.019
YLR176C	0.004	-0.010	-0.023	-0.002	-0.040	-0.015	-0.029	-0.016	-0.002	0.005	0.001	0.008	0.004	0.024	-0.006	0.030
YLR177W	0.009	0.010	0.023	0.050	0.017	0.018	0.019	0.032	-0.025	-0.018	0.012	0.043	-0.017	-0.032	-0.041	0.064
YLR178C	0.015	-0.010	-0.011	-0.009	-0.006	0.000	0.011	-0.017	0.004	-0.018	-0.004	-0.052	-0.013	-0.021	-0.013	-0.029
YLR179C	0.002	0.011	0.016	0.047	0.011	0.020	0.022	0.022	-0.038	-0.013	-0.009	-0.007	-0.009	-0.017	-0.021	0.011
YLR180W	-0.005	-0.039	-0.021	-0.007	-0.001	-0.015	-0.014	-0.018	-0.004	-0.021	-0.009	-0.007	-0.020	-0.029	-0.022	0.003
YLR181C	0.011	-0.002	-0.011	0.006	-0.011	-0.015	0.000	-0.009	-0.010	-0.028	-0.017	-0.026	-0.014	-0.038	-0.025	-0.003
YLR182W	0.038	0.025	-0.025	-0.086	-0.117	-0.063	-0.030	-0.044	0.001	-0.005	-0.010	0.006	-0.005	-0.008	-0.009	0.006
YLR183C	-0.005	-0.018	-0.001	0.004	-0.008	-0.016	-0.023	-0.009	-0.018	-0.030	-0.005	0.017	-0.020	-0.033	-0.039	0.013
YLR184W	0.026	-0.017	0.073	0.222	0.143	0.123	0.102	0.197	-0.022	0.001	0.027	0.095	0.044	0.027	0.015	0.112
YLR185W	-0.023	0.000	0.045	0.204	0.179	0.123	0.140	0.204	-0.003	-0.028	-0.004	0.096	0.040	0.035	0.017	0.104
YLR186W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.012	-0.022	0.011	0.048	-0.002	0.023	-0.018	0.049
YLR187W	0.000	-0.017	0.009	0.016	0.007	0.003	-0.000	-0.000	0.012	-0.026	-0.001	0.002	-0.019	-0.003	-0.035	0.002
YLR188W	-0.005	0.004	0.005	0.036	0.003	0.001	0.004	0.013	-0.012	-0.015	0.002	0.030	-0.011	-0.024	-0.019	0.029
YLR189C	0.010	-0.014	-0.004	-0.006	-0.005	-0.000	0.003	-0.009	0.018	-0.012	-0.021	-0.026	-0.012	-0.005	-0.018	-0.012
YLR190W	0.012	-0.027	0.018	0.004	0.003	0.003	-0.010	0.012	0.024	0.001	-0.001	0.019	0.004	0.015	-0.012	0.036
YLR191W	0.039	0.006	0.011	0.035	0.038	0.039	0.052	0.057	-0.016	-0.027	-0.013	0.019	-0.010	-0.025	-0.023	0.024
YLR192C	0.026	-0.028	0.037	0.066	0.037	-0.005	-0.022	0.093	-0.005	-0.037	0.014	-0.019	0.008	-0.006	-0.014	-0.008
YLR193C	0.023	0.027	0.073	-0.019	0.012	-0.048	-0.057	0.002	0.008	-0.021	0.004	0.010	0.004	0.007	-0.022	0.020
YLR194C	0.011	-0.021	-0.019	-0.019	-0.015	0.012	-0.003	-0.015	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YLR195C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.002	0.012	0.012	0.089	0.036	0.047	0.039	0.090
YLR196W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.008	-0.010	0.001	0.046	0.005	0.008	-0.004	0.050
YLR197W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.000	0.004	0.040	0.100	0.072	0.079	0.072	0.109
