orf	hap a (post-SGA) | growth (colony size) | expression of GFP [prTDH3] | SC - Ura | Kintaka R~Moriya H, 2020	hap a (post-SGA) | growth (colony size) | expression of GFP [prTDH3] | SC - Leu, Ura | Kintaka R~Moriya H, 2020	hap a (post-SGA) | growth (colony size) | expression of tGFP [prPYK1] | SC - Ura | Kintaka R~Moriya H, 2020	hap a (post-SGA) | growth (colony size) | expression of tGFP [prPYK1] | SC - Leu, Ura | Kintaka R~Moriya H, 2020	hap a (post-SGA) | growth (colony size) | expression of NES-tGFP [prPYK1] | SC - Ura | Kintaka R~Moriya H, 2020	hap a (post-SGA) | growth (colony size) | expression of NES-tGFP [prPYK1] | SC - Leu, Ura | Kintaka R~Moriya H, 2020	hap a (post-SGA) | expression of GFP | expression of GFP [prTDH3] | SC - Ura | Kintaka R~Moriya H, 2020	hap a (post-SGA) | expression of GFP | expression of NES-tGFP [prPYK1] | SC - Ura | Kintaka R~Moriya H, 2020	hap a (post-SGA) | expression of GFP | expression of tGFP [prPYK1] | SC - Ura | Kintaka R~Moriya H, 2020
YBL089W	0.045919999999999996	0.00425	0.033575	-0.030510000000000002	-0.04065	0.02375	0.9497586273264683	0.9	0.9
YBL091C	0.09298000000000001	0.01641	-0.00155	-0.03223	0.017305	0.019835	1.0618022886854688	1.15	1.1
YBL091C-A	0.06737	-0.029855	-0.0247	-0.08317	-0.022485000000000005	-0.04305	0.9998138800599949	1.05	1.0
YBL094C	-0.136015	-0.09671000000000002	-0.09931999999999999	0.12995	-0.09815	-0.044090000000000004	0.8743827907751	0.5	0.55
YBL095W	0.011940000000000001	0.05729	-0.01854	0.070555	-0.023015	0.037684999999999996	1.3538940791060339	1.25	1.2999999999999998
YBL096C	0.007055	-0.0304	-0.04721	-0.074965	-0.06681999999999999	-0.047630000000000006	1.169884889655228	1.2	1.2
YBL098W	0.08092	-0.007905	0.01787	-0.06992	0.041190000000000004	-0.024685	1.2147469988240913	1.35	1.3
YBL100C	-0.014535	-0.06092	0.0021849999999999994	-0.044704999999999995	0.00417	-0.02501	1.2045862567868686	1.2000000000000002	1.15
YBL101C	0.034714999999999996	-0.01524	0.092865	0.067395	0.034030000000000005	0.011395	1.1012501086075404	1.2000000000000002	1.2
YBL102W	0.00635	-0.023164999999999998	-0.09243000000000001	-0.037660000000000006	-0.04628499999999999	-0.052245	1.1381157706740317	1.2	1.15
YBL103C	0.009635	-0.05814	0.0150425	-0.0667875	-0.0424275	-0.0288925	0.8347324694276654	0.8	0.7
YBL104C	0.04879	-0.03088	0.09509000000000001	0.0017350000000000004	0.093775	0.030205	0.978706353119484	1.0	1.0
YBL106C	0.017595	0.07497000000000001	0.017570000000000002	-0.01344	-0.00817	-0.021745	0.9985185308844517	1.05	1.05
YBL107C	-0.02995	0.017555	-0.02195	0.08485500000000001	-0.0010500000000000002	0.046884999999999996	0.9897986346955657	1.0	0.85
YBR001C	-0.050935	-0.06436	-0.02854	0.015645000000000003	-0.011815	0.05759	1.0260556126977352	1.35	1.05
YBR005W	-0.04396	-0.11823499999999999	-0.0533	-0.21294	-0.054329999999999996	-0.05919	1.2503813697707833	1.2000000000000002	1.2000000000000002
YBR006W	0.025064999999999997	-0.044585	-0.029724999999999994	-0.062525	-0.05363	-0.02624	1.1823617422373114	1.15	1.35
YBR007C	0.03696	-0.072435	-0.051925	-0.10761000000000001	-0.049595	-0.046900000000000004	1.1679312528659571	1.45	1.5
YBR008C	0.02442	-0.014679999999999999	0.015185	0.0011850000000000055	-0.035495	0.013325	1.140866799720858	1.2999999999999998	1.25
YBR009C	-0.05917	-0.14516	0.028454999999999998	-0.042845	-0.05701	-0.150415	0.9343269315596483	0.9	1.1
YBR010W	0.022649999999999997	-0.00451	-0.025325	0.04155	-0.031020000000000002	-0.080775	0.9628614423747532	1.0	1.0
YBR012C	0.023289999999999998	-0.091735	-0.017335000000000003	-0.014515	-0.0020550000000000013	-0.006489999999999996	1.0065825689093102	1.0	1.0
YBR013C	-7.500000000000041e-05	0.03143	-0.037205	0.14673999999999998	-0.011984999999999999	0.078075	0.9893943539033692	1.15	1.1
YBR014C	0.052845	-0.045094999999999996	0.08015	0.016345000000000002	0.054285	-0.025415	1.0284099047972504	1.0	1.1
YBR015C	0.020005	-0.15972999999999998	-0.026715000000000003	-0.013755	-0.07245	-0.13855	0.9724714998669826	0.95	0.9
YBR016W	0.042725	-0.026975	0.024370000000000003	-0.07245	0.023630000000000005	-0.027115	1.119636814090161	1.2000000000000002	1.2
