orf	hap a | biofilm formation | standard | YPD | Vandenbosch D~Coenye T, 2013	hap a | biofilm formation | miconazole [1 mg/ml] | YPD | Vandenbosch D~Coenye T, 2013
YDR077W	0.88	1.09
YDR078C	0.67	0.95
YDR079C-A	0.88	1.01
YDR079W	0.81	1.14
YDR080W	0.98	1.39
YDR083W	0.87	1.25
YDR084C	1.04	0.73
YDR085C	0.9	1.23
YDR089W	0.79	1.91
YDR090C	0.86	1.16
YDR092W	1.11	0.53
YDR093W	0.91	1.07
YDR094W	0.89	1.1
YDR095C	0.89	1.11
YDR096W	0.97	1.1
YDR097C	0.98	0.84
YDR098C	0.92	0.86
YDR099W	0.82	0.87
YDR100W	0.96	1.44
YDR101C	0.88	0.85
YDR102C	0.87	1.06
YDR103W	0.98	0.79
YDR104C	0.9	0.98
YDR105C	1.01	1.34
YDR107C	0.78	1.38
YDR108W	0.9	1.14
YDR109C	0.99	1.25
YDR110W	0.9	1.13
YDR111C	1.13	0.94
YDR112W	1.24	1.03
YDR114C	0.94	1.21
YDR115W	0.93	1.33
YDR116C	0.92	0.99
YDR117C	1.02	1.06
YDR119W	1.04	0.86
YDR120C	1.01	0.95
YDR121W	0.84	1.56
YDR122W	1.03	1.19
YDR123C	0.96	1.1
YDR124W	1.12	1.01
YDR125C	0.96	1.07
YDR126W	0.97	1.16
YDR127W	1.11	0.89
YDR128W	0.87	1.1
YDR129C	0.74	0.91
YDR130C	1.04	0.8
YDR131C	0.91	1.04
YDR132C	0.88	1.25
YDR133C	0.99	1.11
YDR134C	0.91	0.95
YDR135C	0.83	1.12
YDR136C	1.14	1.08
YDR137W	0.98	1.07
YDR138W	0.88	0.48
YDR139C	1.08	1.12
YDR140W	0.91	0.93
YDR142C	1.01	1.14
YDR143C	1.21	0.33
YDR144C	1.04	1.15
YDR146C	0.91	1.3
YDR147W	1.07	1.04
YDR148C	0.81	1.14
YDR149C	0.81	0.99
YDR150W	0.8	1.19
YDR151C	0.9	0.88
YDR152W	0.88	1.35
YDR153C	0.88	1.16
YDR154C	1.04	0.96
YDR155C	0.93	1.17
YDR156W	1.09	1.02
YDR157W	0.97	1.23
YDR158W	1.07	1.06
YDR159W	0.9	1.36
YDR161W	0.91	1.13
YDR162C	1.04	1.17
YDR163W	1.12	0.79
YDR165W	1.1	0.95
YDR169C	1.15	0.87
YDR169C-A	1.06	0.96
YDR171W	1.18	1.09
YDR173C	0.82	1.24
YDR174W	0.95	1.33
YDR175C	0.91	1.25
YDR176W	0.71	1.65
YDR178W	0.94	0.98
YDR179C	1.11	0.75
YDR179W-A	1.09	1.01
YDR181C	1.12	1.39
YDR182W-A	0.97	1.12
YDR183W	0.86	0.86
YDR184C	1.19	1.2
YDR185C	1.27	0.9
YDR186C	0.81	0.86
YDR191W	1.22	1.16
YDR192C	1.09	1.14
YDR193W	1.03	1.06
YDR194C	0.75	1.49
YDR194W-A	0.78	1.03
YDR195W	0.85	0.85
YDR197W	0.72	1.48
YDR198C	0.82	1.12
YDR199W	1.01	0.93
YDR200C	1.02	0.81
YDR202C	1.01	1.21
YDR203W	0.85	1.56
YDR204W	0.76	0.47
YDR205W	0.93	1.43
YDR206W	0.94	1.24
YDR207C	1.08	1.03
YDR209C	0.87	2.59
YDR210W	1.1	2.24
YDR213W	0.87	1.24
YDR214W	0.86	1.18
YDR215C	0.94	1.07
YDR216W	1.09	1.04
YDR217C	1.01	1.32
YDR218C	0.93	1.37
YDR219C	0.92	1.11
YDR220C	0.94	0.89
YDR221W	0.87	1.08
YDR222W	0.95	1.01
YDR223W	0.91	1.1
YDR225W	1.06	1.22
YDR226W	0.93	0.82
YDR227W	1.06	0.81
YDR229W	1.01	1.13
YDR230W	0.72	1.28
YDR231C	0.73	1.2
YDR233C	1.0	1.22
