orf	het | growth (pooled culture, microarray) | risedronate [0.5 mM] | F1 | Bivi N~Delneri D, 2009	het | growth (pooled culture, microarray) | alendronate [5 mM] | F1 | Bivi N~Delneri D, 2009	het | growth (pooled culture, microarray) | ibandronate [0.5 mM] | F1 | Bivi N~Delneri D, 2009
YPL013C	-0.4519527865331215	-2.0	-2.0
YPL014W		0.08673824229854857	
YPL029W		0.04743455698877361	
YPL030W			-0.09255754739775836
YPL031C	-2.0	-2.0	-2.0
YPL037C	-2.0	-2.0	-2.0
YPL038W		-2.0	-2.0
YPL051W	-2.0	-2.0	-2.0
YPL056C			-0.04425819615607257
YPL057C			-0.22585955612445419
YPL085W		-2.0	
YPL090C	-2.0	-2.0	-2.0
YPL093W			0.0755536990265741
YPL125W			0.0476794937191583
YPL131W			0.0551179012506376
YPL173W			0.0438361966549961
YPL174C		0.05560328597154988	
YPL183W-A	-0.07561673907353925	-0.0493922897075376	
YPL188W			-0.052350317110306285
YPL202C	-2.0	-2.0	-2.0
YPL206C			-0.29165266119783473
YPL219W			0.0797320720152132
YPL222W	-2.0	-2.0	-2.0
YPL223C	-2.0	-2.0	-2.0
YPL225W	-2.0	-2.0	-2.0
YPL228W		-2.0	
YPL233W			-0.19721680632811292
YPL234C		-2.0	
YPL244C	-2.0	-2.0	-2.0
YPL245W	-2.0	-2.0	-2.0
YPL254W	-0.17340372777947138	-2.0	-2.0
YPL260W	-2.0	-2.0	-2.0
YPL263C	-2.0	-2.0	-2.0
YPL265W	-2.0	-2.0	-2.0
YPR010C			-0.06860168133929839
YPR017C	-2.0	-0.110097247451095	-2.0
YPR021C			0.121515782459923
YPR026W	-0.16813471528594495	-2.0	-2.0
YPR033C	-0.8189676924885707	-0.8505052598091565	-0.8300139369456934
YPR034W		-0.028627888057557786	-0.048819649634078525
YPR036W			-2.0
YPR040W	-2.0	-2.0	-2.0
YPR049C		-2.0	
YPR104C	-0.4207060990574338	-0.48140589392257754	-2.0
YPR116W	-2.0	-2.0	-2.0
YPR117W			-0.06764731798514147
YPR133C			-2.0
YPR138C			-0.2455024770585458
YPR161C	-2.0	-2.0	-2.0
YPR181C	-2.0	-2.0	
YPR187W			-0.05953149665353229
YPR188C		0.08670517715029244	
YPR193C	-2.0	-2.0	-2.0
