orf	hap alpha | growth (culture turbidity) | DiKU+Trp (DiKU+Trp [unknown]) | Cai H~Becker JM, 2006	hap alpha | growth (culture turbidity) | DiKU-Trp (DiKU-Trp [unknown]) | Cai H~Becker JM, 2006	hap alpha | growth (culture turbidity) | HLKU [unknown] | Cai H~Becker JM, 2006
YBR298C	0.905	1.514	1.035
YBR299W	1.327	2.156	1.129
YBR300C	0.835	1.382	0.843
YBR301W	1.0290000000000001	0.5670000000000001	1.091
YCL001W	0.757	0.282	1.088
YCL001W-A	0.86	1.4240000000000002	0.997
YCL002C	0.8540000000000001	0.532	1.113
YCL004W	1.14	1.0590000000000002	0.948
YCL005W	1.159	1.3230000000000002	0.9229999999999999
YCL007C	0.833	0.684	0.495
YCL008C	2.226	2.83	0.5489999999999999
YCL009C	0.907	0.833	0.972
YCL010C	1.875	2.186	0.8440000000000001
YCL011C	0.851	0.561	1.062
YCL014W	0.8645	0.6165	1.0225
YCL016C	0.903	0.544	1.006
YCL022C	1.19	3.576	1.091
YCL023C	1.3030000000000002	1.138	1.06
YCL024W	0.836	0.677	1.11
YCL025C	0.792	0.685	1.2009999999999998
YCL026C-A	1.1340000000000001	0.418	1.165
YCL027W	0.938	0.9309999999999999	1.0659999999999998
YCL028W	0.8170000000000001	0.589	1.054
YCL029C	0.698	0.606	0.905
YCL030C	0.563	-6.122000000000001	1.391
YCL032W	0.92	-10.638	1.28
YCL033C	0.8540000000000001	0.643	1.043
YCL034W	0.873	0.9570000000000001	0.973
YCL035C	1.137	1.395	0.9490000000000001
YCL036W	0.8	0.441	1.078
YCL037C	1.307	1.8430000000000002	0.8590000000000001
YCL038C	0.971	1.248	1.08
YCL039W	0.6970000000000001	0.32899999999999996	1.04
YCL040W	0.938	0.314	1.071
YCL042W	0.9059999999999999	0.41200000000000003	1.067
YCL044C	0.757	0.687	1.0859999999999999
YCL045C	1.331	3.548	1.057
YCL046W	0.965	0.848	1.087
YCL047C	0.863	0.8420000000000001	0.963
YCL048W	0.695	0.773	0.953
YCL049C	0.795	0.6679999999999999	1.0290000000000001
YCL050C	0.963	1.111	1.038
YCL051W	1.34	1.629	1.04
YCL055W	1.271	1.005	1.09
YCL056C	0.8240000000000001	0.657	0.98
YCL057W	0.512	0.293	1.041
YCL058C	0.982	2.2969999999999997	0.71
YCL061C	1.0835	1.397	1.0845
YCL063W	1.1800000000000002	1.3335	1.0715
YCL064C	1.081	0.848	1.045
YCL069W	1.167	1.2229999999999999	1.0270000000000001
YCL076W	1.099	0.55	0.978
YCR001W	1.102	1.001	1.068
YCR002C	0.134	-11.32	1.047
YCR003W	0.9440000000000001	0.573	0.934
YCR004C	1.124	1.177	1.079
YCR005C	1.546	1.3330000000000002	1.151
YCR006C	1.695	1.3880000000000001	1.047
YCR007C	0.975	0.45899999999999996	0.993
YCR008W	0.7070000000000001	0.257	0.992
YCR009C	1.6269999999999998	2.4730000000000003	1.065
YCR010C	0.888	0.419	1.072
YCR011C	0.7929999999999999	0.927	1.084
YCR014C	0.9520000000000001	0.882	1.021
YCR015C	0.8390000000000001	0.643	0.977
YCR016W	0.841	0.7509999999999999	0.855
YCR017C	1.36	1.058	0.9359999999999999
YCR019W	0.6759999999999999	0.33	0.777
YCR020C	1.1	1.004	0.996
YCR020C-A	1.226	0.9440000000000001	0.9670000000000001
YCR020W-B	1.197	0.58	0.541
YCR021C	0.99	1.229	0.932
YCR022C	0.86	0.289	1.045
YCR023C	0.982	0.7240000000000001	1.183
YCR024C	1.126	1.318	1.069
YCR024C-A	1.206	0.847	1.229
YCR025C	0.6920000000000001	0.867	1.064
YCR026C	0.573	1.084	0.985
YCR027C	0.953	0.154	1.3430000000000002
YCR028C	0.652	0.392	1.02
YCR028C-A	0.636	1.96	0.925
YCR030C	1.213	2.3209999999999997	1.092
YCR031C	1.028	1.236	1.2690000000000001
YCR032W	1.0070000000000001	0.875	1.1
YCR033W	0.768	0.569	1.001
YCR034W	0.557	0.075	0.8490000000000001
YCR036W	0.509	0.743	0.87
YCR037C	0.763	0.11800000000000001	0.914
YCR043C	0.997	0.713	1.145
YCR044C	1.653	2.8819999999999997	1.064
YCR045C	1.199	1.247	0.8320000000000001
YCR046C	1.4580000000000002	1.861	1.172
YCR047C	2.154	6.746	0.807
YCR048W	1.347	2.543	1.129
YCR049C	0.8270000000000001	1.449	0.75
YCR050C	0.846	1.102	0.797
YCR051W	0.598	1.236	0.9179999999999999
YCR053W	0.055999999999999994	0.109	0.013000000000000001
YCR059C	0.804	1.341	0.917
YCR060W	0.828	0.833	1.137
YCR061W	0.8725	0.6615	1.0265
YCR063W	0.853	0.743	0.975
YCR065W	0.703	0.836	0.9179999999999999
YCR066W	1.069	0.281	1.056
YCR067C	0.8059999999999999	0.284	1.1079999999999999
YCR068W	0.5770000000000001	0.545	0.515
YCR069W	0.758	0.305	1.1640000000000001
YCR071C	1.274	0.374	0.9109999999999999
YCR073C	0.848	0.823	1.1840000000000002
YCR073W-A	1.8840000000000001	2.386	0.99
YCR075C	0.713	0.326	1.087
YCR076C	1.2429999999999999	1.732	0.8009999999999999
YCR077C	2.035	2.57	0.981
YCR079W	0.884	0.909	0.72
YCR081W	1.6880000000000002	3.593	0.868
YCR082W	1.297	1.157	1.153
YCR083W	0.809	0.436	1.1540000000000001
YCR084C	2.285	7.412999999999999	0.8340000000000001
YCR085W	1.2429999999999999	1.161	0.7709999999999999
YCR086W	1.032	1.88	0.713
YCR087C-A	0.977	1.56	0.6559999999999999
YCR087W	0.9229999999999999	1.673	0.601
YCR088W	0.977	1.136	1.22
YCR089W	0.7659999999999999	0.46	1.225
YCR090C	1.129	-0.069	1.0590000000000002
YCR091W	1.148	0.217	1.048
YCR092C	1.251	0.5329999999999999	1.151
YCR094W	0.193	0.11199999999999999	1.093
YCR095C	1.122	0.397	1.149
YCR098C	1.3090000000000002	0.217	1.112
YCR099C	1.389	0.09699999999999999	1.137
YCR100C	1.435	0.36200000000000004	1.2329999999999999
YCR101C	1.194	1.464	1.068
YCR102C	1.401	3.082	1.002
YCR102W-A	1.127	0.705	1.078
YCR105W	0.976	0.696	0.821
YCR106W	0.647	0.551	1.046
YCR107W	1.335	2.052	1.167
YDL001W	0.6729999999999999	0.19	0.93
YDL002C	0.563	0.43799999999999994	0.82
YDL005C	1.232	0.102	1.508
YDL006W	0.657	0.263	0.628
YDL009C	0.9520000000000001	0.131	1.1520000000000001
YDL010W	0.763	0.146	1.048
YDL011C	0.7829999999999999	0.263	0.902
YDL012C	0.677	-0.044000000000000004	0.9059999999999999
YDL013W	0.799	0.0	0.81
YDL018C	0.889	0.423	0.898
YDL019C	0.7559999999999999	0.175	0.8740000000000001
YDL020C	0.063	0.11699999999999999	0.883
YDL021W	0.882	0.831	0.946
YDL022W	1.3730000000000002	2.334	0.91
YDL023C	1.063	0.758	1.0170000000000001
YDL024C	1.173	1.4580000000000002	1.125
YDL025C	1.114	0.992	0.93
YDL026W	0.968	0.43799999999999994	1.013
YDL027C	0.996	0.452	1.117
YDL032W	1.409	4.5360000000000005	0.938
YDL033C	1.122	1.415	0.956
YDL034W	1.421	1.6769999999999998	1.012
YDL035C	1.5619999999999998	3.34	0.9840000000000001
YDL036C	1.3030000000000002	1.5019999999999998	1.129
YDL037C	1.3769999999999998	2.421	1.095
YDL039C	1.5194999999999999	2.239	1.0935000000000001
YDL040C	0.976	0.583	1.061
YDL041W	1.2790000000000001	0.496	1.054
YDL042C	1.181	0.6559999999999999	1.04
YDL044C	0.866	0.08800000000000001	0.884
YDL045W-A	0.897	0.11699999999999999	0.9470000000000001
YDL046W	1.031	1.167	1.077
YDL047W	1.706	8.195	0.828
YDL048C	0.925	0.408	1.079
YDL049C	1.0859999999999999	0.467	1.0759999999999998
YDL050C	1.114	1.415	1.065
YDL051W	1.0270000000000001	1.094	1.0390000000000001
YDL052C	0.653	0.015	1.137
YDL053C	1.314	1.225	1.155
YDL054C	1.236	0.992	1.288
YDL056W	0.878	0.248	1.087
YDL057W	1.051	0.5539999999999999	1.266
YDL059C	1.09	0.758	1.268
YDL062W	0.937	0.54	1.296
YDL063C	0.7829999999999999	0.452	1.22
YDL065C	1.5390000000000001	1.59	1.006
YDL066W	1.4880000000000002	2.013	1.195
YDL067C	1.2590000000000001	2.392	1.03
YDL068W	1.275	1.765	0.907
YDL069C	1.645	2.698	0.995
YDL070W	1.704	2.8289999999999997	1.137
YDL071C	0.606	0.11699999999999999	1.036
YDL072C	0.909	0.875	1.036
YDL073W	1.051	1.006	1.024
YDL074C	0.929	0.642	0.722
YDL075W	0.076	-0.133	1.182
YDL076C	0.7829999999999999	0.627	0.8759999999999999
YDL077C	0.48	1.006	0.368
YDL078C	1.004	0.9329999999999999	1.0290000000000001
YDL079C	1.578	5.324	1.021
YDL080C	0.799	0.758	0.929
