ORF	hap a | mitotic recombination (frequency of Rad52 foci) | standard [standard] | Styles EB~Andrews BJ, 2016	hap a | mitotic recombination (frequency of Rad52 foci) | phleomycin [2.5 ng/uL] | Styles EB~Andrews BJ, 2016
YDR207C	-0.043	-2.087
YDR209C	1.323	1.652
YDR210W	-0.722	-1.308
YDR213W	-0.018	0.418
YDR214W	1.175	0.026
YDR215C	-0.066	0.215
YDR216W	1.235	2.045
YDR217C	1.616	0.754
YDR218C	-0.057	-1.548
YDR219C	-0.964	-0.857
YDR220C	-0.354	-1.099
YDR221W	-0.340	-0.682
YDR222W	-0.110	1.417
YDR223W	-1.059	0.011
YDR225W	-0.441	-2.246
YDR227W	NaN	NaN
YDR229W	0.954	0.120
YDR233C	-0.304	2.911
YDR234W	NaN	NaN
YDR239C	-0.212	-0.548
YDR241W	-0.287	0.982
YDR242W	-0.677	-1.644
YDR244W	0.060	1.193
YDR245W	-3.478	-3.483
YDR247W	-1.184	-2.064
YDR248C	-0.300	-0.505
YDR249C	1.246	2.829
YDR250C	0.937	1.308
YDR251W	0.040	0.153
YDR252W	-0.263	0.048
YDR253C	-0.577	-0.599
YDR254W	-0.040	-0.727
YDR255C	-0.120	0.050
YDR256C	-0.816	1.049
YDR257C	0.674	0.722
YDR258C	-0.311	-3.881
YDR259C	-1.285	-1.383
YDR260C	0.995	1.380
YDR261C	-0.022	-0.796
YDR262W	-0.043	0.191
YDR263C	-0.025	-0.219
YDR265W	-0.137	0.338
YDR266C	-1.566	-3.599
YDR269C	-1.274	-0.140
YDR270W	-0.694	-0.652
YDR271C	-0.710	0.411
YDR272W	1.082	0.820
YDR273W	0.004	0.349
YDR274C	-1.254	-0.948
YDR275W	-1.083	0.295
YDR276C	-0.845	1.917
YDR277C	-0.465	-0.224
YDR278C	-0.183	-0.968
YDR279W	2.708	1.826
YDR281C	-0.711	-0.312
YDR282C	-0.551	0.331
YDR284C	-0.286	-0.913
YDR285W	-0.550	0.720
YDR286C	-1.056	-0.115
YDR287W	-0.376	-1.809
YDR289C	1.486	-0.624
YDR290W	1.737	1.739
YDR291W	0.542	-0.171
YDR293C	-0.055	-1.620
YDR294C	0.093	0.469
YDR297W	0.168	0.372
YDR304C	-0.948	-1.050
YDR305C	0.868	0.998
YDR306C	-0.463	-0.178
YDR307W	-0.619	-0.614
YDR309C	-0.864	-0.012
YDR310C	2.104	0.296
YDR312W	-0.329	-0.548
YDR313C	-0.995	-1.389
YDR314C	0.055	0.511
