ORF	hom | growth (culture turbidity) | dessication [unknown] | Shima J~Takagi H, 2008
YDR161W	0.210
YDR162C	0.957
YDR163W	1.008
YDR165W	1.011
YDR169C	1.007
YDR171W	1.017
YDR173C	0.864
YDR174W	0.405
YDR175C	NaN
YDR176W	0.910
YDR178W	1.011
YDR179C	1.001
YDR179W-A	1.005
YDR181C	1.028
YDR183W	1.002
YDR184C	0.990
YDR185C	0.996
YDR186C	0.906
YDR191W	NaN
YDR192C	1.012
YDR193W	1.004
YDR194C	0.627
YDR195W	0.642
YDR197W	0.547
YDR198C	0.983
YDR199W	1.012
YDR200C	0.873
YDR202C	0.988
YDR203W	0.989
YDR204W	NaN
YDR205W	0.988
YDR206W	1.003
YDR207C	0.788
YDR209C	1.000
YDR210W	0.993
YDR213W	1.022
YDR214W	1.015
YDR215C	1.015
YDR216W	1.012
YDR217C	1.001
YDR218C	1.009
YDR219C	0.970
YDR220C	0.987
YDR221W	0.992
YDR222W	0.986
YDR223W	0.988
YDR225W	0.907
YDR226W	0.408
YDR229W	1.017
YDR230W	NaN
YDR231C	NaN
YDR233C	0.999
YDR234W	0.999
YDR237W	0.673
YDR239C	1.015
YDR241W	0.526
YDR242W	NaN
YDR244W	0.949
YDR245W	0.683
YDR247W	1.021
YDR248C	0.997
YDR249C	0.984
YDR250C	0.979
YDR251W	0.991
YDR252W	1.003
YDR253C	0.943
YDR254W	0.954
YDR255C	0.962
YDR256C	1.004
YDR257C	0.971
YDR258C	0.999
YDR259C	1.009
YDR260C	0.972
YDR261C	0.982
YDR262W	0.979
YDR263C	0.989
YDR264C	NaN
YDR265W	0.950
YDR266C	1.005
YDR268W	NaN
YDR269C	1.001
YDR270W	1.018
YDR271C	1.000
YDR272W	1.001
YDR273W	0.995
YDR274C	0.996
YDR275W	0.978
YDR276C	0.965
YDR277C	1.008
YDR278C	1.003
YDR279W	0.999
YDR281C	1.061
YDR282C	1.008
YDR283C	0.911
YDR284C	1.020
YDR285W	1.009
YDR286C	0.997
YDR287W	0.981
YDR289C	0.968
YDR290W	0.973
YDR291W	1.006
YDR293C	0.876
YDR294C	1.002
YDR295C	1.012
YDR296W	NaN
YDR297W	1.026
YDR298C	NaN
YDR300C	0.359
YDR304C	1.010
YDR305C	1.014
YDR306C	1.013
YDR307W	1.010
YDR309C	1.003
YDR310C	0.908
YDR312W	0.988
YDR313C	0.988
YDR314C	1.019
YDR315C	1.014
YDR316W	1.002
YDR317W	0.973
YDR318W	0.938
YDR319C	1.016
YDR320C	0.427
YDR321W	1.007
YDR322W	NaN
YDR323C	0.323
YDR326C	NaN
YDR329C	0.963
YDR330W	NaN
YDR332W	NaN
YDR333C	0.990
YDR334W	0.947
YDR335W	0.851
YDR336W	0.983
YDR337W	NaN
YDR338C	1.003
YDR340W	0.987
YDR344C	0.984
YDR345C	1.005
YDR346C	0.991
YDR347W	NaN
YDR348C	0.980
YDR349C	0.988
YDR350C	NaN
YDR351W	0.987
YDR352W	1.002
YDR354W	0.715
YDR357C	0.978
YDR358W	0.990
YDR359C	0.431
YDR360W	0.968
YDR363W	0.877
YDR363W-A	0.913
YDR364C	0.991
YDR368W	0.984
YDR369C	0.500
YDR370C	0.982
YDR371W	0.999
YDR372C	0.919
YDR374C	0.990
YDR375C	NaN
YDR377W	0.919
YDR378C	0.830
YDR379W	0.991
YDR380W	0.974
YDR382W	0.996
YDR383C	0.998
YDR384C	0.990
YDR385W	0.950
YDR386W	0.946
YDR387C	0.992
YDR388W	0.954
YDR389W	1.026
YDR391C	0.987
YDR392W	0.874
YDR393W	0.930
YDR395W	0.951
YDR399W	0.968
YDR400W	0.986
YDR401W	1.004
YDR402C	1.001
YDR403W	0.976
YDR405W	0.884
YDR406W	1.040
YDR408C	0.815
YDR409W	0.988
YDR411C	0.992
YDR414C	0.918
YDR415C	1.012
YDR417C	0.814
YDR418W	0.710
YDR419W	0.995
YDR420W	0.990
YDR421W	0.985
YDR422C	0.988
YDR423C	1.004
YDR424C	0.969
YDR425W	1.021
YDR426C	1.021
YDR428C	1.010
YDR430C	1.028
YDR431W	0.979
YDR432W	0.710
YDR433W	0.705
YDR435C	0.941
YDR436W	0.999
YDR438W	0.988
YDR439W	0.925
YDR440W	0.994
YDR441C	1.010
YDR442W	0.576
YDR443C	0.880
YDR444W	0.991
YDR445C	1.013
YDR446W	1.013
YDR447C	1.003
YDR448W	0.899
YDR450W	0.918
YDR451C	0.994
YDR452W	0.992
YDR453C	0.990
YDR455C	0.986
YDR456W	0.983
YDR457W	1.008
YDR458C	1.008
YDR459C	0.992
YDR461W	NaN
YDR462W	0.889
YDR463W	0.941
YDR465C	1.006
YDR466W	1.003
YDR467C	0.999
YDR469W	0.927
YDR470C	1.006
YDR471W	0.964
