orf	hom | chronological lifespan | time [1 week] | Powers RW 3rd~Fields S, 2006	hom | chronological lifespan | time [2 weeks] | Powers RW 3rd~Fields S, 2006	hom | chronological lifespan | time [5 weeks] | Powers RW 3rd~Fields S, 2006	hom | chronological lifespan | time [7 weeks] | Powers RW 3rd~Fields S, 2006
YBR294W	1.647812571	1.687015526	2.064907815	0.976362489
YBR295W	0.387251803	0.206955614	0.104673426	-0.121254492
YBR296C	0.294108997	0.100110357	0.088485956	-0.274724762
YBR297W	0.495672228	0.146226369	0.078152093	-0.419380592
YBR298C	0.088426407	0.063911436	0.021520602	-0.674607509
YBR299W	1.478351801	1.015961575	3.277476646	0.174394015
YBR300C	1.010245182	0.616845662	0.204960631	0.224408881
YBR301W	1.499114583	1.191947393	1.766863023	0.180765085
YCL001W	2.145649146	1.592062549	2.387685291	3.620662998
YCL001W-A	0.325129392	0.151196399	0.076191312	0.145667062
YCL002C	1.680344642	1.417586058	0.431113671	0.875055752
YCL005W	0.723803672	0.283772131	0.026132746	0.916914363
YCL007C	0.004817514	0.033175096	0.013839088	0.40482659
YCL008C	0.082723209	0.045409169	0.018198364	0.164503038
YCL009C	0.502986091	0.410605287	0.074084081	-0.124359593
YCL010C	0.197208954	0.086820287	0.008735255	-0.089993082
YCL011C	0.386091916	0.228430446	0.108785827	-0.083374797
YCL014W	2.157075737	2.5551861685	1.7264056925	0.565983848
YCL016C	0.57232901	0.163259322	0.185856675	0.7762408
YCL022C	1.033543409	1.057068453	1.721167393	0.259874382
YCL023C	0.976125724	0.780401573	1.8326098690000001	0.419092912
YCL024W	1.948309325	2.492371075	1.841413472	0.482660683
YCL025C	1.940733958	9.676679643	8.265811788	245.6004401
YCL026C-A	1.364647378	0.975939444	1.44147679	0.221750582
YCL027W	1.31431876	1.263445474	1.800525996	1.384373811
YCL028W	1.02703743	1.378689535	0.516720186	0.530660917
YCL029C	0.166514472	0.147529582	0.055989985	0.24020932
YCL030C	0.982057527	1.118611858	1.695875001	0.845229728
YCL032W	0.382495189	0.53232275	0.150744949	-0.062411828
YCL033C	1.133345749	0.70707752	4.462880231	1.580873268
YCL034W	1.980311788	1.313015119	1.160838787	0.471122169
YCL035C	1.245689594	2.076866561	3.610970043	0.981935794
YCL036W	1.76722348	2.598389075	1.950426855	0.60323676
YCL037C	1.750896107	0.329204814	0.190382356	0.521769497
YCL038C	0.6258722175	0.3260081715	0.032459918000000004	-0.1276018545
YCL039W	1.393978052	2.455406114	1.411313242	0.772016579
YCL040W	1.039201006	1.163591783	0.846016884	0.645948307
YCL042W	1.07999523	0.742381616	0.387990163	0.220115425
YCL044C	1.343442693	0.353620592	0.176182293	0.255500072
YCL045C	0.422773772	0.928369815	0.372357889	0.149971182
YCL046W	0.430310333	0.570966497	0.221209429	0.462309934
