ORF	hap a | growth (colony size) | expression of clogging-prone Pdi1-DHFR [standard] | Ast T~Schuldiner M, 2016
YNL089C	0.891
YKL077W	0.944
YJL060W	0.922
YPR201W	0.841
YPL171C	0.922
YGR162W	1.341
YBR148W	0.948
YGL101W	0.912
YDL129W	1.021
YPR142C	0.914
YJR096W	0.928
YLR281C	0.871
YLR400W	0.901
YFR040W	0.968
YKL064W	1.110
YKL070W	0.951
YMR316C-B	0.809
YJR053W	0.893
YPL053C	0.897
YBR227C	0.976
YLR434C	0.864
YBR271W	0.900
YLR351C	0.902
YPR044C	1.683
YDR382W	1.661
YGL067W	0.913
YPL019C	0.819
YDL023C	0.872
YDR030C	0.891
YOR089C	0.919
YDR019C	0.928
YBL095W	0.940
