Line,Ca44,Cd111,Co59,Cu65,Fe57,K39,Mg25,Mn55,Mo95,Na23,Ni60,P31,S34,Zn66
YBR265W_ko,0.571874341,0.359537943,1.003199769,-0.930481377,-0.798169386,-0.277581006,-0.665612366,1.117944206,0.327347386,-0.219114675,-0.033316485,0.119016344,0.940187686,1.008926956
YCL003W_ko,-0.294309939,0.892165822,-0.738294385,0.676053304,0.526924048,1.389450853,0.198883449,0.199983257,0.522692825,0.591575775,-2.758119399,-0.477139876,0.323229563,-1.999203822
YCL004W_ko,-0.519513118,-0.146742859,-1.139815761,0.126445658,0.550749511,0.803077773,-1.187235433,-0.078627584,0.068780847,-0.282600224,-2.83243022,-0.654807277,-0.471902262,-0.101641765
YCL017C_ko,-1.186005603,0.022897761,-1.495079114,-0.096825209,0.828516669,1.177695568,0.2845149,0.230352868,1.178710205,0.5985039,-0.491307557,0.188160484,-0.050347246,-0.587211176
YCL031C_ko,-1.268522749,-0.282584316,-1.399641682,0.712197202,0.728448616,1.199302581,-0.976671357,-0.713535254,0.868116218,0.650159023,-0.267952254,0.126854595,0.110922561,-0.280590152
YCL041C_ko,-0.440907226,0.958067902,1.089951273,0.226454012,-0.07674545,1.116411424,0.68326236,-0.816838544,-0.739357634,0.315392731,-1.132108848,-0.450045906,1.943556253,-0.752472679
YCL043C_ko,0.166632823,-0.216897282,-0.879623317,0.125420761,-0.27431252,1.430888386,-0.046653817,-0.161803832,-0.448804364,1.332684543,0.039677437,0.217607601,-1.411588034,0.023937842
YCL052C_ko,-1.039998885,0.281991632,-0.311345324,0.687567828,0.043066068,1.753917129,0.258689173,0.773244741,0.560489036,1.037494408,0.400908327,0.965869845,-0.838898585,-0.606981912
YCL053C_ko,0.153929132,0.230813639,0.4934951,1.657389452,-0.947399724,-0.048715515,0.709092925,0.030286824,0.595876376,0.066649879,0.463427862,-0.274414066,1.277700993,0.604812718
YCL054W_ko,-0.794610877,0.337674123,-1.071578904,0.8313541,1.066422931,1.683067513,0.422274796,-0.353220636,1.751537979,0.025177641,-1.191245837,1.082593237,-0.310345548,-1.264646874
YCL059C_ko,0.451374198,-1.585918346,-3.536320863,0.188097932,-2.102425725,3.926434464,0.936682484,4.688668676,-1.091309856,-0.739951795,-2.155205381,3.298811298,1.432294467,-2.898123756
YCR012W_ko,-0.129159179,0.039371467,-1.084657896,1.006457948,0.18558511,1.046275404,-1.120436106,-0.099205104,1.572561115,-0.460865969,-2.467385803,-0.329333109,-0.542265603,-0.812588516
YCR013C_ko,0.91000185,0.727780756,0.03219276,0.239113311,0.766277191,1.237923375,0.839038363,0.519854717,0.230359027,0.587546397,-1.616215183,2.039667296,0.130345107,0.148181836
YCR035C_ko,-2.429132999,0.598989823,0.169216381,0.3553869,0.667014594,1.726859181,-0.689971013,-4.19262204,-1.538956119,-2.083544402,-0.591655256,-0.058272071,-0.235630836,-3.701875161
YCR052W_ko,-1.218503487,-0.070083136,-0.575468166,-1.319095602,0.172906153,-0.517237665,-3.266543583,-5.413466477,.,-6.755103815,-1.639024994,-0.305271826,-0.014795973,-0.973574448
YCR054C_ko,-1.24244825,1.348526196,0.835726697,-0.13968225,0.249930151,0.901151564,-0.605379852,-1.939844411,-0.484892171,-0.89321075,0.232241268,-1.408034024,1.115574743,-3.462542277
YCR057C_ko,-0.670192818,0.427363894,-0.253114721,0.525201421,-0.041449507,0.571995489,-0.623117665,1.643689326,0.650381588,0.300664293,0.535971376,-0.885504631,0.795794597,0.879151043
YCR072C_ko,-0.41123942,1.266712946,1.200447599,-0.556621829,-3.791428782,0.179291518,-0.938983552,-2.194398339,-2.043468674,-1.346736632,1.273350571,-0.90154472,1.306798378,-0.58871205
YCR093W_ko,1.386532816,0.529075053,-0.923806833,0.047229009,-0.458868336,-0.536618235,4.273660678,2.176934985,-1.622890616,0.521313148,0.243374186,1.577689009,0.86053398,-0.965402014
YDL003W_ko,-0.660224812,1.881913407,1.762199761,0.947915181,0.095063796,0.306497189,0.06008706,-0.719318527,5.012084796,-3.432348389,1.084403873,0.110475179,-3.953690788,1.212618278
YDL004W_ko,-1.723502751,0.896880211,1.039687613,0.52498571,-0.418449036,0.564427737,-2.396503525,-2.198648808,-0.395977676,-0.308723417,-1.390425711,-2.270051752,-0.099418428,0.405776685
YDL007W_ko,-0.510072003,0.553175995,0.610455458,0.629011969,-0.652026609,0.750495179,-0.128112566,3.093183456,0.999870264,0.999551493,-0.056980612,-0.353057573,0.950038918,1.123618741
YDL008W_ko,-1.185538542,0.993478318,0.784293398,-0.178614582,-0.244208,0.255258212,-0.112345418,-1.30587882,0.631678212,-0.080741433,0.708779727,-0.432573906,0.709292153,0.385007623
YDL014W_ko,-1.702840472,1.020333465,0.411992457,0.358114573,-0.430545862,0.960802689,1.002293104,-0.963365809,-1.280920747,0.047327141,0.212263014,-0.649385376,0.716820886,0.159729655
YDL015C_ko,-2.345132236,2.980571907,2.077826576,0.145195956,0.203604984,1.589408044,1.490263376,-3.242805938,-2.733672382,-2.018035037,1.574774818,-0.834329024,1.568038519,0.646609922
YDL016C_ko,-1.465627736,0.994989585,1.462072247,-0.075329497,-0.381464754,0.431727141,1.112377151,-0.227891927,0.237579294,0.287071684,1.241799058,-0.137632896,0.638728721,-0.914874344
YDL017W_ko,0.195586382,1.414252995,0.616076458,0.677400783,0.136044563,1.162095214,0.55546042,-1.058833101,-0.627347811,0.054532042,0.122588734,-0.464573838,0.876940213,-4.116868027
YDL028C_ko,-1.245745472,0.09894109,0.383252241,0.302212909,0.178333775,0.535045552,-1.457982082,-2.301899879,-0.0648374,-0.468481526,-0.098828738,-1.984105313,1.113456267,-1.792243737
YDL029W_ko,-1.269837317,1.160523385,0.134773321,-0.379253176,0.899407508,0.839027888,-1.078932728,-2.806560319,-0.923895547,-0.878724089,-1.249311505,-2.099581783,1.697242325,-0.321622659
YDL030W_ko,-0.893595272,0.660031962,0.179538574,0.755757211,0.21171903,0.751974882,-1.484408873,-3.066498675,-0.429949218,-0.890384562,0.559508146,-1.842161355,1.33617935,-0.247289708
YDL043C_ko,-1.430171864,-0.020147243,0.457324737,1.067059662,-0.019440516,2.377965602,1.35512171,-4.00032133,1.132606995,-3.081718778,1.511671947,-1.911499003,0.274337471,-0.605313961
YDL045C_ko,-0.392387123,0.671450547,0.439729151,0.62645963,-2.174917172,0.048975546,-1.58034298,-2.247004257,-0.931187768,-0.555854673,1.07730402,-1.260465136,1.185927852,0.058752555
YDL055C_ko,-0.688984979,0.769479749,1.549799489,0.376819106,-0.450947584,0.197222415,-0.300619285,-3.291417174,-1.156216282,-1.186249615,0.174788944,-1.022395207,1.97135481,0.295899853
YDL060W_ko,-0.100468938,-0.447616655,-0.650150371,1.555003756,-0.891946411,-0.029200087,-1.49968914,-1.803386541,-0.122824599,-0.370404825,-0.143604905,-1.069021966,0.903322695,-0.060624385
YDL064W_ko,-0.527225812,0.775104285,0.797972767,-0.985043438,-0.141091229,0.398151394,-0.880574979,-2.958790164,-2.00293305,-1.133726685,-1.255199986,-1.140511725,0.767405732,-1.162347005
YDL084W_ko,-0.735996761,0.799400905,0.434641245,-0.20402173,-0.333546205,-0.150412591,-0.066194427,-3.20785848,-2.294259438,-0.706956047,-1.735358524,-1.235556513,1.061721183,-1.375764554
YDL087C_ko,-0.699629151,0.452216584,0.343534122,1.887712666,-3.957304991,0.388558966,-0.629486243,-2.482272407,-0.883902943,-0.381908499,-1.475139542,-1.441743331,0.445846906,-0.290863363
YDL092W_ko,-2.087803289,0.642955828,0.237407288,0.189856576,0.324629974,0.708503629,-0.322179332,-2.288738892,-1.067800898,-0.768364885,0.48519499,-0.870305745,0.257593362,-0.248907263
YDL097C_ko,-1.175950807,0.536580889,0.791870461,-0.055541392,-1.516377949,0.919569848,-0.325962515,-2.16463769,0.596458466,-1.231305985,-2.920563114,0.343966901,-0.568360575,-0.119729197
YDL098C_ko,-1.968295399,0.847924366,0.907850504,1.138932338,-0.228971227,0.838578856,0.171518614,-2.413020045,-0.182460382,-0.720295716,1.037129281,-0.022943318,-0.445100915,0.440080606
